elapsed_s,HLSQ_BV_WAIT_FS_S2W,HLSQ_RESERVED_37,HLSQ_FS_WAIT_SAME_VS_S2W,HLSQ_FS_STARVING_SP,HLSQ_VS_DATA_WAIT_PROGRAMMING,HLSQ_BV_DATA_WAIT_PROGRAMMING
0.001108,0,0,0,0,0,0
0.002767,0,0,0,0,0,0
0.004297,0,0,0,0,0,0
0.005811,0,0,0,0,0,0
0.007326,0,0,0,0,0,0
0.008840,0,0,0,0,0,0
0.010364,0,0,0,0,0,0
0.011879,0,0,0,0,0,0
0.013393,0,0,0,0,0,0
0.015069,0,0,0,0,0,0
0.016653,0,0,0,0,0,0
0.018152,0,0,0,0,0,0
0.019630,0,0,0,0,0,0
0.021129,0,0,0,0,0,0
0.022602,0,0,0,0,0,0
0.024244,0,0,0,0,0,0
0.025730,0,0,0,0,0,0
0.027203,0,0,0,0,0,0
0.028676,0,0,0,0,0,0
0.030174,0,0,0,0,0,0
0.031686,0,0,0,0,0,0
0.033176,0,0,0,0,0,0
0.034665,0,0,0,0,0,0
0.036285,0,0,0,0,0,0
0.037775,0,0,0,0,0,0
0.039264,0,0,0,0,0,0
0.040755,0,0,0,0,0,0
0.042384,0,0,0,0,0,0
0.043873,0,0,0,0,0,0
0.045364,0,0,0,0,0,0
0.046917,0,0,0,0,0,0
0.048486,0,0,0,0,0,0
0.050090,0,0,0,0,0,0
0.051693,0,0,0,0,0,0
0.053307,0,0,0,0,0,0
0.054912,0,0,0,0,0,0
0.056399,0,0,0,0,0,0
0.058001,0,0,0,0,0,0
0.059603,0,0,0,0,0,0
0.061076,0,0,0,0,0,0
0.062602,0,0,0,0,0,0
0.064435,0,0,0,0,0,0
0.065946,0,0,0,0,0,0
0.067415,0,0,0,0,0,0
0.068925,0,0,0,0,0,0
0.070431,0,0,0,0,0,0
0.071928,0,0,0,0,0,0
0.073305,0,0,0,0,0,0
0.074735,0,0,0,0,0,0
0.076165,0,0,0,0,0,0
0.077604,0,0,0,0,0,0
0.079044,0,0,0,0,0,0
0.080430,0,0,0,0,0,0
0.081808,0,0,0,0,0,0
0.083185,0,0,0,0,0,0
0.084564,0,0,0,0,0,0
0.085944,0,0,0,0,0,0
0.087382,0,0,0,0,0,0
0.088782,0,0,0,0,0,0
0.090277,0,0,0,0,0,0
0.091753,0,0,432,0,936,36
0.093240,0,0,0,0,0,0
0.094733,0,0,0,0,0,0
0.096212,0,0,0,0,0,0
0.097681,0,0,0,0,0,0
0.099150,0,0,0,0,0,0
0.100626,0,0,0,0,0,0
0.102097,0,0,0,0,0,0
0.103566,0,0,0,0,0,0
0.105036,0,0,0,0,0,0
0.106504,0,0,1556,0,6240,888
0.107712,0,0,0,0,0,0
0.109130,0,0,0,0,0,0
0.110561,0,0,0,0,0,0
0.111999,0,0,0,0,0,0
0.113393,0,0,0,0,0,0
0.114788,0,0,0,0,0,0
0.116285,0,0,0,0,0,0
0.117699,0,0,0,0,0,0
0.119167,0,0,0,0,0,0
0.120577,0,0,0,0,0,0
0.121931,0,0,0,0,0,0
0.123280,0,0,0,0,0,0
0.124629,0,0,0,0,0,0
0.126031,0,0,0,0,0,0
0.127506,0,0,0,0,0,0
0.128920,0,0,0,0,0,0
0.130269,0,0,0,0,0,0
0.131618,0,0,0,0,0,0
0.132965,0,0,0,0,0,0
0.134314,0,0,0,0,0,0
0.135661,0,0,0,0,0,0
0.137009,0,0,0,0,0,0
0.138358,0,0,0,0,0,0
0.139718,0,0,0,0,0,0
0.141067,0,0,0,0,0,0
0.142458,0,0,0,0,0,0
0.143807,0,0,0,0,0,0
0.145155,0,0,0,0,0,0
0.146503,0,0,0,0,0,0
0.147851,0,0,0,0,0,0
0.149200,0,0,0,0,0,0
0.150559,0,0,0,0,0,0
0.151910,0,0,0,0,0,0
0.153260,0,0,0,0,0,0
0.154609,0,0,0,0,0,0
0.155957,0,0,0,0,0,0
0.157306,0,0,0,0,0,0
0.158787,0,0,0,0,0,0
0.160367,0,0,0,0,0,0
0.161940,0,0,0,0,0,0
0.163504,0,0,0,0,0,0
0.165064,0,0,0,0,0,0
0.166625,0,0,0,0,0,0
0.168286,0,0,0,0,0,0
0.169846,0,0,0,0,0,0
0.171410,0,0,0,0,0,0
0.172983,0,0,0,0,0,0
0.174587,0,0,0,0,0,0
0.176148,0,0,0,0,0,0
0.177709,0,0,0,0,0,0
0.179273,0,0,0,0,0,0
0.180837,0,0,0,0,0,0
0.182396,0,0,0,0,0,0
0.183971,0,0,0,0,0,0
0.185534,0,0,0,0,0,0
0.187098,0,0,0,0,0,0
0.188660,0,0,0,0,0,0
0.190263,0,0,0,0,0,0
0.191790,0,0,0,0,0,0
0.193339,0,0,0,0,0,0
0.195049,0,0,0,0,0,0
0.196613,0,0,0,0,0,0
0.198055,0,0,0,0,0,0
0.199592,0,0,0,0,0,0
0.201155,0,0,0,0,0,0
0.202714,0,0,0,0,0,0
0.204280,0,0,0,0,0,0
0.205852,0,0,0,0,0,0
0.207416,0,0,0,0,0,0
0.208978,0,0,0,0,0,0
0.210539,0,0,0,0,0,0
0.212100,0,0,0,0,0,0
0.213663,0,0,0,0,0,0
0.215226,0,0,0,0,0,0
0.216800,0,0,0,0,0,0
0.218361,0,0,0,0,0,0
0.220032,0,0,0,0,0,0
0.221499,0,0,0,0,0,0
0.222981,0,0,0,0,0,0
0.224403,0,0,0,0,0,0
0.225795,0,0,0,0,0,0
0.227195,0,0,0,0,0,0
0.228592,0,0,0,0,0,0
0.229984,0,0,0,0,0,0
0.231412,0,0,0,0,0,0
0.232802,0,0,0,0,0,0
0.234190,0,0,0,0,0,0
0.235579,0,0,0,0,0,0
0.236970,0,0,0,0,0,0
0.238419,0,0,0,0,0,0
0.239786,0,0,0,0,0,0
0.241150,0,0,0,0,0,0
0.242514,0,0,0,0,0,0
0.243878,0,0,0,0,0,0
0.245242,0,0,0,0,0,0
0.246605,0,0,0,0,0,0
0.247969,0,0,0,0,0,0
0.249345,0,0,0,0,0,0
0.250708,0,0,0,0,0,0
0.252101,0,0,0,0,0,0
0.253466,0,0,0,0,0,0
0.254864,0,0,0,0,0,0
0.256252,0,0,0,0,0,0
0.257604,0,0,0,0,0,0
0.258960,0,0,0,0,0,0
0.260316,0,0,0,0,0,0
0.261664,0,0,0,0,0,0
0.263019,0,0,0,0,0,0
0.264546,0,0,0,0,0,0
0.265895,0,0,0,0,0,0
0.267244,0,0,0,0,0,0
0.268592,0,0,0,0,0,0
0.269970,0,0,0,0,0,0
0.271395,0,0,0,0,0,0
0.272812,0,0,0,0,0,0
0.274230,0,0,0,0,0,0
0.275647,0,0,0,0,0,0
0.277063,0,0,0,0,0,0
0.278481,0,0,0,0,0,0
0.279903,0,0,0,0,0,0
0.281321,0,0,0,0,0,0
0.282637,0,0,0,0,0,0
0.283948,0,0,0,0,0,0
0.285257,0,0,0,0,0,0
0.286702,0,0,0,0,0,0
