elapsed_s,TSE_BE_ST2_SCISSOR_VP_PARAMS_CACHE_MISS,TSE_BE_ILLEGAL_BOUNDING_BOX_PRIM,TSE_BE_VP_OUT_IS_NAN,TSE_BE_EXCLUDED_PRIM
0.001103,0,0,0,0
0.002748,0,0,0,0
0.004236,0,0,0,0
0.005718,0,0,0,0
0.007201,0,0,0,0
0.008781,0,0,0,0
0.010276,0,0,0,0
0.011824,0,0,0,0
0.013305,0,0,0,0
0.014786,0,0,0,0
0.016268,0,0,0,0
0.017752,0,0,0,0
0.019234,0,0,0,0
0.020745,0,0,0,0
0.022227,0,0,0,0
0.023847,0,0,0,0
0.025338,0,0,0,0
0.026811,0,0,0,0
0.028289,0,0,0,0
0.029748,0,0,0,0
0.031225,0,0,0,0
0.032745,0,0,0,0
0.034212,0,0,0,0
0.035667,0,0,0,0
0.037124,0,0,0,0
0.038581,0,0,0,0
0.040195,0,0,0,0
0.041663,0,0,0,0
0.043185,0,0,0,0
0.044666,0,0,0,0
0.046238,0,0,0,0
0.047813,0,0,0,0
0.049257,0,0,0,0
0.050826,0,0,0,0
0.052409,0,0,0,0
0.053854,0,0,0,0
0.055486,0,0,0,0
0.056931,0,0,0,0
0.058553,0,0,0,0
0.060079,0,0,0,0
0.061604,0,0,0,0
0.063143,0,0,0,0
0.064729,0,0,0,0
0.066184,0,0,0,0
0.067639,0,0,0,0
0.069093,0,0,0,0
0.070546,0,0,0,0
0.071999,0,0,0,0
0.073456,0,0,0,0
0.074927,0,0,0,0
0.076469,0,0,0,0
0.077881,0,0,0,0
0.079242,0,0,0,0
0.080610,0,0,0,0
0.081928,0,0,0,0
0.083369,0,0,0,0
0.084747,0,0,0,0
0.086070,0,0,0,0
0.087527,0,0,0,0
0.089058,0,0,0,0
0.090517,0,0,0,0
0.091922,0,0,0,0
0.093310,0,0,0,0
0.094699,0,0,0,0
0.096111,0,0,0,0
0.097499,0,0,0,0
0.098884,0,0,0,0
0.102809,0,0,0,0
0.104196,0,0,0,0
0.105582,0,0,0,0
0.107033,0,0,0,0
0.108418,0,0,0,0
0.109803,0,0,0,0
0.111181,0,0,0,0
0.112670,0,0,0,0
0.114051,0,0,0,0
0.115480,0,0,0,0
0.116865,0,0,0,0
0.118257,0,0,0,0
0.119633,0,0,0,0
0.121011,0,0,0,0
0.122432,0,0,0,0
0.123814,0,0,0,0
0.125468,0,0,0,0
0.126940,0,0,0,0
0.128341,0,0,0,0
0.129721,0,0,0,0
0.131099,0,0,0,0
0.135506,0,0,0,0
0.136900,0,0,0,0
0.138324,0,0,0,0
0.139929,0,0,0,0
0.141326,0,0,0,0
0.142671,0,0,0,0
0.144013,0,0,0,0
0.145354,0,0,0,0
0.146891,0,0,0,0
0.148289,0,0,0,0
0.149663,0,0,0,0
0.151027,0,0,0,0
0.152368,0,0,0,0
0.153707,0,0,0,0
0.155095,0,0,0,0
0.156490,0,0,0,0
0.157873,0,0,0,0
0.159274,0,0,0,0
0.160703,0,0,0,0
0.162092,0,0,0,0
0.163491,0,0,0,0
0.165068,0,0,0,0
0.166609,0,0,0,0
0.168025,0,0,0,0
0.169537,0,0,0,0
0.171121,0,0,0,0
0.172819,0,0,0,0
0.174368,0,0,0,0
0.175922,0,0,0,0
0.177472,0,0,0,0
0.179018,0,0,0,0
0.180566,0,0,0,0
0.182117,0,0,0,0
0.183682,0,0,0,0
0.185234,0,0,0,0
0.186824,0,0,0,0
0.188375,0,0,0,0
0.189926,0,0,0,0
0.191479,0,0,0,0
0.193022,0,0,0,0
0.194574,0,0,0,0
0.195993,0,0,0,0
0.197411,0,0,0,0
0.198960,0,0,0,0
0.200510,0,0,0,0
0.202051,0,0,0,0
0.203671,0,0,0,0
0.205169,0,0,0,0
0.206568,0,0,0,0
0.208086,0,0,0,0
0.209637,0,0,0,0
0.211186,0,0,0,0
0.212641,0,0,0,0
0.214067,0,0,0,0
0.215514,0,0,0,0
0.216858,0,0,0,0
0.218196,0,0,0,0
0.219576,0,0,0,0
0.220972,0,0,0,0
0.222320,0,0,0,0
0.223702,0,0,0,0
0.225037,0,0,0,0
0.226381,0,0,0,0
0.227757,0,0,0,0
0.229087,0,0,0,0
0.230414,0,0,0,0
0.231789,0,0,0,0
0.233118,0,0,0,0
0.234496,0,0,0,0
0.235853,0,0,0,0
0.237179,0,0,0,0
0.238488,0,0,0,0
0.239797,0,0,0,0
0.241107,0,0,0,0
0.242414,0,0,0,0
0.243723,0,0,0,0
0.245032,0,0,0,0
0.246341,0,0,0,0
0.247658,0,0,0,0
0.248966,0,0,0,0
0.250274,0,0,0,0
0.251631,0,0,0,0
0.252991,0,0,0,0
0.254350,0,0,0,0
0.255759,0,0,0,0
0.257119,0,0,0,0
0.258481,0,0,0,0
0.259786,0,0,0,0
0.261146,0,0,0,0
0.262505,0,0,0,0
0.263921,0,0,0,0
0.265294,0,0,0,0
0.266632,0,0,0,0
0.267979,0,0,0,0
0.269428,0,0,0,0
0.270845,0,0,0,0
0.272235,0,0,0,0
0.273769,0,0,0,0
0.275229,0,0,0,0
0.276697,0,0,0,0
0.278082,0,0,0,0
0.279524,0,0,0,0
0.280928,0,0,0,0
0.282313,0,0,0,0
0.283986,0,0,0,0
0.285439,0,0,0,0
0.286849,0,0,0,0
0.288236,0,0,0,0
0.289633,0,0,0,0
0.291016,0,0,0,0
0.292401,0,0,0,0
0.293786,0,0,0,0
0.295178,0,0,0,0
0.296622,0,0,0,0
0.298003,0,0,0,0
0.299383,0,0,0,0
0.302095,0,0,0,0
0.303533,0,0,0,0
0.304918,0,0,0,0
0.306299,0,0,0,0
0.307682,0,0,0,0
0.309064,0,0,0,0
0.310503,0,0,0,0
0.311889,0,0,0,0
0.313789,0,0,0,0
0.315222,0,0,0,0
0.316662,0,0,0,0
0.318042,0,0,0,0
0.319521,0,0,0,0
0.320909,0,0,0,0
0.322296,0,0,0,0
0.323693,0,0,0,0
0.325080,0,0,0,0
0.326465,0,0,0,0
0.327854,0,0,0,0
0.329430,0,0,0,0
0.331013,0,0,0,0
0.332432,0,0,0,0
0.333872,0,0,0,0
0.335259,0,0,0,0
0.336647,0,0,0,0
0.338032,0,0,0,0
0.339416,0,0,0,0
0.340845,0,0,0,0
0.342357,0,0,0,0
0.343908,0,0,0,0
0.345469,0,0,0,0
0.347059,0,0,0,0
0.348610,0,0,0,0
0.350158,0,0,0,0
0.351709,0,0,0,0
0.353162,0,0,0,0
0.354560,0,0,0,0
0.356016,0,0,0,0
0.357405,0,0,0,0
0.358792,0,0,0,0
0.360181,0,0,0,0
0.361567,0,0,0,0
0.363124,0,0,0,0
0.364636,0,0,0,0
0.366165,0,0,0,0
0.367718,0,0,0,0
0.369260,0,0,0,0
0.370800,0,0,0,0
0.372221,0,0,0,0
0.373745,0,0,0,0
0.375299,0,0,0,0
0.376868,0,0,0,0
0.378459,0,0,0,0
0.380012,0,0,0,0
0.381563,0,0,0,0
0.383113,0,0,0,0
0.384727,0,0,0,0
0.386276,0,0,0,0
0.387841,0,0,0,0
0.389392,0,0,0,0
0.390940,0,0,0,0
0.392492,0,0,0,0
0.394034,0,0,0,0
0.395608,0,0,0,0
0.397160,0,0,0,0
0.398721,0,0,0,0
0.400147,0,0,0,0
0.401542,0,0,0,0
0.402928,0,0,0,0
0.404311,0,0,0,0
0.405692,0,0,0,0
0.407070,0,0,0,0
0.408449,0,0,0,0
0.409842,0,0,0,0
0.411263,0,0,0,0
0.412671,0,0,0,0
0.414050,0,0,0,0
0.415462,0,0,0,0
0.416840,0,0,0,0
0.418217,0,0,0,0
0.419622,0,0,0,0
0.421009,0,0,0,0
0.422385,0,0,0,0
0.423761,0,0,0,0
0.425139,0,0,0,0
0.426567,0,0,0,0
0.427922,0,0,0,0
0.429275,0,0,0,0
0.430628,0,0,0,0
0.431989,0,0,0,0
0.433342,0,0,0,0
0.434696,0,0,0,0
0.436049,0,0,0,0
0.437403,0,0,0,0
0.438758,0,0,0,0
0.440112,0,0,0,0
0.441467,0,0,0,0
0.442865,0,0,0,0
0.444280,0,0,0,0
0.445583,0,0,0,0
0.446994,0,0,0,0
0.448405,0,0,0,0
0.449813,0,0,0,0
0.451222,0,0,0,0
0.452629,0,0,0,0
0.454043,0,0,0,0
0.455463,0,0,0,0
0.456875,0,0,0,0
0.458286,0,0,0,0
0.459698,0,0,0,0
0.461107,0,0,0,0
0.462517,0,0,0,0
0.463945,0,0,0,0
0.465371,0,0,0,0
0.466783,0,0,0,0
0.468196,0,0,0,0
0.469341,0,0,0,0
0.470701,0,0,0,0
0.472112,0,0,0,0
0.473473,0,0,0,0
