elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.001100,0,0,0,0
0.002858,0,0,0,0
0.004328,0,0,0,0
0.005774,0,0,0,0
0.007302,0,0,0,0
0.008927,0,0,0,0
0.010395,0,0,0,0
0.011812,0,0,0,0
0.013229,0,0,0,0
0.014707,0,0,0,0
0.016107,0,0,0,0
0.017507,0,0,0,0
0.019035,0,0,0,0
0.020622,0,0,0,0
0.022153,0,0,0,0
0.023584,0,0,0,0
0.025065,0,0,0,0
0.026538,0,0,0,0
0.028013,0,0,0,0
0.029531,0,0,0,0
0.031046,0,0,0,0
0.032602,0,0,0,0
0.033942,0,0,0,0
0.035283,0,0,0,0
0.036637,0,0,0,0
0.037990,0,0,0,0
0.039430,0,0,0,0
0.040984,0,0,0,0
0.042360,0,0,0,0
0.043708,0,0,0,0
0.045058,0,0,0,0
0.046420,0,0,0,0
0.047765,0,0,0,0
0.049117,0,0,0,0
0.050459,0,0,0,0
0.051804,0,0,0,0
0.053159,0,0,0,0
0.054553,0,0,0,0
0.057067,0,0,0,0
0.058479,0,0,0,0
0.059895,0,0,0,0
0.061483,0,0,0,0
0.062923,0,0,0,0
0.064332,0,0,0,0
0.065910,0,0,0,0
0.067381,0,0,0,0
0.068776,0,0,0,0
0.070167,0,0,0,0
0.071634,0,0,0,0
0.073022,0,0,0,0
0.074419,0,0,0,0
0.075836,0,0,0,0
0.077222,0,0,0,0
0.078653,0,0,0,0
0.080038,0,0,0,0
0.081416,0,0,0,0
0.082793,0,0,0,0
0.084171,0,0,0,0
0.085559,0,0,0,0
0.086980,0,0,0,0
0.088366,0,0,0,0
0.089743,0,0,0,0
0.091119,0,0,0,0
0.092553,0,0,0,0
0.093932,0,0,0,0
0.095483,0,0,0,0
0.096909,0,0,0,0
0.098294,0,0,0,0
0.099674,0,0,0,0
0.101055,0,0,0,0
0.102470,0,0,0,0
0.103852,0,0,0,0
0.105239,0,0,0,0
0.106753,0,0,0,0
0.108316,0,0,0,0
0.109867,0,0,0,0
0.111420,0,0,0,0
0.112968,0,0,0,0
0.114392,0,0,0,0
0.115918,0,0,0,0
0.117469,0,0,0,0
0.118948,0,0,0,0
0.120471,0,0,0,0
0.122021,0,0,0,0
0.123572,0,0,0,0
0.125122,0,0,0,0
0.126711,0,0,0,0
0.128262,0,0,0,0
0.129826,0,0,0,0
0.131377,0,0,0,0
0.132927,0,0,0,0
0.134516,0,0,0,0
0.136067,0,0,0,0
0.137616,0,0,0,0
0.139163,0,0,0,0
0.140684,0,0,0,0
0.142075,0,0,0,0
0.143620,0,0,0,0
0.145123,0,0,0,0
0.146519,0,0,0,0
0.147932,0,0,0,0
0.149479,0,0,0,0
0.151080,0,0,0,0
0.152635,0,0,0,0
0.154182,0,0,0,0
0.155734,0,0,0,0
0.157282,0,0,0,0
0.158872,0,0,0,0
0.160560,0,0,0,0
0.162125,0,0,0,0
0.163677,0,0,0,0
0.165227,0,0,0,0
0.166817,0,0,0,0
0.168366,0,0,0,0
