elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.001092,0,0,0,0
0.002630,0,0,0,0
0.004117,0,0,0,0
0.005602,0,0,0,0
0.007083,0,0,0,0
0.008576,0,0,0,0
0.010242,0,0,0,0
0.012001,0,0,0,0
0.013531,0,0,0,0
0.014997,0,0,0,0
0.016503,0,0,0,0
0.017952,0,0,0,0
0.019431,0,0,0,0
0.020872,0,0,0,0
0.022314,0,0,0,0
0.023755,0,0,0,0
0.025222,0,0,0,0
0.026703,0,0,0,0
0.028164,0,0,0,0
0.029633,0,0,0,0
0.031091,0,0,0,0
0.032550,0,0,0,0
0.034006,0,0,0,0
0.035511,0,0,0,0
0.036967,0,0,0,0
0.038517,0,0,0,0
0.039982,0,0,0,0
0.041637,0,0,0,0
0.043165,0,0,0,0
0.044694,0,0,0,0
0.046238,0,0,0,0
0.047724,0,0,0,0
0.049177,0,0,0,0
0.050639,0,0,0,0
0.052093,0,0,0,0
0.053545,0,0,0,0
0.054998,0,0,0,0
0.056450,0,0,0,0
0.057926,0,0,0,0
0.059446,0,0,0,0
0.060881,0,0,0,0
0.062478,0,0,0,0
0.063911,0,0,0,0
0.065262,0,0,0,0
0.066611,0,0,0,0
0.067962,0,0,0,0
0.069329,0,0,0,0
0.070670,0,0,0,0
0.072029,0,0,0,0
0.073388,0,0,0,0
0.074798,0,0,567,537
0.076189,0,0,0,0
0.077576,0,0,0,0
0.078960,0,0,0,0
0.080352,0,0,0,0
0.082687,0,0,0,0
0.084100,0,0,753,732
0.085720,0,0,576,495
0.087107,0,0,0,0
0.088494,0,0,0,0
0.089886,0,0,0,0
0.091421,0,0,0,0
0.092816,0,0,0,0
0.094255,0,0,0,0
0.095634,0,0,0,0
0.097059,0,0,0,0
0.099841,0,0,0,0
0.101223,0,0,0,0
0.106297,0,0,0,0
0.107742,0,0,0,0
0.109094,0,0,0,0
0.110437,0,0,0,0
0.111783,0,0,0,0
0.113126,0,0,0,0
0.114465,0,0,0,0
0.115803,0,0,0,0
0.117141,0,0,0,0
0.118491,0,0,0,0
0.119830,0,0,0,0
0.121300,0,0,0,0
0.122873,0,0,0,0
0.124421,0,0,0,0
0.125926,0,0,0,0
0.127575,0,0,0,0
0.128979,0,0,0,0
0.130366,0,0,0,0
0.131756,0,0,0,0
0.133143,0,0,0,0
0.134532,0,0,0,0
0.135913,0,0,0,0
0.137333,0,0,0,0
0.138713,0,0,0,0
0.140239,0,0,0,0
0.141788,0,0,0,0
0.143340,0,0,0,0
0.144891,0,0,0,0
0.146444,0,0,0,0
0.147995,0,0,0,0
0.149544,0,0,0,0
0.151001,0,0,0,0
0.152548,0,0,0,0
0.154099,0,0,0,0
0.155654,0,0,0,0
0.157204,0,0,0,0
0.158756,0,0,0,0
0.160307,0,0,0,0
0.161869,0,0,0,0
0.163477,0,0,0,0
0.165026,0,0,0,0
0.166578,0,0,0,0
0.168129,0,0,0,0
0.169721,0,0,0,0
0.171271,0,0,0,0
0.172836,0,0,0,0
0.174387,0,0,0,0
0.175937,0,0,0,0
0.177487,0,0,0,0
0.179040,0,0,0,0
0.180592,0,0,0,0
0.182141,0,0,0,0
0.183557,0,0,0,0
0.185070,0,0,0,0
0.186972,0,0,0,0
0.188663,0,0,0,0
0.190071,0,0,0,0
0.191538,0,0,0,0
0.192919,0,0,0,0
0.194351,0,0,0,0
0.195733,0,0,0,0
0.197112,0,0,0,0
0.198663,0,0,0,0
0.200018,0,0,0,0
0.201397,0,0,0,0
0.202777,0,0,0,0
0.204108,0,0,0,0
0.205508,0,0,0,0
0.206887,0,0,0,0
0.208218,0,0,0,0
0.209547,0,0,0,0
0.210924,0,0,0,0
0.212255,0,0,0,0
0.213583,0,0,0,0
0.214911,0,0,0,0
0.216252,0,0,0,0
0.217628,0,0,0,0
0.218983,0,0,0,0
0.220289,0,0,0,0
0.221594,0,0,0,0
0.222947,0,0,0,0
0.224253,0,0,0,0
0.225558,0,0,0,0
0.226918,0,0,0,0
0.228224,0,0,0,0
0.229529,0,0,0,0
0.230883,0,0,0,0
0.232189,0,0,0,0
0.233528,0,0,0,0
0.234868,0,0,0,0
0.236159,0,0,0,0
0.237457,0,0,0,0
0.238795,0,0,0,0
0.240087,0,0,0,0
0.241378,0,0,0,0
0.242718,0,0,0,0
0.244009,0,0,0,0
0.245298,0,0,0,0
0.246637,0,0,0,0
0.247934,0,0,0,0
0.249252,0,0,0,0
0.250664,0,0,0,0
0.252024,0,0,0,0
0.253384,0,0,0,0
0.254793,0,0,0,0
0.256045,0,0,0,0
0.257403,0,0,0,0
0.258822,0,0,0,0
0.260243,0,0,0,0
