elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.001316,0,0,0,0
0.002900,0,0,0,0
0.004351,0,0,0,0
0.005794,0,0,0,0
0.007236,0,0,0,0
0.008704,0,0,0,0
0.010467,0,0,0,0
0.011971,0,0,0,0
0.013458,0,0,0,0
0.014941,0,0,0,0
0.016506,0,0,0,0
0.017965,0,0,0,0
0.019422,0,0,0,0
0.020887,0,0,0,0
0.022399,0,0,0,0
0.023858,0,0,0,0
0.025366,0,0,0,0
0.026940,0,0,0,0
0.028512,0,0,0,0
0.030184,0,0,0,0
0.031766,0,0,0,0
0.033279,0,0,0,0
0.034699,0,0,0,0
0.036104,0,0,0,0
0.037558,0,0,0,0
0.038962,0,0,0,0
0.040385,0,0,0,0
0.041862,0,0,0,0
0.043199,0,0,0,0
0.044534,0,0,0,0
0.045875,0,0,0,0
0.047223,0,0,0,0
0.048686,0,0,0,0
0.050150,0,0,0,0
0.051532,0,0,0,0
0.052930,0,0,0,0
0.054535,0,0,0,0
0.056078,0,0,0,0
0.057477,0,0,0,0
0.058864,0,0,0,0
0.060256,0,0,0,0
0.061639,0,0,0,0
0.063051,105,105,105,105
0.064530,0,0,0,0
0.065919,0,0,0,0
0.067302,0,0,0,0
0.068686,0,0,0,0
0.071241,0,0,0,0
0.073299,441,441,504,504
0.074548,294,294,231,231
0.075927,0,0,0,0
0.077315,0,0,0,0
0.078699,0,0,0,0
0.080133,0,0,0,0
0.081518,0,0,0,0
0.082904,0,0,0,0
0.084300,0,0,0,0
0.085685,0,0,0,0
0.087070,0,0,0,0
0.088448,0,0,0,0
0.090101,0,0,0,0
0.091520,0,0,0,0
0.092899,0,0,0,0
0.098250,0,0,0,0
0.099638,0,0,0,0
0.101099,0,0,0,0
0.102466,0,0,0,0
0.103805,0,0,0,0
0.105216,0,0,0,0
0.106602,0,0,0,0
0.108925,0,0,0,0
0.111844,0,0,0,0
0.113261,0,0,0,0
0.114608,0,0,0,0
0.115948,0,0,0,0
0.117288,0,0,0,0
0.118628,0,0,0,0
0.119984,0,0,0,0
0.121385,0,0,0,0
0.122854,0,0,0,0
0.124234,0,0,0,0
0.125613,0,0,0,0
0.126994,0,0,0,0
0.128411,0,0,0,0
0.130242,0,0,0,0
0.131764,0,0,0,0
0.133147,0,0,0,0
0.134527,0,0,0,0
0.135941,0,0,0,0
0.137323,0,0,0,0
0.138710,0,0,0,0
0.140095,0,0,0,0
0.141613,0,0,0,0
0.143051,0,0,0,0
0.144486,0,0,0,0
0.145877,0,0,0,0
0.147265,0,0,0,0
0.148650,0,0,0,0
0.150035,0,0,0,0
0.151415,0,0,0,0
0.153050,0,0,0,0
0.154463,0,0,0,0
0.155849,0,0,0,0
0.157232,0,0,0,0
0.158745,0,0,0,0
0.160336,0,0,0,0
0.161885,0,0,0,0
0.163435,0,0,0,0
0.165000,0,0,0,0
0.166550,0,0,0,0
0.168141,0,0,0,0
0.169693,0,0,0,0
0.171243,0,0,0,0
0.172791,0,0,0,0
0.174368,0,0,0,0
0.175970,0,0,0,0
0.177523,0,0,0,0
0.179072,0,0,0,0
0.180621,0,0,0,0
0.182233,0,0,0,0
0.183781,0,0,0,0
0.185375,0,0,0,0
0.186940,0,0,0,0
0.188488,0,0,0,0
0.189940,0,0,0,0
0.191365,0,0,0,0
0.192755,0,0,0,0
0.194288,0,0,0,0
0.195647,0,0,0,0
0.197002,0,0,0,0
0.198348,0,0,0,0
0.199686,0,0,0,0
0.201069,0,0,0,0
0.202380,0,0,0,0
0.203690,0,0,0,0
0.205004,0,0,0,0
0.206318,0,0,0,0
0.207631,0,0,0,0
0.208978,0,0,0,0
0.210339,0,0,0,0
0.211699,0,0,0,0
0.213060,0,0,0,0
0.214420,0,0,0,0
0.215780,0,0,0,0
0.217104,0,0,0,0
0.218549,0,0,0,0
0.219940,0,0,0,0
0.221375,0,0,0,0
0.222994,0,0,0,0
0.224430,0,0,0,0
0.225812,0,0,0,0
0.227224,0,0,0,0
0.228709,0,0,0,0
0.230237,0,0,0,0
0.231646,0,0,0,0
0.233098,0,0,0,0
0.234495,0,0,0,0
0.235880,0,0,0,0
0.237605,273,273,273,273
0.239425,0,0,0,0
0.241189,0,0,0,0
0.242883,0,0,0,0
0.244267,0,0,0,0
0.245651,0,0,0,0
0.247031,0,0,0,0
0.248416,735,735,735,735
0.249844,0,0,0,0
0.251231,0,0,0,0
0.252615,0,0,0,0
0.254000,0,0,0,0
0.255386,0,0,0,0
0.256810,0,0,0,0
0.258199,0,0,0,0
0.259616,0,0,0,0
0.261107,0,0,0,0
0.266209,0,0,0,0
0.267589,0,0,0,0
0.269023,0,0,0,0
0.270487,0,0,0,0
0.271852,0,0,0,0
0.273315,0,0,0,0
0.274770,0,0,0,0
0.276178,0,0,0,0
0.277559,0,0,0,0
0.278939,0,0,0,0
0.280356,0,0,0,0
0.281741,0,0,0,0
0.283138,0,0,0,0
0.284525,0,0,0,0
0.285913,0,0,0,0
0.287299,0,0,0,0
0.288685,0,0,0,0
0.290119,0,0,0,0
0.291505,0,0,0,0
0.293024,0,0,0,0
0.294589,0,0,0,0
0.296182,0,0,0,0
0.297735,0,0,0,0
0.299286,0,0,0,0
0.300838,0,0,0,0
0.302393,0,0,0,0
0.303987,0,0,0,0
0.305554,0,0,0,0
0.307105,0,0,0,0
0.308655,0,0,0,0
0.310264,0,0,0,0
0.311814,0,0,0,0
0.313410,0,0,0,0
0.314960,0,0,0,0
0.316522,0,0,0,0
0.318074,0,0,0,0
0.319626,0,0,0,0
0.321224,0,0,0,0
0.322776,0,0,0,0
0.324326,0,0,0,0
0.325877,0,0,0,0
0.327441,0,0,0,0
0.328995,0,0,0,0
0.330547,0,0,0,0
0.332096,0,0,0,0
0.333649,0,0,0,0
0.335200,0,0,0,0
0.336751,0,0,0,0
0.338319,0,0,0,0
0.339868,0,0,0,0
0.341419,0,0,0,0
0.342958,0,0,0,0
0.344539,0,0,0,0
0.345958,0,0,0,0
0.347478,0,0,0,0
0.349042,0,0,0,0
0.350591,0,0,0,0
0.352181,0,0,0,0
0.353733,0,0,0,0
0.355281,0,0,0,0
0.356829,0,0,0,0
0.358382,0,0,0,0
0.359985,0,0,0,0
0.361432,0,0,0,0
0.362902,0,0,0,0
0.364254,0,0,0,0
0.365594,0,0,0,0
0.366931,0,0,0,0
0.368320,0,0,0,0
0.369685,0,0,0,0
0.371016,0,0,0,0
0.372326,0,0,0,0
0.373637,0,0,0,0
0.374946,0,0,0,0
0.376290,0,0,0,0
0.377634,0,0,0,0
0.378929,0,0,0,0
0.380222,0,0,0,0
0.381527,0,0,0,0
0.382821,0,0,0,0
0.384143,0,0,0,0
0.385554,0,0,0,0
0.386914,0,0,0,0
0.388273,0,0,0,0
0.389682,0,0,0,0
0.391042,0,0,0,0
0.392417,0,0,0,0
0.393867,0,0,0,0
0.395296,0,0,0,0
0.396697,0,0,0,0
0.398272,0,0,0,0
0.399654,0,0,0,0
0.401127,0,0,0,0
0.402528,0,0,0,0
0.403930,0,0,0,0
0.406821,0,0,0,0
0.408221,0,0,0,0
0.409606,0,0,0,0
0.410991,0,0,0,0
0.412398,273,273,273,273
0.413807,0,0,0,0
0.415194,0,0,0,0
0.416554,0,0,0,0
0.417939,0,0,0,0
0.419325,0,0,0,0
0.420707,0,0,0,0
0.422186,735,735,735,735
0.423457,0,0,0,0
0.424844,0,0,0,0
0.426281,0,0,0,0
0.427663,0,0,0,0
0.429073,0,0,0,0
0.430458,0,0,0,0
0.431839,0,0,0,0
0.433266,0,0,0,0
0.434811,0,0,0,0
0.436191,0,0,0,0
0.437569,0,0,0,0
0.438947,0,0,0,0
0.440372,0,0,0,0
0.441879,0,0,0,0
0.446172,0,0,0,0
0.447557,0,0,0,0
0.448946,0,0,0,0
0.450324,0,0,0,0
0.451680,0,0,0,0
0.453022,0,0,0,0
0.454362,0,0,0,0
0.455699,0,0,0,0
0.457176,0,0,0,0
0.458565,0,0,0,0
0.459945,0,0,0,0
0.461324,0,0,0,0
0.462702,0,0,0,0
0.464115,0,0,0,0
0.465495,0,0,0,0
0.466879,0,0,0,0
0.468399,0,0,0,0
0.469948,0,0,0,0
0.471495,0,0,0,0
0.473047,0,0,0,0
0.474596,0,0,0,0
0.476143,0,0,0,0
0.477693,0,0,0,0
0.479256,0,0,0,0
0.480805,0,0,0,0
0.482378,0,0,0,0
0.483925,0,0,0,0
0.485474,0,0,0,0
0.487022,0,0,0,0
0.488611,0,0,0,0
0.490106,0,0,0,0
0.491627,0,0,0,0
0.493177,0,0,0,0
0.494727,0,0,0,0
0.496316,0,0,0,0
0.497864,0,0,0,0
0.499412,0,0,0,0
0.501055,0,0,0,0
0.502507,0,0,0,0
0.503938,0,0,0,0
0.505457,0,0,0,0
0.507004,0,0,0,0
0.508552,0,0,0,0
0.510100,0,0,0,0
0.511662,0,0,0,0
0.513256,0,0,0,0
0.514803,0,0,0,0
0.516351,0,0,0,0
0.517900,0,0,0,0
0.519450,0,0,0,0
0.521002,0,0,0,0
0.522563,0,0,0,0
0.524112,0,0,0,0
0.525662,0,0,0,0
0.527211,0,0,0,0
0.528759,0,0,0,0
0.530311,0,0,0,0
0.531857,0,0,0,0
0.533315,0,0,0,0
0.534714,0,0,0,0
0.536155,0,0,0,0
0.537545,0,0,0,0
0.538923,0,0,0,0
0.540302,0,0,0,0
0.541679,0,0,0,0
0.543058,0,0,0,0
0.544495,0,0,0,0
0.545851,0,0,0,0
0.547204,0,0,0,0
0.548558,0,0,0,0
0.549913,0,0,0,0
0.551266,0,0,0,0
0.552652,0,0,0,0
0.553992,0,0,0,0
0.555336,0,0,0,0
0.556673,0,0,0,0
0.558013,0,0,0,0
0.559351,0,0,0,0
0.560718,0,0,0,0
0.562097,0,0,0,0
0.563460,0,0,0,0
0.564821,0,0,0,0
0.566144,0,0,0,0
0.567506,0,0,0,0
0.568759,0,0,0,0
0.570121,0,0,0,0
0.571480,0,0,0,0
0.572840,0,0,0,0
0.574211,0,0,0,0
0.575575,0,0,0,0
0.577075,0,0,0,0
0.578470,0,0,0,0
0.579879,0,0,0,0
0.581275,0,0,0,0
0.582668,0,0,0,0
0.584102,0,0,0,0
0.585489,0,0,0,0
0.586876,0,0,0,0
0.588353,105,105,105,105
0.589800,0,0,0,0
0.591188,0,0,0,0
0.592617,0,0,0,0
0.594002,0,0,0,0
0.595385,0,0,0,0
0.596767,0,0,0,0
0.598251,441,441,441,441
0.599630,294,294,294,294
0.601111,0,0,0,0
0.602536,0,0,0,0
0.603919,0,0,0,0
0.605303,0,0,0,0
0.606689,0,0,0,0
0.608118,0,0,0,0
0.610200,0,0,0,0
0.611586,0,0,0,0
0.613106,0,0,0,0
0.614501,0,0,0,0
0.615879,0,0,0,0
0.618562,0,0,0,0
0.619952,0,0,0,0
0.621408,0,0,0,0
0.622859,0,0,0,0
0.624321,0,0,0,0
0.625698,0,0,0,0
0.627075,0,0,0,0
0.628470,0,0,0,0
0.629922,0,0,0,0
0.631359,0,0,0,0
0.632788,0,0,0,0
0.634269,0,0,0,0
0.635647,0,0,0,0
0.637058,0,0,0,0
0.638452,0,0,0,0
0.639830,0,0,0,0
0.641244,0,0,0,0
0.642760,0,0,0,0
0.644318,0,0,0,0
0.645735,0,0,0,0
0.647252,0,0,0,0
0.648899,0,0,0,0
0.650367,0,0,0,0
0.651887,0,0,0,0
0.653319,0,0,0,0
0.654725,0,0,0,0
0.656130,0,0,0,0
0.657521,0,0,0,0
0.658909,0,0,0,0
0.660295,0,0,0,0
0.661683,0,0,0,0
0.663064,0,0,0,0
0.664493,0,0,0,0
0.665874,0,0,0,0
0.667387,0,0,0,0
0.668934,0,0,0,0
0.670554,0,0,0,0
0.672143,0,0,0,0
0.673695,0,0,0,0
0.675257,0,0,0,0
0.676803,0,0,0,0
0.678394,0,0,0,0
0.679983,0,0,0,0
0.681535,0,0,0,0
0.683084,0,0,0,0
0.684631,0,0,0,0
0.686126,0,0,0,0
0.687647,0,0,0,0
0.689242,0,0,0,0
0.690791,0,0,0,0
0.692338,0,0,0,0
0.693887,0,0,0,0
0.695436,0,0,0,0
0.697002,0,0,0,0
0.698552,0,0,0,0
0.700099,0,0,0,0
0.701650,0,0,0,0
0.703198,0,0,0,0
0.704748,0,0,0,0
0.706301,0,0,0,0
0.707736,0,0,0,0
0.709260,0,0,0,0
0.710810,0,0,0,0
0.712399,0,0,0,0
0.714111,0,0,0,0
0.715514,0,0,0,0
0.716902,0,0,0,0
0.718433,0,0,0,0
0.719811,0,0,0,0
0.721226,0,0,0,0
0.722603,0,0,0,0
0.723980,0,0,0,0
0.725358,0,0,0,0
0.726735,0,0,0,0
0.728164,0,0,0,0
0.729526,0,0,0,0
0.730880,0,0,0,0
0.732234,0,0,0,0
0.733586,0,0,0,0
0.734941,0,0,0,0
0.736329,0,0,0,0
0.737668,0,0,0,0
0.739008,0,0,0,0
0.740352,0,0,0,0
