elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.001126,0,0,0,0
0.002743,0,0,0,0
0.004357,0,0,0,0
0.006219,0,0,0,0
0.007716,0,0,0,0
0.009228,0,0,0,0
0.010711,0,0,0,0
0.012281,0,0,0,0
0.013811,0,0,0,0
0.015292,0,0,0,0
0.016777,0,0,0,0
0.018505,0,0,0,0
0.020087,0,0,0,0
0.021545,0,0,0,0
0.023003,0,0,0,0
0.024461,0,0,0,0
0.026060,0,0,0,0
0.027519,0,0,0,0
0.029013,0,0,0,0
0.030480,0,0,0,0
0.031939,0,0,0,0
0.033397,0,0,0,0
0.034853,0,0,0,0
0.036750,0,0,0,0
0.038236,0,0,0,0
0.039806,0,0,0,0
0.041395,0,0,0,0
0.043679,0,0,0,0
0.045287,0,0,0,0
0.046978,0,0,0,0
0.048436,0,0,0,0
0.050081,0,0,0,0
0.051538,0,0,0,0
0.053102,0,0,0,0
0.054528,0,0,0,0
0.055933,0,0,0,0
0.057388,0,0,0,0
0.058792,0,0,0,0
0.060198,0,0,0,0
0.061657,0,0,0,0
0.063060,0,0,0,0
0.064462,0,0,0,0
0.065902,0,0,0,0
0.067362,0,0,0,0
0.068846,0,0,0,0
0.070318,0,0,0,0
0.071760,0,0,0,0
0.073124,0,0,0,0
0.074476,0,0,0,0
0.075865,0,0,0,0
0.077209,0,0,0,0
0.078606,0,0,0,0
0.079994,0,0,0,246
0.081365,0,0,0,0
0.082776,0,0,0,0
0.084136,0,0,0,0
0.085531,0,0,0,0
0.086918,0,0,0,0
0.088306,0,0,0,0
0.089692,0,0,0,0
0.091082,0,0,0,720
0.092398,0,0,0,0
0.093787,0,0,0,0
0.095174,0,0,0,0
0.096559,0,0,0,0
0.097975,0,0,0,0
0.099359,0,0,0,0
0.100783,0,0,0,0
0.102263,0,0,0,0
0.103813,0,0,0,0
0.105848,0,0,0,0
0.107229,0,0,0,0
0.108608,0,0,0,0
0.112865,0,0,0,0
0.114327,0,0,0,0
0.115707,0,0,0,0
0.117215,0,0,0,0
