elapsed_s,CCHE_GMEM0_LOCAL_RD_REQUEST,CCHE_GMEM0_LOCAL_WR_REQUEST,CCHE_GMEM1_LOCAL_RD_REQUEST,CCHE_GMEM1_LOCAL_WR_REQUEST,CCHE_GMEM0_REMOTE_RD_REQUEST,CCHE_GMEM0_REMOTE_WR_REQUEST,CCHE_GMEM1_REMOTE_RD_REQUEST,CCHE_GMEM1_REMOTE_WR_REQUEST,CCHE_STALL_CYCLES_TP,CCHE_ATOMIC_REQUESTS_SP_TOTAL,CCHE_ATOMIC_PACKING_BEAT_SP_TOTAL
0.001057,0,0,0,0,0,0,0,0,0,0,0
0.002667,0,0,0,0,0,0,0,0,0,0,0
0.004223,0,0,0,0,0,0,0,0,0,0,0
0.005936,0,0,0,0,0,0,0,0,0,0,0
0.007504,0,0,0,0,0,0,0,0,0,0,0
0.009124,0,0,0,0,0,0,0,0,0,0,0
0.010866,0,0,0,0,0,0,0,0,0,0,0
0.012627,0,0,0,0,0,0,0,0,0,0,0
0.014487,0,0,0,0,0,0,0,0,0,0,0
0.016101,0,0,0,0,0,0,0,0,0,0,0
0.017681,0,0,0,0,0,0,0,0,0,0,0
0.019237,0,0,0,0,0,0,0,0,0,0,0
0.020805,0,0,0,0,0,0,0,0,0,0,0
0.022367,0,0,0,0,0,0,0,0,0,0,0
0.023950,0,0,0,0,0,0,0,0,0,0,0
0.025540,0,0,0,0,0,0,0,0,0,0,0
0.027113,0,0,0,0,0,0,0,0,0,0,0
0.028758,0,0,0,0,0,0,0,0,0,0,0
0.030418,0,0,0,0,0,0,0,0,0,0,0
0.031985,0,0,0,0,0,0,0,0,0,0,0
0.033552,0,0,0,0,0,0,0,0,0,0,0
0.035118,0,0,0,0,0,0,0,0,0,0,0
0.036683,0,0,0,0,0,0,0,0,0,0,0
0.038348,0,0,0,0,0,0,0,0,0,0,0
0.039992,0,0,0,0,0,0,0,0,0,0,0
0.041673,0,0,0,0,0,0,0,0,0,0,0
0.043386,0,0,0,0,0,0,0,0,0,0,0
0.044956,0,0,0,0,0,0,0,0,0,0,0
0.046639,0,0,0,0,0,0,0,0,0,0,0
0.048320,0,0,0,0,0,0,0,0,0,0,0
0.050231,0,0,0,0,0,0,0,0,0,0,0
0.051791,0,0,0,0,0,0,0,0,0,0,0
0.053476,0,0,0,0,0,0,0,0,0,0,0
0.055155,0,0,0,0,0,0,0,0,0,0,0
0.056729,0,0,0,0,0,0,0,0,0,0,0
0.058329,0,0,0,0,0,0,0,0,0,0,0
0.059979,0,0,0,0,0,0,0,0,0,0,0
0.061613,0,0,0,0,0,0,0,0,0,0,0
0.063236,0,0,0,0,0,0,0,0,0,0,0
0.064862,0,0,0,0,0,0,0,0,0,0,0
0.066490,0,0,0,0,0,0,0,0,0,0,0
0.068117,0,0,0,0,0,0,0,0,0,0,0
0.069735,0,0,0,0,0,0,0,0,0,0,0
0.071184,0,0,0,0,0,0,0,0,0,0,0
0.072601,0,0,0,0,0,0,0,0,0,0,0
0.074044,0,0,0,0,0,0,0,0,0,0,0
0.075501,0,0,0,0,0,0,0,0,0,0,0
0.076957,0,0,0,0,0,0,0,0,0,0,0
0.078425,0,0,0,0,0,0,0,0,0,0,0
0.079879,0,0,0,0,0,0,0,0,0,0,0
0.081342,0,0,0,0,0,0,0,0,0,0,0
0.082811,0,0,0,0,0,0,0,0,0,0,0
0.084283,0,0,0,0,0,0,0,0,0,0,0
0.085783,0,0,0,0,0,0,0,0,0,0,0
0.087303,0,0,0,0,0,0,0,0,0,0,0
0.088907,0,0,0,0,0,0,0,0,0,0,0
0.090352,0,0,0,0,0,0,0,0,0,0,0
0.091801,0,0,0,0,0,0,0,0,0,0,0
0.093259,0,0,0,0,0,0,0,0,0,0,0
0.094708,0,0,0,0,0,0,0,0,0,0,0
0.096152,0,0,0,0,0,0,0,0,0,0,0
0.097542,0,0,0,0,0,0,0,0,0,0,0
0.098926,0,0,0,0,0,0,0,0,0,0,0
0.100307,0,0,0,0,0,0,0,0,0,0,0
0.101688,0,0,0,0,0,0,0,0,0,0,0
0.103070,0,0,0,0,0,0,0,0,0,0,0
0.104508,0,0,0,0,0,0,0,0,0,0,0
0.105894,0,0,0,0,0,0,0,0,0,0,0
0.107275,0,0,0,0,0,0,0,0,0,0,0
0.108657,0,0,0,0,0,0,0,0,0,0,0
0.110030,0,0,0,0,0,0,0,0,0,0,0
0.111408,0,0,0,0,0,0,0,0,0,0,0
0.112782,0,0,0,0,0,0,0,0,0,0,0
0.114155,0,0,0,0,0,0,0,0,0,0,0
0.115543,0,0,0,0,0,0,0,0,0,0,0
0.116918,0,0,0,0,0,0,0,0,0,0,0
0.118301,0,0,0,0,0,0,0,0,0,0,0
0.119719,0,0,0,0,0,0,0,0,0,0,0
0.121095,0,0,0,0,0,0,0,0,0,0,0
0.122516,0,0,0,0,0,0,0,0,0,0,0
0.123900,0,0,0,0,0,0,0,0,0,0,0
0.125282,0,0,0,0,0,0,0,0,0,0,0
0.126676,0,0,0,0,0,0,0,0,0,0,0
0.128052,0,0,0,0,0,0,0,0,0,0,0
0.129429,0,0,0,0,0,0,0,0,0,0,0
0.130806,0,0,0,0,0,0,0,0,0,0,0
0.132182,0,0,0,0,0,0,0,0,0,0,0
0.133558,0,0,0,0,0,0,0,0,0,0,0
0.134934,0,0,0,0,0,0,0,0,0,0,0
0.136349,0,0,0,0,0,0,0,0,0,0,0
0.137790,0,0,0,0,0,0,0,0,0,0,0
0.139168,0,0,0,0,0,0,0,0,0,0,0
0.140544,0,0,0,0,0,0,0,0,0,0,0
0.141920,0,0,0,0,0,0,0,0,0,0,0
0.143296,0,0,0,0,0,0,0,0,0,0,0
0.144671,0,0,0,0,0,0,0,0,0,0,0
0.146049,0,0,0,0,0,0,0,0,0,0,0
