elapsed_s,TP_RESERVED_120,TP_RESERVED_121,TP_RESERVED_122,TP_RESERVED_123,TP_RESERVED_124,TP_RESERVED_125,TP_RESERVED_126,TP_RESERVED_127,TP_FORMAT_DECOMP_BILINEAR,TP_PACKED_POINT_BOTH_VALID_FP16,TP_PACKED_POINT_SINGLE_VALID_FP16,TP_PACKED_POINT_BOTH_VALID_FP32
0.001325,0,0,0,0,0,0,0,0,0,0,0,0
0.003048,0,0,0,0,0,0,0,0,0,0,0,0
0.004662,0,0,0,0,0,0,0,0,0,0,0,0
0.006371,0,0,0,0,0,0,0,0,0,0,0,0
0.007980,0,0,0,0,0,0,0,0,0,0,0,0
0.009602,0,0,0,0,0,0,0,0,0,0,0,0
0.011214,0,0,0,0,0,0,0,0,0,0,0,0
0.012886,0,0,0,0,0,0,0,0,0,0,0,0
0.014630,0,0,0,0,0,0,0,0,0,0,0,0
0.016238,0,0,0,0,0,0,0,0,0,0,0,0
0.017849,0,0,0,0,0,0,0,0,0,0,0,0
0.019459,0,0,0,0,0,0,0,0,0,0,0,0
0.021202,0,0,0,0,0,0,0,0,0,0,0,0
0.022959,0,0,0,0,0,0,0,0,0,0,0,0
0.024569,0,0,0,0,0,0,0,0,0,0,0,0
0.026178,0,0,0,0,0,0,0,0,0,0,0,0
0.027791,0,0,0,0,0,0,0,0,0,0,0,0
0.029469,0,0,0,0,0,0,0,0,0,0,0,0
0.031052,0,0,0,0,0,0,0,0,0,0,0,0
0.032776,0,0,0,0,0,0,0,0,0,0,0,0
0.034520,0,0,0,0,0,0,0,0,0,0,0,0
0.036235,0,0,0,0,0,0,0,0,0,0,0,0
0.037816,0,0,0,0,0,0,0,0,0,0,0,0
0.039400,0,0,0,0,0,0,0,0,0,0,0,0
0.041178,0,0,0,0,0,0,0,0,0,0,0,0
0.042874,0,0,0,0,0,0,0,0,0,0,0,0
0.044651,0,0,0,0,0,0,0,0,0,0,0,0
0.046557,0,0,0,0,0,0,0,0,0,0,0,0
0.048204,0,0,0,0,0,0,0,0,0,0,0,0
0.049844,0,0,0,0,0,0,0,0,0,0,0,0
0.051511,0,0,0,0,0,0,0,0,0,0,0,0
0.053173,0,0,0,0,0,0,0,0,0,0,0,0
0.054816,0,0,0,0,0,0,0,0,0,0,0,0
0.056456,0,0,0,0,0,0,0,0,0,0,0,0
0.058096,0,0,0,0,0,0,0,0,0,0,0,0
0.059736,0,0,0,0,0,0,0,0,0,0,0,0
0.061424,0,0,0,0,0,0,0,0,0,0,0,0
0.062934,0,0,0,0,0,0,0,0,0,0,0,0
0.064527,0,0,0,0,0,0,0,0,0,0,0,0
0.066000,0,0,0,0,0,0,0,0,0,0,0,0
0.067469,0,0,0,0,0,0,0,0,0,0,0,0
0.068932,0,0,0,0,0,0,0,0,0,0,0,0
0.070400,0,0,0,0,0,0,0,0,0,0,0,0
0.071863,0,0,0,0,0,0,0,0,0,0,0,0
0.073326,0,0,0,0,0,0,0,0,0,0,0,0
0.074793,0,0,0,0,0,0,0,0,0,0,0,0
0.076266,0,0,0,0,0,0,0,0,0,0,0,0
0.077769,0,0,0,0,0,0,0,0,0,0,0,0
0.079210,0,0,0,0,0,0,0,0,0,0,0,0
0.080644,0,0,0,0,0,0,0,0,0,0,0,0
0.082079,0,0,0,0,0,0,0,0,0,0,0,0
0.083517,0,0,0,0,0,0,0,0,0,0,0,0
0.084969,0,0,0,0,0,0,0,0,0,0,0,0
0.086595,0,0,0,0,0,0,0,0,0,0,0,0
0.088240,0,0,0,0,0,0,0,0,0,0,0,0
0.089644,0,0,0,0,0,0,0,0,0,0,0,0
0.091097,0,0,0,0,0,0,0,0,0,0,0,0
0.092545,0,0,0,0,0,0,0,0,0,0,0,0
0.093941,0,0,0,0,0,0,0,0,0,0,0,0
0.095349,0,0,0,0,0,0,0,0,0,0,0,0
0.096738,0,0,0,0,0,0,0,0,0,0,0,0
0.098117,0,0,0,0,0,0,0,0,0,0,0,0
0.099497,0,0,0,0,0,0,0,0,0,0,0,0
0.100859,0,0,0,0,0,0,0,0,0,0,0,0
0.102254,0,0,0,0,0,0,0,0,0,0,0,0
0.103633,0,0,0,0,0,0,0,0,0,0,0,0
0.105014,0,0,0,0,0,0,0,0,0,0,0,0
0.106408,0,0,0,0,0,0,0,0,0,0,0,0
0.107791,0,0,0,0,0,0,0,0,0,0,0,0
0.109222,0,0,0,0,0,0,0,0,0,0,0,0
0.110656,0,0,0,0,0,0,0,0,0,0,0,0
0.112051,0,0,0,0,0,0,0,0,0,0,0,0
0.113432,0,0,0,0,0,0,0,0,0,0,0,0
0.114815,0,0,0,0,0,0,0,0,0,0,0,0
0.116207,0,0,0,0,0,0,0,0,0,0,0,0
0.117601,0,0,0,0,0,0,0,0,0,0,0,0
0.118985,0,0,0,0,0,0,0,0,0,0,0,0
0.120367,0,0,0,0,0,0,0,0,0,0,0,0
0.121747,0,0,0,0,0,0,0,0,0,0,0,0
0.123127,0,0,0,0,0,0,0,0,0,0,0,0
0.124558,0,0,0,0,0,0,0,0,0,0,0,0
0.125938,0,0,0,0,0,0,0,0,0,0,0,0
0.127318,0,0,0,0,0,0,0,0,0,0,0,0
0.128708,0,0,0,0,0,0,0,0,0,0,0,0
0.130092,0,0,0,0,0,0,0,0,0,0,0,0
0.131473,0,0,0,0,0,0,0,0,0,0,0,0
0.132853,0,0,0,0,0,0,0,0,0,0,0,0
0.134237,0,0,0,0,0,0,0,0,0,0,0,0
0.135616,0,0,0,0,0,0,0,0,0,0,0,0
0.136996,0,0,0,0,0,0,0,0,0,0,0,0
0.138380,0,0,0,0,0,0,0,0,0,0,0,0
0.139771,0,0,0,0,0,0,0,0,0,0,0,0
0.141365,0,0,0,0,0,0,0,0,0,0,0,0
0.142975,0,0,0,0,0,0,0,0,0,0,0,0
0.144568,0,0,0,0,0,0,0,0,0,0,0,0
0.146164,0,0,0,0,0,0,0,0,0,0,0,0
0.147760,0,0,0,0,0,0,0,0,0,0,0,0
0.149358,0,0,0,0,0,0,0,0,0,0,0,0
0.150969,0,0,0,0,0,0,0,0,0,0,0,0
0.152563,0,0,0,0,0,0,0,0,0,0,0,0
0.154160,0,0,0,0,0,0,0,0,0,0,0,0
0.155757,0,0,0,0,0,0,0,0,0,0,0,0
0.157398,0,0,0,0,0,0,0,0,0,0,0,0
0.158994,0,0,0,0,0,0,0,0,0,0,0,0
0.160589,0,0,0,0,0,0,0,0,0,0,0,0
0.162199,0,0,0,0,0,0,0,0,0,0,0,0
0.163795,0,0,0,0,0,0,0,0,0,0,0,0
0.165393,0,0,0,0,0,0,0,0,0,0,0,0
0.166989,0,0,0,0,0,0,0,0,0,0,0,0
0.168582,0,0,0,0,0,0,0,0,0,0,0,0
0.170179,0,0,0,0,0,0,0,0,0,0,0,0
0.171774,0,0,0,0,0,0,0,0,0,0,0,0
0.173429,0,0,0,0,0,0,0,0,0,0,0,0
0.175024,0,0,0,0,0,0,0,0,0,0,0,0
0.176619,0,0,0,0,0,0,0,0,0,0,0,0
0.178215,0,0,0,0,0,0,0,0,0,0,0,0
0.179811,0,0,0,0,0,0,0,0,0,0,0,0
0.181409,0,0,0,0,0,0,0,0,0,0,0,0
0.183005,0,0,0,0,0,0,0,0,0,0,0,0
0.184486,0,0,0,0,0,0,0,0,0,0,0,0
0.186054,0,0,0,0,0,0,0,0,0,0,0,0
0.187650,0,0,0,0,0,0,0,0,0,0,0,0
0.189248,0,0,0,0,0,0,0,0,0,0,0,0
0.190844,0,0,0,0,0,0,0,0,0,0,0,0
0.192437,0,0,0,0,0,0,0,0,0,0,0,0
0.194076,0,0,0,0,0,0,0,0,0,0,0,0
0.195685,0,0,0,0,0,0,0,0,0,0,0,0
0.197284,0,0,0,0,0,0,0,0,0,0,0,0
0.198880,0,0,0,0,0,0,0,0,0,0,0,0
0.200376,0,0,0,0,0,0,0,0,0,0,0,0
0.201849,0,0,0,0,0,0,0,0,0,0,0,0
0.203229,0,0,0,0,0,0,0,0,0,0,0,0
0.204648,0,0,0,0,0,0,0,0,0,0,0,0
0.206109,0,0,0,0,0,0,0,0,0,0,0,0
0.207566,0,0,0,0,0,0,0,0,0,0,0,0
0.208999,0,0,0,0,0,0,0,0,0,0,0,0
0.210455,0,0,0,0,0,0,0,0,0,0,0,0
0.211879,0,0,0,0,0,0,0,0,0,0,0,0
0.213303,0,0,0,0,0,0,0,0,0,0,0,0
0.214724,0,0,0,0,0,0,0,0,0,0,0,0
0.216164,0,0,0,0,0,0,0,0,0,0,0,0
0.217586,0,0,0,0,0,0,0,0,0,0,0,0
0.219007,0,0,0,0,0,0,0,0,0,0,0,0
0.220486,0,0,0,0,0,0,0,0,0,0,0,0
0.221880,0,0,0,0,0,0,0,0,0,0,0,0
0.223273,0,0,0,0,0,0,0,0,0,0,0,0
0.224667,0,0,0,0,0,0,0,0,0,0,0,0
0.226060,0,0,0,0,0,0,0,0,0,0,0,0
0.227465,0,0,0,0,0,0,0,0,0,0,0,0
0.228857,0,0,0,0,0,0,0,0,0,0,0,0
0.230302,0,0,0,0,0,0,0,0,0,0,0,0
0.231693,0,0,0,0,0,0,0,0,0,0,0,0
0.233086,0,0,0,0,0,0,0,0,0,0,0,0
0.234561,0,0,0,0,0,0,0,0,0,0,0,0
0.235955,0,0,0,0,0,0,0,0,0,0,0,0
0.237372,0,0,0,0,0,0,0,0,0,0,0,0
0.238754,0,0,0,0,0,0,0,0,0,0,0,0
0.240132,0,0,0,0,0,0,0,0,0,0,0,0
0.241509,0,0,0,0,0,0,0,0,0,0,0,0
0.242886,0,0,0,0,0,0,0,0,0,0,0,0
0.244266,0,0,0,0,0,0,0,0,0,0,0,0
0.245644,0,0,0,0,0,0,0,0,0,0,0,0
0.247021,0,0,0,0,0,0,0,0,0,0,0,0
0.248398,0,0,0,0,0,0,0,0,0,0,0,0
0.249780,0,0,0,0,0,0,0,0,0,0,0,0
0.251156,0,0,0,0,0,0,0,0,0,0,0,0
0.252562,0,0,0,0,0,0,0,0,0,0,0,0
0.254005,0,0,0,0,0,0,0,0,0,0,0,0
0.255453,0,0,0,0,0,0,0,0,0,0,0,0
0.256895,0,0,0,0,0,0,0,0,0,0,0,0
0.258340,0,0,0,0,0,0,0,0,0,0,0,0
0.259790,0,0,0,0,0,0,0,0,0,0,0,0
0.261237,0,0,0,0,0,0,0,0,0,0,0,0
0.262650,0,0,0,0,0,0,0,0,0,0,0,0
0.264011,0,0,0,0,0,0,0,0,0,0,0,0
0.265460,0,0,0,0,0,0,0,0,0,0,0,0
0.266794,0,0,0,0,0,0,0,0,0,0,0,0
0.268248,0,0,0,0,0,0,0,0,0,0,0,0
0.269690,0,0,0,0,0,0,0,0,0,0,0,0
0.271135,0,0,0,0,0,0,0,0,0,0,0,0
0.272577,0,0,0,0,0,0,0,0,0,0,0,0
0.274019,0,0,0,0,0,0,0,0,0,0,0,0
0.275588,0,0,0,0,0,0,0,0,0,0,0,0
0.277036,0,0,0,0,0,0,0,0,0,0,0,0
0.278455,0,0,0,0,0,0,0,0,0,0,0,0
0.279896,0,0,0,0,0,0,0,0,0,0,0,0
0.281341,0,0,0,0,0,0,0,0,0,0,0,0
0.282782,0,0,0,0,0,0,0,0,0,0,0,0
0.284237,0,0,0,0,0,0,0,0,0,0,0,0
0.285700,0,0,0,0,0,0,0,0,0,0,0,0
0.287130,0,0,0,0,0,0,0,0,0,0,0,0
0.288603,0,0,0,0,0,0,0,0,0,0,0,0
0.289907,0,0,0,0,0,0,0,0,0,0,0,0
0.291366,0,0,0,0,0,0,0,0,0,0,0,0
0.292788,0,0,0,0,0,0,0,0,0,0,0,0
0.294241,0,0,0,0,0,0,0,0,0,0,0,0
0.295630,0,0,0,0,0,0,0,0,0,0,0,0
