elapsed_s,TP_PACKED_POINT_SINGLE_VALID_FP32,TP_TOTAL_DECOMP_L1_RESP_CH0,TP_TOTAL_DECOMP_L1_RESP_CH1,TP_L1POINT5_PRE_L1_DECOMP_0_WORKLOAD_R,TP_L1POINT5_PRE_L1_DECOMP_1_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_0_WORKLOAD_R,TP_L1POINT5_ASTC_DECODER_1_WORKLOAD_R,TP_PARTIAL_SURFACE_PGMEM_PIXELS,TP_PARTIAL_SURFACE_SYSMEM_PIXELS,TP_PARTIAL_SURFACE_PGMEM_MISS_REQ,TP_PARTIAL_SURFACE_SYSMEM_MISS_REQ
0.001097,0,0,0,0,0,0,0,0,0,0,0
0.002780,0,0,0,0,0,0,0,0,0,0,0
0.004274,0,0,0,0,0,0,0,0,0,0,0
0.005870,0,0,0,0,0,0,0,0,0,0,0
0.007467,0,0,0,0,0,0,0,0,0,0,0
0.009073,0,0,0,0,0,0,0,0,0,0,0
0.010754,0,0,0,0,0,0,0,0,0,0,0
0.012348,0,0,0,0,0,0,0,0,0,0,0
0.013942,0,0,0,0,0,0,0,0,0,0,0
0.015535,0,0,0,0,0,0,0,0,0,0,0
0.017129,0,0,0,0,0,0,0,0,0,0,0
0.018862,0,0,0,0,0,0,0,0,0,0,0
0.020550,0,0,0,0,0,0,0,0,0,0,0
0.022250,0,0,0,0,0,0,0,0,0,0,0
0.023950,0,0,0,0,0,0,0,0,0,0,0
0.025650,0,0,0,0,0,0,0,0,0,0,0
0.027350,0,0,0,0,0,0,0,0,0,0,0
0.028917,0,0,0,0,0,0,0,0,0,0,0
0.030492,0,0,0,0,0,0,0,0,0,0,0
0.032059,0,0,0,0,0,0,0,0,0,0,0
0.033672,0,0,0,0,0,0,0,0,0,0,0
0.035237,0,0,0,0,0,0,0,0,0,0,0
0.036861,0,0,0,0,0,0,0,0,0,0,0
0.038492,0,0,0,0,0,0,0,0,0,0,0
0.040126,0,0,0,0,0,0,0,0,0,0,0
0.041759,0,0,0,0,0,0,0,0,0,0,0
0.043390,0,0,0,0,0,0,0,0,0,0,0
0.045016,0,0,0,0,0,0,0,0,0,0,0
0.046728,0,0,0,0,0,0,0,0,0,0,0
