elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.001101,0,0,0,0,0,0,0,0
0.002702,0,0,0,0,0,0,0,0
0.004255,0,0,0,0,0,0,0,0
0.005802,0,0,0,0,0,0,0,0
0.007349,0,0,0,0,0,0,0,0
0.008891,0,0,0,0,0,0,0,0
0.010447,0,0,0,0,0,0,0,0
0.011993,0,0,0,0,0,0,0,0
0.013539,0,0,0,0,0,0,0,0
0.015164,0,0,0,0,0,0,0,0
0.016871,0,0,0,0,0,0,0,0
0.018391,0,0,0,0,0,0,0,0
0.019913,0,0,0,0,0,0,0,0
0.021440,0,0,0,0,0,0,0,0
0.022961,0,0,0,0,0,0,0,0
0.024483,0,0,0,0,0,0,0,0
0.026004,0,0,0,0,0,0,0,0
0.027525,0,0,0,0,0,0,0,0
0.029145,0,0,0,0,0,0,0,0
0.030721,0,0,0,0,0,0,0,0
0.032233,0,0,0,0,0,0,0,0
0.033864,0,0,0,0,0,0,0,0
0.035497,0,0,0,0,0,0,0,0
0.037095,0,0,0,0,0,0,0,0
0.038729,0,0,0,0,0,0,0,0
0.040361,0,0,0,0,0,0,0,0
0.041998,0,0,0,0,0,0,0,0
0.043642,0,0,0,0,0,0,0,0
0.045278,0,0,0,0,0,0,0,0
0.046963,0,0,0,0,0,0,0,0
0.048542,0,0,0,0,0,0,0,0
0.050037,0,0,0,0,0,0,0,0
0.051522,0,0,0,0,0,0,0,0
0.053010,0,0,0,0,0,0,0,0
0.054505,0,0,0,0,0,0,0,0
0.055992,0,0,0,0,0,0,0,0
0.057478,0,0,0,0,0,0,0,0
0.058963,0,0,0,0,0,0,0,0
0.060448,0,0,0,0,0,0,0,0
0.061930,0,0,0,0,0,0,0,0
0.063439,0,0,0,0,0,0,0,0
0.065073,0,0,0,0,0,0,0,0
0.066486,0,0,0,0,0,0,0,0
0.067963,0,0,0,0,0,0,0,0
0.069418,0,0,0,0,0,0,0,0
0.070838,0,0,0,0,0,0,0,0
0.072382,0,0,0,0,0,0,0,0
0.073871,0,0,0,0,0,0,0,0
0.075273,0,0,0,0,0,0,0,0
0.076734,0,0,0,0,0,0,0,0
0.077977,0,0,0,0,0,0,0,0
0.079401,0,0,0,0,0,0,0,0
0.080925,0,0,0,0,0,0,0,0
0.082317,0,0,0,0,0,0,0,0
0.083694,0,0,0,0,0,0,0,0
0.085061,0,0,0,0,0,0,0,0
0.086445,0,0,0,0,0,0,0,0
0.088149,0,0,0,0,0,0,0,0
0.089515,0,0,0,0,0,0,0,0
0.090880,0,0,0,0,0,0,0,0
0.092247,0,0,0,0,0,0,0,0
0.093613,0,0,0,0,0,0,0,0
0.094999,0,0,0,0,0,0,0,0
0.096420,0,0,0,0,0,0,0,0
0.097838,0,0,0,0,0,0,0,0
0.099237,0,0,0,0,0,0,0,0
0.100752,0,0,0,0,0,0,0,0
0.102160,0,0,0,0,0,0,0,0
0.103570,0,0,0,0,0,0,0,0
0.105020,0,0,0,0,0,0,0,0
0.106421,0,0,0,0,0,0,0,0
0.107920,0,0,0,0,0,0,0,0
0.109337,0,0,0,0,0,0,0,0
0.110780,0,0,0,0,0,0,0,0
0.112179,0,0,0,0,0,0,0,0
0.113579,0,0,0,0,0,0,0,0
0.114983,0,0,0,0,0,0,0,0
0.117111,0,0,0,0,0,0,0,0
0.118893,0,0,0,0,0,0,0,0
0.120392,0,0,0,0,0,0,0,0
0.121794,0,0,0,0,0,0,0,0
0.123195,0,0,0,0,0,0,0,0
0.124596,0,0,0,0,0,0,0,0
0.125998,0,0,0,0,0,0,0,0
0.127441,0,0,0,0,0,0,0,0
0.129022,0,0,0,0,0,0,0,0
0.130435,0,0,0,0,0,0,0,0
0.131850,0,0,0,0,0,0,0,0
0.133261,0,0,0,0,0,0,0,0
0.134667,0,0,0,0,0,0,0,0
0.136075,0,0,0,0,0,0,0,0
0.137609,0,0,0,0,0,0,0,0
0.139056,0,0,0,0,0,0,0,0
0.141220,0,0,0,0,0,0,0,0
0.142680,0,0,0,0,0,0,0,0
0.144089,0,0,0,0,0,0,0,0
0.145504,0,0,0,0,0,0,0,0
0.146911,0,0,0,0,0,0,0,0
0.148320,0,0,0,0,0,0,0,0
0.149855,0,0,0,0,0,0,0,0
0.151438,0,0,0,0,0,0,0,0
0.153016,0,0,0,0,0,0,0,0
0.154586,0,0,0,0,0,0,0,0
0.156161,0,0,0,0,0,0,0,0
0.157734,0,0,0,0,0,0,0,0
0.159348,0,0,0,0,0,0,0,0
0.160926,0,0,0,0,0,0,0,0
0.162509,0,0,0,0,0,0,0,0
0.164085,0,0,0,0,0,0,0,0
0.165876,0,0,0,0,0,0,0,0
0.167378,0,0,0,0,0,0,0,0
0.168800,0,0,0,0,0,0,0,0
0.170210,0,0,0,0,0,0,0,0
0.171621,0,0,0,0,0,0,0,0
0.173041,0,0,0,0,0,0,0,0
0.174450,0,0,0,0,0,0,0,0
0.176033,0,0,0,0,0,0,0,0
0.177607,0,0,0,0,0,0,0,0
0.179177,0,0,0,0,0,0,0,0
0.180621,0,0,0,0,0,0,0,0
0.182162,0,0,0,0,0,0,0,0
0.183736,0,0,0,0,0,0,0,0
0.185185,0,0,0,0,0,0,0,0
0.186632,0,0,0,0,0,0,0,0
0.188068,0,0,0,0,0,0,0,0
0.189482,0,0,0,0,0,0,0,0
0.190934,0,0,0,0,0,0,0,0
0.192344,0,0,0,0,0,0,0,0
0.193753,0,0,0,0,0,0,0,0
0.195289,0,0,0,0,0,0,0,0
0.196866,0,0,0,0,0,0,0,0
0.198437,0,0,0,0,0,0,0,0
0.200012,0,0,0,0,0,0,0,0
0.201488,0,0,0,0,0,0,0,0
0.202932,0,0,0,0,0,0,0,0
0.204387,0,0,0,0,0,0,0,0
0.205753,0,0,0,0,0,0,0,0
0.207160,0,0,0,0,0,0,0,0
0.208566,0,0,0,0,0,0,0,0
0.209922,0,0,0,0,0,0,0,0
0.211277,0,0,0,0,0,0,0,0
0.212722,0,0,0,0,0,0,0,0
0.214081,0,0,0,0,0,0,0,0
0.215457,0,0,0,0,0,0,0,0
0.216818,0,0,0,0,0,0,0,0
0.218175,0,0,0,0,0,0,0,0
0.219531,0,0,0,0,0,0,0,0
0.220947,0,0,0,0,0,0,0,0
0.222327,0,0,0,0,0,0,0,0
0.223673,0,0,0,0,0,0,0,0
0.225006,0,0,0,0,0,0,0,0
0.226352,0,0,0,0,0,0,0,0
0.227682,0,0,0,0,0,0,0,0
0.229056,0,0,0,0,0,0,0,0
0.230395,0,0,0,0,0,0,0,0
0.231771,0,0,0,0,0,0,0,0
0.233099,0,0,0,0,0,0,0,0
0.234427,0,0,0,0,0,0,0,0
0.235801,0,0,0,0,0,0,0,0
0.237139,0,0,0,0,0,0,0,0
0.238465,0,0,0,0,0,0,0,0
0.239798,0,0,0,0,0,0,0,0
0.241174,0,0,0,0,0,0,0,0
0.242548,0,0,0,0,0,0,0,0
0.243987,0,0,0,0,0,0,0,0
0.245362,0,0,0,0,0,0,0,0
0.246738,0,0,0,0,0,0,0,0
0.248157,0,0,0,0,0,0,0,0
0.249534,0,0,0,0,0,0,0,0
0.250910,0,0,0,0,0,0,0,0
0.252337,0,0,0,0,0,0,0,0
0.253766,0,0,0,0,0,0,0,0
0.255036,0,0,0,0,0,0,0,0
0.256438,0,0,0,0,0,0,0,0
