elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.001358,0,0,0,0,0,342079,343503,345934,348311,354598,355226,355255,355306,355333
0.003107,0,0,0,0,0,343848,342451,340044,337665,331402,333286,335338,337660,344577
0.004766,0,0,0,0,0,377427,377397,377368,377395,377366,374852,372824,370474,363500
0.006500,0,0,0,0,0,319859,319887,319887,319885,319886,319854,319801,319800,319824
0.008120,0,0,0,0,0,316049,316046,316045,316044,316043,316044,316069,316041,316041
0.009785,0,0,0,0,0,310072,309854,309659,309439,309247,309029,308836,308670,308480
0.011391,0,0,0,0,0,307555,307554,307555,307555,307553,307578,307577,307577,307576
0.012956,0,0,0,0,0,307044,307016,307015,307013,307013,307011,307011,307008,307034
0.014521,0,0,0,0,0,307934,307987,307986,307985,308011,308038,308063,308119,308117
0.016164,0,0,0,0,0,311672,311645,311644,311644,311615,311668,311612,315056,316011
0.017881,0,0,0,0,0,293851,293439,293028,292589,292150,291657,291218,287281,285886
0.019430,0,0,0,0,0,351084,351053,351053,356519,357698,357640,357641,357611,415628
0.021410,0,0,0,0,0,385208,381869,378474,369640,365078,361741,358398,355044,293702
0.022936,0,0,0,0,0,286327,286326,286325,286321,286336,286306,286292,286305,286248
0.024461,0,0,0,0,0,275504,277603,285618,285917,288437,292131,295268,295587,295601
0.026008,0,0,0,0,0,306181,308743,302112,303843,302216,300493,299538,299229,299229
0.027562,0,0,0,0,0,303231,298540,297153,295120,294223,292291,290148,290135,290105
0.029084,0,0,0,0,0,278535,276670,274808,272946,271068,269177,267286,265416,263552
0.030539,0,0,0,0,0,255371,255359,255363,255354,255362,255369,255368,255372,255357
0.031994,0,0,0,0,0,183625,183325,183007,182708,182401,182093,181781,181463,181159
0.033355,0,0,0,0,0,217404,217415,217417,217416,217416,217421,217415,217421,217431
0.034809,0,0,0,0,0,217453,217456,217451,217451,217456,217462,217478,217492,217504
0.036262,0,0,0,0,0,217778,217769,217779,217784,217781,217769,217762,217732,217724
0.037740,0,0,0,0,0,191759,192277,192783,193296,193822,194647,195155,195800,196914
0.039191,0,0,0,0,0,199463,199478,199488,199482,199504,199208,199223,199111,198549
0.040636,0,0,0,0,0,225753,226341,226478,226825,227121,227132,227125,227139,227099
0.042184,0,0,0,0,0,199781,199192,199056,198729,198406,198394,198401,198406,198409
0.043602,0,0,0,0,0,197875,198175,198189,198480,198474,198466,199598,199638,199632
0.045063,0,0,0,0,0,202806,202499,202480,202170,202165,202158,201006,200951,200939
0.046486,0,0,0,0,0,203610,203602,203728,203939,204451,205069,205292,205293,205339
0.047907,0,0,0,0,0,201622,201722,201664,201494,201080,200559,200451,200532,200548
0.049369,0,0,0,0,0,204426,204317,204232,204192,204096,203990,203866,203765,203705
0.050781,0,0,0,0,0,198013,198019,198033,198034,198050,198067,198076,198087,198080
0.052194,0,0,0,0,0,195071,195077,195081,195074,195049,195031,195030,195018,195022
0.053591,0,0,0,0,0,195833,195818,195861,195866,195855,195853,195864,195905,195928
0.054987,0,0,1215,4,0,264684,265608,263994,263843,265566,265577,263481,265836,262902
0.056374,0,0,0,0,0,198570,198650,198687,198796,198890,198920,198742,198874,224843
0.058225,0,0,0,0,0,237723,237676,237755,237696,237684,237723,237651,237563,211652
0.059685,0,0,0,0,0,198810,198755,198620,198561,198471,198403,198380,198384,198425
0.061095,0,0,0,0,0,198680,198681,198667,198654,198647,198617,198567,198491,198353
0.062515,0,0,0,0,0,195921,195908,195914,195913,195912,195922,195910,195919,195921
0.063914,0,0,0,0,0,196763,196808,196801,196847,196835,196895,197024,197027,197073
0.065450,0,0,0,0,0,223016,262730,217891,215415,272241,275346,207799,281588,202971
0.067283,0,0,0,0,0,430373,1486023,429090,428765,1487742,1487727,118182,1487692,264
0.068583,0,0,0,0,0,452555,1601634,452806,457891,1599985,1600798,125810,1601575,384
0.070041,0,0,0,0,0,422050,1431317,419218,413466,1431230,1430438,111055,1429662,312
0.071340,0,0,0,0,0,419572,1428639,421350,421028,1428624,1428619,114306,1428636,336
0.072638,0,0,0,0,0,396422,1430243,393549,398724,1430906,1430923,107779,1435031,336
0.073988,0,0,0,0,0,428003,1481238,436252,435886,1480602,1480601,121054,1476492,336
0.075283,0,0,0,0,0,420970,1423792,408921,403169,1423781,1423770,106228,1423780,312
0.076621,0,0,0,0,0,454362,1564712,453027,452682,1568497,1569003,122633,1569012,360
0.078004,0,0,0,0,0,412710,1429121,422405,422383,1425337,1424825,114948,1424790,336
0.079305,0,0,0,0,0,403166,1433048,391632,396449,1433034,1433018,106362,1433019,336
0.080603,0,0,0,0,0,448926,1500979,449648,443887,1501029,1501062,122504,1501181,336
0.081972,0,0,0,0,0,394934,1431977,398907,404041,1431997,1431982,113884,1431892,336
0.083269,0,0,0,0,0,424486,1425814,415489,409734,1425727,1425724,107351,1425684,312
0.084565,0,0,0,0,0,423728,1481114,422482,422160,1481145,1481147,114553,1481156,336
0.086175,0,0,0,0,0,494589,1716325,503966,509031,1716341,1716355,139661,1716372,408
0.087472,0,0,0,0,0,411581,1426522,399534,393779,1426537,1426522,106309,1426534,312
0.088772,0,0,0,0,0,422647,1429253,421401,421079,1429237,1429237,114429,1429314,336
0.090069,0,0,0,0,0,394729,1426580,401065,406197,1426593,1426601,114132,1426550,336
0.091366,0,0,0,0,0,555676,707931,558573,558467,707953,708066,514189,708063,508100
0.092885,0,0,0,0,0,479165,479351,479550,479664,479895,479866,480100,480205,480214
0.094442,0,0,0,0,0,476647,476618,476567,476687,476510,476564,476405,476420,476612
0.095886,0,0,0,0,0,459936,459891,460049,459900,459905,459904,459992,460100,460134
0.097378,0,0,0,0,0,485996,486067,485863,485938,486064,486061,485998,485899,485985
0.098820,0,0,0,0,0,460557,460567,460671,460698,460624,460597,460641,460656,460385
0.100261,0,0,0,0,0,457602,457679,457589,457513,457539,457687,457773,457815,458035
0.101712,0,0,0,0,0,708745,708522,708388,708282,708139,707900,707635,707444,707166
0.103522,0,0,0,0,0,502373,502373,502418,502537,502564,502680,502723,502869,502897
0.108097,0,0,0,0,0,472948,472886,472874,472742,472695,472562,472545,472396,472356
0.109537,0,0,0,0,0,453896,453912,453905,453904,453920,453946,453950,453950,453960
0.110972,0,0,0,0,0,450469,450468,450440,450449,450447,450435,450418,450428,450427
0.112415,0,0,0,0,0,456862,456846,565279,565371,565366,566053,570164,567183,567183
0.114082,0,0,0,0,0,609151,609192,500784,500724,500755,500095,496025,499036,499067
0.115528,0,0,0,0,0,473698,473703,473719,473716,473728,473743,473725,473712,473706
0.116926,0,0,0,0,0,481107,481162,481163,481130,481177,481907,486020,485558,486023
0.118371,0,0,0,0,0,472536,472446,472470,472485,472413,471632,467506,467978,467483
0.119785,0,0,0,0,0,474848,474865,474838,474836,474818,474822,474816,474805,474804
0.121244,0,0,0,0,0,468813,468777,468764,468738,468731,468730,468736,468702,468684
0.122688,0,0,0,0,0,478666,478666,478659,478657,478662,478644,478626,478624,478640
0.124123,0,0,0,0,0,452190,452188,452186,452263,452256,452272,452286,452285,452268
0.125557,0,0,0,0,0,478840,478843,478828,478764,478754,478753,478738,478748,478763
0.126993,0,0,0,0,0,453035,453047,453067,453141,453149,453147,453145,453132,453204
0.128428,0,0,0,0,0,581337,581336,581357,581369,581386,581386,581370,581369,581295
0.129958,0,0,0,0,0,561947,561930,562023,562006,562066,562059,562090,562090,562089
0.131594,0,0,0,0,0,480481,480486,480363,480292,480214,480203,480198,480198,480182
0.133082,0,0,0,0,0,473442,473434,473438,473431,473434,473448,473462,473462,473475
0.134656,0,0,0,0,0,482916,482915,482882,482887,482881,482880,482868,482864,482865
0.136258,0,0,0,0,0,485183,485199,485227,485224,485224,485208,485190,485178,485159
