elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.001375,17,338,2600,0,0,0,0,0,0,0,0,0,0,0
0.003034,17,272,2343,0,0,0,0,0,0,0,0,0,0,0
0.004631,17,358,2616,0,0,0,0,0,0,0,0,0,0,0
0.006304,17,364,2594,0,0,0,0,0,0,0,0,0,0,0
0.007896,17,340,2144,0,0,0,0,0,0,0,0,0,0,0
0.009658,17,354,2133,0,0,0,0,0,0,0,0,0,0,0
0.011248,17,268,2222,0,0,0,0,0,0,0,0,0,0,0
0.012978,17,352,2605,0,0,0,0,0,0,0,0,0,0,0
0.014580,17,368,2584,0,0,0,0,0,0,0,0,0,0,0
0.016216,17,272,2522,0,0,0,0,0,0,0,0,0,0,0
0.017802,17,258,2101,0,0,0,0,0,0,0,0,0,0,0
0.019367,17,336,2501,0,0,0,0,0,0,0,0,0,0,0
0.021007,17,364,2285,0,0,0,0,0,0,0,0,0,0,0
0.022644,17,350,2324,0,0,0,0,0,0,0,0,0,0,0
0.024203,17,248,2582,0,0,0,0,0,0,0,0,0,0,0
0.025804,17,268,2186,0,0,0,0,0,0,0,0,0,0,0
0.027299,17,278,2140,0,0,0,0,0,0,0,0,0,0,0
0.028868,17,250,2348,0,0,0,0,0,0,0,0,0,0,0
0.030415,18,219,1416,0,0,0,0,0,0,0,0,0,0,0
0.031830,18,289,1406,0,0,0,0,0,0,0,0,0,0,0
0.033238,18,215,1342,0,0,0,0,0,0,0,0,0,0,0
0.034553,18,223,1356,0,0,0,0,0,0,0,0,0,0,0
0.035961,18,217,1354,0,0,0,0,0,0,0,0,0,0,0
0.037368,18,215,1323,0,0,0,0,0,0,0,0,0,0,0
0.038777,18,217,1326,0,0,0,0,0,0,0,0,0,0,0
0.040180,18,211,1314,0,0,0,0,0,0,0,0,0,0,0
0.041598,18,221,1237,0,0,0,0,0,0,0,0,0,0,0
0.043013,18,207,1322,0,0,0,0,0,0,0,0,0,0,0
0.044416,18,217,1192,0,0,0,0,0,0,0,0,0,0,0
0.045841,18,297,1327,0,0,0,0,0,0,0,0,0,0,0
0.047238,18,251,1264,0,0,0,0,0,0,0,0,0,0,0
0.048720,18,205,1346,0,0,0,0,0,0,0,0,0,0,0
0.050118,18,221,1389,0,0,0,0,0,0,0,0,0,0,0
0.051527,18,209,1317,0,0,0,0,0,0,0,0,0,0,0
0.052951,18,205,1076,0,0,0,0,0,0,0,0,0,0,0
0.054361,18,205,1077,0,0,0,0,0,0,0,0,0,0,0
0.055764,18,209,1070,0,0,0,0,0,0,0,0,0,0,0
0.057221,18,209,1070,0,0,0,0,0,0,0,0,0,0,0
0.058541,18,205,1070,0,0,0,0,0,0,0,0,0,0,0
0.059947,18,209,1104,0,0,0,0,0,0,0,0,0,0,0
0.061298,18,369,2607,0,0,0,0,0,0,0,0,0,0,0
0.062903,17,260,2467,0,0,0,0,0,0,0,0,0,0,0
0.064545,17,276,6444,0,0,0,0,0,0,0,0,0,0,0
0.066355,125,2599,23585,0,0,0,0,0,0,0,0,0,0,0
0.069538,18,273,10790,0,0,0,0,0,0,0,0,0,0,0
0.071082,17,250,2522,0,0,0,0,0,0,0,0,0,0,0
0.072691,17,264,2359,0,0,0,0,0,0,0,0,0,0,0
0.074528,17,262,2187,0,0,0,0,0,0,0,0,0,0,0
0.076165,17,286,1569,0,0,0,0,0,0,0,0,0,0,0
0.077645,17,202,863,0,0,0,0,0,0,0,0,0,0,0
0.079040,18,205,870,0,0,0,0,0,0,0,0,0,0,0
0.080440,18,209,833,0,0,0,0,0,0,0,0,0,0,0
0.081878,18,209,837,0,0,0,0,0,0,0,0,0,0,0
0.083277,18,205,840,0,0,0,0,0,0,0,0,0,0,0
0.084704,160,210837,17539,0,0,0,0,0,0,0,0,0,0,0
0.086054,0,893756,0,0,0,0,0,0,0,0,0,0,0,0
0.087306,0,826010,0,0,0,0,0,0,0,0,0,0,0,0
0.088556,0,825904,0,0,0,0,0,0,0,0,0,0,0,0
0.089805,0,826201,0,0,0,0,0,0,0,0,0,0,0,0
0.091057,0,826701,0,0,0,0,0,0,0,0,0,0,0,0
0.092307,0,825794,0,0,0,0,0,0,0,0,0,0,0,0
0.093556,0,826146,0,0,0,0,0,0,0,0,0,0,0,0
0.094805,0,824132,0,0,0,0,0,0,0,0,0,0,0,0
0.096054,0,826325,0,0,0,0,0,0,0,0,0,0,0,0
0.097352,0,857797,0,0,0,0,0,0,0,0,0,0,0,0
