elapsed_s,RBBM_S_PC_BUSY,RBBM_S_TESS_BUSY,RBBM_S_TSEFE_BUSY,RBBM_S_TSEBE_BUSY
0.001093,0,0,0,0
0.002541,0,0,0,0
0.003967,0,0,0,0
0.005383,0,0,0,0
0.006806,0,0,0,0
0.008205,0,0,0,0
0.009604,0,0,0,0
0.010996,0,0,0,0
0.012388,0,0,0,0
0.013782,0,0,0,0
0.015229,0,0,0,0
0.016539,0,0,0,0
0.017830,0,0,0,0
0.019121,0,0,0,0
0.020415,0,0,0,0
0.021707,0,0,0,0
0.023057,0,0,0,0
0.024311,0,0,0,0
0.025565,0,0,0,0
0.026841,0,0,0,0
0.028180,0,0,0,0
0.029518,0,0,0,0
0.030882,0,0,0,0
0.032351,0,0,0,0
0.034083,0,0,0,0
0.035515,0,0,0,0
0.036939,0,0,0,0
0.038354,0,0,0,0
0.039802,0,0,0,0
0.041200,0,0,0,0
0.042763,0,0,0,0
0.044184,0,0,0,0
0.045575,0,0,0,0
0.047000,0,0,0,0
0.048392,0,0,0,0
0.049777,0,0,0,0
0.051313,0,0,0,0
0.053769,0,0,0,0
0.055198,0,0,0,0
0.056580,0,0,0,0
0.057962,0,0,0,0
0.059347,0,0,0,0
0.060733,0,0,0,0
0.062118,0,0,0,0
0.063396,0,0,0,0
0.064635,0,0,0,0
0.065873,0,0,0,0
0.067111,0,0,0,0
0.068348,0,0,0,0
0.069584,0,0,0,0
0.070832,0,0,0,0
0.072456,0,0,0,0
0.073697,0,0,0,0
0.075022,0,0,0,0
0.076265,0,0,0,0
0.077507,0,0,0,0
0.078758,0,0,0,0
0.080040,0,0,0,0
0.081282,0,0,0,0
0.082523,0,0,0,0
0.083767,0,0,0,0
0.085008,0,0,0,0
0.086351,0,0,0,0
0.087951,0,0,0,0
0.089351,0,0,0,0
0.090753,0,0,0,0
0.092142,0,0,0,0
0.093529,0,0,0,0
0.094915,0,0,0,0
0.096354,0,0,0,0
0.097751,0,0,0,0
0.099131,0,0,0,0
0.100509,0,0,0,0
0.101937,0,0,0,0
0.106646,0,0,0,0
0.108114,0,0,0,0
0.109495,0,0,0,0
0.110875,0,0,0,0
0.112300,0,0,0,0
0.113936,0,0,0,0
0.115339,0,0,0,0
0.116683,0,0,0,0
0.118035,0,0,0,0
0.119387,0,0,0,0
0.120769,0,0,0,0
0.122149,0,0,0,0
0.123531,0,0,0,0
0.124917,0,0,0,0
0.126302,0,0,0,0
0.127738,0,0,0,0
0.129128,0,0,0,0
0.130513,0,0,0,0
0.131906,0,0,0,0
0.133291,0,0,0,0
0.134678,0,0,0,0
0.136063,0,0,0,0
0.137446,0,0,0,0
0.138961,0,0,0,0
0.140400,0,0,0,0
0.141793,0,0,0,0
0.143224,0,0,0,0
0.144610,0,0,0,0
0.145995,0,0,0,0
0.147383,0,0,0,0
0.148768,0,0,0,0
0.150180,0,0,0,0
0.151618,0,0,0,0
0.153013,0,0,0,0
0.154396,0,0,0,0
0.155803,0,0,0,0
0.157189,0,0,0,0
0.158577,0,0,0,0
0.159964,0,0,0,0
0.161475,0,0,0,0
0.162917,0,0,0,0
0.164437,0,0,0,0
0.165985,0,0,0,0
0.167578,0,0,0,0
0.169128,0,0,0,0
0.170680,0,0,0,0
0.172230,0,0,0,0
0.173790,0,0,0,0
0.175386,0,0,0,0
0.176934,0,0,0,0
0.178482,0,0,0,0
0.180033,0,0,0,0
0.181451,0,0,0,0
0.182847,0,0,0,0
0.184348,0,0,0,0
0.185739,0,0,0,0
0.187127,0,0,0,0
0.188513,0,0,0,0
0.189897,0,0,0,0
0.191341,0,0,0,0
0.192829,0,0,0,0
0.195745,0,0,0,0
0.197140,0,0,0,0
0.198526,0,0,0,0
0.199957,0,0,0,0
0.201337,0,0,0,0
0.202741,0,0,0,0
0.204118,0,0,0,0
0.205530,0,0,0,0
0.207006,0,0,0,0
0.208399,0,0,0,0
0.209786,0,0,0,0
0.211171,0,0,0,0
0.212552,0,0,0,0
0.213931,0,0,0,0
0.215348,0,0,0,0
0.216728,0,0,0,0
0.218242,0,0,0,0
0.219948,0,0,0,0
0.221489,0,0,0,0
0.222910,0,0,0,0
0.224474,0,0,0,0
0.226024,0,0,0,0
0.227575,0,0,0,0
0.229139,0,0,0,0
0.230692,0,0,0,0
0.232287,0,0,0,0
0.233837,0,0,0,0
0.235390,0,0,0,0
0.236941,0,0,0,0
0.238490,0,0,0,0
0.240054,0,0,0,0
0.241596,0,0,0,0
0.243016,0,0,0,0
0.244537,0,0,0,0
0.246087,0,0,0,0
0.247681,0,0,0,0
0.249232,0,0,0,0
0.250798,0,0,0,0
0.252349,0,0,0,0
0.253899,0,0,0,0
0.255492,0,0,0,0
0.257043,0,0,0,0
0.258595,0,0,0,0
0.260147,0,0,0,0
0.261710,0,0,0,0
0.263305,0,0,0,0
0.264857,0,0,0,0
0.266405,0,0,0,0
0.267999,0,0,0,0
0.269549,0,0,0,0
0.271142,0,0,0,0
0.272708,0,0,0,0
0.274257,0,0,0,0
0.275861,0,0,0,0
0.277402,0,0,0,0
0.278822,0,0,0,0
0.280385,0,0,0,0
0.281934,0,0,0,0
0.283496,0,0,0,0
0.285046,0,0,0,0
0.286598,0,0,0,0
0.288148,0,0,0,0
0.289696,0,0,0,0
0.291246,0,0,0,0
0.292796,0,0,0,0
0.294358,0,0,0,0
0.295912,0,0,0,0
0.297459,0,0,0,0
0.299010,0,0,0,0
0.300560,0,0,0,0
0.302107,0,0,0,0
0.303701,0,0,0,0
0.305264,0,0,0,0
0.306815,0,0,0,0
0.308365,0,0,0,0
0.309912,0,0,0,0
0.311506,0,0,0,0
0.313056,0,0,0,0
0.314608,0,0,0,0
0.316170,0,0,0,0
0.317715,0,0,0,0
0.319308,0,0,0,0
0.320856,0,0,0,0
0.322404,0,0,0,0
0.324031,0,0,0,0
0.325419,0,0,0,0
0.326944,0,0,0,0
0.328491,0,0,0,0
0.330035,0,0,0,0
0.331499,0,0,0,0
0.333019,0,0,0,0
0.334560,0,0,0,0
0.336292,0,0,0,0
0.337856,0,0,0,0
0.339410,0,0,0,0
0.340952,0,0,0,0
0.342493,0,0,0,0
0.344147,0,0,0,0
0.345697,0,0,0,0
0.347250,0,0,0,0
0.348816,0,0,0,0
0.350366,0,0,0,0
0.351923,0,0,0,0
0.353474,0,0,0,0
0.355025,0,0,0,0
0.356577,0,0,0,0
0.358174,0,0,0,0
0.359653,0,0,0,0
0.361174,0,0,0,0
0.362727,0,0,0,0
0.364278,0,0,0,0
0.365828,0,0,0,0
0.367423,0,0,0,0
0.368976,0,0,0,0
0.370540,0,0,0,0
0.371953,0,0,0,0
0.373340,0,0,0,0
0.374725,0,0,0,0
0.376317,0,0,0,0
0.377867,0,0,0,0
0.379420,0,0,0,0
0.380985,0,0,0,0
0.382536,0,0,0,0
0.384131,0,0,0,0
0.385683,0,0,0,0
0.387236,0,0,0,0
0.388788,0,0,0,0
0.390338,0,0,0,0
0.391910,0,0,0,0
0.393459,0,0,0,0
0.395011,0,0,0,0
0.396564,0,0,0,0
0.398113,0,0,0,0
0.399707,0,0,0,0
0.401258,0,0,0,0
0.402826,0,0,0,0
0.404376,0,0,0,0
0.405925,0,0,0,0
0.407520,0,0,0,0
0.409072,0,0,0,0
0.410625,0,0,0,0
0.412177,0,0,0,0
0.413617,0,0,0,0
0.415186,0,0,0,0
0.416737,0,0,0,0
0.418288,0,0,0,0
0.419843,0,0,0,0
0.421393,0,0,0,0
0.422946,0,0,0,0
0.424511,0,0,0,0
0.426060,0,0,0,0
0.427611,0,0,0,0
0.429163,0,0,0,0
0.430716,0,0,0,0
0.432312,0,0,0,0
0.433861,0,0,0,0
0.435426,0,0,0,0
0.436977,0,0,0,0
0.438527,0,0,0,0
0.440053,0,0,0,0
0.441445,0,0,0,0
0.442963,0,0,0,0
0.444515,0,0,0,0
0.446079,0,0,0,0
0.447674,0,0,0,0
0.449226,0,0,0,0
0.450778,0,0,0,0
0.452330,0,0,0,0
0.453880,0,0,0,0
0.455474,0,0,0,0
0.457039,0,0,0,0
0.458590,0,0,0,0
0.460141,0,0,0,0
0.461689,0,0,0,0
0.463286,0,0,0,0
0.464837,0,0,0,0
0.466386,0,0,0,0
0.467953,0,0,0,0
0.469503,0,0,0,0
0.471098,0,0,0,0
0.472648,0,0,0,0
0.474198,0,0,0,0
0.475747,0,0,0,0
