elapsed_s,PC_US_STALL_CYCLES_UCHE0,PC_US_STALL_CYCLES_UCHE1,PC_US_UCHE_0_TRANS,PC_US_UCHE_1_TRANS,PC_US_BV_STALLED_BY_ATTR,PC_US_BV_STARVED_BY_RARB,PC_US_VPC_PRIM_COUNT_STALLS_BR,PC_US_VPC_PRIM_COUNT_STALLS_BV
0.001111,0,0,0,0,0,0,0,0
0.002884,0,0,0,0,0,0,0,0
0.004432,0,0,0,0,0,0,0,0
0.005990,0,0,0,0,0,0,0,0
0.007533,0,0,0,0,0,0,0,0
0.009309,0,0,0,0,0,0,0,0
0.010853,0,0,0,0,0,0,0,0
0.012398,0,0,0,0,0,0,0,0
0.013940,0,0,0,0,0,0,0,0
0.015596,0,0,0,0,0,0,0,0
0.017353,0,0,0,0,0,0,0,0
0.018933,0,0,0,0,0,0,0,0
0.020593,0,0,0,0,0,0,0,0
0.022121,0,0,0,0,0,0,0,0
0.023619,0,0,0,0,0,0,0,0
0.025190,0,0,0,0,0,0,0,0
0.026697,0,0,0,0,0,0,0,0
0.028227,0,0,0,0,0,0,0,0
0.029728,0,0,0,0,0,0,0,0
0.031237,0,0,0,0,0,0,0,0
0.032823,0,0,0,0,0,0,0,0
0.034320,0,0,0,0,0,0,0,0
0.035817,0,0,0,0,0,0,0,0
0.037316,0,0,0,0,0,0,0,0
0.038833,0,0,0,0,0,0,0,0
0.040412,0,0,0,0,0,0,0,0
0.041885,0,0,0,0,0,0,0,0
0.043357,0,0,0,0,0,0,0,0
0.044965,0,0,0,0,0,0,0,0
0.046438,0,0,0,0,0,0,0,0
0.047910,0,0,0,0,0,0,0,0
0.049395,0,0,0,0,0,0,0,0
0.050871,0,0,0,0,0,0,0,0
0.052345,0,0,0,0,0,0,0,0
0.053818,0,0,0,0,0,0,0,0
0.055294,0,0,0,0,0,0,0,0
0.056885,0,0,0,0,0,0,0,0
0.058306,0,0,0,0,0,0,0,0
0.059889,0,0,0,0,0,0,0,0
0.061212,0,0,0,0,0,0,0,0
0.062645,0,0,0,0,0,0,0,0
0.064078,0,0,0,0,0,0,0,0
0.065399,0,0,0,0,0,0,0,0
0.066719,0,0,0,0,0,0,0,0
0.068202,0,0,0,0,0,0,0,0
0.069635,0,0,0,0,0,0,0,0
0.071072,0,0,0,0,0,0,0,0
0.072573,0,0,0,0,0,0,0,0
0.073895,0,0,0,0,0,0,0,0
0.075238,0,0,0,0,0,0,0,0
0.076647,0,0,0,0,0,0,0,0
0.078009,0,0,0,0,0,0,0,0
0.079416,0,0,0,0,0,0,0,0
0.080808,0,0,0,0,0,0,0,0
0.082215,0,0,0,0,0,0,0,0
0.083591,0,0,0,0,0,0,0,0
0.085015,0,0,0,0,0,0,0,0
0.086384,0,0,0,0,0,0,0,0
0.087748,0,0,0,0,0,0,0,0
0.089116,0,0,0,0,0,0,0,0
0.090485,0,0,0,0,0,0,0,0
0.091717,0,0,0,0,0,0,0,0
0.093149,0,0,0,0,0,0,0,0
0.094519,0,0,0,0,0,0,0,0
0.095881,0,0,0,0,0,0,0,0
0.097244,0,0,0,0,0,0,0,0
0.098607,0,0,0,0,0,0,0,0
0.100037,0,0,0,0,0,0,0,0
0.101455,0,0,0,0,0,0,0,0
0.102842,0,0,0,0,0,0,0,0
0.104061,0,0,0,0,0,0,0,0
0.105353,0,0,0,0,0,0,0,0
0.106624,0,0,0,0,0,0,0,0
0.108018,0,0,0,0,0,0,0,0
0.110796,0,0,0,0,0,0,0,0
0.112060,0,0,0,0,0,0,0,0
0.113323,0,0,0,0,0,0,0,0
0.114583,0,0,0,0,0,0,0,0
0.115990,0,0,0,0,0,0,0,0
0.117301,0,0,0,0,0,0,0,0
0.118564,0,0,0,0,0,0,0,0
0.119877,0,0,0,0,0,0,0,0
0.122443,0,0,0,0,0,0,0,0
0.123710,0,0,0,0,0,0,0,0
0.124975,0,0,0,0,0,0,0,0
0.126265,0,0,0,0,0,0,0,0
0.127545,0,0,0,0,0,0,0,0
0.129091,0,0,0,0,0,0,0,0
0.130511,0,0,0,0,0,0,0,0
0.131919,0,0,0,0,0,0,0,0
0.133329,0,0,0,0,0,0,0,0
0.134851,0,0,0,0,0,0,0,0
0.136309,0,0,0,0,0,0,0,0
0.137729,0,0,0,0,0,0,0,0
0.139134,0,0,0,0,0,0,0,0
0.140533,0,0,0,0,0,0,0,0
0.141935,0,0,0,0,0,0,0,0
0.143334,0,0,0,0,0,0,0,0
0.144734,0,0,0,0,0,0,0,0
0.146135,0,0,0,0,0,0,0,0
0.147536,0,0,0,0,0,0,0,0
0.151749,0,0,0,0,0,0,0,0
0.153155,0,0,0,0,0,0,0,0
0.154558,0,0,0,0,0,0,0,0
0.155963,0,0,0,0,0,0,0,0
0.157364,0,0,0,0,0,0,0,0
0.158766,0,0,0,0,0,0,0,0
0.160179,0,0,0,0,0,0,0,0
0.161579,0,0,0,0,0,0,0,0
0.162980,0,0,0,0,0,0,0,0
0.164382,0,0,0,0,0,0,0,0
0.165941,0,0,0,0,0,0,0,0
0.167356,0,0,0,0,0,0,0,0
0.168793,0,0,0,0,0,0,0,0
0.170207,0,0,0,0,0,0,0,0
0.171609,0,0,0,0,0,0,0,0
0.173106,0,0,0,0,0,0,0,0
0.174508,0,0,0,0,0,0,0,0
0.175911,0,0,0,0,0,0,0,0
0.177316,0,0,0,0,0,0,0,0
0.178721,0,0,0,0,0,0,0,0
0.180130,0,0,0,0,0,0,0,0
0.181725,0,0,0,0,0,0,0,0
0.183294,0,0,0,0,0,0,0,0
0.184907,0,0,0,0,0,0,0,0
0.186479,0,0,0,0,0,0,0,0
0.188052,0,0,0,0,0,0,0,0
0.189623,0,0,0,0,0,0,0,0
0.191191,0,0,0,0,0,0,0,0
0.192776,0,0,0,0,0,0,0,0
0.194347,0,0,0,0,0,0,0,0
0.195918,0,0,0,0,0,0,0,0
0.197489,0,0,0,0,0,0,0,0
0.199057,0,0,0,0,0,0,0,0
0.200671,0,0,0,0,0,0,0,0
0.202242,0,0,0,0,0,0,0,0
0.203824,0,0,0,0,0,0,0,0
0.205391,0,0,0,0,0,0,0,0
0.206959,0,0,0,0,0,0,0,0
0.208530,0,0,0,0,0,0,0,0
0.210100,0,0,0,0,0,0,0,0
0.211669,0,0,0,0,0,0,0,0
0.213278,0,0,0,0,0,0,0,0
0.214702,0,0,0,0,0,0,0,0
0.216283,0,0,0,0,0,0,0,0
0.217854,0,0,0,0,0,0,0,0
0.219423,0,0,0,0,0,0,0,0
0.220997,0,0,0,0,0,0,0,0
0.222565,0,0,0,0,0,0,0,0
0.224136,0,0,0,0,0,0,0,0
0.225717,0,0,0,0,0,0,0,0
0.227164,0,0,0,0,0,0,0,0
0.228711,0,0,0,0,0,0,0,0
0.230282,0,0,0,0,0,0,0,0
0.231854,0,0,0,0,0,0,0,0
0.233468,0,0,0,0,0,0,0,0
0.235023,0,0,0,0,0,0,0,0
0.236516,0,0,0,0,0,0,0,0
0.237940,0,0,0,0,0,0,0,0
0.239349,0,0,0,0,0,0,0,0
0.240761,0,0,0,0,0,0,0,0
0.242284,0,0,0,0,0,0,0,0
0.243694,0,0,0,0,0,0,0,0
0.245230,0,0,0,0,0,0,0,0
0.246862,0,0,0,0,0,0,0,0
0.248480,0,0,0,0,0,0,0,0
0.250052,0,0,0,0,0,0,0,0
0.251622,0,0,0,0,0,0,0,0
0.253199,0,0,0,0,0,0,0,0
0.254769,0,0,0,0,0,0,0,0
0.256343,0,0,0,0,0,0,0,0
0.257930,0,0,0,0,0,0,0,0
0.259501,0,0,0,0,0,0,0,0
0.261077,0,0,0,0,0,0,0,0
0.262648,0,0,0,0,0,0,0,0
0.264264,0,0,0,0,0,0,0,0
0.265837,0,0,0,0,0,0,0,0
0.267408,0,0,0,0,0,0,0,0
0.268998,0,0,0,0,0,0,0,0
0.270570,0,0,0,0,0,0,0,0
0.272142,0,0,0,0,0,0,0,0
0.273714,0,0,0,0,0,0,0,0
0.275285,0,0,0,0,0,0,0,0
0.276857,0,0,0,0,0,0,0,0
0.278429,0,0,0,0,0,0,0,0
0.280015,0,0,0,0,0,0,0,0
0.281624,0,0,0,0,0,0,0,0
0.283187,0,0,0,0,0,0,0,0
0.284629,0,0,0,0,0,0,0,0
0.286170,0,0,0,0,0,0,0,0
0.287745,0,0,0,0,0,0,0,0
0.289318,0,0,0,0,0,0,0,0
0.290900,0,0,0,0,0,0,0,0
0.292474,0,0,0,0,0,0,0,0
0.294037,0,0,0,0,0,0,0,0
0.295599,0,0,0,0,0,0,0,0
0.297169,0,0,0,0,0,0,0,0
0.298740,0,0,0,0,0,0,0,0
0.300313,0,0,0,0,0,0,0,0
0.302186,0,0,0,0,0,0,0,0
0.303608,0,0,0,0,0,0,0,0
0.305023,0,0,0,0,0,0,0,0
0.306432,0,0,0,0,0,0,0,0
0.307842,0,0,0,0,0,0,0,0
0.309251,0,0,0,0,0,0,0,0
0.310786,0,0,0,0,0,0,0,0
0.312417,0,0,0,0,0,0,0,0
0.313990,0,0,0,0,0,0,0,0
0.315828,0,0,0,0,0,0,0,0
0.318120,0,0,0,0,0,0,0,0
0.319547,0,0,0,0,0,0,0,0
0.320985,0,0,0,0,0,0,0,0
0.322406,0,0,0,0,0,0,0,0
0.323819,0,0,0,0,0,0,0,0
0.325223,0,0,0,0,0,0,0,0
0.326819,0,0,0,0,0,0,0,0
0.328305,0,0,0,0,0,0,0,0
0.329758,0,0,0,0,0,0,0,0
0.331169,0,0,0,0,0,0,0,0
0.332590,0,0,0,0,0,0,0,0
0.334001,0,0,0,0,0,0,0,0
0.335409,0,0,0,0,0,0,0,0
0.336878,0,0,0,0,0,0,0,0
0.338413,0,0,0,0,0,0,0,0
0.339986,0,0,0,0,0,0,0,0
0.341558,0,0,0,0,0,0,0,0
0.343141,0,0,0,0,0,0,0,0
0.344758,0,0,0,0,0,0,0,0
0.346330,0,0,0,0,0,0,0,0
0.347904,0,0,0,0,0,0,0,0
0.349476,0,0,0,0,0,0,0,0
0.351043,0,0,0,0,0,0,0,0
0.352614,0,0,0,0,0,0,0,0
0.354198,0,0,0,0,0,0,0,0
0.355771,0,0,0,0,0,0,0,0
0.357341,0,0,0,0,0,0,0,0
0.358909,0,0,0,0,0,0,0,0
0.360526,0,0,0,0,0,0,0,0
0.362096,0,0,0,0,0,0,0,0
0.363664,0,0,0,0,0,0,0,0
0.365204,0,0,0,0,0,0,0,0
0.366615,0,0,0,0,0,0,0,0
0.368152,0,0,0,0,0,0,0,0
0.369723,0,0,0,0,0,0,0,0
0.371292,0,0,0,0,0,0,0,0
0.372862,0,0,0,0,0,0,0,0
0.374432,0,0,0,0,0,0,0,0
0.376016,0,0,0,0,0,0,0,0
0.377631,0,0,0,0,0,0,0,0
0.379200,0,0,0,0,0,0,0,0
0.380770,0,0,0,0,0,0,0,0
0.382339,0,0,0,0,0,0,0,0
0.383910,0,0,0,0,0,0,0,0
0.385480,0,0,0,0,0,0,0,0
0.387062,0,0,0,0,0,0,0,0
0.388633,0,0,0,0,0,0,0,0
0.390204,0,0,0,0,0,0,0,0
0.391776,0,0,0,0,0,0,0,0
0.393391,0,0,0,0,0,0,0,0
0.394960,0,0,0,0,0,0,0,0
0.396415,0,0,0,0,0,0,0,0
0.397985,0,0,0,0,0,0,0,0
0.399554,0,0,0,0,0,0,0,0
0.401129,0,0,0,0,0,0,0,0
0.402698,0,0,0,0,0,0,0,0
0.404270,0,0,0,0,0,0,0,0
0.405840,0,0,0,0,0,0,0,0
0.407408,0,0,0,0,0,0,0,0
0.408997,0,0,0,0,0,0,0,0
0.410566,0,0,0,0,0,0,0,0
0.412139,0,0,0,0,0,0,0,0
0.413709,0,0,0,0,0,0,0,0
0.415278,0,0,0,0,0,0,0,0
0.416848,0,0,0,0,0,0,0,0
0.418418,0,0,0,0,0,0,0,0
0.420004,0,0,0,0,0,0,0,0
0.421574,0,0,0,0,0,0,0,0
0.423142,0,0,0,0,0,0,0,0
0.424755,0,0,0,0,0,0,0,0
0.426324,0,0,0,0,0,0,0,0
0.427776,0,0,0,0,0,0,0,0
0.429323,0,0,0,0,0,0,0,0
0.430909,0,0,0,0,0,0,0,0
0.432483,0,0,0,0,0,0,0,0
0.434055,0,0,0,0,0,0,0,0
0.435627,0,0,0,0,0,0,0,0
0.437203,0,0,0,0,0,0,0,0
0.438775,0,0,0,0,0,0,0,0
0.440393,0,0,0,0,0,0,0,0
0.441978,0,0,0,0,0,0,0,0
0.443550,0,0,0,0,0,0,0,0
0.445126,0,0,0,0,0,0,0,0
0.446697,0,0,0,0,0,0,0,0
0.448270,0,0,0,0,0,0,0,0
0.449843,0,0,0,0,0,0,0,0
0.451413,0,0,0,0,0,0,0,0
0.453003,0,0,0,0,0,0,0,0
0.454574,0,0,0,0,0,0,0,0
0.456192,0,0,0,0,0,0,0,0
0.457764,0,0,0,0,0,0,0,0
0.459335,0,0,0,0,0,0,0,0
0.460981,0,0,0,0,0,0,0,0
0.462553,0,0,0,0,0,0,0,0
0.464139,0,0,0,0,0,0,0,0
0.465711,0,0,0,0,0,0,0,0
0.467281,0,0,0,0,0,0,0,0
0.468852,0,0,0,0,0,0,0,0
0.470425,0,0,0,0,0,0,0,0
0.471998,0,0,0,0,0,0,0,0
0.473615,0,0,0,0,0,0,0,0
0.475199,0,0,0,0,0,0,0,0
0.476772,0,0,0,0,0,0,0,0
0.478344,0,0,0,0,0,0,0,0
0.479918,0,0,0,0,0,0,0,0
0.481490,0,0,0,0,0,0,0,0
0.483059,0,0,0,0,0,0,0,0
0.484629,0,0,0,0,0,0,0,0
0.486213,0,0,0,0,0,0,0,0
0.487784,0,0,0,0,0,0,0,0
0.489398,0,0,0,0,0,0,0,0
0.490967,0,0,0,0,0,0,0,0
0.492544,0,0,0,0,0,0,0,0
0.494116,0,0,0,0,0,0,0,0
0.495758,0,0,0,0,0,0,0,0
0.497338,0,0,0,0,0,0,0,0
0.498907,0,0,0,0,0,0,0,0
0.500478,0,0,0,0,0,0,0,0
0.502053,0,0,0,0,0,0,0,0
0.503673,0,0,0,0,0,0,0,0
0.505315,0,0,0,0,0,0,0,0
0.506728,0,0,0,0,0,0,0,0
0.508275,0,0,0,0,0,0,0,0
0.509846,0,0,0,0,0,0,0,0
0.511415,0,0,0,0,0,0,0,0
0.512989,0,0,0,0,0,0,0,0
0.514558,0,0,0,0,0,0,0,0
0.516131,0,0,0,0,0,0,0,0
0.517702,0,0,0,0,0,0,0,0
0.519284,0,0,0,0,0,0,0,0
0.520899,0,0,0,0,0,0,0,0
0.522470,0,0,0,0,0,0,0,0
0.524042,0,0,0,0,0,0,0,0
0.525613,0,0,0,0,0,0,0,0
0.527182,0,0,0,0,0,0,0,0
0.528752,0,0,0,0,0,0,0,0
0.530336,0,0,0,0,0,0,0,0
0.531909,0,0,0,0,0,0,0,0
0.533480,0,0,0,0,0,0,0,0
0.535048,0,0,0,0,0,0,0,0
0.536663,0,0,0,0,0,0,0,0
0.538235,0,0,0,0,0,0,0,0
0.539806,0,0,0,0,0,0,0,0
0.541390,0,0,0,0,0,0,0,0
0.542958,0,0,0,0,0,0,0,0
0.544530,0,0,0,0,0,0,0,0
0.546102,0,0,0,0,0,0,0,0
0.547671,0,0,0,0,0,0,0,0
0.549275,0,0,0,0,0,0,0,0
0.550688,0,0,0,0,0,0,0,0
0.552278,0,0,0,0,0,0,0,0
0.553849,0,0,0,0,0,0,0,0
0.555418,0,0,0,0,0,0,0,0
0.557461,0,0,0,0,0,0,0,0
0.559027,0,0,0,0,0,0,0,0
0.560596,0,0,0,0,0,0,0,0
0.562164,0,0,0,0,0,0,0,0
0.563624,0,0,0,0,0,0,0,0
0.565172,0,0,0,0,0,0,0,0
0.566743,0,0,0,0,0,0,0,0
0.568358,0,0,0,0,0,0,0,0
0.569930,0,0,0,0,0,0,0,0
0.571499,0,0,0,0,0,0,0,0
0.573076,0,0,0,0,0,0,0,0
0.574659,0,0,0,0,0,0,0,0
0.576231,0,0,0,0,0,0,0,0
0.577803,0,0,0,0,0,0,0,0
0.579371,0,0,0,0,0,0,0,0
0.581031,0,0,0,0,0,0,0,0
0.582600,0,0,0,0,0,0,0,0
0.584216,0,0,0,0,0,0,0,0
0.585801,0,0,0,0,0,0,0,0
0.587370,0,0,0,0,0,0,0,0
0.588880,0,0,0,0,0,0,0,0
0.590420,0,0,0,0,0,0,0,0
0.591993,0,0,0,0,0,0,0,0
0.593564,0,0,0,0,0,0,0,0
0.595134,0,0,0,0,0,0,0,0
0.596717,0,0,0,0,0,0,0,0
0.598287,0,0,0,0,0,0,0,0
0.599860,0,0,0,0,0,0,0,0
0.601475,0,0,0,0,0,0,0,0
0.603043,0,0,0,0,0,0,0,0
0.604613,0,0,0,0,0,0,0,0
0.606061,0,0,0,0,0,0,0,0
0.607616,0,0,0,0,0,0,0,0
0.609190,0,0,0,0,0,0,0,0
0.610759,0,0,0,0,0,0,0,0
0.612330,0,0,0,0,0,0,0,0
0.613900,0,0,0,0,0,0,0,0
0.615469,0,0,0,0,0,0,0,0
0.617043,0,0,0,0,0,0,0,0
0.618624,0,0,0,0,0,0,0,0
0.620195,0,0,0,0,0,0,0,0
0.621765,0,0,0,0,0,0,0,0
0.623334,0,0,0,0,0,0,0,0
0.624980,0,0,0,0,0,0,0,0
0.626545,0,0,0,0,0,0,0,0
0.627998,0,0,0,0,0,0,0,0
0.629557,0,0,0,0,0,0,0,0
0.631128,0,0,0,0,0,0,0,0
0.632745,0,0,0,0,0,0,0,0
0.634318,0,0,0,0,0,0,0,0
