elapsed_s,VFD_STALL_CYCLES_PRG_END_FE,VFD_STALL_CYCLES_CBSYNC,VFD_BOTTLENECK_CYCLES,VFD_WORKING_CYCLES
0.001289,0,0,0,0
0.002814,0,0,0,0
0.004263,0,0,0,0
0.005707,0,0,0,0
0.007146,0,0,0,0
0.008578,0,0,0,0
0.010023,0,0,0,0
0.011447,0,0,0,0
0.012894,0,0,0,0
0.014305,0,0,0,0
0.015802,0,0,0,0
0.017378,0,0,0,0
0.018784,0,0,0,0
0.020223,0,0,0,0
0.021628,0,0,0,0
0.023047,0,0,0,0
0.024483,0,0,0,0
0.025904,0,0,0,0
0.027317,0,0,0,0
0.028760,0,0,0,0
0.030125,0,0,0,0
0.031497,0,0,0,0
0.032880,0,0,0,0
0.034304,0,0,0,0
0.035731,0,0,0,0
0.037198,0,0,0,0
0.038602,0,0,0,0
0.040025,0,0,0,0
0.042021,0,0,0,0
0.043378,0,0,0,0
0.045047,0,0,0,0
0.046451,0,0,0,0
0.047839,0,0,0,0
0.049276,0,0,0,0
0.050628,0,0,0,0
0.051984,0,0,0,0
0.053483,0,0,0,0
0.054829,0,0,0,0
0.056259,0,0,0,0
0.057690,0,0,0,0
0.059082,0,0,0,0
0.060472,0,0,0,0
0.061853,0,0,0,0
0.063263,0,0,0,0
0.064665,0,0,0,0
0.065912,0,0,0,0
0.067127,0,0,0,0
0.068370,0,0,0,0
0.069610,0,0,0,0
0.071048,0,0,0,0
0.072387,0,0,0,0
0.073624,0,0,0,0
0.074871,0,0,0,0
0.076145,0,0,0,0
0.077520,0,0,0,0
0.078764,0,0,0,0
0.080010,0,0,0,0
0.081296,0,0,0,0
0.082539,0,0,0,0
0.083784,0,0,0,0
0.085025,0,0,0,0
0.086267,0,0,0,0
0.087622,0,0,0,0
0.089030,0,0,0,0
0.090417,0,0,0,0
0.091950,0,0,0,0
0.093514,0,0,0,0
0.094907,0,0,0,0
0.096348,0,0,0,0
0.097734,0,0,0,0
0.099123,0,0,0,0
0.100520,0,0,0,0
0.101924,0,0,0,0
0.103314,0,0,0,0
0.104741,0,0,0,0
0.106122,0,0,0,0
0.107501,0,0,0,0
0.108888,0,0,0,0
0.110278,0,0,0,0
0.111893,0,0,0,0
0.113633,0,0,0,0
0.115023,0,0,0,0
0.116406,0,0,0,0
0.117785,0,0,0,0
0.119164,0,0,0,0
0.120598,0,0,0,0
0.121982,0,0,0,0
0.123364,0,0,0,0
0.124863,0,0,0,0
0.126248,0,0,0,0
0.127628,0,0,0,0
0.129108,0,0,0,0
0.130495,0,0,0,0
0.131893,0,0,0,0
0.133273,0,0,0,0
0.134651,0,0,0,0
0.136033,0,0,0,0
0.137548,0,0,0,0
0.139096,0,0,0,0
0.140647,0,0,0,0
0.142212,0,0,0,0
0.143764,0,0,0,0
0.145359,0,0,0,0
0.146909,0,0,0,0
0.148460,0,0,0,0
0.150011,0,0,0,0
0.151560,0,0,0,0
0.153013,0,0,0,0
0.154535,0,0,0,0
0.156087,0,0,0,0
0.157638,0,0,0,0
0.159187,0,0,0,0
0.160781,0,0,0,0
0.162335,0,0,0,0
0.163778,0,0,0,0
0.165300,0,0,0,0
0.166849,0,0,0,0
0.168445,0,0,0,0
0.169997,0,0,0,0
0.171545,0,0,0,0
0.173101,0,0,0,0
0.174663,0,0,0,0
0.176259,0,0,0,0
0.177810,0,0,0,0
0.179359,0,0,0,0
0.180899,0,0,0,0
0.182291,0,0,0,0
0.183682,0,0,0,0
0.185122,0,0,0,0
0.186509,0,0,0,0
0.187898,0,0,0,0
0.189285,0,0,0,0
0.190799,0,0,0,0
0.192395,0,0,0,0
0.193945,0,0,0,0
0.195509,0,0,0,0
0.197083,0,0,0,0
0.198631,0,0,0,0
0.200227,0,0,0,0
0.201779,0,0,0,0
0.203328,0,0,0,0
0.204936,0,0,0,0
0.206499,0,0,0,0
0.208051,0,0,0,0
0.209603,0,0,0,0
0.211153,0,0,0,0
0.212704,0,0,0,0
0.214246,0,0,0,0
0.215897,0,0,0,0
0.217332,0,0,0,0
0.218853,0,0,0,0
0.220406,0,0,0,0
0.221958,0,0,0,0
0.223508,0,0,0,0
0.225128,0,0,0,0
0.226520,0,0,0,0
0.228047,0,0,0,0
0.229598,0,0,0,0
0.231147,0,0,0,0
0.232743,0,0,0,0
0.234294,0,0,0,0
0.235847,0,0,0,0
0.237398,0,0,0,0
0.238961,0,0,0,0
0.240556,0,0,0,0
0.242107,0,0,0,0
0.243655,0,0,0,0
0.245352,0,0,0,0
0.246891,0,0,0,0
0.248354,0,0,0,0
0.249919,0,0,0,0
0.251467,0,0,0,0
0.253020,0,0,0,0
0.254569,0,0,0,0
0.256161,0,0,0,0
0.257711,0,0,0,0
0.259258,0,0,0,0
0.260696,0,0,0,0
0.262104,0,0,0,0
0.263492,0,0,0,0
0.264922,0,0,0,0
0.266306,0,0,0,0
0.267849,0,0,0,0
0.269291,0,0,0,0
0.270689,0,0,0,0
0.272112,0,0,0,0
0.273521,0,0,0,0
0.274908,0,0,0,0
0.276295,0,0,0,0
0.277676,0,0,0,0
0.279060,0,0,0,0
0.280683,0,0,0,0
0.283123,0,0,0,0
0.284509,0,0,0,0
0.285889,0,0,0,0
0.287267,0,0,0,0
0.288682,0,0,0,0
0.290063,0,0,0,0
0.291443,0,0,0,0
0.292846,0,0,0,0
0.294249,0,0,0,0
0.295633,0,0,0,0
0.297078,0,0,0,0
0.298461,0,0,0,0
0.299845,0,0,0,0
0.301232,0,0,0,0
0.302612,0,0,0,0
0.303993,0,0,0,0
0.305548,0,0,0,0
0.307117,0,0,0,0
0.308687,0,0,0,0
0.310065,0,0,0,0
0.311451,0,0,0,0
0.312928,0,0,0,0
0.314308,0,0,0,0
0.315783,0,0,0,0
0.317166,0,0,0,0
0.318673,0,0,0,0
0.320094,0,0,0,0
0.321614,0,0,0,0
0.323163,0,0,0,0
0.324591,0,0,0,0
0.326129,0,0,0,0
0.327735,0,0,0,0
0.329284,0,0,0,0
0.330834,0,0,0,0
0.332387,0,0,0,0
0.333939,0,0,0,0
0.335488,0,0,0,0
0.337058,0,0,0,0
0.338608,0,0,0,0
0.340161,0,0,0,0
0.341712,0,0,0,0
0.343262,0,0,0,0
0.344857,0,0,0,0
0.346410,0,0,0,0
0.348092,0,0,0,0
0.349562,0,0,0,0
0.351081,0,0,0,0
0.352632,0,0,0,0
0.354184,0,0,0,0
0.355776,0,0,0,0
0.357325,0,0,0,0
0.358885,0,0,0,0
0.360482,0,0,0,0
0.362034,0,0,0,0
0.363583,0,0,0,0
0.365140,0,0,0,0
0.366688,0,0,0,0
0.368241,0,0,0,0
0.369806,0,0,0,0
0.371356,0,0,0,0
0.372978,0,0,0,0
0.374528,0,0,0,0
0.376123,0,0,0,0
0.377675,0,0,0,0
0.379224,0,0,0,0
0.380789,0,0,0,0
0.382341,0,0,0,0
0.383892,0,0,0,0
0.385443,0,0,0,0
0.386993,0,0,0,0
0.388544,0,0,0,0
0.390096,0,0,0,0
0.391658,0,0,0,0
0.393270,0,0,0,0
0.394663,0,0,0,0
0.396182,0,0,0,0
0.397733,0,0,0,0
0.399284,0,0,0,0
0.400835,0,0,0,0
0.402400,0,0,0,0
0.403953,0,0,0,0
0.405496,0,0,0,0
0.407037,0,0,0,0
0.408497,0,0,0,0
0.410023,0,0,0,0
0.411570,0,0,0,0
0.413141,0,0,0,0
0.414689,0,0,0,0
0.416240,0,0,0,0
0.417789,0,0,0,0
0.419337,0,0,0,0
0.420935,0,0,0,0
0.422484,0,0,0,0
0.424047,0,0,0,0
0.425596,0,0,0,0
0.427144,0,0,0,0
0.428693,0,0,0,0
0.430243,0,0,0,0
0.431793,0,0,0,0
0.433340,0,0,0,0
0.436039,0,0,0,0
0.437512,0,0,0,0
0.438902,0,0,0,0
0.440327,0,0,0,0
0.441709,0,0,0,0
0.443089,0,0,0,0
0.444471,0,0,0,0
0.445997,0,0,0,0
0.447546,0,0,0,0
0.449102,0,0,0,0
0.450651,0,0,0,0
0.452203,0,0,0,0
0.453754,0,0,0,0
0.455302,0,0,0,0
0.456777,0,0,0,0
0.458297,0,0,0,0
0.459849,0,0,0,0
0.461401,0,0,0,0
0.462950,0,0,0,0
0.464503,0,0,0,0
0.466054,0,0,0,0
0.467616,0,0,0,0
0.469169,0,0,0,0
0.470719,0,0,0,0
0.472315,0,0,0,0
0.473866,0,0,0,0
0.475415,0,0,0,0
0.476970,0,0,0,0
0.478532,0,0,0,0
0.480083,0,0,0,0
0.481633,0,0,0,0
0.483182,0,0,0,0
0.484732,0,0,0,0
0.486283,0,0,0,0
0.487836,0,0,0,0
0.489444,0,0,0,0
0.490993,0,0,0,0
0.492542,0,0,0,0
0.494237,0,0,0,0
0.495899,0,0,0,0
0.497427,0,0,0,0
0.498813,0,0,0,0
0.500205,0,0,0,0
0.501719,0,0,0,0
0.503267,0,0,0,0
0.504860,0,0,0,0
0.506410,0,0,0,0
0.507961,0,0,0,0
0.509510,0,0,0,0
0.511072,0,0,0,0
0.512622,0,0,0,0
0.514172,0,0,0,0
0.515722,0,0,0,0
0.517272,0,0,0,0
0.518821,0,0,0,0
0.520416,0,0,0,0
0.521979,0,0,0,0
0.523528,0,0,0,0
0.524959,0,0,0,0
0.526480,0,0,0,0
0.528032,0,0,0,0
0.529582,0,0,0,0
0.531130,0,0,0,0
0.532692,0,0,0,0
0.534242,0,0,0,0
0.535793,0,0,0,0
0.537386,0,0,0,0
0.538934,0,0,0,0
0.540484,0,0,0,0
0.542033,0,0,0,0
0.543472,0,0,0,0
0.544996,0,0,0,0
0.546545,0,0,0,0
0.548097,0,0,0,0
0.549647,0,0,0,0
0.551195,0,0,0,0
0.552788,0,0,0,0
0.554351,0,0,0,0
0.555904,0,0,0,0
0.557454,0,0,0,0
0.559001,0,0,0,0
0.560550,0,0,0,0
0.562100,0,0,0,0
0.563648,0,0,0,0
0.565167,0,0,0,0
0.566564,0,0,0,0
0.568126,0,0,0,0
0.569679,0,0,0,0
0.571228,0,0,0,0
0.572780,0,0,0,0
0.574332,0,0,0,0
0.575899,0,0,0,0
0.577450,0,0,0,0
0.579000,0,0,0,0
0.580552,0,0,0,0
0.582103,0,0,0,0
0.583653,0,0,0,0
0.585225,0,0,0,0
0.586786,0,0,0,0
0.588339,0,0,0,0
0.589889,0,0,0,0
0.591437,0,0,0,0
0.592992,0,0,0,0
0.594541,0,0,0,0
0.596093,0,0,0,0
0.597655,0,0,0,0
0.599203,0,0,0,0
0.600797,0,0,0,0
0.602348,0,0,0,0
0.603899,0,0,0,0
0.605448,0,0,0,0
0.606996,0,0,0,0
0.608560,0,0,0,0
0.610109,0,0,0,0
0.611657,0,0,0,0
0.613276,0,0,0,0
0.614669,0,0,0,0
0.616229,0,0,0,0
0.617779,0,0,0,0
0.619340,0,0,0,0
0.620942,0,0,0,0
0.622488,0,0,0,0
0.624039,0,0,0,0
0.625589,0,0,0,0
0.627137,0,0,0,0
0.628686,0,0,0,0
0.630249,0,0,0,0
0.631800,0,0,0,0
0.633395,0,0,0,0
0.634943,0,0,0,0
0.636494,0,0,0,0
0.638045,0,0,0,0
0.639594,0,0,0,0
0.641163,0,0,0,0
0.642712,0,0,0,0
0.644264,0,0,0,0
0.645813,0,0,0,0
0.647362,0,0,0,0
0.648975,0,0,0,0
0.650524,0,0,0,0
0.652089,0,0,0,0
0.653640,0,0,0,0
0.655188,0,0,0,0
0.656739,0,0,0,0
0.658289,0,0,0,0
0.659839,0,0,0,0
0.661387,0,0,0,0
0.662945,0,0,0,0
0.664558,0,0,0,0
0.666111,0,0,0,0
0.667660,0,0,0,0
0.669145,0,0,0,0
0.670535,0,0,0,0
0.683939,0,0,0,0
0.685358,0,0,0,0
0.686718,0,0,0,0
0.688064,0,0,0,0
0.689406,0,0,0,0
0.690745,0,0,0,0
0.692086,0,0,0,0
0.693425,0,0,0,0
0.694765,0,0,0,0
0.696158,0,0,0,0
0.697499,0,0,0,0
0.698837,0,0,0,0
0.700175,0,0,0,0
0.701514,0,0,0,0
0.702851,0,0,0,0
0.704191,0,0,0,0
0.705529,0,0,0,0
0.706878,0,0,0,0
0.708216,0,0,0,0
0.709555,0,0,0,0
0.710892,0,0,0,0
0.712359,0,0,0,0
0.713920,0,0,0,0
0.715467,0,0,0,0
0.717019,0,0,0,0
0.718581,0,0,0,0
0.720132,0,0,0,0
0.721682,0,0,0,0
0.723228,0,0,0,0
0.724777,0,0,0,0
0.726187,0,0,0,0
0.727582,0,0,0,0
0.729043,0,0,0,0
0.730433,0,0,0,0
0.731822,0,0,0,0
0.733203,0,0,0,0
0.734583,0,0,0,0
0.736003,0,0,0,0
0.737390,0,0,0,0
0.738903,0,0,0,0
0.740465,0,0,0,0
0.742017,0,0,0,0
0.743567,0,0,0,0
0.745124,0,0,0,0
0.746673,0,0,0,0
0.748226,0,0,0,0
0.749777,0,0,0,0
0.751340,0,0,0,0
0.752960,0,0,0,0
0.754509,0,0,0,0
0.756063,0,0,0,0
0.757605,0,0,0,0
0.759146,0,0,0,0
0.760613,0,0,0,0
0.762055,0,0,0,0
0.763444,0,0,0,0
0.764835,0,0,0,0
0.766221,0,0,0,0
