elapsed_s,VPC_BE_PS_BUSY_CYCLES,VPC_BE_PS_WORKING_CYCLES,VPC_BE_STALL_CYCLES_CCHE,VPC_BE_STARVE_CYCLES_CCHE,VPC_BE_LM_FULL_WAIT_FOR_INTP_END,VPC_BE_CCHE_REQBUF_FULL
0.001096,0,0,0,8373396,0,0
0.002431,0,0,0,4360878,0,0
0.003603,0,0,0,4267752,0,0
0.004772,0,0,0,4257150,0,0
0.005983,0,0,0,4410804,0,0
0.007154,0,0,0,4264344,0,0
0.008322,0,0,0,4253862,0,0
0.009490,0,0,0,4250934,0,0
0.010717,0,0,0,4472754,0,0
0.011888,0,0,0,4261638,0,0
0.013056,0,0,0,4254144,0,0
0.014225,0,0,0,4258614,0,0
0.015394,0,0,0,4257246,0,0
0.016561,0,0,0,4251234,0,0
0.017888,0,0,0,4939818,0,0
0.019091,0,0,0,4289112,0,0
0.020234,0,0,0,4152948,0,0
0.021380,0,0,0,4169070,0,0
0.022552,0,0,0,4268136,0,0
0.023676,0,0,0,4091856,0,0
0.024798,0,0,0,4088160,0,0
0.026126,0,0,0,4898358,0,0
0.027306,0,0,0,4241904,0,0
0.028438,0,0,0,4121772,0,0
0.029565,0,0,0,4101186,0,0
0.030692,0,0,0,4104186,0,0
0.031834,0,0,0,4159956,0,0
0.032958,0,0,0,4089618,0,0
0.034080,0,0,0,4097298,0,0
0.035214,0,0,0,4166538,0,0
0.036356,0,0,0,4111680,0,0
0.037478,0,0,0,4086318,0,0
0.038599,0,0,0,4084866,0,0
0.039722,0,0,0,4089432,0,0
0.040843,0,0,0,4083504,0,0
0.042025,0,0,0,4319028,0,0
0.043148,0,0,0,4068054,0,0
0.044257,0,0,0,4039134,0,0
0.045367,0,0,0,4041738,0,0
0.046478,0,0,0,4047384,0,0
0.047588,0,0,0,4043106,0,0
0.048698,0,0,0,4040100,0,0
0.049807,0,0,0,4041162,0,0
0.050928,0,0,0,4539678,0,0
0.052238,0,0,0,4314354,0,0
0.053353,0,0,0,4058454,0,0
0.054465,0,0,0,4051950,0,0
0.055578,0,0,0,4050954,0,0
0.056687,0,0,0,4042158,0,0
0.057797,0,0,0,4064646,0,0
0.058971,0,0,0,4694292,0,0
0.060196,0,0,0,4461114,0,0
0.061420,0,0,0,4459752,0,0
0.062654,0,0,0,4491606,0,0
0.063877,0,0,0,4458678,0,0
0.065103,0,0,0,4459266,0,0
0.066328,0,0,0,4015230,0,0
0.067429,0,0,0,4457520,0,0
0.068653,0,0,0,4458966,0,0
0.069878,0,0,0,4457820,0,0
0.071102,0,0,0,4458972,0,0
0.072326,0,0,0,4459548,0,0
0.073560,0,0,0,4499268,0,0
0.074925,0,0,0,4919430,0,0
0.076120,0,0,0,4345920,0,0
0.077313,0,0,0,4347684,0,0
0.078557,0,0,0,4529484,0,0
0.079750,0,0,0,4341846,0,0
0.080943,0,0,0,4345716,0,0
0.082185,0,0,0,4524726,0,0
0.083378,0,0,0,4344180,0,0
0.084575,0,0,0,4358178,0,0
0.085784,0,0,0,4407108,0,0
0.086978,0,0,0,4350672,0,0
0.088220,0,0,0,4536384,0,0
0.089476,0,0,0,4583088,0,0
0.090693,0,0,0,4349688,0,0
0.091850,0,0,0,4209996,0,0
0.093006,0,0,0,4211376,0,0
0.094211,0,0,0,4389690,0,0
0.095371,0,0,0,4225098,0,0
0.096527,0,0,0,4205136,0,0
0.097680,0,0,0,4204290,0,0
0.098839,0,0,0,4218894,0,0
0.099993,0,0,0,4200132,0,0
0.101146,282,351,0,4199376,0,0
0.102350,0,0,0,4387560,0,0
0.103505,0,0,0,4203834,0,0
0.104659,0,0,0,4203246,0,0
0.105816,0,0,0,4400412,0,0
0.107043,0,0,0,4347990,0,0
0.108237,0,0,0,4345434,0,0
0.109431,0,0,0,4356906,0,0
0.110696,0,0,0,4218396,0,0
0.111821,0,0,0,4095078,0,0
0.112944,0,0,0,4090674,0,0
0.114071,0,0,0,4106436,0,0
0.115195,0,0,0,4092246,0,0
0.116341,0,0,0,4172184,0,0
0.117463,909,1188,0,7071630,0,0
0.118668,975,1248,0,7949034,0,0
0.119873,975,1248,0,7958802,0,0
0.121078,900,1248,0,7955184,0,0
0.122305,1050,1266,0,8211810,0,0
0.123587,975,1248,0,8352690,0,0
0.124842,1050,1344,0,8265936,0,0
0.126094,975,1248,0,8269686,0,0
0.127471,1125,1440,0,9236046,0,0
0.128885,1125,1440,0,9323694,0,0
