elapsed_s,TSE_SETUP_FDP3_2_WORKING_CYCLE_L3,TSE_SETUP_FDP3_3_WORKING_CYCLE_L3,TSE_SETUP_FDP3_4_WORKING_CYCLE_L3,TSE_SETUP_FDP3_5_WORKING_CYCLE_L3
0.001095,0,0,0,0
0.002591,0,0,0,0
0.004010,0,0,0,0
0.005426,0,0,0,0
0.006841,0,0,0,0
0.008254,0,0,0,0
0.009670,0,0,0,0
0.011165,0,0,0,0
0.012581,0,0,0,0
0.013995,0,0,0,0
0.015409,0,0,0,0
0.016991,0,0,0,0
0.018474,0,0,0,0
0.019832,0,0,0,0
0.021208,0,0,0,0
0.022558,0,0,0,0
0.023907,0,0,0,0
0.025255,0,0,0,0
0.026652,0,0,0,0
0.028000,0,0,0,0
0.029346,0,0,0,0
0.030694,0,0,0,0
0.032058,0,0,0,0
0.033397,0,0,0,0
0.034774,0,0,0,0
0.036077,0,0,0,0
0.037368,0,0,0,0
0.038707,0,0,0,0
0.040005,0,0,0,0
0.041293,0,0,0,0
0.042637,0,0,0,0
0.043938,0,0,0,0
0.045228,0,0,0,0
0.046518,0,0,0,0
0.047808,0,0,0,0
0.049098,0,0,0,0
0.050461,0,0,0,0
0.051751,0,0,0,0
0.053044,0,0,0,0
0.054353,0,0,0,0
0.055685,0,0,0,0
0.057019,0,0,0,0
0.058353,0,0,0,0
0.059716,0,0,0,0
0.061058,0,0,0,0
0.062404,0,0,0,0
0.063762,0,0,0,0
0.065102,0,0,0,0
0.067504,0,0,0,0
0.068959,273,273,273,273
0.070480,0,0,0,0
0.072148,0,0,0,0
0.073573,0,0,0,0
0.076650,0,0,0,0
0.078163,0,0,0,0
0.079903,504,504,504,504
0.081160,819,819,819,882
0.082534,945,945,1008,945
0.083775,819,882,819,819
0.084975,819,756,756,819
0.086231,882,882,882,819
0.087476,819,819,819,819
0.088716,819,819,882,882
0.089971,882,882,819,819
0.091211,819,819,819,819
0.092449,819,819,819,819
0.093688,882,882,882,882
0.095103,945,945,945,945
0.096424,882,882,882,882
0.097670,819,819,819,819
0.098951,882,882,882,882
0.100279,882,882,882,945
0.101550,882,882,882,819
0.102792,819,819,819,819
0.104045,672,672,672,672
0.105587,0,0,0,0
0.107822,0,0,0,0
0.109212,0,0,0,0
0.110721,0,0,0,0
0.112353,0,0,0,0
0.113814,0,0,0,0
0.115295,0,0,0,0
0.116683,0,0,0,0
0.118162,0,0,0,0
0.119606,0,0,0,0
0.120986,0,0,0,0
0.122365,0,0,0,0
0.123741,0,0,0,0
0.125119,0,0,0,0
0.129503,0,0,0,0
0.131024,0,0,0,0
0.132421,0,0,0,0
0.133765,0,0,0,0
0.135108,0,0,0,0
0.136447,0,0,0,0
0.137802,0,0,0,0
0.139188,0,0,0,0
0.140548,0,0,0,0
0.141890,0,0,0,0
0.143231,0,0,0,0
0.144569,0,0,0,0
0.145906,0,0,0,0
0.147258,0,0,0,0
0.148650,0,0,0,0
0.150098,0,0,0,0
0.151565,0,0,0,0
0.152949,0,0,0,0
0.154336,0,0,0,0
0.155722,0,0,0,0
0.157106,0,0,0,0
0.158493,0,0,0,0
0.159863,0,0,0,0
0.161374,0,0,0,0
0.162965,0,0,0,0
0.164393,0,0,0,0
0.165921,0,0,0,0
0.167471,0,0,0,0
0.169020,0,0,0,0
0.170586,0,0,0,0
0.172137,0,0,0,0
0.173686,0,0,0,0
0.175241,0,0,0,0
0.176790,0,0,0,0
0.178385,0,0,0,0
0.179936,0,0,0,0
0.181498,0,0,0,0
0.183112,0,0,0,0
0.184661,0,0,0,0
0.186212,0,0,0,0
0.187762,0,0,0,0
0.189311,0,0,0,0
0.190860,0,0,0,0
0.192422,0,0,0,0
0.193974,0,0,0,0
0.195568,0,0,0,0
0.197116,0,0,0,0
0.198666,0,0,0,0
0.200217,0,0,0,0
0.201765,0,0,0,0
0.203333,0,0,0,0
0.204881,0,0,0,0
0.206433,0,0,0,0
0.207983,0,0,0,0
0.209532,0,0,0,0
0.211031,0,0,0,0
0.212550,0,0,0,0
0.214114,0,0,0,0
0.215665,0,0,0,0
0.217213,0,0,0,0
0.218762,0,0,0,0
0.220312,0,0,0,0
0.221865,0,0,0,0
0.223416,0,0,0,0
0.224978,0,0,0,0
0.226425,0,0,0,0
0.227971,0,0,0,0
0.229520,0,0,0,0
0.231129,0,0,0,0
0.232678,0,0,0,0
0.234229,0,0,0,0
0.235669,0,0,0,0
0.237189,0,0,0,0
0.238738,0,0,0,0
0.240289,0,0,0,0
0.241900,0,0,0,0
0.243575,0,0,0,0
0.245124,0,0,0,0
0.246688,0,0,0,0
0.248239,0,0,0,0
0.249787,0,0,0,0
0.251338,0,0,0,0
0.252888,0,0,0,0
0.254440,0,0,0,0
0.255990,0,0,0,0
0.257551,0,0,0,0
0.259066,0,0,0,0
0.260585,0,0,0,0
0.262137,0,0,0,0
0.263688,0,0,0,0
0.265236,0,0,0,0
0.266787,0,0,0,0
0.268349,0,0,0,0
0.269901,0,0,0,0
0.271452,0,0,0,0
0.273001,0,0,0,0
0.274596,0,0,0,0
0.276147,0,0,0,0
0.277696,0,0,0,0
0.279265,0,0,0,0
0.280814,0,0,0,0
0.282366,0,0,0,0
0.283917,0,0,0,0
0.285465,0,0,0,0
0.287015,0,0,0,0
0.288565,0,0,0,0
0.290128,0,0,0,0
0.291724,0,0,0,0
0.293272,0,0,0,0
0.294823,0,0,0,0
0.296373,0,0,0,0
0.297924,0,0,0,0
0.299475,0,0,0,0
0.301037,0,0,0,0
0.302589,0,0,0,0
0.304139,0,0,0,0
0.305687,0,0,0,0
0.307244,0,0,0,0
0.308792,0,0,0,0
0.310344,0,0,0,0
0.311908,0,0,0,0
0.313456,0,0,0,0
0.315005,0,0,0,0
0.316556,0,0,0,0
0.318107,0,0,0,0
0.319658,0,0,0,0
0.321206,0,0,0,0
0.322812,0,0,0,0
0.324363,0,0,0,0
0.325914,0,0,0,0
0.327463,0,0,0,0
0.329011,0,0,0,0
0.330563,0,0,0,0
0.332112,0,0,0,0
0.333675,0,0,0,0
0.335320,0,0,0,0
0.336706,0,0,0,0
0.338090,0,0,0,0
0.339647,0,0,0,0
0.341192,0,0,0,0
0.342741,0,0,0,0
0.344302,0,0,0,0
0.345905,0,0,0,0
0.347497,0,0,0,0
0.349045,0,0,0,0
0.350792,0,0,0,0
0.352343,0,0,0,0
0.353893,0,0,0,0
0.355494,0,0,0,0
0.357041,0,0,0,0
0.358592,0,0,0,0
0.360140,0,0,0,0
0.361687,0,0,0,0
0.363239,0,0,0,0
0.364664,0,0,0,0
0.366203,0,0,0,0
0.367752,0,0,0,0
0.369298,0,0,0,0
0.370970,0,0,0,0
0.372495,0,0,0,0
0.374197,0,0,0,0
0.375662,0,0,0,0
0.377190,0,0,0,0
0.378741,0,0,0,0
0.380291,0,0,0,0
0.381816,0,0,0,0
0.383221,0,0,0,0
0.384623,0,0,0,0
0.386015,0,0,0,0
0.387457,0,0,0,0
0.388845,0,0,0,0
0.390822,0,0,0,0
0.392807,0,0,0,0
0.394399,0,0,0,0
0.395789,0,0,0,0
0.397168,0,0,0,0
0.398566,0,0,0,0
