elapsed_s,TSE_SETUP_FMUL_WORKING_CYCLE_L2,TSE_SETUP_FMUL_0_WORKING_CYCLE_L3,TSE_SETUP_FMUL_1_WORKING_CYCLE_L3,TSE_SETUP_FMUL_2_WORKING_CYCLE_L3
0.001122,0,0,0,0
0.002582,0,0,0,0
0.004000,0,0,0,0
0.005505,0,0,0,0
0.006919,0,0,0,0
0.008347,0,0,0,0
0.009774,0,0,0,0
0.011188,0,0,0,0
0.012604,0,0,0,0
0.014018,0,0,0,0
0.015433,0,0,0,0
0.016848,0,0,0,0
0.018264,0,0,0,0
0.019684,0,0,0,0
0.021110,0,0,0,0
0.022525,0,0,0,0
0.023940,0,0,0,0
0.025470,0,0,0,0
0.026882,0,0,0,0
0.028405,0,0,0,0
0.029863,0,0,0,0
0.031287,0,0,0,0
0.032702,0,0,0,0
0.034117,0,0,0,0
0.035530,0,0,0,0
0.036942,0,0,0,0
0.038355,0,0,0,0
0.039768,0,0,0,0
0.041182,0,0,0,0
0.042605,0,0,0,0
0.044018,0,0,0,0
0.045493,0,0,0,0
0.046886,0,0,0,0
0.048303,0,0,0,0
0.049696,0,0,0,0
0.051089,0,0,0,0
0.052627,0,0,0,0
0.054027,0,0,0,0
0.055422,0,0,0,0
0.056816,0,0,0,0
0.058211,0,0,0,0
0.059603,0,0,0,0
0.061036,0,0,0,0
0.062379,0,0,0,0
0.063718,0,0,0,0
0.065068,0,0,0,0
0.066409,0,0,0,0
0.067747,0,0,0,0
0.069087,0,0,0,0
0.070442,0,0,0,0
0.071782,0,0,0,0
0.073120,0,0,0,0
0.074471,0,0,0,0
0.075817,0,0,0,0
0.077185,0,0,0,0
0.078619,0,0,0,0
0.080047,0,0,0,0
0.081511,0,0,0,0
0.082903,0,0,0,0
0.084350,0,0,0,0
0.085749,0,0,0,0
0.087197,0,0,0,0
0.088550,0,0,0,0
0.089892,0,0,0,0
0.091233,273,273,273,273
0.092442,0,0,0,0
0.093862,0,0,0,0
0.095251,0,0,0,0
0.096637,0,0,0,0
0.098034,0,0,0,0
0.099417,0,0,0,0
0.100809,0,0,0,0
0.102424,504,504,504,504
0.103665,819,819,819,819
0.105024,945,945,945,945
0.106264,819,819,819,819
0.107504,819,819,882,882
0.109695,1512,1512,1449,1449
0.110935,819,819,819,819
0.112177,882,882,882,882
0.113421,819,819,819,819
0.114660,819,819,819,819
0.115840,819,819,819,819
0.117084,819,819,819,819
0.118475,945,945,945,945
0.119714,819,819,819,819
0.120956,882,882,882,882
0.122200,819,819,819,819
0.123444,819,819,819,819
0.124735,882,882,882,882
0.125978,819,819,819,819
0.127221,231,231,231,231
0.128682,0,0,0,0
0.130115,0,0,0,0
0.131495,0,0,0,0
0.132873,0,0,0,0
0.134253,0,0,0,0
0.135630,0,0,0,0
0.137008,0,0,0,0
0.138399,0,0,0,0
0.139777,0,0,0,0
0.141206,0,0,0,0
0.142563,0,0,0,0
0.143919,0,0,0,0
0.145273,0,0,0,0
0.146629,0,0,0,0
0.147984,0,0,0,0
0.149438,0,0,0,0
0.150792,0,0,0,0
0.152147,0,0,0,0
0.153611,0,0,0,0
0.154944,0,0,0,0
0.156263,0,0,0,0
0.157619,0,0,0,0
0.158928,0,0,0,0
0.160245,0,0,0,0
0.161544,0,0,0,0
0.162840,0,0,0,0
0.164136,0,0,0,0
0.165545,0,0,0,0
0.166854,0,0,0,0
0.168150,0,0,0,0
0.169451,0,0,0,0
0.170753,0,0,0,0
0.172061,0,0,0,0
0.173469,0,0,0,0
0.174794,0,0,0,0
0.176120,0,0,0,0
0.178545,0,0,0,0
0.179871,0,0,0,0
0.181201,0,0,0,0
0.182588,0,0,0,0
0.183990,0,0,0,0
0.185357,0,0,0,0
0.186743,0,0,0,0
0.188141,0,0,0,0
0.189685,0,0,0,0
0.191103,0,0,0,0
0.192647,0,0,0,0
0.194038,0,0,0,0
0.195383,0,0,0,0
0.196724,0,0,0,0
0.198062,0,0,0,0
0.199401,0,0,0,0
0.200739,0,0,0,0
0.202077,0,0,0,0
0.203432,0,0,0,0
0.204904,0,0,0,0
0.206340,0,0,0,0
0.207858,0,0,0,0
0.209407,0,0,0,0
0.210956,0,0,0,0
0.212506,0,0,0,0
0.214071,0,0,0,0
0.215619,0,0,0,0
0.217169,0,0,0,0
0.218719,0,0,0,0
0.220147,0,0,0,0
0.221675,0,0,0,0
0.223223,0,0,0,0
0.224789,0,0,0,0
0.226339,0,0,0,0
0.227886,0,0,0,0
0.229307,0,0,0,0
0.230826,0,0,0,0
0.232377,0,0,0,0
0.233926,0,0,0,0
0.235486,0,0,0,0
0.237079,0,0,0,0
0.238628,0,0,0,0
0.240176,0,0,0,0
0.241729,0,0,0,0
0.243277,0,0,0,0
0.244912,0,0,0,0
0.248584,0,0,0,0
0.250056,0,0,0,0
0.253570,0,0,0,0
0.254928,0,0,0,0
0.256272,0,0,0,0
0.257633,0,0,0,0
0.258971,0,0,0,0
0.260310,0,0,0,0
0.261648,0,0,0,0
0.262985,0,0,0,0
0.264325,0,0,0,0
0.265662,0,0,0,0
0.266999,0,0,0,0
0.268350,0,0,0,0
0.269816,0,0,0,0
0.271378,0,0,0,0
0.272931,0,0,0,0
0.274480,0,0,0,0
0.276028,0,0,0,0
0.277581,0,0,0,0
0.279143,0,0,0,0
0.280694,0,0,0,0
0.282243,0,0,0,0
0.283789,0,0,0,0
0.285383,0,0,0,0
0.286933,0,0,0,0
0.288481,0,0,0,0
0.290042,0,0,0,0
0.291591,0,0,0,0
0.293141,0,0,0,0
0.294690,0,0,0,0
0.296321,0,0,0,0
0.297821,0,0,0,0
0.299212,0,0,0,0
0.300783,0,0,0,0
0.302334,0,0,0,0
0.303882,0,0,0,0
0.305322,0,0,0,0
0.306845,0,0,0,0
0.308395,0,0,0,0
0.309945,0,0,0,0
0.311381,0,0,0,0
0.312902,0,0,0,0
0.314449,0,0,0,0
0.315874,0,0,0,0
0.317444,0,0,0,0
0.318995,0,0,0,0
0.320547,0,0,0,0
0.322113,0,0,0,0
0.323663,0,0,0,0
0.325213,0,0,0,0
0.326765,0,0,0,0
0.328318,0,0,0,0
0.329861,0,0,0,0
0.331401,0,0,0,0
0.332873,0,0,0,0
0.334393,0,0,0,0
0.335983,0,0,0,0
0.337537,0,0,0,0
0.339084,0,0,0,0
0.340636,0,0,0,0
0.342183,0,0,0,0
0.343744,0,0,0,0
0.345318,0,0,0,0
0.346873,0,0,0,0
0.348710,0,0,0,0
0.350255,0,0,0,0
0.351804,0,0,0,0
0.353354,0,0,0,0
0.354919,0,0,0,0
0.356471,0,0,0,0
0.358022,0,0,0,0
0.359572,0,0,0,0
0.361122,0,0,0,0
0.362674,0,0,0,0
0.364222,0,0,0,0
0.365993,0,0,0,0
0.367542,0,0,0,0
0.369095,0,0,0,0
0.370646,0,0,0,0
0.372195,0,0,0,0
0.373816,0,0,0,0
0.375365,0,0,0,0
0.376930,0,0,0,0
0.378481,0,0,0,0
0.380030,0,0,0,0
0.381585,0,0,0,0
0.383136,0,0,0,0
0.384687,0,0,0,0
