elapsed_s,RAS_LRZ_INTF_WORKING_CYCLES,RAS_BLOCKS,RAS_FALSE_PARTIAL_STILE,RAS_SLICE_BLOCK_NONEMTPY
0.001099,0,0,0,0
0.002553,0,0,0,0
0.003982,0,0,0,0
0.005456,0,0,0,0
0.006872,0,0,0,0
0.008286,0,0,0,0
0.009712,0,0,0,0
0.011127,0,0,0,0
0.012542,0,0,0,0
0.013958,0,0,0,0
0.015373,0,0,0,0
0.016937,0,0,0,0
0.018368,0,0,0,0
0.019780,0,0,0,0
0.021164,0,0,0,0
0.022537,0,0,0,0
0.023909,0,0,0,0
0.025503,0,0,0,0
0.026905,0,0,0,0
0.028285,0,0,0,0
0.029659,0,0,0,0
0.031061,0,0,0,0
0.032482,0,0,0,0
0.033854,0,0,0,0
0.035227,0,0,0,0
0.036669,0,0,0,0
0.038011,0,0,0,0
0.039352,0,0,0,0
0.040746,0,0,0,0
0.042114,0,0,0,0
0.043462,0,0,0,0
0.044861,0,0,0,0
0.046207,0,0,0,0
0.047551,0,0,0,0
0.048969,0,0,0,0
0.050315,0,0,0,0
0.051663,0,0,0,0
0.053094,0,0,0,0
0.054427,0,0,0,0
0.055758,0,0,0,0
0.057229,0,0,0,0
0.058570,0,0,0,0
0.059952,0,0,0,0
0.061285,0,0,0,0
0.062624,0,0,0,0
0.063966,0,0,0,0
0.065297,0,0,0,0
0.066627,0,0,0,0
0.067960,0,0,0,0
0.069293,0,0,0,0
0.070581,0,0,0,0
0.071870,0,0,0,0
0.073165,0,0,0,0
0.074509,0,0,0,0
0.075798,0,0,0,0
0.077087,0,0,0,0
0.078379,0,0,0,0
0.079669,0,0,0,0
0.081036,0,0,0,0
0.082347,0,0,0,0
0.083615,0,0,0,0
0.084917,0,0,0,0
0.086174,0,0,0,0
0.087430,0,0,0,0
0.088707,0,0,0,0
0.090048,0,0,0,0
0.091440,0,0,0,0
0.092779,0,0,0,0
0.094119,0,0,0,0
0.095487,24,0,0,0
0.096835,0,0,0,0
0.098218,0,0,0,0
0.099591,0,0,0,0
0.101005,0,0,0,0
0.102449,0,0,0,0
0.103990,0,0,0,0
0.105470,0,0,0,0
0.106921,0,0,0,0
0.108342,162,0,0,0
0.109582,273,0,0,0
0.110821,291,0,0,0
0.112124,297,0,0,0
0.113403,273,0,0,0
0.114647,291,0,0,0
0.115945,294,0,0,0
0.117242,276,0,0,0
0.118483,294,0,0,0
0.119725,294,0,0,0
0.121093,291,0,0,0
0.122460,402,0,0,0
0.124190,294,0,0,0
0.125441,273,0,0,0
0.126813,315,0,0,0
0.128094,291,0,0,0
0.129343,276,0,0,0
0.130836,336,0,0,0
0.132254,237,0,0,0
0.133689,0,0,0,0
0.135069,0,0,0,0
0.136483,0,0,0,0
0.137865,0,0,0,0
0.139244,0,0,0,0
0.140622,0,0,0,0
0.142001,0,0,0,0
0.143390,0,0,0,0
0.144771,0,0,0,0
0.146152,0,0,0,0
0.147530,0,0,0,0
0.148957,0,0,0,0
0.150314,0,0,0,0
0.151669,0,0,0,0
0.153064,0,0,0,0
0.154426,0,0,0,0
0.155781,0,0,0,0
0.157131,0,0,0,0
0.158485,0,0,0,0
0.159840,0,0,0,0
0.161177,0,0,0,0
0.162508,0,0,0,0
0.163824,0,0,0,0
0.165228,0,0,0,0
0.166536,0,0,0,0
0.167835,0,0,0,0
0.169137,0,0,0,0
0.170433,0,0,0,0
0.171728,0,0,0,0
0.173034,0,0,0,0
0.174327,0,0,0,0
0.175641,0,0,0,0
0.177032,0,0,0,0
0.178374,0,0,0,0
0.179715,0,0,0,0
0.181961,0,0,0,0
0.183303,0,0,0,0
0.184644,0,0,0,0
0.186171,0,0,0,0
0.187609,0,0,0,0
0.189036,0,0,0,0
0.190458,0,0,0,0
0.191954,0,0,0,0
0.193392,0,0,0,0
0.194829,0,0,0,0
0.196199,0,0,0,0
0.197751,0,0,0,0
0.199682,0,0,0,0
0.201213,0,0,0,0
0.202759,0,0,0,0
0.204309,0,0,0,0
