elapsed_s,TP_NEVER_COUNT,TP_BUSY_CYCLES,TP_STALL_CYCLES_UCHE,TP_LATENCY_CYCLES,TP_LATENCY_TRANS,TP_FLAG_FIFO_DELAY_SAMPLES,TP_FLAG_FIFO_DELAY_CYCLES,TP_L1_CACHELINE_REQUESTS,TP_L1_CACHELINE_MISSES,TP_SP_TP_TRANS,TP_TP_SP_TRANS,TP_OUTPUT_PIXELS
0.001080,0,0,0,0,0,0,0,0,0,0,0,0
0.002612,0,0,0,0,0,0,0,0,0,0,0,0
0.004080,0,0,0,0,0,0,0,0,0,0,0,0
0.005528,0,0,0,0,0,0,0,0,0,0,0,0
0.006974,0,0,0,0,0,0,0,0,0,0,0,0
0.008464,0,0,0,0,0,0,0,0,0,0,0,0
0.010362,0,0,0,0,0,0,0,0,0,0,0,0
0.011943,0,0,0,0,0,0,0,0,0,0,0,0
0.013415,0,0,0,0,0,0,0,0,0,0,0,0
0.014897,0,0,0,0,0,0,0,0,0,0,0,0
0.016511,0,0,0,0,0,0,0,0,0,0,0,0
0.017975,0,0,0,0,0,0,0,0,0,0,0,0
0.019397,0,0,0,0,0,0,0,0,0,0,0,0
0.020808,0,0,0,0,0,0,0,0,0,0,0,0
0.022205,0,0,0,0,0,0,0,0,0,0,0,0
0.023697,0,0,0,0,0,0,0,0,0,0,0,0
0.025160,0,0,0,0,0,0,0,0,0,0,0,0
0.026510,0,0,0,0,0,0,0,0,0,0,0,0
0.027911,0,0,0,0,0,0,0,0,0,0,0,0
0.029263,0,0,0,0,0,0,0,0,0,0,0,0
0.030616,0,0,0,0,0,0,0,0,0,0,0,0
0.032100,0,0,0,0,0,0,0,0,0,0,0,0
0.033407,0,0,0,0,0,0,0,0,0,0,0,0
0.034693,0,0,0,0,0,0,0,0,0,0,0,0
0.035996,0,0,0,0,0,0,0,0,0,0,0,0
0.037351,0,0,0,0,0,0,0,0,0,0,0,0
0.038707,0,0,0,0,0,0,0,0,0,0,0,0
0.040120,0,0,0,0,0,0,0,0,0,0,0,0
0.041514,0,0,0,0,0,0,0,0,0,0,0,0
0.042927,0,0,0,0,0,0,0,0,0,0,0,0
