elapsed_s,TP_RESERVED_72,TP_RESERVED_73,TP_RESERVED_74,TP_RESERVED_75,TP_RESERVED_76,TP_RESERVED_77,TP_RESERVED_78,TP_RESERVED_79,TP_RESERVED_80,TP_RESERVED_81,TP_RESERVED_82,TP_RESERVED_83
0.001128,0,0,0,0,0,0,0,0,0,0,0,0
0.002746,0,0,0,0,0,0,0,0,0,0,0,0
0.004244,0,0,0,0,0,0,0,0,0,0,0,0
0.005735,0,0,0,0,0,0,0,0,0,0,0,0
0.007225,0,0,0,0,0,0,0,0,0,0,0,0
0.008711,0,0,0,0,0,0,0,0,0,0,0,0
0.010252,0,0,0,0,0,0,0,0,0,0,0,0
0.011748,0,0,0,0,0,0,0,0,0,0,0,0
0.013236,0,0,0,0,0,0,0,0,0,0,0,0
0.014725,0,0,0,0,0,0,0,0,0,0,0,0
0.016212,0,0,0,0,0,0,0,0,0,0,0,0
0.017710,0,0,0,0,0,0,0,0,0,0,0,0
0.019163,0,0,0,0,0,0,0,0,0,0,0,0
0.020606,0,0,0,0,0,0,0,0,0,0,0,0
0.022038,0,0,0,0,0,0,0,0,0,0,0,0
0.023453,0,0,0,0,0,0,0,0,0,0,0,0
0.024911,0,0,0,0,0,0,0,0,0,0,0,0
0.026333,0,0,0,0,0,0,0,0,0,0,0,0
0.027751,0,0,0,0,0,0,0,0,0,0,0,0
0.029216,0,0,0,0,0,0,0,0,0,0,0,0
0.030686,0,0,0,0,0,0,0,0,0,0,0,0
0.032111,0,0,0,0,0,0,0,0,0,0,0,0
0.033620,0,0,0,0,0,0,0,0,0,0,0,0
0.034976,0,0,0,0,0,0,0,0,0,0,0,0
0.036438,0,0,0,0,0,0,0,0,0,0,0,0
0.037949,0,0,0,0,0,0,0,0,0,0,0,0
0.039414,0,0,0,0,0,0,0,0,0,0,0,0
0.040880,0,0,0,0,0,0,0,0,0,0,0,0
0.042342,0,0,0,0,0,0,0,0,0,0,0,0
0.043693,0,0,0,0,0,0,0,0,0,0,0,0
0.045043,0,0,0,0,0,0,0,0,0,0,0,0
0.046439,0,0,0,0,0,0,0,0,0,0,0,0
0.047833,0,0,0,0,0,0,0,0,0,0,0,0
0.049293,0,0,0,0,0,0,0,0,0,0,0,0
0.050688,0,0,0,0,0,0,0,0,0,0,0,0
0.052135,0,0,0,0,0,0,0,0,0,0,0,0
0.053551,0,0,0,0,0,0,0,0,0,0,0,0
0.054934,0,0,0,0,0,0,0,0,0,0,0,0
0.056318,0,0,0,0,0,0,0,0,0,0,0,0
0.057709,0,0,0,0,0,0,0,0,0,0,0,0
0.059095,0,0,0,0,0,0,0,0,0,0,0,0
0.060492,0,0,0,0,0,0,0,0,0,0,0,0
0.061933,0,0,0,0,0,0,0,0,0,0,0,0
0.063334,0,0,0,0,0,0,0,0,0,0,0,0
0.064727,0,0,0,0,0,0,0,0,0,0,0,0
0.066124,0,0,0,0,0,0,0,0,0,0,0,0
0.067525,0,0,0,0,0,0,0,0,0,0,0,0
0.068783,0,0,0,0,0,0,0,0,0,0,0,0
0.070182,0,0,0,0,0,0,0,0,0,0,0,0
0.071568,0,0,0,0,0,0,0,0,0,0,0,0
0.072961,0,0,0,0,0,0,0,0,0,0,0,0
0.074362,0,0,0,0,0,0,0,0,0,0,0,0
0.075753,0,0,0,0,0,0,0,0,0,0,0,0
0.077229,0,0,0,0,0,0,0,0,0,0,0,0
0.078664,0,0,0,0,0,0,0,0,0,0,0,0
0.080463,0,0,0,0,0,0,0,0,0,0,0,0
0.081722,0,0,0,0,0,0,0,0,0,0,0,0
0.083031,0,0,0,0,0,0,0,0,0,0,0,0
0.084318,0,0,0,0,0,0,0,0,0,0,0,0
0.086309,0,0,0,0,0,0,0,0,0,0,0,0
0.087595,0,0,0,0,0,0,0,0,0,0,0,0
0.088920,0,0,0,0,0,0,0,0,0,0,0,0
0.090212,0,0,0,0,0,0,0,0,0,0,0,0
0.091498,0,0,0,0,0,0,0,0,0,0,0,0
0.092785,0,0,0,0,0,0,0,0,0,0,0,0
0.094072,0,0,0,0,0,0,0,0,0,0,0,0
0.095354,0,0,0,0,0,0,0,0,0,0,0,0
0.096637,0,0,0,0,0,0,0,0,0,0,0,0
0.098019,0,0,0,0,0,0,0,0,0,0,0,0
0.099305,0,0,0,0,0,0,0,0,0,0,0,0
0.100589,0,0,0,0,0,0,0,0,0,0,0,0
0.101876,0,0,0,0,0,0,0,0,0,0,0,0
0.103225,0,0,0,0,0,0,0,0,0,0,0,0
0.104795,0,0,0,0,0,0,0,0,0,0,0,0
0.106254,0,0,0,0,0,0,0,0,0,0,0,0
0.107689,0,0,0,0,0,0,0,0,0,0,0,0
0.109201,0,0,0,0,0,0,0,0,0,0,0,0
0.110652,0,0,0,0,0,0,0,0,0,0,0,0
0.112329,0,0,0,0,0,0,0,0,0,0,0,0
0.113808,0,0,0,0,0,0,0,0,0,0,0,0
0.115249,0,0,0,0,0,0,0,0,0,0,0,0
0.116678,0,0,0,0,0,0,0,0,0,0,0,0
0.118071,0,0,0,0,0,0,0,0,0,0,0,0
0.119499,0,0,0,0,0,0,0,0,0,0,0,0
0.120932,0,0,0,0,0,0,0,0,0,0,0,0
0.126098,0,0,0,0,0,0,0,0,0,0,0,0
0.127523,0,0,0,0,0,0,0,0,0,0,0,0
0.128985,0,0,0,0,0,0,0,0,0,0,0,0
0.130473,0,0,0,0,0,0,0,0,0,0,0,0
0.131901,0,0,0,0,0,0,0,0,0,0,0,0
0.133328,0,0,0,0,0,0,0,0,0,0,0,0
0.134752,0,0,0,0,0,0,0,0,0,0,0,0
0.136356,0,0,0,0,0,0,0,0,0,0,0,0
0.137864,0,0,0,0,0,0,0,0,0,0,0,0
0.139386,0,0,0,0,0,0,0,0,0,0,0,0
0.140791,0,0,0,0,0,0,0,0,0,0,0,0
0.142179,0,0,0,0,0,0,0,0,0,0,0,0
0.143561,0,0,0,0,0,0,0,0,0,0,0,0
0.144944,0,0,0,0,0,0,0,0,0,0,0,0
0.146448,0,0,0,0,0,0,0,0,0,0,0,0
0.147882,0,0,0,0,0,0,0,0,0,0,0,0
0.149323,0,0,0,0,0,0,0,0,0,0,0,0
0.150755,0,0,0,0,0,0,0,0,0,0,0,0
0.152185,0,0,0,0,0,0,0,0,0,0,0,0
0.153614,0,0,0,0,0,0,0,0,0,0,0,0
0.155172,0,0,0,0,0,0,0,0,0,0,0,0
0.156654,0,0,0,0,0,0,0,0,0,0,0,0
0.158223,0,0,0,0,0,0,0,0,0,0,0,0
0.159816,0,0,0,0,0,0,0,0,0,0,0,0
0.161456,0,0,0,0,0,0,0,0,0,0,0,0
0.163052,0,0,0,0,0,0,0,0,0,0,0,0
0.164646,0,0,0,0,0,0,0,0,0,0,0,0
0.166246,0,0,0,0,0,0,0,0,0,0,0,0
0.167853,0,0,0,0,0,0,0,0,0,0,0,0
0.169450,0,0,0,0,0,0,0,0,0,0,0,0
