elapsed_s,TP_RESERVED_120,TP_RESERVED_121,TP_RESERVED_122,TP_RESERVED_123,TP_RESERVED_124,TP_RESERVED_125,TP_RESERVED_126,TP_RESERVED_127,TP_FORMAT_DECOMP_BILINEAR,TP_PACKED_POINT_BOTH_VALID_FP16,TP_PACKED_POINT_SINGLE_VALID_FP16,TP_PACKED_POINT_BOTH_VALID_FP32
0.001253,0,0,0,0,0,0,0,0,0,0,0,0
0.002939,0,0,0,0,0,0,0,0,0,0,0,0
0.004547,0,0,0,0,0,0,0,0,0,0,0,0
0.006216,0,0,0,0,0,0,0,0,0,0,0,0
0.007823,0,0,0,0,0,0,0,0,0,0,0,0
0.009455,0,0,0,0,0,0,0,0,0,0,0,0
0.011362,0,0,0,0,0,0,0,0,0,0,0,0
0.013117,0,0,0,0,0,0,0,0,0,0,0,0
0.014782,0,0,0,0,0,0,0,0,0,0,0,0
0.016482,0,0,0,0,0,0,0,0,0,0,0,0
0.018050,0,0,0,0,0,0,0,0,0,0,0,0
0.019768,0,0,0,0,0,0,0,0,0,0,0,0
0.021496,0,0,0,0,0,0,0,0,0,0,0,0
0.022946,0,0,0,0,0,0,0,0,0,0,0,0
0.024388,0,0,0,0,0,0,0,0,0,0,0,0
0.025877,0,0,0,0,0,0,0,0,0,0,0,0
0.027317,0,0,0,0,0,0,0,0,0,0,0,0
0.028756,0,0,0,0,0,0,0,0,0,0,0,0
0.030307,0,0,0,0,0,0,0,0,0,0,0,0
0.031764,0,0,0,0,0,0,0,0,0,0,0,0
0.033257,0,0,0,0,0,0,0,0,0,0,0,0
0.034782,0,0,0,0,0,0,0,0,0,0,0,0
0.036264,0,0,0,0,0,0,0,0,0,0,0,0
0.037709,0,0,0,0,0,0,0,0,0,0,0,0
0.039127,0,0,0,0,0,0,0,0,0,0,0,0
0.040557,0,0,0,0,0,0,0,0,0,0,0,0
0.041975,0,0,0,0,0,0,0,0,0,0,0,0
0.043396,0,0,0,0,0,0,0,0,0,0,0,0
0.044812,0,0,0,0,0,0,0,0,0,0,0,0
0.046300,0,0,0,0,0,0,0,0,0,0,0,0
0.047717,0,0,0,0,0,0,0,0,0,0,0,0
0.049138,0,0,0,0,0,0,0,0,0,0,0,0
0.050578,0,0,0,0,0,0,0,0,0,0,0,0
0.052140,0,0,0,0,0,0,0,0,0,0,0,0
0.053743,0,0,0,0,0,0,0,0,0,0,0,0
0.055333,0,0,0,0,0,0,0,0,0,0,0,0
0.056906,0,0,0,0,0,0,0,0,0,0,0,0
0.058470,0,0,0,0,0,0,0,0,0,0,0,0
0.059865,0,0,0,0,0,0,0,0,0,0,0,0
0.061264,0,0,0,0,0,0,0,0,0,0,0,0
0.062657,0,0,0,0,0,0,0,0,0,0,0,0
0.064052,0,0,0,0,0,0,0,0,0,0,0,0
0.065447,0,0,0,0,0,0,0,0,0,0,0,0
0.066841,0,0,0,0,0,0,0,0,0,0,0,0
0.068241,0,0,0,0,0,0,0,0,0,0,0,0
0.069704,0,0,0,0,0,0,0,0,0,0,0,0
0.071128,0,0,0,0,0,0,0,0,0,0,0,0
0.072537,0,0,0,0,0,0,0,0,0,0,0,0
0.073946,0,0,0,0,0,0,0,0,0,0,0,0
0.075430,0,0,0,0,0,0,0,0,0,0,0,0
0.076850,0,0,0,0,0,0,0,0,0,0,0,0
0.078319,0,0,0,0,0,0,0,0,0,0,0,0
0.079770,0,0,0,0,0,0,0,0,0,0,0,0
0.081167,0,0,0,0,0,0,0,0,0,0,0,0
0.082679,0,0,0,0,0,0,0,0,0,0,0,0
0.084165,0,0,0,0,0,0,0,0,0,0,0,0
0.085498,0,0,0,0,0,0,0,0,0,0,0,0
0.086940,0,0,0,0,0,0,0,0,0,0,0,0
0.088376,0,0,0,0,0,0,0,0,0,0,0,0
0.089808,0,0,0,0,0,0,0,0,0,0,0,0
0.091242,0,0,0,0,0,0,0,0,0,0,0,0
0.092691,0,0,0,0,0,0,0,0,0,0,0,0
0.094123,0,0,0,0,0,0,0,0,0,0,0,0
0.095557,0,0,0,0,0,0,0,0,0,0,0,0
0.096842,0,0,0,0,0,0,0,0,0,0,0,0
0.098251,0,0,0,0,0,0,0,0,0,0,0,0
0.099538,0,0,0,0,0,0,0,0,0,0,0,0
0.100782,0,0,0,0,0,0,0,0,0,0,0,0
0.102037,0,0,0,0,0,0,0,0,0,0,0,0
0.103322,0,0,0,0,0,0,0,0,0,0,0,0
0.104605,0,0,0,0,0,0,0,0,0,0,0,0
0.106688,0,0,0,0,0,0,0,0,0,0,0,0
0.107976,0,0,0,0,0,0,0,0,0,0,0,0
0.109267,0,0,0,0,0,0,0,0,0,0,0,0
0.110554,0,0,0,0,0,0,0,0,0,0,0,0
0.111840,0,0,0,0,0,0,0,0,0,0,0,0
0.113126,0,0,0,0,0,0,0,0,0,0,0,0
0.114552,0,0,0,0,0,0,0,0,0,0,0,0
0.115842,0,0,0,0,0,0,0,0,0,0,0,0
0.117255,0,0,0,0,0,0,0,0,0,0,0,0
0.118592,0,0,0,0,0,0,0,0,0,0,0,0
0.119922,0,0,0,0,0,0,0,0,0,0,0,0
0.121616,0,0,0,0,0,0,0,0,0,0,0,0
0.123040,0,0,0,0,0,0,0,0,0,0,0,0
0.124465,0,0,0,0,0,0,0,0,0,0,0,0
0.125890,0,0,0,0,0,0,0,0,0,0,0,0
0.127313,0,0,0,0,0,0,0,0,0,0,0,0
0.128734,0,0,0,0,0,0,0,0,0,0,0,0
0.130158,0,0,0,0,0,0,0,0,0,0,0,0
0.131593,0,0,0,0,0,0,0,0,0,0,0,0
0.133016,0,0,0,0,0,0,0,0,0,0,0,0
0.134573,0,0,0,0,0,0,0,0,0,0,0,0
0.135969,0,0,0,0,0,0,0,0,0,0,0,0
0.137364,0,0,0,0,0,0,0,0,0,0,0,0
0.138760,0,0,0,0,0,0,0,0,0,0,0,0
0.140155,0,0,0,0,0,0,0,0,0,0,0,0
0.141979,0,0,0,0,0,0,0,0,0,0,0,0
0.143388,0,0,0,0,0,0,0,0,0,0,0,0
0.144783,0,0,0,0,0,0,0,0,0,0,0,0
0.146178,0,0,0,0,0,0,0,0,0,0,0,0
0.147574,0,0,0,0,0,0,0,0,0,0,0,0
0.148969,0,0,0,0,0,0,0,0,0,0,0,0
0.150386,0,0,0,0,0,0,0,0,0,0,0,0
0.151764,0,0,0,0,0,0,0,0,0,0,0,0
0.153164,0,0,0,0,0,0,0,0,0,0,0,0
0.154541,0,0,0,0,0,0,0,0,0,0,0,0
0.155881,0,0,0,0,0,0,0,0,0,0,0,0
0.157263,0,0,0,0,0,0,0,0,0,0,0,0
0.158636,0,0,0,0,0,0,0,0,0,0,0,0
0.159978,0,0,0,0,0,0,0,0,0,0,0,0
0.161376,0,0,0,0,0,0,0,0,0,0,0,0
0.162730,0,0,0,0,0,0,0,0,0,0,0,0
0.164146,0,0,0,0,0,0,0,0,0,0,0,0
0.165569,0,0,0,0,0,0,0,0,0,0,0,0
0.166937,0,0,0,0,0,0,0,0,0,0,0,0
0.168306,0,0,0,0,0,0,0,0,0,0,0,0
0.170095,0,0,0,0,0,0,0,0,0,0,0,0
0.171463,0,0,0,0,0,0,0,0,0,0,0,0
0.172832,0,0,0,0,0,0,0,0,0,0,0,0
0.174251,0,0,0,0,0,0,0,0,0,0,0,0
0.175624,0,0,0,0,0,0,0,0,0,0,0,0
0.176991,0,0,0,0,0,0,0,0,0,0,0,0
0.178411,0,0,0,0,0,0,0,0,0,0,0,0
0.179778,0,0,0,0,0,0,0,0,0,0,0,0
0.181175,0,0,0,0,0,0,0,0,0,0,0,0
0.182592,0,0,0,0,0,0,0,0,0,0,0,0
0.184014,0,0,0,0,0,0,0,0,0,0,0,0
0.185463,0,0,0,0,0,0,0,0,0,0,0,0
0.187071,0,0,0,0,0,0,0,0,0,0,0,0
0.188502,0,0,0,0,0,0,0,0,0,0,0,0
0.189930,0,0,0,0,0,0,0,0,0,0,0,0
0.191354,0,0,0,0,0,0,0,0,0,0,0,0
0.192778,0,0,0,0,0,0,0,0,0,0,0,0
0.194201,0,0,0,0,0,0,0,0,0,0,0,0
0.195580,0,0,0,0,0,0,0,0,0,0,0,0
0.197011,0,0,0,0,0,0,0,0,0,0,0,0
0.198612,0,0,0,0,0,0,0,0,0,0,0,0
0.200094,0,0,0,0,0,0,0,0,0,0,0,0
0.201528,0,0,0,0,0,0,0,0,0,0,0,0
0.202956,0,0,0,0,0,0,0,0,0,0,0,0
0.204385,0,0,0,0,0,0,0,0,0,0,0,0
0.206019,0,0,0,0,0,0,0,0,0,0,0,0
0.207626,0,0,0,0,0,0,0,0,0,0,0,0
0.209220,0,0,0,0,0,0,0,0,0,0,0,0
0.210813,0,0,0,0,0,0,0,0,0,0,0,0
0.212405,0,0,0,0,0,0,0,0,0,0,0,0
