elapsed_s,CP_S_SKEW_BUFFER_ABOVE_THRESH,CP_ECACHE_HITS,CP_ECACHE_KILLS,CP_ECACHE_REQS,CP_ECACHE_EVEN_REQS,CP_ECACHE_STALLS_RAP,CP_ECACHE_BUSY
0.001031,0,0,0,0,0,0,0
0.002411,0,0,0,0,0,0,0
0.003722,0,0,0,0,0,0,0
0.005041,0,0,0,0,0,0,0
0.006347,0,0,0,0,0,0,0
0.007703,0,0,0,0,0,0,0
0.009046,0,0,0,0,0,0,0
0.010387,0,0,0,0,0,0,0
0.011728,0,0,0,0,0,0,0
0.013078,0,0,0,0,0,0,0
0.014422,0,0,0,0,0,0,0
0.015796,0,0,0,0,0,0,0
0.017125,0,0,0,0,0,0,0
0.018452,0,0,0,0,0,0,0
0.019834,0,0,0,0,0,0,0
0.021162,0,0,0,0,0,0,0
0.022488,0,0,0,0,0,0,0
0.023887,0,0,0,0,0,0,0
0.025170,0,0,0,0,0,0,0
0.026453,0,0,0,0,0,0,0
0.027806,0,0,0,0,0,0,0
0.029176,0,0,0,0,0,0,0
0.030538,0,0,0,0,0,0,0
0.031919,0,0,0,0,0,0,0
0.033338,0,0,0,0,0,0,0
0.034760,0,0,0,0,0,0,0
0.036172,0,0,0,0,0,0,0
0.037580,0,0,0,0,0,0,0
0.038984,0,0,0,0,0,0,0
0.040490,0,0,0,0,0,0,0
0.041916,0,0,0,0,0,0,0
0.043355,0,0,0,0,0,0,0
0.044772,0,0,0,0,0,0,0
0.046252,0,0,0,0,0,0,0
0.047664,0,0,0,0,0,0,0
0.049076,0,0,0,0,0,0,0
0.050483,0,0,0,0,0,0,0
0.051959,0,0,0,0,0,0,0
0.053367,0,0,0,0,0,0,0
0.054769,0,0,0,0,0,0,0
0.057243,0,0,0,0,0,0,0
0.058928,0,0,0,0,0,0,0
0.060322,0,0,0,0,0,0,0
0.061771,0,0,0,0,0,0,0
0.063901,0,0,0,0,0,0,0
0.065352,0,0,0,0,0,0,0
0.066861,0,0,0,0,0,0,0
0.068329,0,0,0,0,0,0,0
0.069743,0,0,0,0,0,0,0
0.071215,0,0,0,0,0,0,0
0.072707,0,0,0,0,0,0,0
0.074155,0,0,0,0,0,0,0
0.075613,0,0,0,0,0,0,0
0.077058,0,0,0,0,0,0,0
0.078314,0,0,0,0,0,0,0
0.079709,0,0,0,0,0,0,0
0.081038,0,0,0,0,0,0,0
