elapsed_s,RBBM_NEVER_COUNT,RBBM_US_ALWAYS_COUNT,RBBM_US_ALWAYS_ON,RBBM_US_STATUS_MASKED
0.001060,0,105450,4293,2161
0.002538,0,98118,4242,1788
0.003981,0,98230,4250,2210
0.005422,0,98130,4243,2155
0.006942,0,95712,4136,2046
0.008358,0,95271,4119,2243
0.009788,0,94952,4129,1804
0.011218,0,98562,4241,1844
0.012633,0,95304,4121,1815
0.014063,0,95537,4131,1739
0.015534,0,93931,4063,1855
0.016996,0,92760,4011,2257
0.018442,0,92344,3994,2231
0.019908,0,93163,4029,2253
0.021354,0,92741,4011,2167
0.022852,0,89016,3846,1793
0.024269,0,89368,3865,1901
0.025684,0,89385,4524,1898
0.027207,0,107396,3986,1761
0.028629,0,88605,3831,2102
0.030057,0,106817,4525,1451
0.031503,0,76664,3315,1371
0.032823,0,76691,3317,1647
0.034192,0,89269,3870,1651
0.035586,0,86949,3761,1637
0.036940,0,86553,3743,1348
0.038289,0,89032,3882,1652
0.039688,0,91070,3939,1610
0.041128,0,90190,3901,1785
0.042937,0,90654,3922,1682
0.044365,0,90361,3908,1552
0.045786,0,89342,3866,1776
0.047253,0,89085,3819,1236
0.048639,0,86067,3721,1238
0.050088,0,86688,3748,1230
0.051495,0,85208,3685,1251
0.052876,0,85446,3696,1240
0.054293,0,83319,3602,1242
0.055675,0,86181,3728,1226
0.057064,0,88800,3842,1231
0.058917,0,87239,3778,1224
0.060354,0,86326,3727,1235
0.061752,0,93577,4047,1232
0.063216,0,86006,3721,1310
0.064605,0,85987,3719,1306
0.066082,0,503045,21753,1226
0.069472,0,99297,4293,25260
0.071084,0,171988,7473,40066
0.072543,0,91842,3973,1683
0.073933,0,91014,3937,1545
0.075317,0,90862,3931,1639
0.076697,0,90664,3919,1504
0.078072,0,99633,4287,1333
0.079512,0,86476,3729,1255
0.080897,0,86200,3726,1244
0.082281,0,85732,3707,1225
0.083674,0,86130,3724,1299
0.085058,0,85348,3692,1255
0.086444,0,167766,3936,81180
0.088401,0,1364705,11910,1364686
0.089641,0,1363425,11899,1363412
0.091098,0,1603759,13997,1603756
0.092339,0,1363556,11900,1363556
0.093577,0,1362372,11890,1362373
0.094899,0,1454754,12696,1454770
0.096140,0,1363977,11904,1363977
0.097379,0,1362767,11893,1362766
0.098621,0,1370289,11964,1374975
0.099871,0,1373900,11985,1369257
0.101119,0,943279,8125,509151
0.102524,0,455684,3872,2623
0.103950,0,414999,3550,2506
0.105332,0,414495,3547,2574
0.106714,0,415706,3557,2509
0.108096,0,426166,3648,2473
0.109476,0,418925,3586,2477
0.110905,0,421524,3606,2481
0.112300,0,428299,3667,2477
0.113685,0,417116,3570,2475
0.115381,0,759562,6559,2469
0.116765,0,419446,3589,2497
0.118228,0,417464,3573,2477
0.119648,0,412592,3528,2661
0.121027,0,413348,3538,2474
0.122419,0,4218781,36746,2508
0.127314,0,415302,3552,2503
0.128692,0,413358,3536,2480
0.130219,0,446135,3823,2471
0.131616,0,423472,3626,2478
0.132977,0,417397,3573,2476
0.134318,0,430455,3686,2470
0.135675,0,415327,3552,2480
0.137055,0,415308,3554,2477
0.138435,0,415167,3553,2482
0.139820,0,398812,3410,2591
0.141328,0,425810,3644,2477
0.142793,0,421454,3607,2478
0.144328,0,430487,3687,2479
0.145877,0,434150,3718,2483
0.147432,0,432837,3706,2479
0.148982,0,432719,3705,2473
0.150536,0,482129,4136,2499
0.152133,0,432340,3703,2478
