elapsed_s,RBBM_S_RAS_BUSY
0.001069,0
0.002364,0
0.003681,0
0.004965,0
0.006252,0
0.007533,0
0.008903,0
0.010217,0
0.011544,0
0.012919,0
0.014200,0
0.015478,0
0.016758,0
0.018039,0
0.019342,0
0.020620,0
0.021945,0
0.023275,0
0.024593,0
0.025900,0
0.027274,0
0.028601,0
0.029928,0
0.031253,0
0.032581,0
0.033980,0
0.035400,0
0.036828,0
0.038320,0
0.039783,0
0.041225,0
0.042708,0
0.044143,0
0.045517,0
0.046890,0
0.048260,0
0.050142,0
0.051540,0
0.052943,0
0.054404,0
0.055666,0
0.060885,0
0.062303,0
0.063645,0
0.065085,0
0.066471,0
0.067806,0
0.069138,0
0.070487,0
0.071935,0
0.073186,0
0.074403,0
0.075606,0
0.076890,0
0.078185,0
0.079416,0
0.080643,0
0.081878,0
0.083154,0
0.084382,0
0.085624,0
0.087003,0
0.088400,0
0.089769,0
0.091184,0
0.092551,0
0.093974,0
0.095354,0
0.096720,0
0.098056,0
0.099466,0
0.100857,0
0.102294,0
0.103806,0
0.105175,0
0.106682,0
0.108131,0
0.110639,0
0.112004,0
0.116380,0
0.117766,0
0.119130,0
0.120493,0
0.121933,0
0.123325,0
0.124959,0
0.126322,0
0.127685,0
0.129059,0
0.130428,0
0.131832,0
0.133205,0
0.134568,0
0.136028,0
0.137392,0
0.138882,0
0.140466,0
0.142025,0
0.143402,0
0.144775,0
0.146147,0
0.147557,0
0.148930,0
0.150300,0
0.151810,0
0.153347,0
0.154881,0
0.156461,0
0.158057,0
0.159589,0
0.161125,0
0.162547,0
0.164052,0
0.165482,0
0.167013,0
0.168545,0
0.170084,0
0.171658,0
0.173208,0
0.174743,0
0.176275,0
0.177809,0
0.179385,0
0.180922,0
0.182456,0
0.184001,0
0.185537,0
0.187115,0
0.188579,0
0.190100,0
0.191478,0
0.192852,0
0.194234,0
0.195642,0
0.197014,0
0.198582,0
0.200116,0
0.201649,0
0.203213,0
0.205078,0
0.206637,0
0.208563,0
0.209953,0
0.211358,0
0.212722,0
0.214141,0
0.215495,0
0.216869,0
0.218194,0
0.219529,0
0.220908,0
0.222273,0
0.223763,0
0.225173,0
0.226754,0
0.228372,0
0.230103,0
0.231730,0
0.233538,0
0.235169,0
0.236567,0
0.237970,0
0.239352,0
0.240793,0
0.242193,0
0.243598,0
0.245002,0
0.246414,0
0.247986,0
0.249512,0
0.250984,0
0.252306,0
0.253676,0
0.255045,0
0.256383,0
0.487445,0
0.494341,0
0.495735,0
0.497011,0
0.498306,0
0.499617,0
0.500969,0
0.502383,0
0.503779,0
0.505188,0
0.506584,0
0.508008,0
0.509472,0
0.510993,0
0.512430,0
0.514043,0
0.515556,0
0.517074,0
0.518971,0
0.520436,0
0.521975,0
0.523473,0
0.524917,0
0.526371,0
0.527813,0
0.529257,0
0.530700,0
0.532196,0
0.533640,0
0.535236,0
0.536732,0
0.538360,0
0.539842,0
0.541442,0
0.543073,0
0.544701,0
0.546267,0
0.547733,0
0.549333,0
0.550963,0
0.552444,0
0.554165,0
0.555857,0
0.557361,0
0.559003,0
0.560632,0
0.562269,0
0.563959,0
0.565592,0
0.567224,0
0.568859,0
0.570504,0
0.572135,0
0.573767,0
0.575398,0
0.577031,0
0.578652,0
0.580274,0
0.581768,0
0.583217,0
0.584660,0
0.586103,0
0.587607,0
0.589050,0
0.590475,0
0.592106,0
0.593789,0
0.595261,0
0.596661,0
0.598172,0
0.599536,0
0.600902,0
0.602285,0
0.603688,0
0.605171,0
0.607599,0
0.609081,0
0.610633,0
0.612278,0
0.614212,0
0.615957,0
0.617586,0
0.619061,0
0.620915,0
0.622477,0
0.624242,0
0.625960,0
