elapsed_s,CP_NEVER_COUNT,CP_ALWAYS_COUNT,CP_BUSY_GFX_CORE_IDLE,CP_BUSY_CYCLES,CP_NUM_PREEMPTIONS,CP_PREEMPTION_REACTION_DELAY,CP_PREEMPTION_SWITCH_OUT_TIME,CP_PREEMPTION_SWITCH_IN_TIME,CP_DEAD_DRAWS_IN_BIN_RENDER,CP_PREDICATED_DRAWS_KILLED,CP_MODE_SWITCH,CP_ZPASS_DONE,CP_CONTEXT_DONE,CP_CACHE_FLUSH
0.001012,0,110308,1189,1188,0,0,0,0,0,0,0,0,0,0
0.002477,0,108357,1067,1066,0,0,0,0,0,0,0,0,0,0
0.003891,0,108668,1078,1077,0,0,0,0,0,0,0,0,0,0
0.005331,0,89957,1096,1095,0,0,0,0,0,0,0,0,0,0
0.006652,0,85057,1057,1056,0,0,0,0,0,0,0,0,0,0
0.007955,0,85241,1077,1076,0,0,0,0,0,0,0,0,0,0
0.009312,0,85577,1057,1056,0,0,0,0,0,0,0,0,0,0
0.010709,0,93612,1085,1084,0,0,0,0,0,0,0,0,0,0
0.012126,0,100418,1068,1067,0,0,0,0,0,0,0,0,0,0
0.013673,0,106996,1078,1077,0,0,0,0,0,0,0,0,0,0
0.015027,0,90975,1091,1090,0,0,0,0,0,0,0,0,0,0
0.016330,0,108306,1086,1085,0,0,0,0,0,0,0,0,0,0
0.017745,0,86672,1076,1075,0,0,0,0,0,0,0,0,0,0
0.019093,0,90067,1078,1077,0,0,0,0,0,0,0,0,0,0
0.020501,0,284967,68970,195511,1,1171,27318,11510,0,0,0,0,40,0
0.021794,0,285110,4653,283379,0,0,0,0,0,0,0,0,108,1
0.023030,0,273842,80093,224185,1,418,29405,9546,0,0,0,0,44,5
0.024221,0,108547,1129,1128,0,0,0,0,0,0,0,0,0,0
0.025661,0,114895,1071,1070,0,0,0,0,0,0,0,0,0,0
0.027118,0,85494,1071,1070,0,0,0,0,0,0,0,0,0,0
0.028426,0,85814,1089,1088,0,0,0,0,0,0,0,0,0,0
0.029802,0,90813,1128,1127,0,0,0,0,0,0,0,0,0,0
0.031340,0,107684,1068,1067,0,0,0,0,0,0,0,0,0,0
0.032862,0,204821,63679,113525,1,481,18633,17741,0,0,0,0,33,0
0.034230,0,332764,5604,332420,0,0,0,0,0,0,0,0,108,1
0.035704,0,294162,79475,250465,1,359,29093,10983,0,0,0,0,37,5
0.036995,0,98407,1109,1108,0,0,0,0,0,0,0,0,0,0
0.038395,0,108678,1066,1065,0,0,0,0,0,0,0,0,0,0
0.039840,0,103886,1073,1072,0,0,0,0,0,0,0,0,0,0
0.041402,0,104187,1102,1101,0,0,0,0,0,0,0,0,0,0
0.042943,0,312586,63512,255366,1,480,18952,18012,0,0,0,0,33,0
0.044272,0,290920,5660,290222,0,0,0,0,0,0,0,0,108,1
0.045589,0,292032,129388,202515,2,708,57337,20570,0,0,0,0,48,7
0.046937,0,103298,1126,1125,0,0,0,0,0,0,0,0,0,0
0.048464,0,106356,1061,1060,0,0,0,0,0,0,0,0,0,0
0.049981,0,160252,64323,73822,1,518,18715,17854,0,0,0,0,33,0
0.051406,0,297954,367,298084,0,0,0,0,0,0,0,0,97,0
