elapsed_s,PC_US_STALL_CYCLES_COMPUTE_GFX,PC_US_STALL_CYCLES_GFX_COMPUTE,PC_US_PREDRAW_STALLS,PC_US_DP0_INPUT_STALLS,PC_US_DP1_INPUT_STALLS,PC_US_BR_STALLS_BV_WORKLOAD,PC_US_BV_STALLS_BR_WORKLOAD,PC_US_PASSPAIR_STALL
0.001093,0,0,0,0,0,0,0,0
0.002573,0,0,0,0,0,0,0,0
0.004029,0,0,0,0,0,0,0,0
0.005484,0,0,0,0,0,0,0,0
0.006984,0,0,0,0,0,0,0,0
0.008436,0,0,0,0,0,0,0,0
0.009953,0,0,0,0,0,0,0,0
0.011413,0,0,0,0,0,0,0,0
0.012863,0,0,0,0,0,0,0,0
0.014312,0,0,0,0,0,0,0,0
0.015763,0,0,0,0,0,0,0,0
0.017246,0,0,0,0,0,0,0,0
0.018744,0,0,0,0,0,0,0,0
0.020186,0,0,0,0,0,0,0,0
0.021590,0,0,0,0,0,0,0,0
0.023122,0,0,0,0,0,0,0,0
0.024529,0,0,0,0,0,0,0,0
0.025936,0,0,0,0,0,0,0,0
0.027343,0,0,0,0,0,0,0,0
0.028751,0,0,0,0,0,0,0,0
0.030242,0,0,0,0,0,0,0,0
0.031652,0,0,0,0,0,0,0,0
0.033061,0,0,0,0,0,0,0,0
0.034469,0,0,0,0,0,0,0,0
0.035871,0,0,0,0,0,0,0,0
0.037271,0,0,0,0,0,0,0,0
0.038716,0,0,0,0,0,0,0,0
0.040097,0,0,0,0,0,0,0,0
0.041488,0,0,0,0,0,0,0,0
0.042870,0,0,0,0,0,0,0,0
0.044248,0,0,0,0,0,0,0,0
0.045625,0,0,0,0,0,0,0,0
0.047151,0,0,0,0,0,0,0,0
0.048533,0,0,0,0,0,0,0,0
0.049916,0,0,0,0,0,0,0,0
0.051298,0,0,0,0,0,0,0,0
0.052688,0,0,0,0,0,0,0,0
0.054071,0,0,0,0,0,0,0,0
0.055494,0,0,0,0,0,0,0,0
0.056815,0,0,0,0,0,0,0,0
0.058295,0,0,0,0,0,0,0,0
0.059615,0,0,0,0,0,0,0,0
0.060934,0,0,0,0,0,0,0,0
0.062260,0,0,0,0,0,0,0,0
0.063552,0,0,0,0,0,0,0,0
0.064826,0,0,0,0,0,0,0,0
0.066149,0,0,0,0,0,0,0,0
0.067530,0,0,0,0,0,0,0,0
0.068911,0,0,0,0,0,0,0,0
0.070200,0,0,0,0,0,0,0,0
0.071563,0,0,0,0,0,0,0,0
0.072930,0,0,0,0,0,0,0,0
0.074371,0,0,0,0,0,0,0,0
0.075828,0,0,0,0,0,0,0,0
0.077260,0,0,0,0,0,0,0,0
0.078677,0,0,0,0,0,0,0,0
0.080095,0,0,0,0,0,0,0,0
0.081508,0,0,0,0,0,0,0,0
0.082942,0,0,0,0,0,0,0,0
0.084433,0,0,0,0,0,0,0,0
0.085847,0,0,0,0,0,0,0,0
0.087227,0,0,0,0,0,0,0,0
0.088641,0,0,0,0,0,0,0,0
0.090162,0,0,0,0,0,0,0,0
0.091573,0,0,0,0,0,0,0,0
0.092980,0,0,0,0,0,0,0,0
0.094472,70994,0,0,0,0,0,0,0
0.095865,1031487,0,0,0,0,0,0,0
0.097126,1040243,0,0,0,0,0,0,0
0.098388,1037782,0,0,0,0,0,0,0
0.099647,1029280,0,0,0,0,0,0,0
0.100908,1042291,0,0,0,0,0,0,0
0.103244,1914826,0,0,0,0,0,0,0
0.104507,1038278,0,0,0,0,0,0,0
0.105772,1082168,0,0,0,0,0,0,0
0.107094,1042211,0,0,0,0,0,0,0
0.108336,526932,0,0,0,0,0,0,0
0.109768,0,0,0,0,0,0,0,0
0.111199,0,0,0,0,0,0,0,0
0.112630,0,0,0,0,0,0,0,0
0.114068,0,0,0,0,0,0,0,0
0.115504,0,0,0,0,0,0,0,0
0.116934,0,0,0,0,0,0,0,0
0.118384,0,0,0,0,0,0,0,0
0.119825,0,0,0,0,0,0,0,0
0.121153,0,0,0,0,0,0,0,0
0.122590,0,0,0,0,0,0,0,0
0.124027,0,0,0,0,0,0,0,0
0.125463,0,0,0,0,0,0,0,0
0.126899,0,0,0,0,0,0,0,0
0.128225,0,0,0,0,0,0,0,0
0.129551,0,0,0,0,0,0,0,0
0.131047,0,0,0,0,0,0,0,0
0.132483,0,0,0,0,0,0,0,0
0.133919,0,0,0,0,0,0,0,0
0.135377,0,0,0,0,0,0,0,0
0.136782,0,0,0,0,0,0,0,0
0.142139,0,0,0,0,0,0,0,0
0.143597,0,0,0,0,0,0,0,0
0.144996,0,0,0,0,0,0,0,0
0.146400,0,0,0,0,0,0,0,0
0.147809,0,0,0,0,0,0,0,0
0.149217,0,0,0,0,0,0,0,0
0.150662,0,0,0,0,0,0,0,0
0.152065,0,0,0,0,0,0,0,0
0.153467,0,0,0,0,0,0,0,0
0.154887,0,0,0,0,0,0,0,0
0.156288,0,0,0,0,0,0,0,0
0.157690,0,0,0,0,0,0,0,0
0.159107,0,0,0,0,0,0,0,0
0.160513,0,0,0,0,0,0,0,0
0.161919,0,0,0,0,0,0,0,0
0.163346,0,0,0,0,0,0,0,0
0.164721,0,0,0,0,0,0,0,0
0.166100,0,0,0,0,0,0,0,0
0.167541,0,0,0,0,0,0,0,0
0.168949,0,0,0,0,0,0,0,0
0.170357,0,0,0,0,0,0,0,0
0.171764,0,0,0,0,0,0,0,0
0.173170,0,0,0,0,0,0,0,0
0.174578,0,0,0,0,0,0,0,0
0.176015,0,0,0,0,0,0,0,0
0.177469,0,0,0,0,0,0,0,0
0.178888,0,0,0,0,0,0,0,0
0.180298,0,0,0,0,0,0,0,0
0.181705,0,0,0,0,0,0,0,0
0.183162,0,0,0,0,0,0,0,0
0.184568,0,0,0,0,0,0,0,0
0.186113,0,0,0,0,0,0,0,0
0.187571,0,0,0,0,0,0,0,0
0.188984,0,0,0,0,0,0,0,0
0.190395,0,0,0,0,0,0,0,0
0.191804,0,0,0,0,0,0,0,0
0.193211,0,0,0,0,0,0,0,0
0.194621,0,0,0,0,0,0,0,0
0.196156,0,0,0,0,0,0,0,0
