elapsed_s,HLSQ_STPROC_L0_INS_LATENCY_CYCLE,HLSQ_STPROC_DPS_RUN_COUNT,HLSQ_STPROC_DPS_RUN_CYCLE,HLSQ_VSDP_BR_QUERY_REQ,HLSQ_VSDP_BV_QUERY_REQ,HLSQ_VSDP_BR_QUERY_REQ_WHEN_BV_PENDING
0.001094,0,0,0,0,0,0
0.002696,0,0,0,0,0,0
0.004134,0,0,0,0,0,0
0.005569,0,0,0,0,0,0
0.007050,0,0,0,0,0,0
0.008482,0,0,0,0,0,0
0.009944,0,0,0,0,0,0
0.011380,0,0,0,0,0,0
0.012812,0,0,0,0,0,0
0.014308,0,0,0,0,0,0
0.015720,0,0,0,0,0,0
0.017154,0,0,0,0,0,0
0.018601,0,0,0,0,0,0
0.019997,0,0,0,0,0,0
0.021373,0,0,0,0,0,0
0.022809,0,0,0,0,0,0
0.024186,0,0,0,0,0,0
0.025555,0,0,0,0,0,0
0.026917,0,0,0,0,0,0
0.028278,0,0,0,0,0,0
0.029742,0,0,0,0,0,0
0.031056,0,0,0,0,0,0
0.032358,0,0,0,0,0,0
0.033710,0,0,0,0,0,0
0.034974,0,0,0,0,0,0
0.036240,0,0,0,0,0,0
0.037554,0,0,0,0,0,0
0.038833,0,0,0,0,0,0
0.040097,0,0,0,0,0,0
0.041387,0,0,0,0,0,0
0.042732,0,0,0,0,0,0
0.044076,0,0,0,0,0,0
0.045427,0,0,0,0,0,0
0.048417,0,0,0,0,0,0
0.049909,0,0,0,0,0,0
0.051523,0,0,0,0,0,0
0.052951,0,0,0,0,0,0
0.054492,0,0,0,0,0,0
0.055904,0,0,0,0,0,0
0.057269,0,0,0,0,0,0
0.058619,0,0,0,0,0,0
0.059966,0,0,0,0,0,0
0.061458,0,0,0,0,0,0
0.065596,0,0,0,0,0,0
0.067024,0,0,0,0,0,0
0.068430,0,0,0,0,0,0
0.069871,0,0,0,0,0,0
0.071271,16,0,0,0,0,0
0.072522,0,0,0,0,0,0
0.073773,0,0,0,0,0,0
0.075023,0,0,0,0,0,0
0.076279,0,0,0,0,0,0
0.077531,0,0,0,0,0,0
0.078831,0,0,0,0,0,0
0.080082,0,0,0,0,0,0
0.081463,0,0,0,0,0,0
0.082833,0,0,0,0,0,0
0.084089,0,0,0,0,0,0
0.085451,0,0,0,0,0,0
0.086849,0,0,0,0,0,0
0.088250,0,0,0,0,0,0
0.089642,0,0,0,0,0,0
0.091034,0,0,0,0,0,0
0.092425,0,0,0,0,0,0
0.093860,0,0,0,0,0,0
0.095235,0,0,0,0,0,0
0.096590,0,0,0,0,0,0
0.097940,0,0,0,0,0,0
0.099290,0,0,0,0,0,0
0.100640,0,0,0,0,0,0
0.102020,0,0,0,0,0,0
0.103439,0,0,0,0,0,0
0.104857,0,0,0,0,0,0
0.106311,0,0,0,0,0,0
0.107732,0,0,0,0,0,0
0.109150,0,0,0,0,0,0
