elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_15_WORKING_CC_L2,RAS_EMPTY_SBLOCK_SCAN_CYCLE_PERFCOUNTER,RAS_STEGN_STALL_BY_LATENCY_FIFO,RAS_STALL_CYCLES_LRZ_PREFETCH
0.001094,0,0,0,0
0.002548,0,0,0,0
0.003964,0,0,0,0
0.005429,0,0,0,0
0.006892,0,0,0,0
0.008307,0,0,0,0
0.009750,0,0,0,0
0.011164,0,0,0,0
0.012578,0,0,0,0
0.014058,0,0,0,0
0.015453,0,0,0,0
0.016990,0,0,0,0
0.018403,0,0,0,0
0.019831,0,0,0,0
0.021200,0,0,0,0
0.022563,0,0,0,0
0.023915,0,0,0,0
0.025264,0,0,0,0
0.026700,0,0,0,0
0.028064,0,0,0,0
0.029416,0,0,0,0
0.030824,0,0,0,0
0.032115,0,0,0,0
0.033405,0,0,0,0
0.034675,0,0,0,0
0.035932,0,0,0,0
0.037189,0,0,0,0
0.038448,0,0,0,0
0.039704,0,0,0,0
0.040963,0,0,0,0
0.042243,0,0,0,0
0.043585,0,0,0,0
0.044928,0,0,0,0
0.046286,0,0,0,0
0.047695,0,0,0,0
0.049208,0,0,0,0
0.051864,0,0,0,0
0.053526,0,0,0,0
0.054973,0,0,0,0
0.056325,0,0,0,0
0.057723,0,0,0,0
0.059069,0,0,0,0
0.060413,0,0,0,0
0.061835,0,0,0,0
0.063239,0,0,0,0
0.064621,0,0,0,0
0.066003,0,0,0,0
0.067391,0,0,0,0
0.068774,0,0,0,0
0.070200,0,0,0,0
0.071588,0,0,0,0
0.072827,0,0,0,0
0.074066,0,0,0,0
0.075306,0,0,0,0
0.076547,0,0,0,0
0.077833,0,0,0,0
0.079072,0,0,0,0
0.080311,0,0,0,0
0.081722,0,0,0,0
0.083039,0,0,0,0
0.084313,0,0,0,0
0.085568,0,0,0,0
0.086997,0,0,0,0
0.088404,0,0,0,0
0.089787,0,0,0,0
0.091167,0,0,0,0
0.092546,0,0,0,0
0.094150,0,0,0,0
0.095513,0,0,0,0
0.096868,0,0,0,0
0.098221,0,0,0,0
0.099577,0,0,0,0
0.100932,0,0,0,0
0.102324,0,0,0,0
0.103665,0,0,0,0
0.105004,0,0,0,0
0.106407,0,0,0,0
0.107747,0,0,0,0
0.109086,0,0,0,0
0.110531,0,0,0,0
0.111946,0,0,0,0
0.113406,0,0,0,0
0.114776,0,0,0,0
0.116188,0,0,0,0
0.117603,0,0,0,0
0.118973,0,0,0,0
0.120344,0,0,0,0
0.121765,0,0,0,0
0.123123,0,0,0,0
0.124473,0,0,0,0
0.125957,0,0,0,0
0.127357,0,0,0,0
0.128736,0,0,0,0
0.130096,0,0,0,0
0.131460,0,0,0,0
0.132817,0,0,0,0
0.134181,0,0,0,0
0.135689,0,0,0,0
0.137230,0,0,0,0
0.138933,0,0,0,0
0.140474,0,0,0,0
0.141932,0,0,0,0
0.143321,0,0,0,0
0.144703,0,0,0,0
0.146086,0,0,0,0
0.147468,0,0,0,0
0.148860,0,0,0,0
0.150246,0,0,0,0
0.151762,0,0,0,0
0.153315,0,0,0,0
0.154867,0,0,0,0
0.156416,0,0,0,0
0.158012,0,0,0,0
0.159447,0,0,0,0
0.160959,0,0,0,0
0.162650,0,0,0,0
0.164196,0,0,0,0
0.165791,0,0,0,0
0.167341,0,0,0,0
0.168888,0,0,0,0
0.170324,0,0,0,0
0.171720,0,0,0,0
0.173235,0,0,0,0
0.174972,0,0,0,0
0.176519,0,0,0,0
0.178070,0,0,0,0
0.179619,0,0,0,0
0.181180,0,0,0,0
0.182734,0,0,0,0
0.184282,0,0,0,0
0.185832,0,0,0,0
0.187381,0,0,0,0
0.188929,0,0,0,0
0.190541,0,0,0,0
0.192102,0,0,0,0
0.193652,0,0,0,0
0.195201,0,0,0,0
0.196748,0,0,0,0
0.198342,0,0,0,0
0.199891,0,0,0,0
0.201442,0,0,0,0
0.203003,0,0,0,0
0.204550,0,0,0,0
0.206142,0,0,0,0
0.207693,0,0,0,0
0.209241,0,0,0,0
0.210859,0,0,0,0
0.212252,0,0,0,0
0.213824,0,0,0,0
0.215375,0,0,0,0
0.216924,0,0,0,0
0.218536,0,0,0,0
0.220086,0,0,0,0
0.221638,0,0,0,0
0.223190,0,0,0,0
0.224752,0,0,0,0
0.226302,0,0,0,0
0.227853,0,0,0,0
0.229404,0,0,0,0
0.231000,0,0,0,0
0.232549,0,0,0,0
0.234102,0,0,0,0
0.235668,0,0,0,0
0.237217,0,0,0,0
0.238815,0,0,0,0
0.240364,0,0,0,0
0.241916,0,0,0,0
0.243467,0,0,0,0
0.245016,0,0,0,0
0.246586,0,0,0,0
0.248135,0,0,0,0
0.249689,0,0,0,0
0.251239,0,0,0,0
0.252789,0,0,0,0
0.254382,0,0,0,0
0.255933,0,0,0,0
0.257499,0,0,0,0
0.259050,0,0,0,0
0.260599,0,0,0,0
0.262194,0,0,0,0
0.263737,0,0,0,0
0.265391,0,0,0,0
0.266789,0,0,0,0
0.268194,0,0,0,0
0.269760,0,0,0,0
0.271311,0,0,0,0
0.272860,0,0,0,0
0.274411,0,0,0,0
0.275962,0,0,0,0
0.277515,0,0,0,0
0.279125,0,0,0,0
0.280674,0,0,0,0
0.282225,0,0,0,0
0.283776,0,0,0,0
0.285328,0,0,0,0
0.286879,0,0,0,0
0.288429,0,0,0,0
0.289995,0,0,0,0
0.291545,0,0,0,0
0.293094,0,0,0,0
0.294591,0,0,0,0
0.295985,0,0,0,0
0.297375,0,0,0,0
0.298762,0,0,0,0
0.300158,0,0,0,0
0.301547,0,0,0,0
0.302974,0,0,0,0
0.304487,0,0,0,0
0.306039,0,0,0,0
0.307581,0,0,0,0
0.309121,0,0,0,0
0.311028,0,0,0,0
0.312463,0,0,0,0
0.313986,0,0,0,0
0.315537,0,0,0,0
0.317086,0,0,0,0
0.318670,0,0,0,0
0.320220,0,0,0,0
0.321786,0,0,0,0
0.323337,0,0,0,0
0.324886,0,0,0,0
0.326480,0,0,0,0
0.328030,0,0,0,0
0.329584,0,0,0,0
0.331135,0,0,0,0
0.332697,0,0,0,0
0.334293,0,0,0,0
0.335843,0,0,0,0
0.337395,0,0,0,0
0.338946,0,0,0,0
0.340495,0,0,0,0
0.342089,0,0,0,0
0.343530,0,0,0,0
0.345051,0,0,0,0
0.346608,0,0,0,0
0.348157,0,0,0,0
0.349753,0,0,0,0
0.351304,0,0,0,0
0.352735,0,0,0,0
0.354274,0,0,0,0
0.355825,0,0,0,0
0.357424,0,0,0,0
0.359018,0,0,0,0
0.360568,0,0,0,0
0.362119,0,0,0,0
0.363670,0,0,0,0
0.365234,0,0,0,0
0.366723,0,0,0,0
0.368108,0,0,0,0
0.369489,0,0,0,0
0.370997,0,0,0,0
0.372418,0,0,0,0
0.373852,0,0,0,0
0.375382,0,0,0,0
0.376932,0,0,0,0
0.378538,0,0,0,0
0.380087,0,0,0,0
0.381640,0,0,0,0
0.383190,0,0,0,0
0.384739,0,0,0,0
0.386304,0,0,0,0
0.387856,0,0,0,0
0.389413,0,0,0,0
0.391002,0,0,0,0
0.392551,0,0,0,0
0.394104,0,0,0,0
0.395655,0,0,0,0
0.397218,0,0,0,0
0.398813,0,0,0,0
0.400363,0,0,0,0
0.401915,0,0,0,0
0.403467,0,0,0,0
0.405017,0,0,0,0
0.406573,0,0,0,0
0.408136,0,0,0,0
0.409690,0,0,0,0
0.411241,0,0,0,0
0.412791,0,0,0,0
0.414387,0,0,0,0
0.415938,0,0,0,0
0.417491,0,0,0,0
0.419056,0,0,0,0
0.420605,0,0,0,0
0.422199,0,0,0,0
0.423750,0,0,0,0
0.425302,0,0,0,0
0.426853,0,0,0,0
0.428403,0,0,0,0
0.430013,0,0,0,0
0.431565,0,0,0,0
0.433114,0,0,0,0
0.434670,0,0,0,0
0.436220,0,0,0,0
0.437816,0,0,0,0
0.439367,0,0,0,0
0.440931,0,0,0,0
0.442556,0,0,0,0
0.444106,0,0,0,0
0.445702,0,0,0,0
0.447255,0,0,0,0
0.448806,0,0,0,0
0.450357,0,0,0,0
0.451922,0,0,0,0
0.453474,0,0,0,0
0.455025,0,0,0,0
0.456575,0,0,0,0
0.458125,0,0,0,0
0.459676,0,0,0,0
0.461224,0,0,0,0
0.462810,0,0,0,0
0.464358,0,0,0,0
0.465912,0,0,0,0
0.467463,0,0,0,0
0.469013,0,0,0,0
0.470565,0,0,0,0
0.472106,0,0,0,0
0.473538,0,0,0,0
0.475070,0,0,0,0
0.477239,0,0,0,0
0.478637,0,0,0,0
0.480022,0,0,0,0
0.481601,0,0,0,0
0.482990,0,0,0,0
0.484385,0,0,0,0
0.486023,0,0,0,0
0.487585,0,0,0,0
0.489031,0,0,0,0
0.490644,0,0,0,0
0.492194,0,0,0,0
0.493790,0,0,0,0
0.495355,0,0,0,0
0.496904,0,0,0,0
0.498518,0,0,0,0
0.500060,0,0,0,0
0.501480,0,0,0,0
0.503078,0,0,0,0
0.504627,0,0,0,0
0.506190,0,0,0,0
0.507741,0,0,0,0
0.509293,0,0,0,0
0.510843,0,0,0,0
0.512391,0,0,0,0
0.513942,0,0,0,0
0.515493,0,0,0,0
0.517054,0,0,0,0
0.518609,0,0,0,0
0.520157,0,0,0,0
0.521709,0,0,0,0
0.523260,0,0,0,0
0.524808,0,0,0,0
0.526401,0,0,0,0
0.527965,0,0,0,0
0.529516,0,0,0,0
0.531066,0,0,0,0
0.532615,0,0,0,0
0.534208,0,0,0,0
0.535758,0,0,0,0
0.537309,0,0,0,0
0.538873,0,0,0,0
0.540422,0,0,0,0
0.542017,0,0,0,0
0.543568,0,0,0,0
0.545115,0,0,0,0
0.546670,0,0,0,0
0.548219,0,0,0,0
0.549828,0,0,0,0
0.551379,0,0,0,0
0.552927,0,0,0,0
0.554426,0,0,0,0
0.555946,0,0,0,0
0.557497,0,0,0,0
0.559090,0,0,0,0
0.560648,0,0,0,0
0.562197,0,0,0,0
0.563747,0,0,0,0
0.565296,0,0,0,0
0.566847,0,0,0,0
0.568395,0,0,0,0
0.569947,0,0,0,0
0.571508,0,0,0,0
