elapsed_s,TP_FILTER_POINT_FP32,TP_LATENCY_FIFO_FULL,TP_RESERVED_62,TP_RESERVED_63,TP_RESERVED_64,TP_RESERVED_65,TP_RESERVED_66,TP_RESERVED_67,TP_RESERVED_68,TP_RESERVED_69,TP_RESERVED_70,TP_RESERVED_71
0.001120,0,0,0,0,0,0,0,0,0,0,0,0
0.002878,0,0,0,0,0,0,0,0,0,0,0,0
0.004890,0,0,0,0,0,0,0,0,0,0,0,0
0.006477,0,0,0,0,0,0,0,0,0,0,0,0
0.008136,0,0,0,0,0,0,0,0,0,0,0,0
0.009673,0,0,0,0,0,0,0,0,0,0,0,0
0.011254,0,0,0,0,0,0,0,0,0,0,0,0
0.012837,0,0,0,0,0,0,0,0,0,0,0,0
0.014442,0,0,0,0,0,0,0,0,0,0,0,0
0.016051,0,0,0,0,0,0,0,0,0,0,0,0
0.017622,0,0,0,0,0,0,0,0,0,0,0,0
0.019148,0,0,0,0,0,0,0,0,0,0,0,0
0.020629,0,0,0,0,0,0,0,0,0,0,0,0
0.022227,0,0,0,0,0,0,0,0,0,0,0,0
0.023661,0,0,0,0,0,0,0,0,0,0,0,0
0.025057,0,0,0,0,0,0,0,0,0,0,0,0
0.026502,0,0,0,0,0,0,0,0,0,0,0,0
0.027897,0,0,0,0,0,0,0,0,0,0,0,0
0.029295,0,0,0,0,0,0,0,0,0,0,0,0
0.030692,0,0,0,0,0,0,0,0,0,0,0,0
0.032088,0,0,0,0,0,0,0,0,0,0,0,0
0.033483,0,0,0,0,0,0,0,0,0,0,0,0
0.034900,0,0,0,0,0,0,0,0,0,0,0,0
0.036292,0,0,0,0,0,0,0,0,0,0,0,0
0.037676,0,0,0,0,0,0,0,0,0,0,0,0
0.039145,0,0,0,0,0,0,0,0,0,0,0,0
0.040547,0,0,0,0,0,0,0,0,0,0,0,0
0.041943,0,0,0,0,0,0,0,0,0,0,0,0
0.043332,0,0,0,0,0,0,0,0,0,0,0,0
0.044820,0,0,0,0,0,0,0,0,0,0,0,0
0.046249,0,0,0,0,0,0,0,0,0,0,0,0
0.047655,0,0,0,0,0,0,0,0,0,0,0,0
0.049045,0,0,0,0,0,0,0,0,0,0,0,0
0.050567,0,0,0,0,0,0,0,0,0,0,0,0
0.052031,0,0,0,0,0,0,0,0,0,0,0,0
0.053674,0,0,0,0,0,0,0,0,0,0,0,0
0.055116,0,0,0,0,0,0,0,0,0,0,0,0
0.056510,0,0,0,0,0,0,0,0,0,0,0,0
0.057898,0,0,0,0,0,0,0,0,0,0,0,0
0.059286,0,0,0,0,0,0,0,0,0,0,0,0
0.060674,0,0,0,0,0,0,0,0,0,0,0,0
0.062073,0,0,0,0,0,0,0,0,0,0,0,0
0.063577,93184,0,0,0,0,0,0,0,0,0,0,0
0.064884,823808,0,0,0,0,0,0,0,0,0,0,0
0.066171,816128,0,0,0,0,0,0,0,0,0,0,0
0.067578,888320,0,0,0,0,0,0,0,0,0,0,0
0.068865,819200,0,0,0,0,0,0,0,0,0,0,0
0.070148,815616,0,0,0,0,0,0,0,0,0,0,0
0.071822,1084928,0,0,0,0,0,0,0,0,0,0,0
0.073157,823344,0,0,0,0,0,0,0,0,0,0,0
0.074531,919504,0,0,0,0,0,0,0,0,0,0,0
0.075894,819200,0,0,0,0,0,0,0,0,0,0,0
0.077183,485376,0,0,0,0,0,0,0,0,0,0,0
0.078643,0,0,0,0,0,0,0,0,0,0,0,0
0.080110,0,0,0,0,0,0,0,0,0,0,0,0
0.081537,0,0,0,0,0,0,0,0,0,0,0,0
0.082962,0,0,0,0,0,0,0,0,0,0,0,0
0.084384,0,0,0,0,0,0,0,0,0,0,0,0
0.085807,0,0,0,0,0,0,0,0,0,0,0,0
0.087225,0,0,0,0,0,0,0,0,0,0,0,0
0.088630,0,0,0,0,0,0,0,0,0,0,0,0
0.090026,0,0,0,0,0,0,0,0,0,0,0,0
0.091474,0,0,0,0,0,0,0,0,0,0,0,0
0.092870,0,0,0,0,0,0,0,0,0,0,0,0
0.094265,0,0,0,0,0,0,0,0,0,0,0,0
0.095706,0,0,0,0,0,0,0,0,0,0,0,0
0.097150,0,0,0,0,0,0,0,0,0,0,0,0
0.098591,0,0,0,0,0,0,0,0,0,0,0,0
0.100038,0,0,0,0,0,0,0,0,0,0,0,0
0.101479,0,0,0,0,0,0,0,0,0,0,0,0
0.102923,0,0,0,0,0,0,0,0,0,0,0,0
0.104375,0,0,0,0,0,0,0,0,0,0,0,0
