elapsed_s,RB_STALL_CYCLES_CCU_COLOR_READ,RB_STALL_CYCLES_CCU_COLOR_WRITE,RB_STALL_CYCLES_CCU_DEPTH_READ,RB_STALL_CYCLES_CCU_DEPTH_WRITE,RB_STALL_CYCLES_VPC_BE,RB_BLENDED_FP32_COMPONENTS,RB_COLOR_PIX_TILES,RB_STALL_CYCLES_CCU
0.001104,0,0,0,0,0,0,0,0
0.002677,0,0,0,0,0,0,0,0
0.004223,0,0,0,0,0,0,0,0
0.005769,0,0,0,0,0,0,0,0
0.007311,0,0,0,0,0,0,0,0
0.009533,0,0,0,0,0,0,0,0
0.011144,0,0,0,0,0,0,0,0
0.012760,0,0,0,0,0,0,0,0
0.014301,0,0,0,0,0,0,0,0
0.016087,0,0,0,0,0,0,0,0
0.017659,0,0,0,0,0,0,0,0
0.019200,0,0,0,0,0,0,0,0
0.020806,0,0,0,0,0,0,0,0
0.022378,0,0,0,0,0,0,0,0
0.023977,0,0,0,0,0,0,0,0
0.025521,0,0,0,0,0,0,0,0
0.027107,0,0,0,0,0,0,0,0
0.028740,0,0,0,0,0,0,0,0
0.030290,0,0,0,0,0,0,0,0
0.031834,0,0,0,0,0,0,0,0
0.033388,0,0,0,0,0,0,0,0
0.034929,0,0,0,0,0,0,0,0
0.036472,0,0,0,0,0,0,0,0
0.038013,0,0,0,0,0,0,0,0
0.039670,0,0,0,0,0,0,0,0
0.041169,0,0,0,0,0,0,0,0
0.042686,0,0,0,0,0,0,0,0
0.044211,0,0,0,0,0,0,0,0
0.045727,0,0,0,0,0,0,0,0
0.047244,0,0,0,0,0,0,0,0
0.048756,0,0,0,0,0,0,0,0
0.050275,0,0,0,0,0,0,0,0
0.051794,0,0,0,0,0,0,0,0
0.053311,0,0,0,0,0,0,0,0
0.054836,0,0,0,0,0,0,0,0
0.056344,0,0,0,0,0,0,0,0
0.057923,0,0,0,0,0,0,0,0
0.059384,0,0,0,0,0,0,0,0
0.060881,0,0,0,0,0,0,0,0
0.062298,0,0,0,0,0,0,0,0
0.063762,0,0,0,0,0,0,0,0
0.065300,0,0,0,0,0,0,0,0
0.066713,0,0,0,0,0,0,0,0
0.068118,0,0,0,0,0,0,0,0
0.069498,0,0,0,0,0,0,0,0
0.070877,0,0,0,0,0,0,0,0
0.072307,0,0,0,0,0,0,0,0
0.073708,0,0,0,0,0,0,0,0
0.075072,0,0,0,0,0,0,0,0
0.076532,0,0,0,0,0,0,0,0
0.077902,0,0,0,0,0,0,0,0
0.079277,0,0,0,0,0,0,0,0
0.080688,0,0,0,0,0,0,0,0
0.082053,0,0,0,0,0,0,0,0
0.083465,0,0,0,0,0,0,0,0
0.084876,0,0,0,0,0,0,0,0
0.086291,0,0,0,0,0,0,0,0
0.087781,0,0,0,0,0,0,0,0
0.089262,0,0,0,0,0,0,0,0
0.090675,0,0,0,0,0,0,0,0
0.092090,0,0,0,0,0,0,0,0
0.093499,0,0,0,0,0,0,0,0
0.094910,0,0,0,0,0,0,0,0
0.096325,0,0,0,0,0,0,0,0
0.097757,0,0,0,0,0,0,0,0
0.099171,0,0,0,0,0,0,0,0
0.100600,0,0,0,0,0,0,0,0
0.101818,0,0,0,0,0,0,0,0
0.103034,0,0,0,0,0,0,0,0
0.104294,0,0,0,0,0,0,0,0
0.105510,0,0,0,0,0,0,0,0
0.106728,0,0,0,0,0,0,0,0
0.107943,0,0,0,0,0,0,0,0
0.109161,0,0,0,0,0,0,0,0
0.110378,0,0,0,0,0,0,0,0
0.111597,0,0,0,0,0,0,0,0
0.112815,0,0,0,0,0,0,0,0
0.114032,0,0,0,0,0,0,0,0
0.115409,0,0,0,0,0,0,0,0
0.116820,0,0,0,0,0,0,0,0
0.118193,0,0,0,0,0,0,0,0
0.119560,0,0,0,0,0,0,0,0
0.121012,0,0,0,0,0,0,0,0
0.122430,0,0,0,0,0,0,0,0
0.123837,0,0,0,0,0,0,0,0
0.125258,0,0,0,0,0,0,0,0
0.126665,0,0,0,0,0,0,0,0
0.128067,0,0,0,0,0,0,0,0
0.129515,0,0,0,0,0,0,0,0
0.130916,0,0,0,0,0,0,0,0
0.132348,0,0,0,0,0,0,0,0
0.135483,0,0,0,0,0,0,0,0
0.138521,0,0,0,0,0,0,0,0
0.139942,0,0,0,0,0,0,0,0
0.141383,0,0,0,0,0,0,0,0
0.142788,0,0,0,0,0,0,0,0
0.144188,0,0,0,0,0,0,0,0
0.145607,0,0,0,0,0,0,0,0
0.147008,0,0,0,0,0,0,0,0
0.148410,0,0,0,0,0,0,0,0
0.149813,0,0,0,0,0,0,0,0
0.151214,0,0,0,0,0,0,0,0
0.152680,0,0,0,0,0,0,0,0
0.154083,0,0,0,0,0,0,0,0
0.155595,0,0,0,0,0,0,0,0
0.157095,0,0,0,0,0,0,0,0
0.158505,0,0,0,0,0,0,0,0
0.159916,0,0,0,0,0,0,0,0
0.161452,0,0,0,0,0,0,0,0
0.163026,0,0,0,0,0,0,0,0
0.164599,0,0,0,0,0,0,0,0
0.166171,0,0,0,0,0,0,0,0
0.167635,0,0,0,0,0,0,0,0
0.169221,0,0,0,0,0,0,0,0
0.170793,0,0,0,0,0,0,0,0
0.172365,0,0,0,0,0,0,0,0
0.173940,0,0,0,0,0,0,0,0
0.175514,0,0,0,0,0,0,0,0
0.177086,0,0,0,0,0,0,0,0
0.178547,0,0,0,0,0,0,0,0
0.180093,0,0,0,0,0,0,0,0
0.181666,0,0,0,0,0,0,0,0
0.183237,0,0,0,0,0,0,0,0
0.184815,0,0,0,0,0,0,0,0
0.186384,0,0,0,0,0,0,0,0
0.187958,0,0,0,0,0,0,0,0
0.189542,0,0,0,0,0,0,0,0
0.191112,0,0,0,0,0,0,0,0
0.192771,0,0,0,0,0,0,0,0
0.194341,0,0,0,0,0,0,0,0
0.195914,0,0,0,0,0,0,0,0
0.197487,0,0,0,0,0,0,0,0
0.199055,0,0,0,0,0,0,0,0
0.200607,0,0,0,0,0,0,0,0
0.202149,0,0,0,0,0,0,0,0
0.203722,0,0,0,0,0,0,0,0
0.205294,0,0,0,0,0,0,0,0
0.206864,0,0,0,0,0,0,0,0
0.208435,0,0,0,0,0,0,0,0
0.210007,0,0,0,0,0,0,0,0
0.211592,0,0,0,0,0,0,0,0
0.213160,0,0,0,0,0,0,0,0
0.214730,0,0,0,0,0,0,0,0
0.216345,0,0,0,0,0,0,0,0
0.217917,0,0,0,0,0,0,0,0
0.219490,0,0,0,0,0,0,0,0
0.221061,0,0,0,0,0,0,0,0
0.222645,0,0,0,0,0,0,0,0
0.224217,0,0,0,0,0,0,0,0
0.225788,0,0,0,0,0,0,0,0
0.227358,0,0,0,0,0,0,0,0
0.228933,0,0,0,0,0,0,0,0
0.230501,0,0,0,0,0,0,0,0
0.232074,0,0,0,0,0,0,0,0
0.233658,0,0,0,0,0,0,0,0
0.235229,0,0,0,0,0,0,0,0
0.236803,0,0,0,0,0,0,0,0
0.238373,0,0,0,0,0,0,0,0
0.239945,0,0,0,0,0,0,0,0
0.241516,0,0,0,0,0,0,0,0
0.243085,0,0,0,0,0,0,0,0
0.244640,0,0,0,0,0,0,0,0
0.246182,0,0,0,0,0,0,0,0
0.247754,0,0,0,0,0,0,0,0
0.249420,0,0,0,0,0,0,0,0
0.250990,0,0,0,0,0,0,0,0
0.252561,0,0,0,0,0,0,0,0
0.254133,0,0,0,0,0,0,0,0
0.255720,0,0,0,0,0,0,0,0
0.257292,0,0,0,0,0,0,0,0
0.258862,0,0,0,0,0,0,0,0
0.260432,0,0,0,0,0,0,0,0
0.262136,0,0,0,0,0,0,0,0
0.263712,0,0,0,0,0,0,0,0
0.265330,0,0,0,0,0,0,0,0
0.266916,0,0,0,0,0,0,0,0
0.268489,0,0,0,0,0,0,0,0
0.270053,0,0,0,0,0,0,0,0
0.271690,0,0,0,0,0,0,0,0
0.273143,0,0,0,0,0,0,0,0
0.274706,0,0,0,0,0,0,0,0
0.276279,0,0,0,0,0,0,0,0
0.277863,0,0,0,0,0,0,0,0
0.279489,0,0,0,0,0,0,0,0
0.281058,0,0,0,0,0,0,0,0
0.282628,0,0,0,0,0,0,0,0
0.284204,0,0,0,0,0,0,0,0
0.285772,0,0,0,0,0,0,0,0
0.287343,0,0,0,0,0,0,0,0
0.289024,0,0,0,0,0,0,0,0
0.290472,0,0,0,0,0,0,0,0
0.291988,0,0,0,0,0,0,0,0
0.293519,0,0,0,0,0,0,0,0
0.295082,0,0,0,0,0,0,0,0
0.296783,0,0,0,0,0,0,0,0
0.298353,0,0,0,0,0,0,0,0
0.299939,0,0,0,0,0,0,0,0
0.301510,0,0,0,0,0,0,0,0
0.303079,0,0,0,0,0,0,0,0
0.304703,0,0,0,0,0,0,0,0
0.306273,0,0,0,0,0,0,0,0
0.307845,0,0,0,0,0,0,0,0
0.309416,0,0,0,0,0,0,0,0
0.310998,0,0,0,0,0,0,0,0
0.312613,0,0,0,0,0,0,0,0
0.314188,0,0,0,0,0,0,0,0
0.315761,0,0,0,0,0,0,0,0
0.317331,0,0,0,0,0,0,0,0
0.318900,0,0,0,0,0,0,0,0
0.320470,0,0,0,0,0,0,0,0
0.322055,0,0,0,0,0,0,0,0
0.323628,0,0,0,0,0,0,0,0
0.325199,0,0,0,0,0,0,0,0
0.326768,0,0,0,0,0,0,0,0
0.328384,0,0,0,0,0,0,0,0
0.329955,0,0,0,0,0,0,0,0
0.331528,0,0,0,0,0,0,0,0
0.333113,0,0,0,0,0,0,0,0
0.334682,0,0,0,0,0,0,0,0
0.336255,0,0,0,0,0,0,0,0
0.337825,0,0,0,0,0,0,0,0
0.339395,0,0,0,0,0,0,0,0
0.340830,0,0,0,0,0,0,0,0
0.342379,0,0,0,0,0,0,0,0
0.344008,0,0,0,0,0,0,0,0
0.345581,0,0,0,0,0,0,0,0
0.347149,0,0,0,0,0,0,0,0
0.348722,0,0,0,0,0,0,0,0
0.350289,0,0,0,0,0,0,0,0
0.351862,0,0,0,0,0,0,0,0
0.353432,0,0,0,0,0,0,0,0
0.355015,0,0,0,0,0,0,0,0
0.356587,0,0,0,0,0,0,0,0
0.358160,0,0,0,0,0,0,0,0
0.359733,0,0,0,0,0,0,0,0
0.361349,0,0,0,0,0,0,0,0
0.362919,0,0,0,0,0,0,0,0
0.364490,0,0,0,0,0,0,0,0
0.366075,0,0,0,0,0,0,0,0
0.367648,0,0,0,0,0,0,0,0
0.369219,0,0,0,0,0,0,0,0
0.370788,0,0,0,0,0,0,0,0
0.372361,0,0,0,0,0,0,0,0
0.373932,0,0,0,0,0,0,0,0
0.375505,0,0,0,0,0,0,0,0
0.377131,0,0,0,0,0,0,0,0
0.378702,0,0,0,0,0,0,0,0
0.380275,0,0,0,0,0,0,0,0
0.382927,0,0,0,0,0,0,0,0
0.384385,0,0,0,0,0,0,0,0
0.386165,0,0,0,0,0,0,0,0
0.387603,0,0,0,0,0,0,0,0
0.389016,0,0,0,0,0,0,0,0
0.390424,0,0,0,0,0,0,0,0
0.391872,0,0,0,0,0,0,0,0
0.393279,0,0,0,0,0,0,0,0
0.394812,0,0,0,0,0,0,0,0
0.396382,0,0,0,0,0,0,0,0
0.397968,0,0,0,0,0,0,0,0
0.399539,0,0,0,0,0,0,0,0
0.401110,0,0,0,0,0,0,0,0
0.402679,0,0,0,0,0,0,0,0
0.404253,0,0,0,0,0,0,0,0
0.405823,0,0,0,0,0,0,0,0
0.407392,0,0,0,0,0,0,0,0
0.409019,0,0,0,0,0,0,0,0
0.410589,0,0,0,0,0,0,0,0
0.412161,0,0,0,0,0,0,0,0
0.413731,0,0,0,0,0,0,0,0
0.415300,0,0,0,0,0,0,0,0
0.416876,0,0,0,0,0,0,0,0
0.418445,0,0,0,0,0,0,0,0
0.420030,0,0,0,0,0,0,0,0
0.421600,0,0,0,0,0,0,0,0
0.423056,0,0,0,0,0,0,0,0
0.424644,0,0,0,0,0,0,0,0
0.426216,0,0,0,0,0,0,0,0
0.427788,0,0,0,0,0,0,0,0
0.429359,0,0,0,0,0,0,0,0
0.430941,0,0,0,0,0,0,0,0
0.432512,0,0,0,0,0,0,0,0
0.434084,0,0,0,0,0,0,0,0
0.435655,0,0,0,0,0,0,0,0
0.437223,0,0,0,0,0,0,0,0
0.438791,0,0,0,0,0,0,0,0
0.440280,0,0,0,0,0,0,0,0
0.441838,0,0,0,0,0,0,0,0
0.443410,0,0,0,0,0,0,0,0
0.445062,0,0,0,0,0,0,0,0
0.446477,0,0,0,0,0,0,0,0
0.448018,0,0,0,0,0,0,0,0
0.449592,0,0,0,0,0,0,0,0
0.451164,0,0,0,0,0,0,0,0
0.452753,0,0,0,0,0,0,0,0
0.454326,0,0,0,0,0,0,0,0
0.455944,0,0,0,0,0,0,0,0
0.457519,0,0,0,0,0,0,0,0
0.459090,0,0,0,0,0,0,0,0
0.460725,0,0,0,0,0,0,0,0
0.462298,0,0,0,0,0,0,0,0
0.463886,0,0,0,0,0,0,0,0
0.465461,0,0,0,0,0,0,0,0
0.467033,0,0,0,0,0,0,0,0
0.468606,0,0,0,0,0,0,0,0
0.470181,0,0,0,0,0,0,0,0
0.471755,0,0,0,0,0,0,0,0
0.473374,0,0,0,0,0,0,0,0
0.474959,0,0,0,0,0,0,0,0
0.476532,0,0,0,0,0,0,0,0
0.478105,0,0,0,0,0,0,0,0
0.479680,0,0,0,0,0,0,0,0
0.481255,0,0,0,0,0,0,0,0
0.482827,0,0,0,0,0,0,0,0
0.484401,0,0,0,0,0,0,0,0
0.485988,0,0,0,0,0,0,0,0
0.487562,0,0,0,0,0,0,0,0
0.489181,0,0,0,0,0,0,0,0
0.490753,0,0,0,0,0,0,0,0
0.492326,0,0,0,0,0,0,0,0
0.493889,0,0,0,0,0,0,0,0
0.495602,0,0,0,0,0,0,0,0
0.497163,0,0,0,0,0,0,0,0
0.498608,0,0,0,0,0,0,0,0
0.500020,0,0,0,0,0,0,0,0
0.501431,0,0,0,0,0,0,0,0
0.502838,0,0,0,0,0,0,0,0
0.504247,0,0,0,0,0,0,0,0
0.505782,0,0,0,0,0,0,0,0
0.507279,0,0,0,0,0,0,0,0
0.508882,0,0,0,0,0,0,0,0
0.510452,0,0,0,0,0,0,0,0
0.512025,0,0,0,0,0,0,0,0
0.513598,0,0,0,0,0,0,0,0
0.515169,0,0,0,0,0,0,0,0
0.516745,0,0,0,0,0,0,0,0
0.518327,0,0,0,0,0,0,0,0
0.519943,0,0,0,0,0,0,0,0
0.521516,0,0,0,0,0,0,0,0
0.523086,0,0,0,0,0,0,0,0
0.524716,0,0,0,0,0,0,0,0
0.526286,0,0,0,0,0,0,0,0
0.527859,0,0,0,0,0,0,0,0
0.529444,0,0,0,0,0,0,0,0
0.531014,0,0,0,0,0,0,0,0
0.532585,0,0,0,0,0,0,0,0
0.534158,0,0,0,0,0,0,0,0
0.535788,0,0,0,0,0,0,0,0
0.537337,0,0,0,0,0,0,0,0
0.538908,0,0,0,0,0,0,0,0
0.540492,0,0,0,0,0,0,0,0
0.541929,0,0,0,0,0,0,0,0
0.543480,0,0,0,0,0,0,0,0
0.545052,0,0,0,0,0,0,0,0
0.546623,0,0,0,0,0,0,0,0
0.548196,0,0,0,0,0,0,0,0
0.549768,0,0,0,0,0,0,0,0
0.551350,0,0,0,0,0,0,0,0
0.552928,0,0,0,0,0,0,0,0
0.554499,0,0,0,0,0,0,0,0
0.556073,0,0,0,0,0,0,0,0
0.557645,0,0,0,0,0,0,0,0
0.559215,0,0,0,0,0,0,0,0
0.560792,0,0,0,0,0,0,0,0
0.562376,0,0,0,0,0,0,0,0
0.563950,0,0,0,0,0,0,0,0
0.565522,0,0,0,0,0,0,0,0
0.567093,0,0,0,0,0,0,0,0
0.568742,0,0,0,0,0,0,0,0
0.570286,0,0,0,0,0,0,0,0
0.571729,0,0,0,0,0,0,0,0
0.573285,0,0,0,0,0,0,0,0
0.574857,0,0,0,0,0,0,0,0
0.576431,0,0,0,0,0,0,0,0
0.578004,0,0,0,0,0,0,0,0
0.579579,0,0,0,0,0,0,0,0
0.581152,0,0,0,0,0,0,0,0
0.582724,0,0,0,0,0,0,0,0
0.584354,0,0,0,0,0,0,0,0
0.585927,0,0,0,0,0,0,0,0
0.587501,0,0,0,0,0,0,0,0
0.589065,0,0,0,0,0,0,0,0
0.590629,0,0,0,0,0,0,0,0
0.592072,0,0,0,0,0,0,0,0
0.593612,0,0,0,0,0,0,0,0
0.595194,0,0,0,0,0,0,0,0
0.596769,0,0,0,0,0,0,0,0
0.598339,0,0,0,0,0,0,0,0
0.599955,0,0,0,0,0,0,0,0
0.601528,0,0,0,0,0,0,0,0
0.603098,0,0,0,0,0,0,0,0
0.604801,0,0,0,0,0,0,0,0
0.606384,0,0,0,0,0,0,0,0
0.607957,0,0,0,0,0,0,0,0
0.609530,0,0,0,0,0,0,0,0
0.611100,0,0,0,0,0,0,0,0
0.612760,0,0,0,0,0,0,0,0
0.614330,0,0,0,0,0,0,0,0
0.615948,0,0,0,0,0,0,0,0
0.617533,0,0,0,0,0,0,0,0
0.619104,0,0,0,0,0,0,0,0
0.620728,0,0,0,0,0,0,0,0
0.622298,0,0,0,0,0,0,0,0
0.623872,0,0,0,0,0,0,0,0
0.625444,0,0,0,0,0,0,0,0
0.627014,0,0,0,0,0,0,0,0
0.628470,0,0,0,0,0,0,0,0
0.630012,0,0,0,0,0,0,0,0
0.631585,0,0,0,0,0,0,0,0
0.633201,0,0,0,0,0,0,0,0
0.634770,0,0,0,0,0,0,0,0
0.636340,0,0,0,0,0,0,0,0
0.637910,0,0,0,0,0,0,0,0
0.640233,0,0,0,0,0,0,0,0
0.641691,0,0,0,0,0,0,0,0
0.643185,0,0,0,0,0,0,0,0
0.644633,0,0,0,0,0,0,0,0
0.646061,0,0,0,0,0,0,0,0
0.647471,0,0,0,0,0,0,0,0
0.648878,0,0,0,0,0,0,0,0
0.650421,0,0,0,0,0,0,0,0
0.651995,0,0,0,0,0,0,0,0
0.654424,0,0,0,0,0,0,0,0
0.655869,0,0,0,0,0,0,0,0
0.657292,0,0,0,0,0,0,0,0
0.658702,0,0,0,0,0,0,0,0
0.660112,0,0,0,0,0,0,0,0
0.661532,0,0,0,0,0,0,0,0
0.662939,0,0,0,0,0,0,0,0
0.664521,0,0,0,0,0,0,0,0
0.666306,0,0,0,0,0,0,0,0
0.667680,0,0,0,0,0,0,0,0
0.669098,0,0,0,0,0,0,0,0
0.670507,0,0,0,0,0,0,0,0
0.671929,0,0,0,0,0,0,0,0
0.673338,0,0,0,0,0,0,0,0
0.674746,0,0,0,0,0,0,0,0
0.676283,0,0,0,0,0,0,0,0
0.677856,0,0,0,0,0,0,0,0
0.679519,0,0,0,0,0,0,0,0
0.681055,0,0,0,0,0,0,0,0
0.682909,0,0,0,0,0,0,0,0
0.684455,0,0,0,0,0,0,0,0
0.686028,0,0,0,0,0,0,0,0
0.687602,0,0,0,0,0,0,0,0
0.689175,0,0,0,0,0,0,0,0
0.690748,0,0,0,0,0,0,0,0
0.692321,0,0,0,0,0,0,0,0
0.693906,0,0,0,0,0,0,0,0
0.695481,0,0,0,0,0,0,0,0
0.697055,0,0,0,0,0,0,0,0
0.698626,0,0,0,0,0,0,0,0
0.700201,0,0,0,0,0,0,0,0
0.701773,0,0,0,0,0,0,0,0
0.703345,0,0,0,0,0,0,0,0
0.704936,0,0,0,0,0,0,0,0
0.706507,0,0,0,0,0,0,0,0
0.708082,0,0,0,0,0,0,0,0
0.709655,0,0,0,0,0,0,0,0
0.711226,0,0,0,0,0,0,0,0
0.712805,0,0,0,0,0,0,0,0
0.714376,0,0,0,0,0,0,0,0
0.715963,0,0,0,0,0,0,0,0
0.717528,0,0,0,0,0,0,0,0
0.719090,0,0,0,0,0,0,0,0
0.720834,0,0,0,0,0,0,0,0
0.722404,0,0,0,0,0,0,0,0
0.723977,0,0,0,0,0,0,0,0
0.725548,0,0,0,0,0,0,0,0
0.727129,0,0,0,0,0,0,0,0
0.728754,0,0,0,0,0,0,0,0
0.730323,0,0,0,0,0,0,0,0
0.731896,0,0,0,0,0,0,0,0
0.733467,0,0,0,0,0,0,0,0
0.735035,0,0,0,0,0,0,0,0
0.736605,0,0,0,0,0,0,0,0
0.738189,0,0,0,0,0,0,0,0
0.739762,0,0,0,0,0,0,0,0
0.741351,0,0,0,0,0,0,0,0
0.742849,0,0,0,0,0,0,0,0
0.744441,0,0,0,0,0,0,0,0
0.746013,0,0,0,0,0,0,0,0
0.747586,0,0,0,0,0,0,0,0
0.749171,0,0,0,0,0,0,0,0
0.750739,0,0,0,0,0,0,0,0
0.752310,0,0,0,0,0,0,0,0
0.753881,0,0,0,0,0,0,0,0
0.755453,0,0,0,0,0,0,0,0
0.757023,0,0,0,0,0,0,0,0
0.758592,0,0,0,0,0,0,0,0
0.760220,0,0,0,0,0,0,0,0
0.761791,0,0,0,0,0,0,0,0
0.763360,0,0,0,0,0,0,0,0
0.764971,0,0,0,0,0,0,0,0
0.766541,0,0,0,0,0,0,0,0
0.768113,0,0,0,0,0,0,0,0
0.769683,0,0,0,0,0,0,0,0
0.771265,0,0,0,0,0,0,0,0
0.772669,0,0,0,0,0,0,0,0
0.774207,0,0,0,0,0,0,0,0
0.775782,0,0,0,0,0,0,0,0
0.777353,0,0,0,0,0,0,0,0
0.778922,0,0,0,0,0,0,0,0
0.780492,0,0,0,0,0,0,0,0
0.782077,0,0,0,0,0,0,0,0
0.783650,0,0,0,0,0,0,0,0
0.785221,0,0,0,0,0,0,0,0
0.786790,0,0,0,0,0,0,0,0
0.788361,0,0,0,0,0,0,0,0
0.789933,0,0,0,0,0,0,0,0
0.791505,0,0,0,0,0,0,0,0
0.793130,0,0,0,0,0,0,0,0
0.794700,0,0,0,0,0,0,0,0
0.796272,0,0,0,0,0,0,0,0
0.797843,0,0,0,0,0,0,0,0
0.799412,0,0,0,0,0,0,0,0
0.801121,0,0,0,0,0,0,0,0
0.802688,0,0,0,0,0,0,0,0
0.804271,0,0,0,0,0,0,0,0
0.805842,0,0,0,0,0,0,0,0
0.807412,0,0,0,0,0,0,0,0
0.809034,0,0,0,0,0,0,0,0
0.810604,0,0,0,0,0,0,0,0
0.812176,0,0,0,0,0,0,0,0
0.813747,0,0,0,0,0,0,0,0
0.815330,0,0,0,0,0,0,0,0
0.816904,0,0,0,0,0,0,0,0
0.818471,0,0,0,0,0,0,0,0
0.820041,0,0,0,0,0,0,0,0
0.821610,0,0,0,0,0,0,0,0
0.823206,0,0,0,0,0,0,0,0
0.824784,0,0,0,0,0,0,0,0
0.826243,0,0,0,0,0,0,0,0
0.829040,0,0,0,0,0,0,0,0
0.830427,0,0,0,0,0,0,0,0
0.831878,0,0,0,0,0,0,0,0
0.833281,0,0,0,0,0,0,0,0
0.834736,0,0,0,0,0,0,0,0
0.836208,0,0,0,0,0,0,0,0
0.837701,0,0,0,0,0,0,0,0
0.839262,0,0,0,0,0,0,0,0
0.840791,0,0,0,0,0,0,0,0
0.842260,0,0,0,0,0,0,0,0
0.843973,0,0,0,0,0,0,0,0
0.845975,0,0,0,0,0,0,0,0
0.847597,0,0,0,0,0,0,0,0
0.849046,0,0,0,0,0,0,0,0
0.850464,0,0,0,0,0,0,0,0
0.851873,0,0,0,0,0,0,0,0
0.853278,0,0,0,0,0,0,0,0
0.854682,0,0,0,0,0,0,0,0
0.856128,0,0,0,0,0,0,0,0
0.857658,0,0,0,0,0,0,0,0
0.859111,0,0,0,0,0,0,0,0
0.860776,0,0,0,0,0,0,0,0
0.862340,0,0,0,0,0,0,0,0
0.863779,0,0,0,0,0,0,0,0
0.865314,0,0,0,0,0,0,0,0
0.866877,0,0,0,0,0,0,0,0
0.868317,0,0,0,0,0,0,0,0
0.869861,0,0,0,0,0,0,0,0
0.871581,0,0,0,0,0,0,0,0
0.873186,0,0,0,0,0,0,0,0
0.874749,0,0,0,0,0,0,0,0
0.876193,0,0,0,0,0,0,0,0
0.877736,0,0,0,0,0,0,0,0
0.879308,0,0,0,0,0,0,0,0
0.880775,0,0,0,0,0,0,0,0
0.882318,0,0,0,0,0,0,0,0
0.883893,0,0,0,0,0,0,0,0
0.885467,0,0,0,0,0,0,0,0
0.887039,0,0,0,0,0,0,0,0
0.888656,0,0,0,0,0,0,0,0
0.890229,0,0,0,0,0,0,0,0
0.891819,0,0,0,0,0,0,0,0
0.893384,0,0,0,0,0,0,0,0
0.894947,0,0,0,0,0,0,0,0
0.896388,0,0,0,0,0,0,0,0
0.897930,0,0,0,0,0,0,0,0
0.899504,0,0,0,0,0,0,0,0
0.901076,0,0,0,0,0,0,0,0
0.902659,0,0,0,0,0,0,0,0
0.904279,0,0,0,0,0,0,0,0
0.905852,0,0,0,0,0,0,0,0
0.907494,0,0,0,0,0,0,0,0
0.909002,0,0,0,0,0,0,0,0
0.910415,0,0,0,0,0,0,0,0
0.911955,0,0,0,0,0,0,0,0
0.913540,0,0,0,0,0,0,0,0
0.915111,0,0,0,0,0,0,0,0
0.916772,0,0,0,0,0,0,0,0
0.918343,0,0,0,0,0,0,0,0
0.919962,0,0,0,0,0,0,0,0
0.921535,0,0,0,0,0,0,0,0
0.923106,0,0,0,0,0,0,0,0
0.924745,0,0,0,0,0,0,0,0
0.926316,0,0,0,0,0,0,0,0
0.927890,0,0,0,0,0,0,0,0
0.929463,0,0,0,0,0,0,0,0
0.931046,0,0,0,0,0,0,0,0
0.932579,0,0,0,0,0,0,0,0
0.934001,0,0,0,0,0,0,0,0
0.935427,0,0,0,0,0,0,0,0
0.936971,0,0,0,0,0,0,0,0
0.938547,0,0,0,0,0,0,0,0
0.940125,0,0,0,0,0,0,0,0
0.941721,0,0,0,0,0,0,0,0
0.943236,0,0,0,0,0,0,0,0
0.944667,0,0,0,0,0,0,0,0
0.946214,0,0,0,0,0,0,0,0
0.947774,0,0,0,0,0,0,0,0
0.949197,0,0,0,0,0,0,0,0
0.950613,0,0,0,0,0,0,0,0
0.952071,0,0,0,0,0,0,0,0
