elapsed_s,RB_EARLY_Z_ARB3_GRANT,RB_LATE_Z_ARB3_GRANT,RB_EARLY_Z_SKIP_GRANT,RB_VRS_1X1_QUADS,RB_VRS_2X1_QUADS,RB_VRS_1X2_QUADS,RB_VRS_2X2_QUADS,RB_VRS_2X4_QUADS
0.001105,0,0,0,0,0,0,0,0
0.002673,0,0,0,0,0,0,0,0
0.004219,0,0,0,0,0,0,0,0
0.006522,0,0,0,0,0,0,0,0
0.008077,0,0,0,0,0,0,0,0
0.009620,0,0,0,0,0,0,0,0
0.011164,0,0,0,0,0,0,0,0
0.012784,0,0,0,0,0,0,0,0
0.014501,0,0,0,0,0,0,0,0
0.017717,0,0,0,0,0,0,0,0
0.019317,0,0,0,0,0,0,0,0
0.020831,0,0,0,0,0,0,0,0
0.022374,0,0,0,0,0,0,0,0
0.023892,0,0,0,0,0,0,0,0
0.025409,0,0,0,0,0,0,0,0
0.026927,0,0,0,0,0,0,0,0
0.028444,0,0,0,0,0,0,0,0
0.030093,0,0,0,0,0,0,0,0
0.031597,0,0,0,0,0,0,0,0
0.033098,0,0,0,0,0,0,0,0
0.034599,0,0,0,0,0,0,0,0
0.036099,0,0,0,0,0,0,0,0
0.037600,0,0,0,0,0,0,0,0
0.039103,0,0,0,0,0,0,0,0
0.040623,0,0,0,0,0,0,0,0
0.042149,0,0,0,0,0,0,0,0
0.043657,0,0,0,0,0,0,0,0
0.045234,0,0,0,0,0,0,0,0
0.046698,0,0,0,0,0,0,0,0
0.048156,0,0,0,0,0,0,0,0
0.049616,0,0,0,0,0,0,0,0
0.051133,0,0,0,0,0,0,0,0
0.052596,0,0,0,0,0,0,0,0
0.054175,0,0,0,0,0,0,0,0
0.055727,0,0,0,0,0,0,0,0
0.057140,0,0,0,0,0,0,0,0
0.058552,0,0,0,0,0,0,0,0
0.059963,0,0,0,0,0,0,0,0
0.061390,0,0,0,0,0,0,0,0
0.062768,0,0,0,0,0,0,0,0
0.064161,0,0,0,0,0,0,0,0
0.065491,0,0,0,0,0,0,0,0
0.066825,0,0,0,0,0,0,0,0
0.068178,0,0,0,0,0,0,0,0
0.069517,0,0,0,0,0,0,0,0
0.070918,0,0,0,0,0,0,0,0
0.072300,0,0,0,0,0,0,0,0
0.073642,0,0,0,0,0,0,0,0
0.074986,0,0,0,0,0,0,0,0
0.076325,0,0,0,0,0,0,0,0
0.077677,0,0,0,0,0,0,0,0
0.079109,0,0,0,0,0,0,0,0
0.080522,0,0,0,0,0,0,0,0
0.081950,0,0,0,0,0,0,0,0
0.083385,0,0,0,0,0,0,0,0
0.084797,0,0,0,0,0,0,0,0
0.086210,0,0,0,0,0,0,0,0
0.087624,0,0,0,0,0,0,0,0
0.089110,0,0,0,0,0,0,0,0
0.090571,0,0,0,0,0,0,0,0
0.091993,0,0,0,0,0,0,0,0
0.093269,0,0,0,0,0,0,0,0
0.094487,0,0,0,0,0,0,0,0
0.095705,0,0,0,0,0,0,0,0
0.096982,0,0,0,0,0,0,0,0
0.098258,0,0,0,0,0,0,0,0
0.099521,0,0,0,0,0,0,0,0
0.100913,0,0,0,0,0,0,0,0
0.102187,0,0,0,0,0,0,0,0
0.103412,0,0,0,0,0,0,0,0
0.104633,0,0,0,0,0,0,0,0
0.105861,0,0,0,0,0,0,0,0
0.107242,0,0,0,0,0,0,0,0
0.108612,0,0,0,0,0,0,0,0
0.109988,0,0,0,0,0,0,0,0
0.111353,0,0,0,0,0,0,0,0
0.112719,0,0,0,0,0,0,0,0
0.114082,0,0,0,0,0,0,0,0
0.115445,0,0,0,0,0,0,0,0
0.116823,0,0,0,0,0,0,0,0
0.118186,0,0,0,0,0,0,0,0
0.119547,0,0,0,0,0,0,0,0
0.120910,0,0,0,0,0,0,0,0
0.122274,0,0,0,0,0,0,0,0
0.123637,0,0,0,0,0,0,0,0
0.125000,0,0,0,0,0,0,0,0
0.126414,0,0,0,0,0,0,0,0
0.127849,0,0,0,0,0,0,0,0
0.129281,0,0,0,0,0,0,0,0
0.130643,0,0,0,0,0,0,0,0
0.132000,0,0,0,0,0,0,0,0
0.133358,0,0,0,0,0,0,0,0
0.134715,0,0,0,0,0,0,0,0
0.136072,0,0,0,0,0,0,0,0
0.137429,0,0,0,0,0,0,0,0
0.138800,0,0,0,0,0,0,0,0
0.140159,0,0,0,0,0,0,0,0
0.141539,0,0,0,0,0,0,0,0
0.143099,0,0,0,0,0,0,0,0
0.144662,0,0,0,0,0,0,0,0
0.146255,0,0,0,0,0,0,0,0
0.147663,0,0,0,0,0,0,0,0
0.149260,0,0,0,0,0,0,0,0
0.150794,0,0,0,0,0,0,0,0
0.152356,0,0,0,0,0,0,0,0
0.154082,0,0,0,0,0,0,0,0
0.155640,0,0,0,0,0,0,0,0
0.157124,0,0,0,0,0,0,0,0
0.158666,0,0,0,0,0,0,0,0
0.160125,0,0,0,0,0,0,0,0
0.161668,0,0,0,0,0,0,0,0
0.163242,0,0,0,0,0,0,0,0
0.164816,0,0,0,0,0,0,0,0
0.166388,0,0,0,0,0,0,0,0
0.167959,0,0,0,0,0,0,0,0
0.169533,0,0,0,0,0,0,0,0
0.170993,0,0,0,0,0,0,0,0
0.172532,0,0,0,0,0,0,0,0
0.174110,0,0,0,0,0,0,0,0
0.175680,0,0,0,0,0,0,0,0
0.177252,0,0,0,0,0,0,0,0
0.178822,0,0,0,0,0,0,0,0
0.180393,0,0,0,0,0,0,0,0
0.182055,0,0,0,0,0,0,0,0
0.183625,0,0,0,0,0,0,0,0
0.185199,0,0,0,0,0,0,0,0
0.186771,0,0,0,0,0,0,0,0
0.188341,0,0,0,0,0,0,0,0
0.189894,0,0,0,0,0,0,0,0
0.191434,0,0,0,0,0,0,0,0
0.193022,0,0,0,0,0,0,0,0
0.194595,0,0,0,0,0,0,0,0
0.196166,0,0,0,0,0,0,0,0
0.197739,0,0,0,0,0,0,0,0
0.199312,0,0,0,0,0,0,0,0
0.200885,0,0,0,0,0,0,0,0
0.202455,0,0,0,0,0,0,0,0
0.203916,0,0,0,0,0,0,0,0
0.205508,0,0,0,0,0,0,0,0
0.207080,0,0,0,0,0,0,0,0
0.208651,0,0,0,0,0,0,0,0
0.210115,0,0,0,0,0,0,0,0
0.211536,0,0,0,0,0,0,0,0
0.212950,0,0,0,0,0,0,0,0
0.214371,0,0,0,0,0,0,0,0
0.215779,0,0,0,0,0,0,0,0
0.217191,0,0,0,0,0,0,0,0
0.218599,0,0,0,0,0,0,0,0
0.220135,0,0,0,0,0,0,0,0
0.221756,0,0,0,0,0,0,0,0
0.223334,0,0,0,0,0,0,0,0
0.224918,0,0,0,0,0,0,0,0
0.226492,0,0,0,0,0,0,0,0
0.228062,0,0,0,0,0,0,0,0
0.229635,0,0,0,0,0,0,0,0
0.231209,0,0,0,0,0,0,0,0
0.232784,0,0,0,0,0,0,0,0
0.234357,0,0,0,0,0,0,0,0
0.235940,0,0,0,0,0,0,0,0
0.237559,0,0,0,0,0,0,0,0
0.239124,0,0,0,0,0,0,0,0
0.240982,0,0,0,0,0,0,0,0
0.242452,0,0,0,0,0,0,0,0
0.243864,0,0,0,0,0,0,0,0
0.245454,0,0,0,0,0,0,0,0
0.247030,0,0,0,0,0,0,0,0
0.248592,0,0,0,0,0,0,0,0
0.250147,0,0,0,0,0,0,0,0
0.251562,0,0,0,0,0,0,0,0
0.252985,0,0,0,0,0,0,0,0
0.254589,0,0,0,0,0,0,0,0
0.256148,0,0,0,0,0,0,0,0
0.257604,0,0,0,0,0,0,0,0
0.259146,0,0,0,0,0,0,0,0
0.260720,0,0,0,0,0,0,0,0
0.262289,0,0,0,0,0,0,0,0
0.263858,0,0,0,0,0,0,0,0
0.265432,0,0,0,0,0,0,0,0
0.267003,0,0,0,0,0,0,0,0
0.268585,0,0,0,0,0,0,0,0
0.270161,0,0,0,0,0,0,0,0
0.271730,0,0,0,0,0,0,0,0
0.273304,0,0,0,0,0,0,0,0
0.274873,0,0,0,0,0,0,0,0
0.276440,0,0,0,0,0,0,0,0
0.278015,0,0,0,0,0,0,0,0
0.279597,0,0,0,0,0,0,0,0
0.281169,0,0,0,0,0,0,0,0
0.282740,0,0,0,0,0,0,0,0
0.284308,0,0,0,0,0,0,0,0
0.285793,0,0,0,0,0,0,0,0
0.287209,0,0,0,0,0,0,0,0
0.288755,0,0,0,0,0,0,0,0
0.290341,0,0,0,0,0,0,0,0
0.291912,0,0,0,0,0,0,0,0
0.293486,0,0,0,0,0,0,0,0
0.295058,0,0,0,0,0,0,0,0
0.296628,0,0,0,0,0,0,0,0
0.298203,0,0,0,0,0,0,0,0
0.299774,0,0,0,0,0,0,0,0
0.301404,0,0,0,0,0,0,0,0
0.302977,0,0,0,0,0,0,0,0
0.304548,0,0,0,0,0,0,0,0
0.306125,0,0,0,0,0,0,0,0
0.307694,0,0,0,0,0,0,0,0
0.309269,0,0,0,0,0,0,0,0
0.310841,0,0,0,0,0,0,0,0
0.312426,0,0,0,0,0,0,0,0
0.314003,0,0,0,0,0,0,0,0
0.315574,0,0,0,0,0,0,0,0
0.317193,0,0,0,0,0,0,0,0
0.318765,0,0,0,0,0,0,0,0
0.320336,0,0,0,0,0,0,0,0
0.321984,0,0,0,0,0,0,0,0
0.323568,0,0,0,0,0,0,0,0
0.325144,0,0,0,0,0,0,0,0
0.326716,0,0,0,0,0,0,0,0
0.328287,0,0,0,0,0,0,0,0
0.329860,0,0,0,0,0,0,0,0
0.331433,0,0,0,0,0,0,0,0
0.333008,0,0,0,0,0,0,0,0
0.334638,0,0,0,0,0,0,0,0
0.336210,0,0,0,0,0,0,0,0
0.337783,0,0,0,0,0,0,0,0
0.339357,0,0,0,0,0,0,0,0
0.340931,0,0,0,0,0,0,0,0
0.342494,0,0,0,0,0,0,0,0
0.344056,0,0,0,0,0,0,0,0
0.345507,0,0,0,0,0,0,0,0
0.347041,0,0,0,0,0,0,0,0
0.348603,0,0,0,0,0,0,0,0
0.350124,0,0,0,0,0,0,0,0
0.351538,0,0,0,0,0,0,0,0
0.352972,0,0,0,0,0,0,0,0
0.354535,0,0,0,0,0,0,0,0
0.356111,0,0,0,0,0,0,0,0
0.357554,0,0,0,0,0,0,0,0
0.359097,0,0,0,0,0,0,0,0
0.360668,0,0,0,0,0,0,0,0
0.362157,0,0,0,0,0,0,0,0
0.363571,0,0,0,0,0,0,0,0
0.365155,0,0,0,0,0,0,0,0
0.366743,0,0,0,0,0,0,0,0
0.368314,0,0,0,0,0,0,0,0
0.369939,0,0,0,0,0,0,0,0
0.371511,0,0,0,0,0,0,0,0
0.373085,0,0,0,0,0,0,0,0
0.374657,0,0,0,0,0,0,0,0
0.376229,0,0,0,0,0,0,0,0
0.377814,0,0,0,0,0,0,0,0
0.379387,0,0,0,0,0,0,0,0
0.380960,0,0,0,0,0,0,0,0
0.382578,0,0,0,0,0,0,0,0
0.384150,0,0,0,0,0,0,0,0
0.385723,0,0,0,0,0,0,0,0
0.387296,0,0,0,0,0,0,0,0
0.388883,0,0,0,0,0,0,0,0
0.390456,0,0,0,0,0,0,0,0
0.392027,0,0,0,0,0,0,0,0
0.393599,0,0,0,0,0,0,0,0
0.395173,0,0,0,0,0,0,0,0
0.396747,0,0,0,0,0,0,0,0
0.398320,0,0,0,0,0,0,0,0
0.399905,0,0,0,0,0,0,0,0
0.401479,0,0,0,0,0,0,0,0
0.403052,0,0,0,0,0,0,0,0
0.404623,0,0,0,0,0,0,0,0
0.406200,0,0,0,0,0,0,0,0
0.407770,0,0,0,0,0,0,0,0
0.409345,0,0,0,0,0,0,0,0
0.410932,0,0,0,0,0,0,0,0
0.412503,0,0,0,0,0,0,0,0
0.414080,0,0,0,0,0,0,0,0
0.415650,0,0,0,0,0,0,0,0
0.417225,0,0,0,0,0,0,0,0
0.418799,0,0,0,0,0,0,0,0
0.420370,0,0,0,0,0,0,0,0
0.421905,0,0,0,0,0,0,0,0
0.423446,0,0,0,0,0,0,0,0
0.425021,0,0,0,0,0,0,0,0
0.426593,0,0,0,0,0,0,0,0
0.428165,0,0,0,0,0,0,0,0
0.429782,0,0,0,0,0,0,0,0
0.431355,0,0,0,0,0,0,0,0
0.432944,0,0,0,0,0,0,0,0
0.434517,0,0,0,0,0,0,0,0
0.436089,0,0,0,0,0,0,0,0
