elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.001097,0,0,0,0,0,0,0,0
0.002668,0,0,0,0,0,0,0,0
0.004124,0,0,0,0,0,0,0,0
0.005779,0,0,0,0,0,0,0,0
0.007248,0,0,0,0,0,0,0,0
0.008665,0,0,0,0,0,0,0,0
0.010211,0,0,0,0,0,0,0,0
0.011591,0,0,0,0,0,0,0,0
0.012970,0,0,0,0,0,0,0,0
0.014398,0,0,0,0,0,0,0,0
0.015968,0,0,0,0,0,0,0,0
0.017460,0,0,0,0,0,0,0,0
0.018901,0,0,0,0,0,0,0,0
0.020351,0,0,0,0,0,0,0,0
0.021781,0,0,0,0,0,0,0,0
0.023210,0,0,0,0,0,0,0,0
0.024637,0,0,0,0,0,0,0,0
0.026111,0,0,0,0,0,0,0,0
0.027484,0,0,0,0,0,0,0,0
0.028853,0,0,0,0,0,0,0,0
0.030219,0,0,0,0,0,0,0,0
0.031545,0,0,0,0,0,0,0,0
0.032976,0,0,0,0,0,0,0,0
0.034420,0,0,0,0,0,0,0,0
0.035850,0,0,0,0,0,0,0,0
0.037173,0,0,0,0,0,0,0,0
0.038538,0,0,0,0,0,0,0,0
0.039992,0,0,0,0,0,0,0,0
0.041504,0,0,0,0,0,0,0,0
0.043241,0,0,0,0,0,0,0,0
0.044732,0,0,0,0,0,0,0,0
0.046193,0,0,0,0,0,0,0,0
0.047601,0,0,0,0,0,0,0,0
0.049002,0,0,0,0,0,0,0,0
0.050483,0,0,0,0,0,0,0,0
0.052294,0,0,0,0,0,0,0,0
0.053821,0,0,0,0,0,0,0,0
0.055288,0,0,0,0,0,0,0,0
0.056699,0,0,0,0,0,0,0,0
0.058155,0,0,0,0,0,0,0,0
0.059563,0,0,0,0,0,0,0,0
0.060970,0,362,495,0,0,0,0,0
0.062435,0,0,0,0,0,0,0,0
0.064067,0,0,0,0,0,0,0,0
0.065510,0,0,0,0,0,0,0,0
0.066918,0,0,0,0,0,0,0,0
0.068322,0,0,0,0,0,0,0,0
0.069729,0,0,0,0,0,0,0,0
0.071136,0,0,0,0,0,0,0,0
0.072543,0,353782,612,0,0,0,0,0
0.073805,0,1011750,745,0,0,0,0,0
0.075065,0,1009069,817,0,0,0,0,0
0.076326,0,1033788,752,0,0,0,0,0
0.079313,0,2414058,1880,0,0,0,0,0
0.080592,0,1042894,752,0,0,0,0,0
0.081899,0,1039546,846,0,0,0,0,0
0.083163,0,1035574,752,0,0,0,0,0
0.084424,0,992323,846,0,0,0,0,0
0.085711,0,1089905,752,0,0,0,0,0
0.086980,0,985898,781,0,0,0,0,0
0.088202,0,975654,812,0,0,0,0,0
0.089419,0,983443,757,0,0,0,0,0
0.090659,0,1011912,752,0,0,0,0,0
0.091926,0,1040201,752,0,0,0,0,0
