elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.001483,0,0,0,0,0,0,0,0
0.003015,0,0,0,0,0,0,0,0
0.004525,0,0,0,0,0,0,0,0
0.005978,0,0,0,0,0,0,0,0
0.007445,0,0,0,0,0,0,0,0
0.008908,0,0,0,0,0,0,0,0
0.011881,0,0,0,0,0,0,0,0
0.013382,0,0,0,0,0,0,0,0
0.014868,0,0,0,0,0,0,0,0
0.016285,0,0,0,0,0,0,0,0
0.017703,0,0,0,0,0,0,0,0
0.019144,0,0,0,0,0,0,0,0
0.020623,0,0,0,0,0,0,0,0
0.022034,0,0,0,0,0,0,0,0
0.023443,0,0,0,0,0,0,0,0
0.024852,0,0,0,0,0,0,0,0
0.026261,0,0,0,0,0,0,0,0
0.027718,0,0,0,0,0,0,0,0
0.029191,0,0,0,0,0,0,0,0
0.030572,0,0,0,0,0,0,0,0
0.032003,0,0,0,0,0,0,0,0
0.033382,0,0,0,0,0,0,0,0
0.034757,0,0,0,0,0,0,0,0
0.036182,0,0,0,0,0,0,0,0
0.037559,0,0,0,0,0,0,0,0
0.038936,0,0,0,0,0,0,0,0
0.040370,0,0,0,0,0,0,0,0
0.041766,0,0,0,0,0,0,0,0
0.043144,0,0,0,0,0,0,0,0
0.044602,0,0,0,0,0,0,0,0
0.045926,0,0,0,0,0,0,0,0
0.047248,0,0,0,0,0,0,0,0
0.048628,0,0,0,0,0,0,0,0
0.049950,0,0,0,0,0,0,0,0
0.051274,0,0,0,0,0,0,0,0
0.052605,0,0,0,0,0,0,0,0
0.053925,0,0,0,0,0,0,0,0
0.055244,0,0,0,0,0,0,0,0
0.056562,0,0,0,0,0,0,0,0
0.057882,0,0,0,0,0,0,0,0
0.059202,0,0,0,0,0,0,0,0
0.060603,0,0,0,0,0,0,0,0
0.061927,0,0,0,0,0,0,0,0
0.063258,0,0,0,0,0,0,0,0
0.064679,0,0,0,0,0,0,0,0
0.066039,0,0,0,0,0,0,0,0
0.067402,0,0,0,0,0,0,0,0
0.068819,0,0,0,0,0,0,0,0
0.070228,0,0,0,0,0,0,0,0
0.071593,0,0,0,0,0,0,0,0
0.072978,0,0,0,0,0,0,0,0
0.074338,0,0,0,0,0,0,0,0
0.075750,0,0,0,0,0,0,0,0
0.077113,0,0,0,0,0,0,0,0
0.078475,0,0,0,54,54,0,1128,0
0.079987,0,0,0,0,0,0,0,0
0.081358,0,0,0,0,0,0,0,0
0.082725,0,0,0,0,0,0,0,0
0.084151,0,0,0,0,0,0,0,0
0.085514,0,0,0,0,0,0,0,0
0.086877,0,0,0,0,0,0,0,0
0.088239,0,0,0,0,0,0,0,0
0.089604,0,0,0,54,54,0,129357,0
0.091129,0,0,0,96,96,0,2994795,0
0.092409,0,0,0,96,96,0,3190491,0
0.093697,0,0,0,108,108,0,3016647,0
0.094962,0,0,0,96,96,0,3108291,0
0.096643,0,0,0,132,132,0,4100580,0
0.098360,0,0,0,138,138,0,4112205,0
0.101117,0,0,0,222,222,0,6791241,0
0.102424,0,0,0,96,96,0,3136272,0
0.103694,0,0,0,102,108,0,2988795,0
0.104956,0,0,0,102,96,0,3104142,0
0.106216,0,0,0,96,102,0,3071055,0
0.107478,0,0,0,108,102,0,3013833,0
0.108789,0,0,0,102,102,0,3197559,0
0.110053,0,0,0,102,102,0,3052167,0
0.111317,0,0,0,96,96,0,3118890,0
0.112582,0,0,0,102,102,0,2980050,0
0.113846,0,0,0,102,102,0,3113385,0
0.115109,0,0,0,96,102,0,3071529,0
0.116375,0,0,0,108,102,0,3023676,0
0.117637,0,0,0,96,96,0,3110694,0
0.118900,0,0,0,102,102,0,2997837,0
