elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
0.001100,0,0,1684362,1684356,0,0
0.002576,0,0,1913244,1913232,0,0
0.004113,0,0,1639860,1639734,0,0
0.005550,0,0,1700820,1700832,0,0
0.006983,0,0,1642848,1642842,0,0
0.008417,0,0,1648086,1648182,0,0
0.009877,0,0,1533588,1531140,0,0
0.011374,0,0,1479324,1477650,0,0
0.012786,0,0,1464750,1464930,0,0
0.014194,0,0,1460268,1460190,0,0
0.015630,0,0,1517268,1517268,0,0
0.017078,0,0,1480596,1480584,0,0
0.018448,0,0,1493976,1507266,0,0
0.019919,0,0,1521834,1508532,0,0
0.021286,0,0,1465488,1465488,0,0
0.022652,0,0,1467420,1467480,0,0
0.024024,0,0,1475574,1475388,0,0
0.025389,0,0,1468800,1468902,0,0
0.026825,0,0,1664256,1664538,0,0
0.028250,0,0,1350012,1346982,0,0
0.029552,0,0,1340022,1339632,0,0
0.030932,0,0,1301742,1289634,0,0
0.032196,0,0,1666224,1666284,0,0
0.033626,0,0,1639302,1639134,0,0
0.035048,0,0,1298382,1298382,0,0
0.036326,0,0,1252332,1252290,0,0
0.037591,0,0,1250778,1250862,0,0
0.038931,0,0,1422222,1425942,0,0
0.040285,0,0,1411344,1411404,0,0
0.041644,0,0,1433592,1433538,0,0
0.042995,0,0,1722492,1728588,0,0
0.044480,0,0,1532364,1526820,0,0
0.045919,0,0,1443702,1443960,0,0
0.047324,0,0,1434876,1433880,0,0
0.048719,0,0,1433910,1433904,0,0
0.050137,0,0,1588704,1588698,0,0
0.051590,0,0,2198406,2201712,0,0
0.053235,0,0,1490238,1487850,0,0
0.054648,0,0,1437558,1436586,0,0
0.056045,0,0,1445148,1445094,0,0
0.057445,0,0,1439844,1439832,0,0
0.058838,0,0,6257160,6257160,0,0
0.061609,0,0,1443000,1443096,0,0
0.063111,0,0,2928975,2931600,0,0
0.064569,0,0,1450536,1451346,0,0
0.065968,0,0,1448928,1449036,0,0
0.067500,0,0,1555122,1554276,0,0
0.068913,0,0,1474548,1474500,0,0
0.070275,0,0,1452330,1452330,0,0
0.071631,0,0,1467366,1468176,0,0
0.072990,216,0,1455462,1440990,0,0
0.074425,0,0,548989,2142174,0,0
0.075636,0,0,558554,2141754,0,0
0.076844,180,0,500587,2049054,0,0
0.078061,0,0,549630,2173617,0,0
0.079314,0,0,884953,3218239,0,0
0.081463,0,0,679426,2765037,0,0
0.083328,0,0,792355,3097793,0,0
0.084602,0,0,623612,2440738,0,0
0.086024,0,0,611254,2336375,0,0
0.087420,0,0,585004,2379278,0,0
0.089190,0,0,828976,3434633,0,0
0.090836,0,0,707387,2734107,0,0
0.092280,0,0,721767,2723760,0,0
0.093717,0,0,552610,2168202,0,0
0.095043,0,0,638396,2423670,0,0
0.096373,0,0,617818,2432892,0,0
0.097810,0,0,609222,2428389,0,0
0.099251,0,0,625621,2418912,0,0
0.100843,0,0,691849,2709976,0,0
0.102112,0,0,595133,2386402,0,0
0.103365,0,0,564681,2093067,0,0
0.104594,0,0,534997,2080095,0,0
0.105816,0,0,579042,2336353,0,0
0.107038,0,0,549510,2070255,0,0
0.108320,0,0,622766,2320022,0,0
0.109577,0,0,532921,2158458,0,0
0.110974,0,0,697456,2484165,0,0
0.112400,0,0,4335362,5715146,0,0
0.113827,0,0,2455908,2430732,0,0
0.115220,0,0,2375142,2375154,0,0
0.116617,0,0,2513400,2513472,0,0
0.118010,0,0,2524116,2524014,0,0
0.119405,0,0,2435712,2436426,0,0
0.120803,0,0,2418966,2418366,0,0
0.122198,0,0,2513442,2514030,0,0
0.123658,0,0,2532048,2532840,0,0
0.125059,0,0,2437848,2437242,0,0
0.126456,0,0,2961990,3060510,0,0
0.127939,0,0,2582766,2484300,0,0
0.129344,0,0,2494134,2494134,0,0
0.130749,0,0,3373206,3372306,0,0
0.132287,0,0,2487078,2487072,0,0
0.133685,0,0,2422806,2422794,0,0
0.135077,0,0,2502270,2502372,0,0
0.136468,0,0,2517906,2517738,0,0
0.137859,0,0,2501808,2501856,0,0
0.142795,0,0,3223092,3222924,0,0
0.146771,0,0,3682404,3680286,0,0
0.148318,0,0,2467842,2467668,0,0
0.149656,0,0,2412414,2412468,0,0
0.150984,0,0,2389986,2389926,0,0
0.152307,0,0,2409330,2410020,0,0
0.153628,0,0,2424192,2423556,0,0
0.154962,0,0,2731980,2734236,0,0
0.156395,0,0,2503614,2503662,0,0
0.157792,0,0,2436138,2436180,0,0
0.159185,0,0,2486232,2486238,0,0
0.160700,0,0,2582328,2582322,0,0
0.162251,0,0,2578584,2578512,0,0
0.163724,0,0,2511324,2511378,0,0
0.165142,0,0,2516004,2516106,0,0
0.166542,0,0,2566302,2566086,0,0
0.168122,0,0,2525154,2525256,0,0
0.169520,0,0,2527584,2527584,0,0
0.170920,0,0,2589144,2589168,0,0
0.172316,0,0,2517792,2517744,0,0
0.173711,0,0,2520312,2520348,0,0
0.175108,0,0,2577498,2577450,0,0
0.176514,0,0,2454702,2454702,0,0
0.177910,0,0,2516712,2516808,0,0
0.179343,0,0,2521962,2521782,0,0
0.180739,0,0,2539296,2539398,0,0
0.182135,0,0,2525766,2525622,0,0
0.183533,0,0,2529042,2529132,0,0
0.185107,0,0,2655966,2656416,0,0
0.186557,0,0,2548164,2547648,0,0
0.188008,0,0,2500668,2500746,0,0
0.189406,0,0,2424870,2424846,0,0
0.190804,0,0,2427300,2427186,0,0
0.192200,0,0,2524998,2525088,0,0
0.193596,0,0,2530254,2530248,0,0
0.195167,0,0,2652342,2652372,0,0
0.196742,0,0,2593134,2592996,0,0
0.198301,0,0,2603880,2604072,0,0
0.199861,0,0,2593686,2593614,0,0
0.201303,0,0,2550798,2550762,0,0
0.202841,0,0,2897862,2897880,0,0
0.204447,0,0,2590524,2590590,0,0
0.206006,0,0,2595618,2595444,0,0
0.207580,0,0,2609154,2609214,0,0
0.209140,0,0,2592648,2592642,0,0
0.210784,0,0,3553470,3554028,0,0
0.212482,0,0,2622324,2621790,0,0
0.214041,0,0,2606202,2606100,0,0
0.215602,0,0,2592960,2592948,0,0
0.217163,0,0,2609100,2609262,0,0
0.218738,0,0,2606064,2605992,0,0
0.220301,0,0,2590212,2590206,0,0
0.221860,0,0,2595228,2595120,0,0
0.223423,0,0,2607300,2607366,0,0
0.224984,0,0,2592150,2592072,0,0
0.226544,0,0,2623242,2623404,0,0
0.228111,0,0,2598126,2598018,0,0
0.229684,0,0,2652360,2652288,0,0
0.231246,0,0,2605554,2606076,0,0
0.232807,0,0,2652546,2652078,0,0
0.234366,0,0,2598570,2598606,0,0
0.235990,0,0,2996328,2996280,0,0
0.237548,0,0,2596596,2596494,0,0
0.239111,0,0,2596680,2596878,0,0
0.240686,0,0,2587188,2587002,0,0
0.242245,0,0,2594568,2594640,0,0
0.243850,0,0,2612232,2612214,0,0
0.245410,0,0,2600460,2600472,0,0
0.246974,0,0,2662284,2662374,0,0
0.248535,0,0,2599770,2600022,0,0
0.250094,0,0,2598702,2598372,0,0
0.251712,0,0,2604738,2604702,0,0
0.253274,0,0,2596230,2596212,0,0
0.254836,0,0,2602134,2602656,0,0
0.256397,0,0,2599068,2598468,0,0
0.257956,0,0,2598228,2598324,0,0
0.259562,0,0,2606832,2606892,0,0
0.261124,0,0,2595216,2595114,0,0
0.262791,0,0,3092214,3092100,0,0
0.264302,0,0,2538300,2538300,0,0
0.265704,0,0,2419326,2419350,0,0
0.267275,0,0,2540472,2540532,0,0
0.268838,0,0,2592756,2592756,0,0
0.270397,0,0,3000138,3000132,0,0
0.271928,0,0,2522484,2522466,0,0
0.273472,0,0,2661060,2661102,0,0
0.275035,0,0,2658528,2658516,0,0
0.276598,0,0,2595312,2595276,0,0
0.278158,0,0,2591430,2591358,0,0
0.279719,0,0,2598600,2598588,0,0
0.281282,0,0,2599488,2599458,0,0
0.282845,0,0,2883234,2883324,0,0
0.284465,0,0,2585448,2585532,0,0
0.286026,0,0,2592780,2592678,0,0
