elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_VS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_VS,HLSQ_STPROC_WAVE_CONTEXTS_FS,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_FS,HLSQ_STPROC_WAVE_CONTEXTS_BV,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_BV
0.001097,0,0,0,0,0,0
0.002568,0,0,0,0,0,0
0.004005,0,0,0,0,0,0
0.005441,0,0,0,0,0,0
0.006955,0,0,0,0,0,0
0.008388,0,0,0,0,0,0
0.009843,0,0,0,0,0,0
0.011322,0,0,0,0,0,0
0.012754,0,0,0,0,0,0
0.014189,0,0,0,0,0,0
0.015625,0,0,0,0,0,0
0.017097,0,0,0,0,0,0
0.018587,0,0,0,0,0,0
0.020026,0,0,0,0,0,0
0.021418,0,0,0,0,0,0
0.022863,0,0,0,0,0,0
0.024247,0,0,0,0,0,0
0.025631,0,0,0,0,0,0
0.027008,0,0,0,0,0,0
0.028398,0,0,0,0,0,0
0.029791,0,0,0,0,0,0
0.031264,0,0,0,0,0,0
0.032686,0,0,0,0,0,0
0.034083,0,0,0,0,0,0
0.035479,0,0,0,0,0,0
0.036869,0,0,0,0,0,0
0.038307,0,0,0,0,0,0
0.039698,0,0,0,0,0,0
0.041086,0,0,0,0,0,0
0.042530,0,0,0,0,0,0
0.043896,0,0,0,0,0,0
0.045320,0,0,0,0,0,0
0.046777,0,0,0,0,0,0
0.048140,0,0,0,0,0,0
0.049504,0,0,0,0,0,0
0.050875,0,0,0,0,0,0
0.052246,0,0,0,0,0,0
0.053633,0,0,0,0,0,0
0.055005,0,0,0,0,0,0
0.056367,0,0,0,0,0,0
0.057731,0,0,0,0,0,0
0.059078,0,0,0,0,0,0
0.060493,0,0,0,0,0,0
0.061835,0,0,0,0,0,0
0.063157,0,0,0,0,0,0
0.064475,0,0,0,0,0,0
0.065779,0,0,0,0,0,0
0.067143,0,0,0,0,0,0
0.068507,0,0,0,0,0,0
0.069818,0,0,0,0,0,0
0.071177,0,0,0,0,0,0
0.072481,0,0,0,0,0,0
0.073810,0,0,0,0,0,0
0.075145,0,0,0,0,0,0
0.076525,0,0,0,0,0,0
0.077924,0,0,0,0,0,0
0.079287,0,0,0,0,0,0
0.080684,0,0,0,0,0,0
0.082054,0,0,0,0,0,0
0.083421,0,0,0,0,0,0
0.084780,0,0,0,0,0,0
0.086160,0,0,0,0,0,0
0.087519,0,0,0,0,0,0
0.088870,0,0,0,0,0,0
0.090596,0,0,0,0,0,0
0.092313,0,0,0,0,0,0
0.093806,0,0,0,0,0,0
0.095217,0,0,0,0,0,0
0.096889,0,0,0,0,0,0
0.098979,0,0,0,0,0,0
0.100390,0,0,0,0,0,0
0.101793,0,0,0,0,0,0
0.103207,0,0,696,696,0,0
0.104459,0,0,776,776,0,0
0.105792,0,0,970,970,0,0
0.107124,0,0,776,776,0,0
0.108385,0,0,776,776,0,0
0.109636,0,0,873,873,0,0
0.112336,0,0,1649,1649,0,0
0.113587,0,0,873,873,0,0
0.114883,0,0,776,776,0,0
0.116133,0,0,776,776,0,0
0.117401,0,0,873,873,0,0
0.118658,0,0,776,776,0,0
0.119932,0,0,776,873,0,0
0.121182,0,0,873,776,0,0
0.122489,0,0,873,873,0,0
0.123743,0,0,776,776,0,0
0.124996,0,0,970,970,0,0
0.126454,0,0,776,776,0,0
0.127707,0,0,776,776,0,0
0.128960,0,0,873,873,0,0
0.130215,0,0,776,776,0,0
0.131467,0,0,776,873,0,0
0.132719,0,0,873,776,0,0
0.133972,0,0,776,776,0,0
0.135224,0,0,873,873,0,0
0.136477,0,0,776,776,0,0
0.137731,0,0,776,776,0,0
0.139018,0,0,873,873,0,0
0.140270,0,0,776,776,0,0
0.141523,0,0,291,291,0,0
0.143084,0,0,0,0,0,0
0.144481,0,0,0,0,0,0
0.145880,0,0,0,0,0,0
0.147277,0,0,0,0,0,0
0.148674,0,0,0,0,0,0
0.150072,0,0,0,0,0,0
0.151470,0,0,0,0,0,0
0.152875,0,0,0,0,0,0
0.154332,0,0,0,0,0,0
0.155738,0,0,0,0,0,0
0.157134,0,0,0,0,0,0
0.158529,0,0,0,0,0,0
0.159920,0,0,0,0,0,0
0.161311,0,0,0,0,0,0
0.165742,0,0,0,0,0,0
0.167165,0,0,0,0,0,0
0.168557,0,0,0,0,0,0
0.169950,0,0,0,0,0,0
0.171388,0,0,0,0,0,0
0.172778,0,0,0,0,0,0
0.174305,0,0,0,0,0,0
0.175750,0,0,0,0,0,0
0.177142,0,0,0,0,0,0
0.178575,0,0,0,0,0,0
0.179946,0,0,0,0,0,0
0.181299,0,0,0,0,0,0
0.182650,0,0,0,0,0,0
0.184002,0,0,0,0,0,0
0.185352,0,0,0,0,0,0
0.186778,0,0,0,0,0,0
0.188170,0,0,0,0,0,0
0.189615,0,0,0,0,0,0
0.191023,0,0,0,0,0,0
0.192418,0,0,0,0,0,0
0.193906,0,0,0,0,0,0
0.195302,0,0,0,0,0,0
0.196825,0,0,0,0,0,0
0.198385,0,0,0,0,0,0
0.199835,0,0,0,0,0,0
0.201365,0,0,0,0,0,0
0.202978,0,0,0,0,0,0
0.204535,0,0,0,0,0,0
0.206096,0,0,0,0,0,0
0.207655,0,0,0,0,0,0
0.209213,0,0,0,0,0,0
0.210661,0,0,0,0,0,0
0.212192,0,0,0,0,0,0
0.213753,0,0,0,0,0,0
0.215312,0,0,0,0,0,0
0.216870,0,0,0,0,0,0
0.218474,0,0,0,0,0,0
0.220034,0,0,0,0,0,0
0.221605,0,0,0,0,0,0
0.223168,0,0,0,0,0,0
0.224726,0,0,0,0,0,0
0.226286,0,0,0,0,0,0
0.227845,0,0,0,0,0,0
0.229402,0,0,0,0,0,0
0.230964,0,0,0,0,0,0
