elapsed_s,VPC_FE_TSE_FE_TRANSACTIONS,VPC_FE_STALL_CYCLES_CCU,VPC_FE_NUM_WM_HIT,VPC_FE_STALL_DQ_WACK,VPC_FE_STALL_CYCLES_PRG_END_FE,VPC_FE_STALL_CYCLES_PRG_END_VPCVS
0.001096,0,0,0,0,0,0
0.002867,0,0,0,0,0,0
0.004309,0,0,0,0,0,0
0.005760,0,0,0,0,0,0
0.007196,0,0,0,0,0,0
0.008628,0,0,0,0,0,0
0.010116,0,0,0,0,0,0
0.011548,0,0,0,0,0,0
0.012982,0,0,0,0,0,0
0.014417,0,0,0,0,0,0
0.015851,0,0,0,0,0,0
0.017317,0,0,0,0,0,0
0.018766,0,0,0,0,0,0
0.020174,0,0,0,0,0,0
0.021607,0,0,0,0,0,0
0.023071,0,0,0,0,0,0
0.024487,0,0,0,0,0,0
0.025934,0,0,0,0,0,0
0.027329,0,0,0,0,0,0
0.028720,0,0,0,0,0,0
0.030159,0,0,0,0,0,0
0.031567,0,0,0,0,0,0
0.032958,0,0,0,0,0,0
0.034350,0,0,0,0,0,0
0.035750,0,0,0,0,0,0
0.037139,0,0,0,0,0,0
0.038652,0,0,0,0,0,0
0.040052,0,0,0,0,0,0
0.041480,0,0,0,0,0,0
0.042949,0,0,0,0,0,0
0.044314,0,0,0,0,0,0
0.045706,0,0,0,0,0,0
0.047102,0,0,0,0,0,0
0.048466,0,0,0,0,0,0
0.049879,0,0,0,0,0,0
0.051242,0,0,0,0,0,0
0.052604,0,0,0,0,0,0
0.054033,0,0,0,0,0,0
0.055398,0,0,0,0,0,0
0.056760,0,0,0,0,0,0
0.058224,0,0,0,0,0,0
0.059532,0,0,0,0,0,0
0.060837,0,0,0,0,0,0
0.062189,0,0,0,0,0,0
0.063532,0,0,0,0,0,0
0.064843,0,0,0,0,0,0
0.066199,0,0,0,0,0,0
0.067462,0,0,0,0,0,0
0.068772,0,0,0,0,0,0
0.070039,0,0,0,0,0,0
0.071412,0,0,0,0,0,0
0.072677,0,0,0,0,0,0
0.073971,0,0,0,0,0,0
0.075317,0,0,0,0,0,0
0.076676,0,0,0,0,0,0
0.078028,0,0,0,0,0,0
0.079381,0,0,0,0,0,0
0.080734,0,0,0,0,0,0
0.082163,0,0,0,0,0,0
0.083517,0,0,0,0,0,0
0.084870,0,0,0,0,0,0
0.086234,0,0,0,0,0,0
0.087584,0,0,0,0,0,0
0.089304,0,0,0,0,0,0
0.090707,0,0,0,0,0,0
0.092140,0,0,0,0,0,0
0.093579,0,0,0,0,0,0
0.094996,0,0,0,0,0,0
0.096405,0,0,0,0,0,0
0.097810,0,0,0,0,0,0
0.099207,0,0,0,0,0,0
0.100615,0,0,0,0,0,0
0.101866,0,0,0,0,0,0
0.103117,0,0,0,0,0,0
0.105544,0,0,0,0,0,0
0.106860,0,0,0,0,0,0
0.108112,0,0,0,0,0,0
0.109363,0,0,0,0,0,0
0.111376,0,0,0,0,0,0
0.112627,0,0,0,0,0,0
0.113878,0,0,0,0,0,0
0.115128,0,0,0,0,0,0
0.116377,0,0,0,0,0,0
0.117737,0,0,0,0,0,0
0.119092,0,0,0,0,0,0
0.120354,0,0,0,0,0,0
0.121610,0,0,0,0,0,0
0.122912,0,0,0,0,0,0
0.124166,0,0,0,0,0,0
0.125522,0,0,0,0,0,0
0.126836,0,0,0,0,0,0
0.128089,0,0,0,0,0,0
0.129343,0,0,0,0,0,0
0.130599,0,0,0,0,0,0
0.131852,0,0,0,0,0,0
0.133104,0,0,0,0,0,0
0.134359,0,0,0,0,0,0
0.135612,0,0,0,0,0,0
0.136864,0,0,0,0,0,0
0.138153,0,0,0,0,0,0
0.139405,0,0,0,0,0,0
0.140797,0,0,0,0,0,0
0.142212,0,0,0,0,0,0
