elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.001131,0,0,0,0
0.002736,0,0,0,0
0.004220,0,0,0,0
0.005702,0,0,0,0
0.007241,0,0,0,0
0.008719,0,0,0,0
0.010230,0,0,0,0
0.011713,0,0,0,0
0.013192,0,0,0,0
0.014750,0,0,0,0
0.016209,0,0,0,0
0.017685,0,0,0,0
0.019124,0,0,0,0
0.020549,0,0,0,0
0.022003,0,0,0,0
0.023413,0,0,0,0
0.024821,0,0,0,0
0.026276,0,0,0,0
0.027685,0,0,0,0
0.029093,0,0,0,0
0.030648,0,0,0,0
0.032181,0,0,0,0
0.033681,0,0,0,0
0.035043,0,0,0,0
0.036411,0,0,0,0
0.037949,0,0,0,0
0.039310,0,0,0,0
0.040674,0,0,0,0
0.042100,0,0,0,0
0.043411,0,0,0,0
0.044718,0,0,0,0
0.046855,0,0,0,0
0.048317,0,0,0,0
0.049750,0,0,0,0
0.051195,0,0,0,0
0.052610,0,0,0,0
0.054063,0,0,0,0
0.055578,0,0,0,0
0.057003,0,0,0,0
0.058356,0,0,0,0
0.059707,0,0,0,0
0.061049,0,0,0,0
0.062424,0,0,0,0
0.063814,0,0,0,0
0.065201,0,0,0,0
0.066626,0,0,529,0
0.068140,0,0,0,0
0.069564,0,0,0,0
0.070992,0,0,0,0
0.072376,0,0,0,0
0.073769,0,0,0,0
0.075150,0,0,0,0
0.076532,0,0,0,0
0.077971,0,0,789,0
0.079215,0,0,1115,0
0.080454,0,0,1125,0
0.081818,0,0,1245,0
0.083059,0,0,1249,0
0.084297,0,0,1170,0
0.085624,0,0,1286,0
0.086868,0,0,1142,0
0.088116,0,0,1270,0
0.089360,0,0,1147,0
0.090607,0,0,1245,0
0.091936,0,0,1321,0
0.093180,0,0,1132,0
0.094426,0,0,1237,0
0.095668,0,0,1192,0
0.096910,0,0,1242,0
0.098155,0,0,1183,0
0.099397,0,0,1244,0
0.100639,0,0,1181,0
0.101918,0,0,1296,0
0.103161,0,0,1145,0
0.104403,0,0,1234,0
0.105777,0,0,1329,0
0.107175,0,0,1425,0
0.108450,0,0,1152,0
0.109862,0,0,1540,0
0.111187,0,0,1194,0
0.112560,0,0,1391,0
0.113841,0,0,1194,0
0.115089,0,0,1250,0
0.116335,0,0,525,0
0.117727,0,0,0,0
0.119180,0,0,0,0
0.120565,0,0,0,0
0.121950,0,0,0,0
0.123334,0,0,0,0
0.124718,0,0,0,0
0.126161,0,0,0,0
0.127561,0,0,0,0
0.128947,0,0,0,0
0.130332,0,0,0,0
0.131719,0,0,0,0
0.133134,0,0,0,0
0.134617,0,0,0,0
0.135996,0,0,0,0
0.137375,0,0,0,0
0.139058,0,0,0,0
0.140440,0,0,0,0
0.145490,0,0,0,0
0.146874,0,0,0,0
0.148308,0,0,0,0
0.149850,0,0,0,0
0.151194,0,0,0,0
0.152507,0,0,0,0
0.153819,0,0,0,0
0.155133,0,0,0,0
0.156446,0,0,0,0
