elapsed_s,TSE_FE_BV_STALLS_DUETO_BR,TSE_BE_STALL_CYCLES_LRZ_PRIM,TSE_FE_EARLY_BFCULL_GBCLIPPED_PRIM,TSE_REG_PROGRAMMING_WORKING_CYCLE_L1
0.001096,0,0,0,0
0.002636,0,0,0,0
0.004054,0,0,0,0
0.005471,0,0,0,0
0.006888,0,0,0,0
0.008303,0,0,0,0
0.009826,0,0,0,0
0.011239,0,0,0,0
0.012734,0,0,0,0
0.014147,0,0,0,0
0.015542,0,0,0,0
0.016934,0,0,0,0
0.018325,0,0,0,0
0.019716,0,0,0,0
0.021129,0,0,0,0
0.022521,0,0,0,0
0.023914,0,0,0,0
0.025307,0,0,0,0
0.026700,0,0,0,0
0.028090,0,0,0,0
0.029525,0,0,0,0
0.030902,0,0,0,0
0.032287,0,0,0,0
0.033665,0,0,0,0
0.035042,0,0,0,0
0.036417,0,0,0,0
0.037811,0,0,0,0
0.039187,0,0,0,0
0.040565,0,0,0,0
0.041962,0,0,0,0
0.043347,0,0,0,0
0.044724,0,0,0,0
0.046188,0,0,0,0
0.047527,0,0,0,0
0.048870,0,0,0,0
0.050169,0,0,0,0
0.051471,0,0,0,0
0.052836,0,0,0,0
0.054181,0,0,0,0
0.055634,0,0,0,0
0.056974,0,0,0,0
0.058315,0,0,0,0
0.059655,0,0,0,0
0.060991,0,0,0,0
0.062310,0,0,0,0
0.063639,0,0,0,0
0.065072,0,0,0,0
0.066618,0,0,0,0
0.068019,0,0,0,0
0.069410,0,0,0,0
0.070786,0,0,0,0
0.072134,0,0,0,0
0.073478,0,0,0,0
0.074822,0,0,0,0
0.076191,0,0,0,0
0.077555,0,0,567,537
0.078999,0,0,0,0
0.080726,0,0,0,0
0.082149,0,0,0,0
0.083566,0,0,0,0
0.085037,0,0,0,0
0.086470,0,0,0,0
0.087888,0,0,0,0
0.089307,0,0,0,0
0.090722,0,0,630,618
0.091963,0,0,1005,931
0.094233,0,0,1824,1717
0.095749,0,0,1230,1175
0.097820,0,0,1722,1615
0.099060,0,0,984,944
0.100302,0,0,1005,920
0.101575,0,0,1086,1028
0.102820,0,0,984,920
0.104059,0,0,984,937
0.105299,0,0,1107,1027
0.107180,0,0,1620,1537
0.108694,0,0,1086,1009
0.109983,0,0,984,943
0.111226,0,0,1005,940
0.112468,0,0,1086,1015
0.113993,0,0,1251,1150
0.115343,0,0,1107,1031
0.116709,0,0,1083,1004
0.117957,0,0,984,930
0.119199,0,0,984,935
0.120440,0,0,984,943
0.121685,0,0,1005,920
0.122928,0,0,1086,1011
0.124170,0,0,984,902
0.125412,0,0,984,944
0.126782,0,0,1128,1048
0.128061,0,0,1086,1013
0.129439,0,0,1326,1234
0.130933,0,0,0,0
0.132333,0,0,0,0
0.133914,0,0,0,0
0.135307,0,0,0,0
0.136993,0,0,0,0
0.138380,0,0,0,0
0.139764,0,0,0,0
0.141210,0,0,0,0
0.142606,0,0,0,0
0.144019,0,0,0,0
0.145410,0,0,0,0
0.146794,0,0,0,0
0.148176,0,0,0,0
0.150814,0,0,0,0
0.152208,0,0,0,0
0.153590,0,0,0,0
0.154973,0,0,0,0
0.156356,0,0,0,0
0.157927,0,0,0,0
0.159318,0,0,0,0
0.160703,0,0,0,0
0.162215,0,0,0,0
0.163597,0,0,0,0
0.167360,0,0,0,0
0.168852,0,0,0,0
0.170235,0,0,0,0
0.171616,0,0,0,0
0.173005,0,0,0,0
0.174391,0,0,0,0
0.175804,0,0,0,0
0.177184,0,0,0,0
0.178565,0,0,0,0
0.179945,0,0,0,0
0.181326,0,0,0,0
0.182713,0,0,0,0
0.184108,0,0,0,0
0.185496,0,0,0,0
0.186877,0,0,0,0
0.188256,0,0,0,0
0.189678,0,0,0,0
0.191068,0,0,0,0
0.192451,0,0,0,0
0.193965,0,0,0,0
0.195526,0,0,0,0
0.197077,0,0,0,0
0.198626,0,0,0,0
0.200173,0,0,0,0
0.201722,0,0,0,0
0.203272,0,0,0,0
0.204822,0,0,0,0
0.206431,0,0,0,0
0.207978,0,0,0,0
0.209527,0,0,0,0
0.211076,0,0,0,0
0.212623,0,0,0,0
0.214320,0,0,0,0
0.215730,0,0,0,0
0.217171,0,0,0,0
0.218562,0,0,0,0
0.219949,0,0,0,0
0.221380,0,0,0,0
0.222767,0,0,0,0
0.224369,0,0,0,0
0.225923,0,0,0,0
0.227484,0,0,0,0
0.229037,0,0,0,0
0.230588,0,0,0,0
0.232137,0,0,0,0
0.233687,0,0,0,0
0.235238,0,0,0,0
0.236790,0,0,0,0
0.238399,0,0,0,0
0.239949,0,0,0,0
0.241500,0,0,0,0
0.243050,0,0,0,0
0.244599,0,0,0,0
0.246193,0,0,0,0
0.247743,0,0,0,0
0.249307,0,0,0,0
0.250849,0,0,0,0
0.252390,0,0,0,0
0.253955,0,0,0,0
0.255504,0,0,0,0
0.257057,0,0,0,0
0.258607,0,0,0,0
0.260169,0,0,0,0
0.261720,0,0,0,0
0.263271,0,0,0,0
0.264824,0,0,0,0
0.266375,0,0,0,0
0.267925,0,0,0,0
0.269519,0,0,0,0
0.271083,0,0,0,0
0.272714,0,0,0,0
0.274205,0,0,0,0
0.275598,0,0,0,0
0.277116,0,0,0,0
0.278666,0,0,0,0
0.280213,0,0,0,0
0.281774,0,0,0,0
0.283324,0,0,0,0
0.284875,0,0,0,0
0.286470,0,0,0,0
0.288018,0,0,0,0
0.289568,0,0,0,0
0.291120,0,0,0,0
0.292685,0,0,0,0
0.294238,0,0,0,0
0.295787,0,0,0,0
0.297339,0,0,0,0
0.298889,0,0,0,0
0.300438,0,0,0,0
0.301993,0,0,0,0
