elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.001094,0,0,0,2786
0.002560,0,0,0,2826
0.004028,0,0,0,2925
0.005446,0,0,0,2992
0.006862,0,0,0,2955
0.008278,0,0,0,2532
0.009716,0,0,0,2496
0.011198,0,0,0,2425
0.012592,0,0,0,2627
0.013983,0,0,0,2497
0.015376,0,0,0,2600
0.016810,0,0,0,2972
0.018177,0,0,0,2995
0.019602,0,0,0,2973
0.021006,0,0,0,2912
0.022379,0,0,0,6899
0.023864,0,0,0,2550
0.025268,0,0,0,2971
0.026646,0,0,0,2943
0.028004,0,0,0,2831
0.029351,0,0,0,2586
0.030752,0,0,0,2897
0.032111,0,0,0,2712
0.033455,0,0,0,2674
0.034845,0,0,0,2513
0.036138,0,0,0,2529
0.037427,0,0,0,2630
0.038762,0,0,0,1944
0.040129,0,0,0,1970
0.041388,0,0,0,1928
0.042647,0,0,0,1938
0.043918,0,0,0,2027
0.045174,0,0,0,1923
0.046433,0,0,0,1843
0.047803,0,0,0,1849
0.049153,0,0,0,1851
0.050494,0,0,0,1808
0.051938,0,0,0,1808
0.053368,0,0,0,1817
0.054970,0,0,0,1398
0.056376,0,0,0,1371
0.057814,0,0,0,1369
0.059162,0,0,0,1412
0.060524,0,0,0,1395
0.061946,0,0,0,1366
0.063370,0,0,0,1387
0.064805,312,281,0,14106
0.066365,0,0,0,1534
0.067782,0,0,0,1365
0.069166,0,0,0,1405
0.070694,0,0,0,1459
0.072438,0,0,0,1454
0.073840,0,0,0,1375
0.075223,164678,227,0,50180
0.076464,980527,230,0,95866
0.077703,995671,220,0,91783
0.078943,983893,230,0,95314
0.080182,992793,220,0,92212
0.081422,986764,220,0,95829
0.082662,1027912,240,0,95219
0.083954,893295,200,0,82506
0.085065,982140,230,0,95979
0.086304,1083567,240,0,100146
0.087987,1247935,290,0,118762
0.089228,923910,307,0,87079
0.090607,0,0,0,2288
