elapsed_s,VPC_BE_CCHE_NUM_POS_REQ,VPC_BE_STALL_CYCLES_LM_ACK,VPC_BE_STALL_CYCLES_PRG_END_VPCPS,VPC_BE_POS_OVERFETCH_ATTR,VPC_BE_BOTTLENECK
0.001320,0,0,0,0,0
0.003242,0,0,0,0,0
0.005078,0,0,0,0,0
0.006487,0,0,0,0,0
0.007873,0,0,0,0,0
0.009282,0,0,0,0,0
0.010693,0,0,0,0,0
0.012079,0,0,0,0,0
0.013522,0,0,0,0,0
0.014883,0,0,0,0,0
0.016212,0,0,0,0,0
0.017596,0,0,0,0,0
0.018913,0,0,0,0,0
0.020225,0,0,0,0,0
0.021650,0,0,0,0,0
0.022949,0,0,0,0,0
0.024246,0,0,0,0,0
0.025590,0,0,0,0,0
0.026886,0,0,0,0,0
0.028181,0,0,0,0,0
0.029525,0,0,0,0,0
0.030891,0,0,0,0,0
0.032258,0,0,0,0,0
0.033672,0,0,0,0,0
0.035036,0,0,0,0,0
0.036400,0,0,0,0,0
0.037827,0,0,0,0,0
0.039204,0,0,0,0,0
0.040567,0,0,0,0,0
0.042027,0,0,0,0,0
0.043475,0,0,0,0,0
0.044871,0,0,0,0,0
0.047596,0,0,0,0,0
0.049105,0,0,0,0,0
0.050528,0,0,0,0,0
0.052012,0,0,0,0,0
0.053527,0,0,0,0,0
0.054928,0,0,0,0,0
0.056276,0,0,0,0,0
0.057620,0,0,0,0,0
0.058964,0,0,0,0,0
0.060386,0,0,0,0,0
0.061814,0,0,0,0,0
0.063071,0,0,0,0,0
0.064437,0,0,0,0,0
0.065840,0,0,0,0,0
0.067244,0,0,0,0,0
0.068631,0,0,0,0,0
0.071237,0,0,0,0,0
0.072680,0,0,0,0,0
0.074057,0,0,0,0,0
0.075303,0,0,0,0,0
0.076547,0,0,0,0,0
0.078324,0,0,0,0,0
0.079569,0,0,0,0,0
0.080813,0,0,0,0,0
0.082253,0,0,0,0,0
0.083504,0,0,0,0,0
0.084753,0,0,0,0,0
0.086047,0,0,0,0,0
0.087340,0,0,0,0,0
0.088602,0,0,0,0,0
0.089993,0,0,0,0,0
0.091381,0,0,0,0,0
0.092766,0,0,0,0,0
0.094263,0,0,0,0,0
0.095646,0,0,0,0,0
0.097030,0,0,0,0,0
0.098486,0,0,0,0,0
0.099879,0,0,0,0,0
0.101276,0,0,0,0,0
0.102655,0,0,0,0,0
0.104015,0,0,0,0,0
0.105608,0,0,0,0,0
0.106969,0,0,0,0,0
0.108329,0,0,0,0,0
0.109731,0,0,0,0,0
0.111149,0,0,0,0,0
0.112563,0,0,0,0,0
0.113981,0,0,0,0,0
0.115355,0,0,0,0,0
0.116721,0,0,0,0,0
0.118174,0,0,0,0,0
0.119629,0,0,0,0,0
0.121007,0,0,0,0,0
0.122395,0,0,0,0,0
0.123846,0,0,0,0,0
0.125268,0,0,0,0,0
0.126609,0,0,0,0,0
0.128047,0,0,0,0,0
0.129497,0,0,0,0,0
0.130889,0,0,0,0,0
0.132286,0,0,0,0,0
0.133830,0,0,0,0,0
0.135219,0,0,0,0,0
0.136605,0,0,0,0,0
0.137988,0,0,0,0,0
0.139371,0,0,0,0,0
0.140752,0,0,0,0,0
0.142462,0,0,0,0,0
0.143848,0,0,0,0,0
0.145220,0,0,0,0,0
0.146607,0,0,0,0,0
0.147992,0,0,0,0,0
0.149379,0,0,0,0,0
0.150804,0,0,0,0,0
0.152193,0,0,0,0,0
0.153721,0,0,0,0,0
0.155274,0,0,0,0,0
0.156826,0,0,0,0,0
0.158384,0,0,0,0,0
0.159935,0,0,0,0,0
0.161489,0,0,0,0,0
0.163042,0,0,0,0,0
0.164485,0,0,0,0,0
0.166053,0,0,0,0,0
0.167606,0,0,0,0,0
0.169159,0,0,0,0,0
0.170712,0,0,0,0,0
0.172263,0,0,0,0,0
0.173861,0,0,0,0,0
0.175428,0,0,0,0,0
0.176980,0,0,0,0,0
0.178537,0,0,0,0,0
0.180088,0,0,0,0,0
0.181686,0,0,0,0,0
0.183239,0,0,0,0,0
0.184790,0,0,0,0,0
0.186361,0,0,0,0,0
0.187913,0,0,0,0,0
0.189510,0,0,0,0,0
0.191064,0,0,0,0,0
0.192614,0,0,0,0,0
0.194166,0,0,0,0,0
0.195719,0,0,0,0,0
0.197288,0,0,0,0,0
0.198885,0,0,0,0,0
0.200436,0,0,0,0,0
0.201989,0,0,0,0,0
0.203542,0,0,0,0,0
0.205096,0,0,0,0,0
0.206645,0,0,0,0,0
0.208087,0,0,0,0,0
0.209483,0,0,0,0,0
0.210879,0,0,0,0,0
0.212265,0,0,0,0,0
0.213697,0,0,0,0,0
0.215090,0,0,0,0,0
0.216482,0,0,0,0,0
0.217872,0,0,0,0,0
0.219455,0,0,0,0,0
0.221008,0,0,0,0,0
0.222633,0,0,0,0,0
0.224186,0,0,0,0,0
0.225742,0,0,0,0,0
0.227296,0,0,0,0,0
0.228849,0,0,0,0,0
0.230423,0,0,0,0,0
0.231976,0,0,0,0,0
0.233532,0,0,0,0,0
0.235087,0,0,0,0,0
0.236641,0,0,0,0,0
0.238238,0,0,0,0,0
0.239794,0,0,0,0,0
0.241365,0,0,0,0,0
0.242919,0,0,0,0,0
0.244472,0,0,0,0,0
0.246070,0,0,0,0,0
0.247626,0,0,0,0,0
0.249183,0,0,0,0,0
0.250738,0,0,0,0,0
0.252305,0,0,0,0,0
0.253905,0,0,0,0,0
0.255460,0,0,0,0,0
0.257013,0,0,0,0,0
0.258436,0,0,0,0,0
0.259833,0,0,0,0,0
0.261356,0,0,0,0,0
0.262970,0,0,0,0,0
0.264524,0,0,0,0,0
0.266079,0,0,0,0,0
0.267633,0,0,0,0,0
0.269189,0,0,0,0,0
0.270789,0,0,0,0,0
0.272343,0,0,0,0,0
0.273910,0,0,0,0,0
0.275466,0,0,0,0,0
0.277019,0,0,0,0,0
0.278620,0,0,0,0,0
0.280173,0,0,0,0,0
0.281730,0,0,0,0,0
0.283284,0,0,0,0,0
0.284853,0,0,0,0,0
0.286412,0,0,0,0,0
0.287966,0,0,0,0,0
0.289522,0,0,0,0,0
0.291076,0,0,0,0,0
0.292629,0,0,0,0,0
0.294227,0,0,0,0,0
0.295796,0,0,0,0,0
0.297352,0,0,0,0,0
0.298906,0,0,0,0,0
0.300459,0,0,0,0,0
0.302056,0,0,0,0,0
0.303612,0,0,0,0,0
0.305167,0,0,0,0,0
0.306737,0,0,0,0,0
0.308291,0,0,0,0,0
0.309891,0,0,0,0,0
0.311447,0,0,0,0,0
0.313000,0,0,0,0,0
0.314556,0,0,0,0,0
0.316108,0,0,0,0,0
0.317722,0,0,0,0,0
0.319268,0,0,0,0,0
0.320813,0,0,0,0,0
0.322363,0,0,0,0,0
0.323887,0,0,0,0,0
0.325443,0,0,0,0,0
0.326999,0,0,0,0,0
0.328567,0,0,0,0,0
0.330121,0,0,0,0,0
0.331603,0,0,0,0,0
0.333163,0,0,0,0,0
0.334761,0,0,0,0,0
0.336315,0,0,0,0,0
0.337871,0,0,0,0,0
0.339439,0,0,0,0,0
0.340991,0,0,0,0,0
0.342550,0,0,0,0,0
0.344100,0,0,0,0,0
0.345655,0,0,0,0,0
0.347207,0,0,0,0,0
0.348758,0,0,0,0,0
0.350405,0,0,0,0,0
0.351955,0,0,0,0,0
0.353509,0,0,0,0,0
0.355061,0,0,0,0,0
0.356613,0,0,0,0,0
0.358209,0,0,0,0,0
0.359762,0,0,0,0,0
0.361332,0,0,0,0,0
0.362884,0,0,0,0,0
0.364435,0,0,0,0,0
0.366030,0,0,0,0,0
0.367583,0,0,0,0,0
0.369138,0,0,0,0,0
0.370691,0,0,0,0,0
0.372257,0,0,0,0,0
0.373740,0,0,0,0,0
0.375288,0,0,0,0,0
0.376839,0,0,0,0,0
0.378396,0,0,0,0,0
0.379947,0,0,0,0,0
0.381545,0,0,0,0,0
0.383111,0,0,0,0,0
0.384660,0,0,0,0,0
0.386212,0,0,0,0,0
0.387765,0,0,0,0,0
0.389320,0,0,0,0,0
0.390917,0,0,0,0,0
0.392469,0,0,0,0,0
0.394036,0,0,0,0,0
0.395588,0,0,0,0,0
0.397142,0,0,0,0,0
0.398693,0,0,0,0,0
0.400244,0,0,0,0,0
0.401798,0,0,0,0,0
0.403351,0,0,0,0,0
0.404916,0,0,0,0,0
0.406475,0,0,0,0,0
0.408025,0,0,0,0,0
0.409580,0,0,0,0,0
0.411139,0,0,0,0,0
0.412541,0,0,0,0,0
0.414104,0,0,0,0,0
0.415670,0,0,0,0,0
0.417106,0,0,0,0,0
0.418636,0,0,0,0,0
0.420189,0,0,0,0,0
0.421789,0,0,0,0,0
0.423343,0,0,0,0,0
0.424897,0,0,0,0,0
0.426299,0,0,0,0,0
0.427698,0,0,0,0,0
0.429095,0,0,0,0,0
0.430529,0,0,0,0,0
0.431921,0,0,0,0,0
0.433316,0,0,0,0,0
