elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.001094,0,0,0,0
0.002540,0,0,0,0
0.003958,0,0,0,0
0.005375,0,0,0,0
0.006791,0,0,0,0
0.008208,0,0,0,0
0.009624,0,0,0,0
0.011050,0,0,0,0
0.012466,0,0,0,0
0.013879,0,0,0,0
0.015363,0,0,0,0
0.016788,0,0,0,0
0.018172,0,0,0,0
0.019536,0,0,0,0
0.020885,0,0,0,0
0.022369,0,0,0,0
0.023768,0,0,0,0
0.025132,0,0,0,0
0.026484,0,0,0,0
0.027834,0,0,0,0
0.029192,0,0,0,0
0.030777,0,0,0,0
0.032140,0,0,0,0
0.033485,0,0,0,0
0.034818,0,0,0,0
0.036151,0,0,0,0
0.037480,0,0,0,0
0.038811,0,0,0,0
0.040143,0,0,0,0
0.041476,0,0,0,0
0.042806,0,0,0,0
0.044147,0,0,0,0
0.045479,0,0,0,0
0.046851,0,0,0,0
0.048142,0,0,0,0
0.049432,0,0,0,0
0.050771,0,0,0,0
0.052063,0,0,0,0
0.053353,0,0,0,0
0.054698,0,0,0,0
0.055988,0,0,0,0
0.057277,0,0,0,0
0.058613,0,0,0,0
0.059868,0,0,0,0
0.061123,0,0,0,0
0.062432,0,0,0,0
0.063739,0,0,0,0
0.065109,0,0,0,0
0.066455,0,0,0,0
0.067892,0,0,0,0
0.069420,0,0,0,0
0.070816,0,0,0,0
0.072170,0,0,0,0
0.073515,0,0,0,0
0.074860,0,0,0,0
0.076274,0,0,0,0
0.077656,0,0,0,0
0.079054,0,0,0,0
0.080488,0,0,0,0
0.081907,0,0,0,0
0.083392,0,0,0,0
0.084814,0,0,0,0
0.086229,0,0,0,0
0.087812,0,0,0,0
0.089252,0,0,0,0
0.090503,0,0,0,0
0.091742,0,0,0,0
0.092978,0,0,0,0
0.094217,0,0,0,0
0.095474,0,0,0,0
0.096712,0,0,0,0
0.097951,0,0,0,0
0.099192,0,0,0,0
0.100434,0,0,0,0
0.101678,0,0,0,0
0.102923,0,0,0,0
0.104302,0,0,0,0
0.105667,0,0,0,0
0.107079,0,0,0,0
0.108338,0,0,0,0
0.109700,0,0,0,0
0.111130,0,0,0,0
0.112503,0,0,0,0
0.113877,0,0,0,0
0.115312,0,0,0,0
0.116737,0,0,0,0
0.118201,0,0,0,0
0.119674,0,0,0,0
0.121150,0,0,0,0
0.122474,0,0,0,0
0.123945,0,0,0,0
0.125427,0,0,0,0
0.127119,0,0,0,0
0.128644,0,0,0,0
0.130124,0,0,0,0
0.131582,0,0,0,0
0.133038,0,0,0,0
0.134422,0,0,0,0
