elapsed_s,TSE_CLIP_VP_FADD_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_2_WORKING_CYCLE_L3,TSE_CLIP_VP_RCP_WORKING_CYCLE_L2,TSE_VP_TRANSFORM_WORKING_CYCLE_L1
0.001093,0,0,0,0
0.002538,0,0,0,0
0.003956,0,0,0,0
0.005374,0,0,0,0
0.006788,0,0,0,0
0.008246,0,0,0,0
0.009686,0,0,0,0
0.011100,0,0,0,0
0.012594,0,0,0,0
0.014003,0,0,0,0
0.015386,0,0,0,0
0.016830,0,0,0,0
0.018253,0,0,0,0
0.019690,0,0,0,0
0.021103,0,0,0,0
0.022517,0,0,0,0
0.023932,0,0,0,0
0.025346,0,0,0,0
0.026759,0,0,0,0
0.028173,0,0,0,0
0.029602,0,0,0,0
0.031030,0,0,0,0
0.032614,0,0,0,0
0.034028,0,0,0,0
0.035441,0,0,0,0
0.036854,0,0,0,0
0.038262,0,0,0,0
0.039767,0,0,0,0
0.041173,0,0,0,0
0.042566,0,0,0,0
0.043955,0,0,0,0
0.045347,0,0,0,0
0.047094,0,0,0,0
0.048905,0,0,0,0
0.050813,0,0,0,0
0.052229,0,0,0,0
0.053626,0,0,0,0
0.055031,0,0,0,0
0.056878,0,0,0,0
0.058218,0,0,0,0
0.059556,0,0,0,0
0.060895,0,0,0,0
0.062203,0,0,0,0
0.063542,0,0,0,0
0.064800,0,0,0,0
0.066165,0,0,0,0
0.067469,0,0,0,0
0.068726,0,0,0,0
0.070090,0,0,0,0
0.071410,0,0,0,0
0.072727,0,0,0,0
0.074076,0,0,0,0
0.075434,0,0,0,0
0.076776,0,0,0,0
0.078118,0,0,0,0
0.079479,0,0,0,0
0.080855,0,0,0,0
0.082232,0,0,0,0
0.083622,0,0,0,0
0.085013,0,0,0,0
0.086120,0,0,0,0
0.087496,0,0,0,0
0.089003,0,0,0,0
0.090428,0,0,0,0
0.091850,0,0,0,0
0.093272,0,0,0,0
0.094704,0,0,0,0
0.097516,0,0,0,0
0.099050,0,0,0,0
0.100372,0,0,0,0
0.101617,0,0,0,0
0.102861,0,0,0,0
0.104155,0,0,0,0
0.105395,0,0,0,0
0.106632,0,0,0,0
0.107823,0,0,0,0
0.109189,0,0,0,0
0.110588,0,0,0,0
0.111867,0,0,0,0
0.113318,0,0,0,0
0.114732,0,0,0,0
0.116144,0,0,0,0
0.117557,0,0,0,0
0.118968,0,0,0,0
0.120401,0,0,0,0
0.121826,0,0,0,0
0.123249,0,0,0,0
0.124680,0,0,0,0
0.126108,0,0,0,0
0.127534,0,0,0,0
0.128961,0,0,0,0
0.130389,0,0,0,0
0.131812,0,0,0,0
0.133292,0,0,0,0
0.134688,0,0,0,0
0.136190,0,0,0,0
0.137691,0,0,0,0
0.139111,0,0,0,0
0.140531,0,0,0,0
0.141947,0,0,0,0
0.143314,0,0,0,0
0.144850,0,0,0,0
0.146266,0,0,0,0
0.147617,0,0,0,0
0.148956,0,0,0,0
0.150292,0,0,0,0
0.151668,0,0,0,0
0.153053,0,0,0,0
0.154438,0,0,0,0
0.155836,0,0,0,0
0.157348,0,0,0,0
0.158896,0,0,0,0
0.160447,0,0,0,0
0.161994,0,0,0,0
0.163544,0,0,0,0
0.165093,0,0,0,0
0.166529,0,0,0,0
0.168093,0,0,0,0
0.169642,0,0,0,0
0.171274,0,0,0,0
0.172841,0,0,0,0
0.174229,0,0,0,0
0.175622,0,0,0,0
0.177157,0,0,0,0
0.178726,0,0,0,0
0.180118,0,0,0,0
0.181462,0,0,0,0
0.182799,0,0,0,0
0.184204,0,0,0,0
0.185600,0,0,0,0
0.186983,0,0,0,0
0.188382,0,0,0,0
0.189764,0,0,0,0
0.191144,0,0,0,0
0.192511,0,0,0,0
0.193988,0,0,0,0
0.195409,0,0,0,0
0.196929,0,0,0,0
0.198477,0,0,0,0
0.200085,0,0,0,0
0.201635,0,0,0,0
0.203251,0,0,0,0
0.204866,0,0,0,0
0.206412,0,0,0,0
0.207962,0,0,0,0
0.209510,0,0,0,0
0.211069,0,0,0,0
0.212622,0,0,0,0
0.214169,0,0,0,0
0.215762,0,0,0,0
0.217311,0,0,0,0
0.218857,0,0,0,0
0.220357,0,0,0,0
0.221882,0,0,0,0
0.223433,0,0,0,0
0.224981,0,0,0,0
0.226528,0,0,0,0
0.228075,0,0,0,0
0.229623,0,0,0,0
0.231225,0,0,0,0
0.232824,0,0,0,0
0.234371,0,0,0,0
0.235922,0,0,0,0
0.237469,0,0,0,0
0.239018,0,0,0,0
0.240509,0,0,0,0
0.242799,0,0,0,0
0.244305,0,0,0,0
0.245697,0,0,0,0
0.247083,0,0,0,0
