elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.001401,0,0,0,0
0.002900,0,0,0,0
0.004312,0,0,0,0
0.005729,0,0,0,0
0.007144,0,0,0,0
0.008605,0,0,0,0
0.010033,0,0,0,0
0.011447,0,0,0,0
0.012863,0,0,0,0
0.014589,0,0,0,0
0.016676,0,0,0,0
0.018387,0,0,0,0
0.019817,0,0,0,0
0.021255,0,0,0,0
0.022676,0,0,0,0
0.024214,0,0,0,0
0.025630,0,0,0,0
0.027043,0,0,0,0
0.028457,0,0,0,0
0.029872,0,0,0,0
0.031345,0,0,0,0
0.032760,0,0,0,0
0.034174,0,0,0,0
0.035586,0,0,0,0
0.036999,0,0,0,0
0.038411,0,0,0,0
0.039887,0,0,0,0
0.041278,0,0,0,0
0.042677,0,0,0,0
0.044127,0,0,0,0
0.045519,0,0,0,0
0.046911,0,0,0,0
0.048399,0,0,0,0
0.049792,0,0,0,0
0.051681,0,0,0,0
0.053083,0,0,0,0
0.054478,0,0,0,0
0.055916,0,0,0,0
0.057295,0,0,0,0
0.058669,0,0,0,0
0.060093,0,0,0,0
0.061551,0,0,0,0
0.062997,0,0,0,0
0.064383,0,0,0,0
0.065760,0,0,0,0
0.067136,0,0,0,0
0.068513,0,0,0,0
0.069889,0,0,0,0
0.071694,0,0,0,0
0.073037,0,0,0,0
0.074385,0,0,0,0
0.075724,0,0,0,0
0.077063,0,0,0,0
0.078401,0,0,0,0
0.079737,0,0,0,0
0.081044,0,0,0,0
0.082354,0,0,0,0
0.083667,0,0,0,0
0.084974,0,0,0,0
0.086244,0,0,0,0
0.087519,0,0,0,0
0.088886,0,0,0,0
0.090255,0,0,0,0
0.091696,0,0,0,0
0.093040,0,0,0,0
0.094379,0,0,0,0
0.095743,0,0,0,0
0.097142,0,0,177,177
0.098835,0,0,0,0
0.100282,0,0,0,0
0.101734,0,0,0,0
0.103157,0,0,0,0
0.104576,0,0,0,0
0.106009,0,0,0,0
0.107427,0,0,0,0
0.108848,0,0,0,0
0.110262,0,0,783,783
0.111661,0,0,3105,3105
0.112901,0,0,2970,3090
0.114140,0,0,3105,2985
0.116426,0,0,5535,5655
0.117667,0,0,3105,2985
0.118907,0,0,2970,2970
0.120194,0,0,3240,3240
0.121439,0,0,2970,2970
0.122681,0,0,3105,3105
0.123929,0,0,2970,3090
0.125152,0,0,1515,1395
0.126574,0,0,0,0
0.128034,0,0,0,0
0.129409,0,0,0,0
0.130781,0,0,0,0
0.132152,0,0,0,0
0.133522,0,0,0,0
0.134939,0,0,0,0
0.136339,0,0,0,0
0.137715,0,0,0,0
0.139092,0,0,0,0
0.140357,0,0,0,0
0.141782,0,0,0,0
0.143255,0,0,0,0
0.144643,0,0,0,0
0.146125,0,0,0,0
0.147500,0,0,0,0
0.148869,0,0,0,0
0.150350,0,0,0,0
0.151811,0,0,0,0
0.153233,0,0,0,0
0.154649,0,0,0,0
0.156125,0,0,0,0
0.157548,0,0,0,0
0.159039,0,0,0,0
0.160451,0,0,0,0
0.161867,0,0,0,0
0.163219,0,0,0,0
0.164557,0,0,0,0
0.165892,0,0,0,0
0.167229,0,0,0,0
0.168654,0,0,0,0
0.170039,0,0,0,0
0.171469,0,0,0,0
0.172985,0,0,0,0
0.174532,0,0,0,0
0.176079,0,0,0,0
0.177628,0,0,0,0
0.179190,0,0,0,0
0.180737,0,0,0,0
0.182286,0,0,0,0
0.183735,0,0,0,0
0.185154,0,0,0,0
0.186674,0,0,0,0
0.188223,0,0,0,0
0.189777,0,0,0,0
0.191311,0,0,0,0
0.192898,0,0,0,0
0.194314,0,0,0,0
0.195826,0,0,0,0
0.197375,0,0,0,0
0.198979,0,0,0,0
0.200579,0,0,0,0
0.202127,0,0,0,0
0.203676,0,0,0,0
0.205222,0,0,0,0
0.206769,0,0,0,0
0.208323,0,0,0,0
0.209869,0,0,0,0
0.211310,0,0,0,0
0.212828,0,0,0,0
0.214377,0,0,0,0
0.215970,0,0,0,0
0.217520,0,0,0,0
0.219071,0,0,0,0
0.220620,0,0,0,0
0.222181,0,0,0,0
0.223626,0,0,0,0
0.225173,0,0,0,0
0.226720,0,0,0,0
0.228271,0,0,0,0
0.229819,0,0,0,0
0.231413,0,0,0,0
0.232976,0,0,0,0
0.234524,0,0,0,0
0.236073,0,0,0,0
0.237622,0,0,0,0
0.239173,0,0,0,0
0.240722,0,0,0,0
0.242270,0,0,0,0
0.243831,0,0,0,0
0.245381,0,0,0,0
0.247019,0,0,0,0
0.248582,0,0,0,0
0.249972,0,0,0,0
0.251488,0,0,0,0
0.253043,0,0,0,0
0.254605,0,0,0,0
0.256206,0,0,0,0
0.257746,0,0,0,0
0.259166,0,0,0,0
0.260686,0,0,0,0
0.262236,0,0,0,0
0.263830,0,0,0,0
0.265394,0,0,0,0
0.266946,0,0,0,0
0.268497,0,0,0,0
0.270046,0,0,0,0
0.271598,0,0,0,0
0.273133,0,0,0,0
0.274564,0,0,0,0
0.275969,0,0,0,0
0.277360,0,0,0,0
0.278747,0,0,0,0
0.280179,0,0,0,0
0.281567,0,0,0,0
0.283157,0,0,0,0
0.284698,0,0,0,0
0.286252,0,0,0,0
0.287671,0,0,0,0
0.289189,0,0,0,0
0.290736,0,0,0,0
0.292287,0,0,0,0
0.293906,0,0,0,0
0.295416,0,0,0,0
0.296917,0,0,0,0
0.298315,0,0,0,0
0.299704,0,0,0,0
0.301105,0,0,0,0
0.302798,0,0,0,0
0.304205,0,0,0,0
