elapsed_s,TSE_SETUP_FMUL_3_WORKING_CYCLE_L3,TSE_SETUP_FMUL_4_WORKING_CYCLE_L3,TSE_SETUP_FMUL_5_WORKING_CYCLE_L3,TSE_EDGE_SETUP_WORKING_CYCLE_L1
0.001195,0,0,0,0
0.002710,0,0,0,0
0.004242,0,0,0,0
0.005720,0,0,0,0
0.007346,0,0,0,0
0.008831,0,0,0,0
0.010281,0,0,0,0
0.011674,0,0,0,0
0.013117,0,0,0,0
0.014596,0,0,0,0
0.016004,0,0,0,0
0.017407,0,0,0,0
0.018929,0,0,0,0
0.020417,0,0,0,0
0.021948,0,0,0,0
0.023344,0,0,0,0
0.024710,0,0,0,0
0.026088,0,0,0,0
0.027451,0,0,0,0
0.028812,0,0,0,0
0.030242,0,0,0,0
0.031604,0,0,0,0
0.032966,0,0,0,0
0.034401,0,0,0,0
0.035735,0,0,0,0
0.037066,0,0,0,0
0.038446,0,0,0,0
0.039785,0,0,0,0
0.041190,0,0,0,0
0.042553,0,0,0,0
0.043896,0,0,0,0
0.045242,0,0,0,0
0.046624,0,0,0,0
0.047966,0,0,0,0
0.049307,0,0,0,0
0.050648,0,0,0,0
0.052003,315,315,405,0
0.053345,0,0,0,0
0.054791,0,0,0,0
0.056183,0,0,0,0
0.057530,0,0,0,0
0.058882,0,0,0,0
0.060224,0,0,0,0
0.061565,252,252,216,0
0.063003,1512,1512,2139,0
0.064266,1449,1449,2070,0
0.065509,1386,1386,1980,0
0.066750,1449,1449,2070,0
0.067990,1386,1386,1980,0
0.069230,1449,1449,2070,0
0.071420,2457,2457,3585,0
0.072662,1449,1449,1995,0
0.074033,1638,1638,2340,0
0.075359,1449,1449,2070,0
0.076610,735,735,990,0
0.077998,0,0,0,0
0.079443,0,0,0,0
0.080828,0,0,0,0
0.082215,0,0,0,0
0.083602,0,0,0,0
0.084986,0,0,0,0
0.086422,0,0,0,0
0.087821,0,0,0,0
0.089204,0,0,0,0
0.090582,0,0,0,0
0.091973,0,0,0,0
0.093353,0,0,0,0
0.097884,0,0,0,0
0.099317,0,0,0,0
0.100697,0,0,0,0
0.102107,0,0,0,0
0.103465,0,0,0,0
0.104821,0,0,0,0
0.106270,0,0,0,0
0.107597,0,0,0,0
0.108912,0,0,0,0
0.110251,0,0,0,0
0.111633,0,0,0,0
0.113233,0,0,0,0
0.114613,0,0,0,0
0.116120,0,0,0,0
0.117902,0,0,0,0
0.119539,0,0,0,0
0.121164,0,0,0,0
0.122556,0,0,0,0
0.123945,0,0,0,0
0.125332,0,0,0,0
0.126758,0,0,0,0
0.128144,0,0,0,0
0.129527,0,0,0,0
0.131041,0,0,0,0
0.132603,0,0,0,0
0.134198,0,0,0,0
0.135761,0,0,0,0
0.137310,0,0,0,0
0.138859,0,0,0,0
0.140409,0,0,0,0
0.141960,0,0,0,0
0.143526,0,0,0,0
0.145075,0,0,0,0
0.146625,0,0,0,0
0.148175,0,0,0,0
0.149723,0,0,0,0
0.151325,0,0,0,0
0.152716,0,0,0,0
0.154243,0,0,0,0
0.155792,0,0,0,0
0.157341,0,0,0,0
0.158934,0,0,0,0
0.160485,0,0,0,0
0.162036,0,0,0,0
0.163585,0,0,0,0
0.165024,0,0,0,0
0.166591,0,0,0,0
0.168141,0,0,0,0
0.169688,0,0,0,0
0.171239,0,0,0,0
0.172786,0,0,0,0
0.174380,0,0,0,0
0.175945,0,0,0,0
0.177494,0,0,0,0
0.179047,0,0,0,0
0.180595,0,0,0,0
0.182189,0,0,0,0
0.183740,0,0,0,0
0.185288,0,0,0,0
0.186852,0,0,0,0
0.188401,0,0,0,0
0.189952,0,0,0,0
0.191543,0,0,0,0
0.193213,0,0,0,0
0.194610,0,0,0,0
0.196127,0,0,0,0
0.197691,0,0,0,0
0.199227,0,0,0,0
0.200747,0,0,0,0
0.202298,0,0,0,0
0.203839,0,0,0,0
0.205381,0,0,0,0
0.206840,0,0,0,0
0.208373,0,0,0,0
0.209925,0,0,0,0
0.211476,0,0,0,0
0.213025,0,0,0,0
0.214622,0,0,0,0
0.216173,0,0,0,0
0.217723,0,0,0,0
0.219323,0,0,0,0
0.220873,0,0,0,0
0.222468,0,0,0,0
0.224019,0,0,0,0
0.225569,0,0,0,0
0.227147,0,0,0,0
0.228696,0,0,0,0
0.230305,0,0,0,0
0.231856,0,0,0,0
0.233405,0,0,0,0
0.235016,0,0,0,0
0.236566,0,0,0,0
0.238119,0,0,0,0
0.239669,0,0,0,0
0.241233,0,0,0,0
0.242783,0,0,0,0
0.244334,0,0,0,0
0.245886,0,0,0,0
0.247480,0,0,0,0
0.249030,0,0,0,0
0.250581,0,0,0,0
0.252147,0,0,0,0
0.253695,0,0,0,0
0.255110,0,0,0,0
0.256501,0,0,0,0
0.258021,0,0,0,0
0.259562,0,0,0,0
0.261102,0,0,0,0
0.262576,0,0,0,0
0.264094,0,0,0,0
0.265640,0,0,0,0
0.267193,0,0,0,0
0.268740,0,0,0,0
0.270334,0,0,0,0
0.271883,0,0,0,0
0.273445,0,0,0,0
0.275041,0,0,0,0
0.276566,0,0,0,0
0.278119,0,0,0,0
0.279671,0,0,0,0
0.281219,0,0,0,0
0.282770,0,0,0,0
0.284336,0,0,0,0
0.285888,0,0,0,0
0.287482,0,0,0,0
0.289031,0,0,0,0
0.290583,0,0,0,0
0.292134,0,0,0,0
0.293682,0,0,0,0
0.295253,0,0,0,0
0.296803,0,0,0,0
0.298354,0,0,0,0
0.299906,0,0,0,0
0.301455,0,0,0,0
0.302969,0,0,0,0
0.304490,0,0,0,0
0.306055,0,0,0,0
0.307597,0,0,0,0
0.309137,0,0,0,0
0.310597,0,0,0,0
0.312117,0,0,0,0
0.313666,0,0,0,0
0.315221,0,0,0,0
0.316784,0,0,0,0
0.318382,0,0,0,0
0.319933,0,0,0,0
0.321480,0,0,0,0
0.323033,0,0,0,0
0.324580,0,0,0,0
0.326130,0,0,0,0
0.327694,0,0,0,0
0.329242,0,0,0,0
0.330791,0,0,0,0
0.332338,0,0,0,0
0.333888,0,0,0,0
0.335481,0,0,0,0
0.337028,0,0,0,0
0.338591,0,0,0,0
0.340140,0,0,0,0
0.341687,0,0,0,0
0.343238,0,0,0,0
0.344785,0,0,0,0
0.346335,0,0,0,0
0.347884,0,0,0,0
0.349445,0,0,0,0
0.351084,0,0,0,0
0.352631,0,0,0,0
0.354181,0,0,0,0
0.355775,0,0,0,0
0.357322,0,0,0,0
0.358914,0,0,0,0
0.360477,0,0,0,0
0.362028,0,0,0,0
0.363577,0,0,0,0
0.365123,0,0,0,0
0.366714,0,0,0,0
0.368264,0,0,0,0
0.369814,0,0,0,0
0.371377,0,0,0,0
0.372922,0,0,0,0
0.374516,0,0,0,0
0.376066,0,0,0,0
0.377612,0,0,0,0
0.379165,0,0,0,0
0.380713,0,0,0,0
0.382320,0,0,0,0
0.383869,0,0,0,0
0.385417,0,0,0,0
0.387053,0,0,0,0
0.388552,0,0,0,0
0.389950,0,0,0,0
0.391384,0,0,0,0
0.392785,0,0,0,0
0.394174,0,0,0,0
0.395562,0,0,0,0
0.396948,0,0,0,0
0.398509,0,0,0,0
0.400060,0,0,0,0
0.401606,0,0,0,0
0.403052,0,0,0,0
0.404571,0,0,0,0
0.406123,0,0,0,0
0.407672,0,0,0,0
0.409219,0,0,0,0
0.410768,0,0,0,0
0.412317,0,0,0,0
0.413882,0,0,0,0
0.415475,0,0,0,0
0.417022,0,0,0,0
0.418573,0,0,0,0
0.420122,0,0,0,0
0.421668,0,0,0,0
0.423224,0,0,0,0
0.424786,0,0,0,0
0.426337,0,0,0,0
0.427887,0,0,0,0
0.429434,0,0,0,0
0.430933,0,0,0,0
0.432451,0,0,0,0
0.434002,0,0,0,0
0.435565,0,0,0,0
0.437112,0,0,0,0
0.438706,0,0,0,0
0.440256,0,0,0,0
0.441807,0,0,0,0
0.443356,0,0,0,0
0.444904,0,0,0,0
0.446513,0,0,0,0
0.448061,0,0,0,0
0.449608,0,0,0,0
0.451161,0,0,0,0
