elapsed_s,RAS_SAMPLE_MASK_GEN_LANE_7_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_8_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_9_WORKING_CC_L2,RAS_SAMPLE_MASK_GEN_LANE_10_WORKING_CC_L2
0.001094,0,0,0,0
0.002540,0,0,0,0
0.003957,0,0,0,0
0.005632,0,0,0,0
0.007048,0,0,0,0
0.008465,0,0,0,0
0.009895,0,0,0,0
0.011311,0,0,0,0
0.012726,0,0,0,0
0.014140,0,0,0,0
0.015556,0,0,0,0
0.017143,0,0,0,0
0.018578,0,0,0,0
0.019994,0,0,0,0
0.021511,0,0,0,0
0.022886,0,0,0,0
0.024260,0,0,0,0
0.025641,0,0,0,0
0.027014,0,0,0,0
0.028383,0,0,0,0
0.029768,0,0,0,0
0.031202,0,0,0,0
0.032574,0,0,0,0
0.033967,0,0,0,0
0.035343,0,0,0,0
0.036844,0,0,0,0
0.038240,0,0,0,0
0.039587,0,0,0,0
0.040933,0,0,0,0
0.042287,0,0,0,0
0.043628,0,0,0,0
0.045020,0,0,0,0
0.046368,0,0,0,0
0.047715,0,0,0,0
0.049063,0,0,0,0
0.050411,0,0,0,0
0.051758,0,0,0,0
0.053157,0,0,0,0
0.054451,0,0,0,0
0.055740,0,0,0,0
0.057079,0,0,0,0
0.058369,0,0,0,0
0.059659,0,0,0,0
0.060949,0,0,0,0
0.062239,0,0,0,0
0.063533,0,0,0,0
0.064869,0,0,0,0
0.066123,0,0,0,0
0.067377,0,0,0,0
0.068702,0,0,0,0
0.070044,0,0,0,0
0.071394,0,0,0,0
0.072729,0,0,0,0
0.074182,0,0,0,0
0.075588,0,0,0,0
0.076929,0,0,0,0
0.078268,0,0,0,0
0.079606,0,0,0,0
0.081015,0,0,0,0
0.082484,0,0,0,0
0.083754,0,0,0,0
0.085178,0,0,0,0
0.086617,0,0,0,0
0.088223,0,0,0,0
0.089837,0,0,0,0
0.091401,0,0,0,0
0.092844,0,0,0,0
0.094264,0,0,0,0
0.095695,0,0,0,0
0.098873,0,0,0,0
0.100114,0,0,0,0
0.101474,0,0,0,0
0.102715,0,0,0,0
0.103953,0,0,0,0
0.105196,0,0,0,0
0.106442,0,0,0,0
0.107685,0,0,0,0
0.108932,0,0,0,0
0.110153,0,0,0,0
0.111569,0,0,0,0
0.112980,0,0,0,0
0.114283,0,0,0,0
0.115694,0,0,0,0
0.117121,0,0,0,0
0.118550,0,0,0,0
0.119978,0,0,0,0
0.121418,0,0,0,0
0.122850,0,0,0,0
0.124171,0,0,0,0
0.125567,0,0,0,0
0.126838,0,0,0,0
0.128319,0,0,0,0
0.129697,0,0,0,0
0.131079,0,0,0,0
0.132408,0,0,0,0
0.133937,0,0,0,0
