elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.001165,0,0,0,0,0,0,0,0,0,0,0,0
0.002840,0,0,0,0,0,0,0,0,0,0,0,0
0.004448,0,0,0,0,0,0,0,0,0,0,0,0
0.006059,0,0,0,0,0,0,0,0,0,0,0,0
0.007663,0,0,0,0,0,0,0,0,0,0,0,0
0.009480,0,0,0,0,0,0,0,0,0,0,0,0
0.010973,0,0,0,0,0,0,0,0,0,0,0,0
0.012463,0,0,0,0,0,0,0,0,0,0,0,0
0.013968,0,0,0,0,0,0,0,0,0,0,0,0
0.015456,0,0,0,0,0,0,0,0,0,0,0,0
0.016944,0,0,0,0,0,0,0,0,0,0,0,0
0.018482,0,0,0,0,0,0,0,0,0,0,0,0
0.019954,0,0,0,0,0,0,0,0,0,0,0,0
0.021416,0,0,0,0,0,0,0,0,0,0,0,0
0.022879,0,0,0,0,0,0,0,0,0,0,0,0
0.024366,0,0,0,0,0,0,0,0,0,0,0,0
0.025841,0,0,0,0,0,0,0,0,0,0,0,0
0.027303,0,0,0,0,0,0,0,0,0,0,0,0
0.028814,0,0,0,0,0,0,0,0,0,0,0,0
0.030284,0,0,0,0,0,0,0,0,0,0,0,0
0.031745,0,0,0,0,0,0,0,0,0,0,0,0
0.033249,0,0,0,0,0,0,0,0,0,0,0,0
0.034765,0,0,0,0,0,0,0,0,0,0,0,0
0.036276,0,0,0,0,0,0,0,0,0,0,0,0
0.037830,0,0,0,0,0,0,0,0,0,0,0,0
0.039341,0,0,0,0,0,0,0,0,0,0,0,0
0.040857,0,0,0,0,0,0,0,0,0,0,0,0
0.042369,0,0,0,0,0,0,0,0,0,0,0,0
0.043894,0,0,0,0,0,0,0,0,0,0,0,0
0.045419,0,0,0,0,0,0,0,0,0,0,0,0
0.046872,0,0,0,0,0,0,0,0,0,0,0,0
0.048316,0,0,0,0,0,0,0,0,0,0,0,0
0.049763,0,0,0,0,0,0,0,0,0,0,0,0
0.051220,0,0,0,0,0,0,0,0,0,0,0,0
0.052693,0,0,0,0,0,0,0,0,0,0,0,0
0.054138,0,0,0,0,0,0,0,0,0,0,0,0
0.055539,0,0,0,0,0,0,0,0,0,0,0,0
0.056933,0,0,0,0,0,0,0,0,0,0,0,0
0.058331,0,0,0,0,0,0,0,0,0,0,0,0
0.059913,0,0,0,0,0,0,0,0,0,0,0,0
0.061365,0,0,0,0,0,0,0,0,0,0,0,0
0.062760,0,0,0,0,0,0,0,0,0,0,0,0
0.064152,0,0,0,0,0,0,0,0,0,0,0,0
0.065606,0,0,0,0,0,0,0,0,0,0,0,0
0.067019,0,0,0,0,0,0,0,648,0,0,0,0
0.068596,0,0,0,0,0,0,0,0,0,0,0,0
0.069997,0,0,0,0,0,0,0,0,0,0,0,0
0.071397,0,0,0,0,0,0,0,0,0,0,0,0
0.072785,0,0,0,0,0,0,0,0,0,0,0,0
0.074176,0,0,0,0,0,0,0,0,0,0,0,0
0.075567,0,0,0,0,0,0,0,0,0,0,0,0
0.077136,0,0,0,0,0,0,0,0,0,0,0,0
0.078666,0,5376,6144,6912,7680,8192,8192,97106,91520,0,0,0
0.080044,0,183902,184576,184576,184576,184832,185600,764176,537932,0,0,0
0.081306,0,187554,188032,188032,188416,188416,188416,771282,545662,0,0,0
0.082605,0,193391,192256,192256,191872,191872,191232,780420,553908,0,0,0
0.083889,0,190737,190720,190080,189312,190080,190720,779350,548259,0,0,0
0.086059,0,320970,321920,322560,323328,322560,322560,1317581,931957,0,0,0
0.087370,0,196022,194304,193536,194688,194688,194688,792082,557968,0,0,0
