elapsed_s,RBBM_US_VSC_BUSY,RBBM_US_UCHE_BUSY,RBBM_US_HLSQ_BUSY,RBBM_S_HLSQ_BUSY
0.001101,0,0,104,0
0.002533,0,0,104,0
0.003991,0,0,104,0
0.005408,0,0,104,0
0.006823,0,0,104,0
0.008238,0,0,104,0
0.009673,0,0,104,0
0.012013,0,0,104,0
0.013444,0,0,104,0
0.014913,0,0,104,0
0.016482,0,0,104,0
0.017917,0,0,104,0
0.019307,0,0,104,0
0.020676,0,0,104,0
0.022071,0,0,104,0
0.023421,0,0,104,0
0.024768,0,0,104,0
0.026119,0,0,104,0
0.027435,0,0,104,0
0.028723,0,0,104,0
0.030061,0,0,104,0
0.031322,0,0,104,0
0.032579,0,0,104,0
0.033891,0,0,104,0
0.035157,0,0,104,0
0.036428,0,0,104,0
0.037685,0,0,104,0
0.039038,0,0,104,0
0.040372,0,0,104,0
0.041728,0,0,104,0
0.043225,0,0,104,0
0.044619,0,0,104,0
0.046013,0,0,104,0
0.047424,0,0,104,0
0.048914,0,0,104,0
0.050337,0,0,104,0
0.051859,0,0,104,0
0.053255,0,0,104,0
0.054643,0,0,104,0
0.056038,0,0,104,0
0.057448,0,0,104,0
0.059059,109,1897,1782,0
0.060446,0,0,104,0
0.061829,0,0,104,0
0.063285,0,0,104,0
0.064669,0,0,104,0
0.067515,0,0,104,0
0.068902,438,299476,438744,0
0.070271,1254,1379237,1985920,0
0.072739,627,674957,939884,0
0.075373,1287,1405110,2012715,0
0.076614,594,657296,952764,0
0.077994,693,759192,1079213,0
0.079242,594,651357,924920,0
0.080444,594,646050,919241,0
0.081643,594,645779,912286,0
0.083143,771,840399,1200024,0
0.084468,615,670770,950007,0
0.085716,598,608764,849146,0
0.087103,0,0,104,0
0.088494,0,0,104,0
0.089998,0,0,104,0
0.091493,0,0,104,0
0.092878,0,0,104,0
0.094285,0,0,104,0
0.095674,0,0,104,0
0.097068,0,0,104,0
0.098454,0,0,104,0
0.099834,0,0,104,0
0.101213,0,0,104,0
0.105836,0,0,104,0
0.107342,0,0,104,0
0.108700,0,0,104,0
0.110212,0,0,104,0
0.111597,0,0,104,0
0.112941,0,0,104,0
0.114340,0,0,104,0
0.115723,0,0,104,0
0.117106,0,0,104,0
0.118495,0,0,104,0
0.119875,0,0,104,0
0.121255,0,0,104,0
0.122674,0,0,104,0
0.124275,0,0,104,0
0.125655,0,0,104,0
0.127093,0,0,104,0
0.128481,0,0,104,0
0.129879,0,0,104,0
0.131303,0,0,104,0
0.132688,0,0,104,0
0.134076,0,0,104,0
0.135462,0,0,104,0
0.136848,0,0,104,0
0.138269,0,0,104,0
0.139784,0,0,104,0
0.141349,0,0,104,0
0.142900,0,0,104,0
0.144441,0,0,104,0
0.146045,0,0,104,0
0.147640,0,0,104,0
0.149188,0,0,104,0
0.150739,0,0,104,0
0.152302,0,0,104,0
0.153855,0,0,104,0
0.155450,0,0,104,0
0.156998,0,0,104,0
0.158551,0,0,104,0
0.160099,0,0,104,0
0.161645,0,0,104,0
0.163091,0,0,104,0
0.164612,0,0,104,0
0.166163,0,0,104,0
0.167714,0,0,104,0
0.169262,0,0,104,0
0.170856,0,0,104,0
0.172407,0,0,104,0
0.173972,0,0,104,0
0.175523,0,0,104,0
0.177071,0,0,104,0
0.178666,0,0,104,0
0.180217,0,0,104,0
0.181850,0,0,104,0
0.183392,0,0,104,0
0.184794,0,0,104,0
0.186358,0,0,104,0
0.187909,0,0,104,0
0.189458,0,0,104,0
0.191096,0,0,104,0
0.192636,0,0,104,0
0.194056,0,0,104,0
0.195632,0,0,104,0
0.197180,0,0,104,0
0.198730,0,0,104,0
0.200280,0,0,104,0
0.201830,0,0,104,0
0.203379,0,0,104,0
0.204928,0,0,104,0
0.206615,0,0,104,0
0.208158,0,0,104,0
0.209698,0,0,104,0
0.211134,0,0,104,0
0.212524,0,0,104,0
0.214042,0,0,104,0
0.215590,0,0,104,0
0.217150,0,0,104,0
0.218742,0,0,104,0
0.220291,0,0,104,0
0.221841,0,0,104,0
0.223389,0,0,104,0
0.224937,0,0,104,0
0.226530,0,0,104,0
0.228093,0,0,104,0
0.229640,0,0,104,0
0.231193,0,0,104,0
0.232741,0,0,104,0
0.234335,0,0,104,0
0.235884,0,0,104,0
0.237430,0,0,104,0
0.238929,0,0,104,0
0.240448,0,0,104,0
0.241998,0,0,104,0
0.243592,0,0,104,0
0.245139,0,0,104,0
0.246686,0,0,104,0
0.248236,0,0,104,0
0.249799,0,0,104,0
0.251346,0,0,104,0
0.252892,0,0,104,0
0.254430,0,0,104,0
0.255979,0,0,104,0
0.257528,0,0,104,0
0.259085,0,0,104,0
0.260647,0,0,104,0
0.262198,0,0,104,0
0.263749,0,0,104,0
0.265296,0,0,104,0
0.266889,0,0,104,0
0.268439,0,0,104,0
0.269990,0,0,104,0
0.271554,0,0,104,0
0.273102,0,0,104,0
0.274697,0,0,104,0
0.276248,0,0,104,0
0.277800,0,0,104,0
0.279351,0,0,104,0
0.280900,0,0,104,0
0.282388,0,0,104,0
0.283912,0,0,104,0
0.285460,0,0,104,0
0.287098,0,0,104,0
0.288648,0,0,104,0
0.290242,0,0,104,0
0.291793,0,0,104,0
0.293355,0,0,104,0
0.294906,0,0,104,0
0.296456,0,0,104,0
0.298008,0,0,104,0
0.299604,0,0,104,0
0.301153,0,0,104,0
0.302704,0,0,104,0
0.304269,0,0,104,0
0.305821,0,0,104,0
0.307372,0,0,104,0
0.308922,0,0,104,0
0.310473,0,0,104,0
0.312024,0,0,104,0
0.313573,0,0,104,0
0.315143,0,0,104,0
0.316692,0,0,104,0
0.318291,0,0,104,0
0.319842,0,0,104,0
0.321392,0,0,104,0
