elapsed_s,PC_US_BV_STALLED_BY_UCHE_FEEDBACK,PC_US_VSD_RARB_DVIZ_FULL,PC_US_VSD_RARB_PVIZ_FULL,PC_US_VSD_RARB_TVIZ_FULL,PC_US_DP0_RARB_FULL,PC_US_DP1_RARB_FULL,PC_US_DP0_LIVE_PRIM,PC_US_DP1_LIVE_PRIM
0.001107,0,0,0,0,0,0,0,0
0.002767,0,0,0,0,0,0,0,0
0.004313,0,0,0,0,0,0,0,0
0.005859,0,0,0,0,0,0,0,0
0.007402,0,0,0,0,0,0,0,0
0.009003,0,0,0,0,0,0,0,0
0.010559,0,0,0,0,0,0,0,0
0.012100,0,0,0,0,0,0,0,0
0.013726,0,0,0,0,0,0,0,0
0.015246,0,0,0,0,0,0,0,0
0.016762,0,0,0,0,0,0,0,0
0.018480,0,0,0,0,0,0,0,0
0.019996,0,0,0,0,0,0,0,0
0.021551,0,0,0,0,0,0,0,0
0.023024,0,0,0,0,0,0,0,0
0.024492,0,0,0,0,0,0,0,0
0.026099,0,0,0,0,0,0,0,0
0.027573,0,0,0,0,0,0,0,0
0.029050,0,0,0,0,0,0,0,0
0.030591,0,0,0,0,0,0,0,0
0.032059,0,0,0,0,0,0,0,0
0.033559,0,0,0,0,0,0,0,0
0.035011,0,0,0,0,0,0,0,0
0.036462,0,0,0,0,0,0,0,0
0.038016,0,0,0,0,0,0,0,0
0.039491,0,0,0,0,0,0,0,0
0.040950,0,0,0,0,0,0,0,0
0.042472,0,0,0,0,0,0,0,0
0.043934,0,0,0,0,0,0,0,0
0.045444,0,0,0,0,0,0,0,0
0.047026,0,0,0,0,0,0,0,0
0.048439,0,0,0,0,0,0,0,0
0.049948,0,0,0,0,0,0,0,0
0.051387,0,0,0,0,0,0,0,0
0.052808,0,0,0,0,0,0,0,0
0.054272,0,0,0,0,0,0,0,0
0.055720,0,0,0,0,0,0,0,0
0.057182,0,0,0,0,0,0,0,0
0.058594,0,0,0,0,0,0,0,0
0.060004,0,0,0,0,0,0,0,0
0.061471,0,0,0,0,0,0,0,0
0.062852,0,0,0,0,0,0,0,0
0.064229,0,0,0,0,0,0,0,0
0.065553,0,0,0,0,0,0,0,0
0.066889,0,0,0,0,0,0,0,0
0.068294,0,0,0,0,0,0,0,0
0.069634,0,0,0,0,0,0,0,0
0.070994,0,0,0,0,0,0,0,0
0.072373,0,0,0,0,0,0,0,0
0.073731,0,0,0,0,0,0,0,0
0.075072,0,0,0,0,0,0,0,0
0.076407,0,0,0,0,0,0,0,0
0.077757,0,0,0,0,0,0,0,0
0.079202,0,0,0,0,0,0,0,0
0.080619,0,0,0,0,0,0,0,0
0.082049,0,0,0,0,0,0,0,0
0.083460,0,0,0,0,0,0,0,0
0.084935,0,0,0,0,0,0,0,0
0.086422,0,0,0,0,0,0,0,0
0.087849,0,0,0,0,0,0,0,0
0.089268,0,0,0,0,0,0,0,0
0.090675,0,0,0,0,0,0,0,0
0.092083,0,0,0,0,0,0,0,0
0.093347,0,0,0,0,0,0,0,0
0.094564,0,0,0,0,0,0,0,0
0.095780,0,0,0,0,0,0,0,0
0.096996,0,0,0,0,0,0,0,0
0.098212,0,0,0,0,0,0,0,0
0.099428,0,0,0,0,0,0,0,0
0.100643,0,0,0,0,0,0,0,0
0.101943,0,0,0,0,0,0,0,0
0.103156,0,0,0,0,0,0,0,0
0.104367,0,0,0,0,0,0,0,0
0.105581,0,0,0,0,0,0,0,0
0.106797,0,0,0,0,0,0,0,0
0.108014,0,0,0,0,0,0,0,0
0.109259,0,0,0,0,0,0,0,0
0.110500,0,0,0,0,0,0,0,0
0.111857,0,0,0,0,0,0,0,0
0.113221,0,0,0,0,0,0,0,0
0.114585,0,0,0,0,0,0,0,0
0.115949,0,0,0,0,0,0,0,0
0.117314,0,0,0,0,0,0,0,0
0.118680,0,0,0,0,0,0,0,0
0.120045,0,0,0,0,0,0,0,0
0.121421,0,0,0,0,0,0,0,0
0.122776,0,0,0,0,0,0,0,0
0.124134,0,0,0,0,0,0,0,0
0.125538,0,0,0,0,0,0,0,0
0.126898,0,0,0,0,0,0,0,0
0.128252,0,0,0,0,0,0,0,0
0.129607,0,0,0,0,0,0,0,0
0.131008,0,0,0,0,0,0,0,0
0.132412,0,0,0,0,0,0,0,0
0.133777,0,0,0,0,0,0,0,0
0.135142,0,0,0,0,0,0,0,0
0.136503,0,0,0,0,0,0,0,0
0.137927,0,0,0,0,0,0,0,0
0.139288,0,0,0,0,0,0,0,0
0.140648,0,0,0,0,0,0,0,0
0.142032,0,0,0,0,0,0,0,0
0.143468,0,0,0,0,0,0,0,0
0.144976,0,0,0,0,0,0,0,0
0.146638,0,0,0,0,0,0,0,0
0.148046,0,0,0,0,0,0,0,0
0.149517,0,0,0,0,0,0,0,0
0.151065,0,0,0,0,0,0,0,0
0.152504,0,0,0,0,0,0,0,0
0.154065,0,0,0,0,0,0,0,0
0.155660,0,0,0,0,0,0,0,0
0.157670,0,0,0,0,0,0,0,0
