elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.001112,0,0,0,0,0,0,0
0.002690,0,0,0,0,0,0,0
0.004183,0,0,0,0,0,0,0
0.005668,0,0,0,0,0,0,0
0.007194,0,0,0,0,0,0,0
0.008721,0,0,0,0,0,0,0
0.010350,0,0,0,0,0,0,0
0.011803,0,0,0,0,0,0,0
0.013398,0,0,0,0,0,0,0
0.014904,0,0,0,0,0,0,0
0.016386,0,0,0,0,0,0,0
0.018028,0,0,0,0,0,0,0
0.019535,0,0,0,0,0,0,0
0.021053,0,0,0,0,0,0,0
0.022673,0,0,0,0,0,0,0
0.024179,0,0,0,0,0,0,0
0.025748,0,0,0,0,0,0,0
0.027198,0,0,0,0,0,0,0
0.028643,0,0,0,0,0,0,0
0.030081,0,0,0,0,0,0,0
0.031512,0,0,0,0,0,0,0
0.032940,0,0,0,0,0,0,0
0.034374,0,0,0,0,0,0,0
0.035803,0,0,0,0,0,0,0
0.037231,0,0,0,0,0,0,0
0.038714,0,0,0,0,0,0,0
0.040089,0,0,0,0,0,0,0
0.041458,0,0,0,0,0,0,0
0.042895,0,0,0,0,0,0,0
0.044254,0,0,0,0,0,0,0
0.045606,0,0,0,0,0,0,0
0.046963,0,0,0,0,0,0,0
0.048318,0,0,0,0,0,0,0
0.049766,0,0,0,0,0,0,0
0.051282,0,0,0,0,0,0,0
0.052699,0,0,0,0,0,0,0
0.054735,0,0,0,0,0,0,0
0.056246,0,0,0,0,0,0,0
0.057783,0,0,0,0,0,0,0
0.059543,0,0,0,0,0,0,0
0.060947,0,0,0,0,0,0,0
0.062470,0,0,0,0,0,0,0
0.063869,0,0,0,0,0,0,0
0.065314,0,0,0,0,0,0,0
0.067152,0,0,0,0,0,0,0
0.068803,0,0,0,0,0,0,0
0.070088,0,0,0,0,0,0,0
0.071355,0,0,0,0,0,0,0
0.072615,0,0,0,0,0,0,0
0.073895,0,0,0,0,0,0,0
0.075151,0,0,0,0,0,0,0
0.076406,0,0,0,0,0,0,0
0.077661,0,0,0,0,0,0,0
0.078916,0,0,0,0,0,0,0
0.080169,0,0,0,0,0,0,0
0.081494,0,0,0,0,0,0,0
0.082801,0,0,0,0,0,0,0
0.084231,0,0,0,0,0,0,0
0.085382,0,0,0,0,0,0,0
0.086642,0,0,0,0,0,0,0
0.088057,0,0,0,0,0,0,0
0.089549,0,0,0,0,0,0,0
0.091140,0,0,0,0,0,0,0
0.092543,0,0,0,0,0,0,0
0.093947,0,0,0,0,0,0,0
0.095352,0,0,0,0,0,0,0
0.096753,0,0,0,0,0,0,0
0.098197,0,0,0,0,0,0,0
0.099601,0,0,0,0,0,0,0
0.100994,0,0,0,0,0,0,0
