elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.001097,0,0,0,0,0,0
0.002582,0,0,0,0,0,0
0.004024,0,0,0,0,0,0
0.005459,0,0,0,0,0,0
0.006893,0,0,0,0,0,0
0.008328,0,0,0,0,0,0
0.009773,0,0,0,0,0,0
0.011251,0,0,0,0,0,0
0.012685,0,0,0,0,0,0
0.014115,0,0,0,0,0,0
0.015592,0,0,0,0,0,0
0.017063,0,0,0,0,0,0
0.018548,0,0,0,0,0,0
0.020058,0,0,0,0,0,0
0.021472,0,0,0,0,0,0
0.022867,0,0,0,0,0,0
0.024258,0,0,0,0,0,0
0.025645,0,0,0,0,0,0
0.027087,0,0,0,0,0,0
0.028477,0,0,0,0,0,0
0.029867,0,0,0,0,0,0
0.031318,0,0,0,0,0,0
0.032720,0,0,0,0,0,0
0.034108,0,0,0,0,0,0
0.035508,0,0,0,0,0,0
0.036897,0,0,0,0,0,0
0.038284,0,0,0,0,0,0
0.039680,0,0,0,0,0,0
0.041066,0,0,0,0,0,0
0.042464,0,0,0,0,0,0
0.043852,0,0,0,0,0,0
0.045219,0,0,0,0,0,0
0.046652,0,0,0,0,0,0
0.048051,0,0,0,0,0,0
0.049427,0,0,0,0,0,0
0.050845,0,0,0,0,0,0
0.052214,0,0,0,0,0,0
0.053642,0,0,0,0,0,0
0.055058,0,0,0,0,0,0
0.056425,0,0,0,0,0,0
0.057793,0,0,0,0,0,0
0.059212,0,0,0,0,0,0
0.060522,0,0,0,0,0,0
0.061827,0,0,0,0,0,0
0.063181,0,0,0,0,0,0
0.064503,0,0,0,0,0,0
0.065809,0,0,0,0,0,0
0.067116,0,0,0,0,0,0
0.068421,0,0,0,0,0,0
0.069726,0,0,0,0,0,0
0.071076,0,0,0,0,0,0
0.072338,0,0,0,0,0,0
0.073601,0,0,0,0,0,0
0.074931,0,0,0,0,0,0
0.076267,0,0,0,0,0,0
0.077618,0,0,0,0,0,0
0.078966,0,0,0,0,0,0
0.080359,0,0,0,0,0,0
0.081815,0,0,0,0,0,0
0.083172,0,0,0,0,0,0
0.084529,0,0,0,0,0,0
0.085902,0,0,0,0,0,0
0.087305,0,0,0,0,0,0
0.088718,2,44,53,0,8,0
0.090116,0,0,0,0,0,0
0.092628,0,0,0,0,0,0
0.094101,0,0,0,0,0,0
0.095574,0,0,0,0,0,0
0.097025,0,0,0,0,0,0
0.098519,0,0,0,0,0,0
0.100334,0,0,0,0,0,0
0.101790,12,166,418,0,36,0
0.103193,0,240,240,0,0,0
0.104446,0,228,228,0,0,0
0.105697,0,228,228,0,0,0
