elapsed_s,HLSQ_SPTROC_STCHE_MISS_INC_VS,HLSQ_SPTROC_STCHE_MISS_INC_FS,HLSQ_SPTROC_STCHE_MISS_INC_BV,HLSQ_SPTROC_STCHE_MISS_INC_LPAC,HLSQ_VSBR_S2W_CYCLES_SP,HLSQ_FS_S2W_CYCLES_SP
0.001094,0,0,0,0,0,0
0.002741,0,0,0,0,0,0
0.005754,0,0,0,0,0,0
0.007199,0,0,0,0,0,0
0.008789,0,0,0,0,0,0
0.010295,0,0,0,0,0,0
0.011698,0,0,0,0,0,0
0.013097,0,0,0,0,0,0
0.014611,0,0,0,0,0,0
0.016042,0,0,0,0,0,0
0.018168,0,0,0,0,0,0
0.019602,0,0,0,0,0,0
0.021032,0,0,0,0,0,0
0.022459,0,0,0,0,0,0
0.023861,0,0,0,0,0,0
0.025231,0,0,0,0,0,0
0.026668,0,0,0,0,0,0
0.028034,0,0,0,0,0,0
0.029398,0,0,0,0,0,0
0.030837,0,0,0,0,0,0
0.032149,0,0,0,0,0,0
0.033462,0,0,0,0,0,0
0.034762,0,0,0,0,0,0
0.036184,0,0,0,0,0,0
0.037607,0,0,0,0,0,0
0.038887,0,0,0,0,0,0
0.040153,0,0,0,0,0,0
0.041419,0,0,0,0,0,0
0.042757,0,0,0,0,0,0
0.044077,0,0,0,0,0,0
0.045403,0,0,0,0,0,0
0.046744,0,0,0,0,0,0
0.048200,0,0,0,0,0,0
0.050963,0,0,0,0,0,0
0.052493,0,0,0,0,0,0
0.053973,0,0,0,0,0,0
0.055387,0,0,0,0,0,0
0.056794,0,0,0,0,0,0
0.058191,0,0,0,0,0,0
0.059593,0,0,0,0,0,0
0.060989,0,0,0,0,0,0
0.062531,0,0,0,0,0,0
0.063828,0,0,0,0,0,0
0.065244,0,0,0,0,0,0
0.066673,0,0,0,0,0,0
0.068068,0,0,0,0,0,0
0.069526,0,0,0,0,0,0
0.070919,0,0,0,0,0,0
0.072465,0,0,0,0,0,1044
0.075412,0,0,0,0,0,11280
0.076664,0,0,0,0,0,5358
0.078050,0,0,0,0,0,5922
0.079310,0,0,0,0,0,5076
0.080525,0,0,0,0,0,5076
0.081795,0,0,0,0,0,5358
0.083044,0,0,0,0,0,5358
0.084294,0,0,0,0,0,5076
0.085552,0,0,0,0,0,5358
0.086805,0,0,0,0,0,5076
0.088155,0,0,0,0,0,5640
0.089409,0,0,0,0,0,5922
0.090770,0,0,0,0,0,1128
0.092190,0,0,0,0,0,0
0.093590,0,0,0,0,0,0
0.095037,0,0,0,0,0,0
0.096433,0,0,0,0,0,0
0.097886,0,0,0,0,0,0
0.099296,0,0,0,0,0,0
0.100709,0,0,0,0,0,0
0.102157,0,0,0,0,0,0
0.103552,0,0,0,0,0,0
0.105114,0,0,0,0,0,0
0.109493,0,0,0,0,0,0
0.110910,0,0,0,0,0,0
0.112314,0,0,0,0,0,0
0.113838,0,0,0,0,0,0
0.115246,0,0,0,0,0,0
0.116601,0,0,0,0,0,0
0.117970,0,0,0,0,0,0
0.120048,0,0,0,0,0,0
0.121520,0,0,0,0,0,0
0.122921,0,0,0,0,0,0
0.124311,0,0,0,0,0,0
0.125702,0,0,0,0,0,0
0.127127,0,0,0,0,0,0
0.128519,0,0,0,0,0,0
0.129910,0,0,0,0,0,0
0.131428,0,0,0,0,0,0
0.132982,0,0,0,0,0,0
0.134469,0,0,0,0,0,0
0.136002,0,0,0,0,0,0
0.137565,0,0,0,0,0,0
0.139128,0,0,0,0,0,0
0.140690,0,0,0,0,0,0
0.142297,0,0,0,0,0,0
0.143859,0,0,0,0,0,0
0.145501,0,0,0,0,0,0
0.147125,0,0,0,0,0,0
0.148687,0,0,0,0,0,0
0.150294,0,0,0,0,0,0
0.151857,0,0,0,0,0,0
0.153418,0,0,0,0,0,0
0.154984,0,0,0,0,0,0
0.156398,0,0,0,0,0,0
0.157974,0,0,0,0,0,0
0.159538,0,0,0,0,0,0
0.161098,0,0,0,0,0,0
0.162725,0,0,0,0,0,0
0.164285,0,0,0,0,0,0
0.165893,0,0,0,0,0,0
