elapsed_s,HLSQ_L2STC_LATENCY_COUNT,HLSQ_L2STC_STALL_SP_MISS_REQ,HLSQ_L2STC_BANK0_REPLACEMENT,HLSQ_L2STC_BANK1_REPLACEMENT,HLSQ_L2STC_BANK2_REPLACEMENT,HLSQ_L2STC_BANK3_REPLACEMENT
0.001093,0,0,0,0,0,0
0.002566,0,0,0,0,0,0
0.004001,0,0,0,0,0,0
0.005438,0,0,0,0,0,0
0.006871,0,0,0,0,0,0
0.008365,0,0,0,0,0,0
0.009863,0,0,0,0,0,0
0.011358,0,0,0,0,0,0
0.012871,0,0,0,0,0,0
0.014266,0,0,0,0,0,0
0.015659,0,0,0,0,0,0
0.017135,0,0,0,0,0,0
0.018603,0,0,0,0,0,0
0.020043,0,0,0,0,0,0
0.021477,0,0,0,0,0,0
0.022909,0,0,0,0,0,0
0.024385,0,0,0,0,0,0
0.025818,0,0,0,0,0,0
0.027285,0,0,0,0,0,0
0.029795,0,0,0,0,0,0
0.031238,0,0,0,0,0,0
0.032676,0,0,0,0,0,0
0.034108,0,0,0,0,0,0
0.035541,0,0,0,0,0,0
0.037010,0,0,0,0,0,0
0.038442,0,0,0,0,0,0
0.039996,0,0,0,0,0,0
0.041475,0,0,0,0,0,0
0.042884,0,0,0,0,0,0
0.044293,0,0,0,0,0,0
0.045702,0,0,0,0,0,0
0.047111,0,0,0,0,0,0
0.048521,0,0,0,0,0,0
0.049941,0,0,0,0,0,0
0.051351,0,0,0,0,0,0
0.052761,0,0,0,0,0,0
0.054175,0,0,0,0,0,0
0.055587,0,0,0,0,0,0
0.057126,0,0,0,0,0,0
0.058606,0,0,0,0,0,0
0.059972,0,0,0,0,0,0
0.061326,0,0,0,0,0,0
0.062677,0,0,0,0,0,0
0.064032,0,0,0,0,0,0
0.065388,0,0,0,0,0,0
0.066742,0,0,0,0,0,0
0.068096,0,0,0,0,0,0
0.069448,0,0,0,0,0,0
0.070821,0,0,0,0,0,0
0.072198,0,0,0,0,0,0
0.073576,0,0,0,0,0,0
0.074934,0,0,0,0,0,0
0.076254,0,0,0,0,0,0
0.077516,0,0,0,0,0,0
0.078777,0,0,0,0,0,0
0.080197,0,0,0,0,0,0
0.081466,0,0,0,0,0,0
0.082729,0,0,0,0,0,0
0.083992,0,0,0,0,0,0
0.085366,0,0,0,0,0,0
0.086633,0,0,0,0,0,0
0.088107,0,0,0,0,0,0
0.089384,0,0,0,0,0,0
0.090646,0,0,0,0,0,0
0.091951,0,0,0,0,0,0
0.093368,0,0,0,0,0,0
0.094672,0,0,0,0,0,0
0.095977,0,0,0,0,0,0
0.097283,0,0,0,0,0,0
0.098588,0,0,0,0,0,0
0.099941,0,0,0,0,0,0
0.101247,7,1,2,2,2,1
0.102499,0,1,0,0,0,0
0.103643,0,1,0,0,0,0
0.104802,0,0,0,0,0,0
0.105946,0,1,0,0,0,0
0.107090,0,1,0,0,0,0
0.108234,0,2,0,0,0,0
0.109377,0,1,0,0,0,0
0.110521,0,1,0,0,0,0
0.111665,0,0,0,0,0,0
0.112814,0,1,0,0,0,0
0.113958,0,0,0,0,0,0
0.115102,0,1,0,0,0,0
0.116246,0,1,0,0,0,0
0.117390,0,0,0,0,0,0
0.118534,0,1,0,0,0,0
0.119678,0,0,0,0,0,0
0.121068,0,0,0,0,0,0
0.122416,0,0,0,0,0,0
0.123765,0,0,0,0,0,0
0.125220,0,0,0,0,0,0
0.126630,0,0,0,0,0,0
0.128025,0,0,0,0,0,0
0.129418,0,0,0,0,0,0
0.130821,0,0,0,0,0,0
0.132212,0,0,0,0,0,0
0.133605,0,0,0,0,0,0
0.134995,0,0,0,0,0,0
0.136443,0,0,0,0,0,0
0.137795,0,0,0,0,0,0
0.139144,0,0,0,0,0,0
0.140493,0,0,0,0,0,0
0.141857,0,0,0,0,0,0
0.143206,0,0,0,0,0,0
0.144555,0,0,0,0,0,0
0.145905,0,0,0,0,0,0
0.147255,0,0,0,0,0,0
0.148610,0,0,0,0,0,0
0.149963,0,0,0,0,0,0
0.151316,0,0,0,0,0,0
0.152706,0,0,0,0,0,0
0.154153,0,0,0,0,0,0
0.155486,0,0,0,0,0,0
0.156995,0,0,0,0,0,0
0.158327,0,0,0,0,0,0
0.159661,0,0,0,0,0,0
0.161768,0,0,0,0,0,0
0.163108,0,0,0,0,0,0
0.164441,0,0,0,0,0,0
0.165774,0,0,0,0,0,0
0.167107,0,0,0,0,0,0
0.168469,0,0,0,0,0,0
0.169859,0,0,0,0,0,0
0.171248,0,0,0,0,0,0
0.172638,0,0,0,0,0,0
0.174038,0,0,0,0,0,0
0.175429,0,0,0,0,0,0
0.176912,0,0,0,0,0,0
0.178303,0,0,0,0,0,0
0.179706,0,0,0,0,0,0
0.181207,0,0,0,0,0,0
0.182604,0,0,0,0,0,0
0.184003,0,0,0,0,0,0
0.185454,0,0,0,0,0,0
0.186850,0,0,0,0,0,0
0.188247,0,0,0,0,0,0
0.189753,0,0,0,0,0,0
0.191315,0,0,0,0,0,0
0.192878,0,0,0,0,0,0
0.194442,0,0,0,0,0,0
0.196020,0,0,0,0,0,0
0.197583,0,0,0,0,0,0
0.199143,0,0,0,0,0,0
0.200751,0,0,0,0,0,0
0.202315,0,0,0,0,0,0
0.203880,0,0,0,0,0,0
0.205444,0,0,0,0,0,0
0.206894,0,0,0,0,0,0
0.208430,0,0,0,0,0,0
0.209995,0,0,0,0,0,0
0.211556,0,0,0,0,0,0
0.213123,0,0,0,0,0,0
0.214685,0,0,0,0,0,0
0.216294,0,0,0,0,0,0
0.217871,0,0,0,0,0,0
0.219434,0,0,0,0,0,0
0.220957,0,0,0,0,0,0
0.222489,0,0,0,0,0,0
0.224054,0,0,0,0,0,0
0.225618,0,0,0,0,0,0
0.227179,0,0,0,0,0,0
0.228755,0,0,0,0,0,0
0.230319,0,0,0,0,0,0
0.231883,0,0,0,0,0,0
0.233491,0,0,0,0,0,0
0.235052,0,0,0,0,0,0
0.236614,0,0,0,0,0,0
0.238176,0,0,0,0,0,0
0.239817,0,0,0,0,0,0
0.241442,0,0,0,0,0,0
0.243003,0,0,0,0,0,0
0.244566,0,0,0,0,0,0
0.246127,0,0,0,0,0,0
0.247687,0,0,0,0,0,0
0.249250,0,0,0,0,0,0
0.250823,0,0,0,0,0,0
0.252386,0,0,0,0,0,0
0.253948,0,0,0,0,0,0
0.255508,0,0,0,0,0,0
0.257075,0,0,0,0,0,0
0.258635,0,0,0,0,0,0
0.260197,0,0,0,0,0,0
0.261771,0,0,0,0,0,0
0.263331,0,0,0,0,0,0
0.264937,0,0,0,0,0,0
0.266498,0,0,0,0,0,0
0.268061,0,0,0,0,0,0
0.269622,0,0,0,0,0,0
0.271181,0,0,0,0,0,0
0.272756,0,0,0,0,0,0
0.274317,0,0,0,0,0,0
0.275881,0,0,0,0,0,0
0.277443,0,0,0,0,0,0
0.279002,0,0,0,0,0,0
0.280609,0,0,0,0,0,0
0.282217,0,0,0,0,0,0
0.283794,0,0,0,0,0,0
0.285357,0,0,0,0,0,0
0.286916,0,0,0,0,0,0
0.288480,0,0,0,0,0,0
0.290041,0,0,0,0,0,0
0.291601,0,0,0,0,0,0
0.293166,0,0,0,0,0,0
0.294739,0,0,0,0,0,0
0.296347,0,0,0,0,0,0
0.297908,0,0,0,0,0,0
0.299468,0,0,0,0,0,0
0.301033,0,0,0,0,0,0
0.302594,0,0,0,0,0,0
0.304157,0,0,0,0,0,0
0.305732,0,0,0,0,0,0
0.307293,0,0,0,0,0,0
0.309411,0,0,0,0,0,0
0.310963,0,0,0,0,0,0
0.312394,0,0,0,0,0,0
0.313925,0,0,0,0,0,0
0.315361,0,0,0,0,0,0
0.316907,0,0,0,0,0,0
