elapsed_s,HLSQ_BV_INS_BUF_FULL_BLOCK_CPI,HLSQ_VS_DES_BUF_FULL_BLOCK_CPI,HLSQ_FS_DES_BUF_FULL_BLOCK_CPI,HLSQ_BV_DES_BUF_FULL_BLOCK_CPI,HLSQ_PRIMITIVE_COUNT,HLSQ_LPAC2BV_SWITCH_CNT
0.001095,0,0,0,0,0,0
0.002563,0,0,0,0,0,0
0.004001,0,0,0,0,0,0
0.005437,0,0,0,0,0,0
0.006834,0,0,0,0,0,0
0.008267,0,0,0,0,0,0
0.009818,0,0,0,0,0,0
0.011241,0,0,0,0,0,0
0.012675,0,0,0,0,0,0
0.014109,0,0,0,0,0,0
0.015544,0,0,0,0,0,0
0.017144,0,0,0,0,0,0
0.018731,0,0,0,0,0,0
0.020166,0,0,0,0,0,0
0.021562,0,0,0,0,0,0
0.022975,0,0,0,0,0,0
0.024368,0,0,0,0,0,0
0.025760,0,0,0,0,0,0
0.027201,0,0,0,0,0,0
0.028593,0,0,0,0,0,0
0.030029,0,0,0,0,0,0
0.031438,0,0,0,0,0,0
0.032830,0,0,0,0,0,0
0.034222,0,0,0,0,0,0
0.035609,0,0,0,0,0,0
0.036992,0,0,0,0,0,0
0.038425,0,0,0,0,0,0
0.039881,0,0,0,0,0,0
0.041286,0,0,0,0,0,0
0.042780,0,0,0,0,0,0
0.044148,0,0,0,0,0,0
0.045568,0,0,0,0,0,0
0.046939,0,0,0,0,0,0
0.048299,0,0,0,0,0,0
0.049712,0,0,0,0,0,0
0.051140,0,0,0,0,0,0
0.052526,0,0,0,0,0,0
0.053951,0,0,0,0,0,0
0.055326,0,0,0,0,0,0
0.056689,0,0,0,0,0,0
0.058101,0,0,0,0,0,0
0.059408,0,0,0,0,0,0
0.060713,0,0,0,0,0,0
0.062066,0,0,0,0,0,0
0.063369,0,0,0,0,0,0
0.064677,0,0,0,0,0,0
0.066032,0,0,0,0,0,0
0.067335,0,0,0,0,0,0
0.068640,0,0,0,0,0,0
0.069994,0,0,0,0,0,0
0.071298,0,0,0,0,0,0
0.072616,0,0,0,0,0,0
0.073993,0,0,0,0,0,0
0.075396,0,0,0,0,0,0
0.076811,0,0,0,0,0,0
0.078215,0,0,0,0,0,0
0.079565,0,0,0,0,0,0
0.080965,0,0,0,0,0,0
0.082318,0,0,0,0,0,0
0.083677,0,0,0,0,0,0
0.085028,0,0,0,0,0,0
0.086438,0,0,0,0,0,0
0.087791,0,0,0,0,0,0
0.089303,0,0,0,0,0,0
0.090725,0,0,0,0,0,0
0.092148,0,0,0,0,0,0
0.093645,0,0,0,0,0,0
0.095067,0,0,0,0,0,0
0.096477,0,0,0,0,0,0
0.097876,0,0,0,0,0,0
0.099276,0,0,0,0,0,0
0.100526,0,0,0,0,0,0
0.103186,0,0,0,0,0,0
0.104491,0,0,0,0,0,0
0.106930,0,0,0,0,0,0
0.108181,0,0,0,0,0,0
0.109431,0,0,0,0,0,0
0.110788,0,0,0,0,0,0
0.112039,0,0,0,0,0,0
0.113289,0,0,0,0,0,0
0.114542,0,0,0,0,0,0
0.115986,0,0,0,0,0,0
0.117201,0,0,0,0,0,0
0.118655,0,0,0,0,0,0
0.120075,0,0,0,0,0,0
0.121496,0,0,0,0,0,0
0.122901,0,0,0,0,0,0
0.124235,0,0,0,0,0,0
0.125587,0,0,0,0,0,0
0.126915,0,0,0,0,0,0
0.128248,0,0,0,0,0,0
0.129577,0,0,0,0,0,0
0.130906,0,0,0,0,0,0
0.132352,0,0,0,0,0,0
0.133683,0,0,0,0,0,0
0.135012,0,0,0,0,0,0
0.136341,0,0,0,0,0,0
0.137784,0,0,0,0,0,0
0.139144,0,0,0,0,0,0
0.140478,0,0,0,0,0,0
0.143859,0,0,0,0,0,0
0.145211,0,0,0,0,0,0
0.146554,0,0,0,0,0,0
0.147888,0,0,0,0,0,0
0.149230,0,0,0,0,0,0
0.150564,0,0,0,0,0,0
0.151898,0,0,0,0,0,0
0.153232,0,0,0,0,0,0
0.154596,0,0,0,0,0,0
0.155987,0,0,0,0,0,0
0.157377,0,0,0,0,0,0
0.158877,0,0,0,0,0,0
0.160263,0,0,0,0,0,0
0.161619,0,0,0,0,0,0
0.162971,0,0,0,0,0,0
0.164320,0,0,0,0,0,0
0.165671,0,0,0,0,0,0
0.167020,0,0,0,0,0,0
0.168370,0,0,0,0,0,0
0.169720,0,0,0,0,0,0
0.171160,0,0,0,0,0,0
0.172559,0,0,0,0,0,0
0.173957,0,0,0,0,0,0
0.175355,0,0,0,0,0,0
0.176752,0,0,0,0,0,0
0.178150,0,0,0,0,0,0
0.179546,0,0,0,0,0,0
0.181070,0,0,0,0,0,0
0.182522,0,0,0,0,0,0
0.183927,0,0,0,0,0,0
0.185325,0,0,0,0,0,0
0.186770,0,0,0,0,0,0
0.188168,0,0,0,0,0,0
0.189567,0,0,0,0,0,0
0.191093,0,0,0,0,0,0
0.192540,0,0,0,0,0,0
0.193949,0,0,0,0,0,0
0.195350,0,0,0,0,0,0
0.196748,0,0,0,0,0,0
0.198148,0,0,0,0,0,0
0.199546,0,0,0,0,0,0
0.200942,0,0,0,0,0,0
0.202512,0,0,0,0,0,0
0.203960,0,0,0,0,0,0
0.205490,0,0,0,0,0,0
0.207055,0,0,0,0,0,0
0.208614,0,0,0,0,0,0
0.210176,0,0,0,0,0,0
0.211737,0,0,0,0,0,0
0.213296,0,0,0,0,0,0
0.214874,0,0,0,0,0,0
0.216432,0,0,0,0,0,0
0.218140,0,0,0,0,0,0
0.219574,0,0,0,0,0,0
0.220977,0,0,0,0,0,0
0.222378,0,0,0,0,0,0
0.223777,0,0,0,0,0,0
0.225186,0,0,0,0,0,0
0.226572,0,0,0,0,0,0
0.228096,0,0,0,0,0,0
0.229658,0,0,0,0,0,0
0.231218,0,0,0,0,0,0
0.232777,0,0,0,0,0,0
0.234384,0,0,0,0,0,0
0.235959,0,0,0,0,0,0
0.237518,0,0,0,0,0,0
0.239040,0,0,0,0,0,0
0.240455,0,0,0,0,0,0
0.241855,0,0,0,0,0,0
0.243253,0,0,0,0,0,0
0.244651,0,0,0,0,0,0
0.246062,0,0,0,0,0,0
0.247454,0,0,0,0,0,0
0.248844,0,0,0,0,0,0
0.250281,0,0,0,0,0,0
0.251819,0,0,0,0,0,0
0.253376,0,0,0,0,0,0
0.254941,0,0,0,0,0,0
0.256513,0,0,0,0,0,0
0.258076,0,0,0,0,0,0
0.259638,0,0,0,0,0,0
0.261194,0,0,0,0,0,0
0.262627,0,0,0,0,0,0
0.264155,0,0,0,0,0,0
0.265717,0,0,0,0,0,0
0.267336,0,0,0,0,0,0
0.268895,0,0,0,0,0,0
0.270455,0,0,0,0,0,0
0.272015,0,0,0,0,0,0
0.273630,0,0,0,0,0,0
0.275188,0,0,0,0,0,0
0.276747,0,0,0,0,0,0
0.278320,0,0,0,0,0,0
0.279872,0,0,0,0,0,0
0.281424,0,0,0,0,0,0
0.282995,0,0,0,0,0,0
0.284594,0,0,0,0,0,0
0.286154,0,0,0,0,0,0
0.287713,0,0,0,0,0,0
0.289160,0,0,0,0,0,0
0.290691,0,0,0,0,0,0
0.292251,0,0,0,0,0,0
0.293811,0,0,0,0,0,0
0.295548,0,0,0,0,0,0
0.296989,0,0,0,0,0,0
0.298432,0,0,0,0,0,0
0.299961,0,0,0,0,0,0
0.301512,0,0,0,0,0,0
0.302977,0,0,0,0,0,0
0.304399,0,0,0,0,0,0
0.305958,0,0,0,0,0,0
0.307521,0,0,0,0,0,0
0.309080,0,0,0,0,0,0
0.310653,0,0,0,0,0,0
0.312214,0,0,0,0,0,0
0.313777,0,0,0,0,0,0
0.315340,0,0,0,0,0,0
0.316900,0,0,0,0,0,0
0.318461,0,0,0,0,0,0
0.320023,0,0,0,0,0,0
0.321600,0,0,0,0,0,0
0.323162,0,0,0,0,0,0
0.324721,0,0,0,0,0,0
0.326285,0,0,0,0,0,0
0.327847,0,0,0,0,0,0
0.329406,0,0,0,0,0,0
0.330973,0,0,0,0,0,0
0.332547,0,0,0,0,0,0
0.334110,0,0,0,0,0,0
0.335672,0,0,0,0,0,0
0.337231,0,0,0,0,0,0
0.338853,0,0,0,0,0,0
0.340413,0,0,0,0,0,0
0.341975,0,0,0,0,0,0
0.343549,0,0,0,0,0,0
0.345109,0,0,0,0,0,0
0.346714,0,0,0,0,0,0
0.348276,0,0,0,0,0,0
0.349839,0,0,0,0,0,0
0.351390,0,0,0,0,0,0
0.352940,0,0,0,0,0,0
0.354384,0,0,0,0,0,0
0.355915,0,0,0,0,0,0
0.357474,0,0,0,0,0,0
0.359039,0,0,0,0,0,0
0.360597,0,0,0,0,0,0
0.362203,0,0,0,0,0,0
0.363763,0,0,0,0,0,0
0.365336,0,0,0,0,0,0
0.366901,0,0,0,0,0,0
0.368459,0,0,0,0,0,0
0.370021,0,0,0,0,0,0
0.371582,0,0,0,0,0,0
0.373140,0,0,0,0,0,0
0.374700,0,0,0,0,0,0
0.376273,0,0,0,0,0,0
0.377835,0,0,0,0,0,0
