elapsed_s,HLSQ_BV_SP_HCTX_ACTIVE_CNT,HLSQ_VS_SP_HCTX_ACTIVE_CYC,HLSQ_FS_SP_HCTX_ACTIVE_CYC,HLSQ_BV_SP_HCTX_ACTIVE_CYC,HLSQ_VS_SP_CCTX_ACTIVE_CNT,HLSQ_FS_SP_CCTX_ACTIVE_CNT
0.001093,0,0,0,0,0,0
0.002567,0,0,0,0,0,0
0.004015,0,0,0,0,0,0
0.005450,0,0,0,0,0,0
0.007303,0,0,0,0,0,0
0.009254,0,0,0,0,0,0
0.010701,0,0,0,0,0,0
0.012186,0,0,0,0,0,0
0.013624,0,0,0,0,0,0
0.015063,0,0,0,0,0,0
0.016683,0,0,0,0,0,0
0.018090,0,0,0,0,0,0
0.019502,0,0,0,0,0,0
0.020895,0,0,0,0,0,0
0.022285,0,0,0,0,0,0
0.023677,0,0,0,0,0,0
0.025066,0,0,0,0,0,0
0.026455,0,0,0,0,0,0
0.027863,0,0,0,0,0,0
0.029304,0,0,0,0,0,0
0.030750,0,0,0,0,0,0
0.032185,0,0,0,0,0,0
0.033630,0,0,0,0,0,0
0.035080,0,0,0,0,0,0
0.036495,0,0,0,0,0,0
0.037925,0,0,0,0,0,0
0.039448,0,0,0,0,0,0
0.040891,0,0,0,0,0,0
0.042324,0,0,0,0,0,0
0.043750,0,0,0,0,0,0
0.045159,0,0,0,0,0,0
0.046567,0,0,0,0,0,0
0.047975,0,0,0,0,0,0
0.049386,0,0,0,0,0,0
0.050794,0,0,0,0,0,0
0.052301,0,0,0,0,0,0
0.053711,0,0,0,0,0,0
0.055123,0,0,0,0,0,0
0.056589,0,0,0,0,0,0
0.057998,0,0,0,0,0,0
0.059564,0,0,0,0,0,0
0.060925,0,0,0,0,0,0
0.062288,0,0,0,0,0,0
0.063641,0,0,0,0,0,0
0.064994,0,0,0,0,0,0
0.066460,0,0,0,0,0,0
0.067814,0,0,0,0,0,0
0.069168,0,0,0,0,0,0
0.070520,0,0,0,0,0,0
0.071880,0,0,0,0,0,0
0.073245,0,0,0,0,0,0
0.074620,0,0,0,0,0,0
0.076013,0,0,0,0,0,0
0.077432,0,0,0,0,0,0
0.078926,0,0,0,0,0,0
0.080421,0,0,0,0,0,0
0.081836,0,0,0,0,0,0
0.083197,0,0,0,0,0,0
0.084622,0,0,0,0,0,0
0.085980,0,0,0,0,0,0
0.087385,0,0,0,0,0,0
0.088760,0,0,0,0,0,0
0.090118,0,0,0,0,0,0
0.091477,0,0,0,0,0,0
0.092912,0,0,0,0,0,0
0.094318,0,0,0,0,0,0
0.095729,0,0,0,0,0,0
0.097125,0,0,0,0,0,0
0.098520,0,0,0,0,0,0
0.099928,0,0,0,0,0,0
0.101179,0,0,0,0,0,0
0.102429,0,0,0,0,0,0
0.104838,0,0,0,0,0,0
0.106089,0,0,0,0,0,0
0.108469,0,0,0,0,0,0
0.109789,0,0,0,0,0,0
0.111038,0,0,0,0,0,0
0.112384,0,0,0,0,0,0
0.113638,0,0,0,0,0,0
0.114892,0,0,0,0,0,0
0.116149,0,0,0,0,0,0
0.117383,0,0,0,0,0,0
0.118812,0,0,0,0,0,0
0.120242,0,0,0,0,0,0
0.121665,0,0,0,0,0,0
0.123088,0,0,0,0,0,0
0.124435,0,0,0,0,0,0
0.125724,0,0,0,0,0,0
0.127007,0,0,0,0,0,0
0.128316,0,0,0,0,0,0
0.129651,0,0,0,0,0,0
0.130981,0,0,0,0,0,0
0.132324,0,0,0,0,0,0
0.133653,0,0,0,0,0,0
0.134981,0,0,0,0,0,0
0.136410,0,0,0,0,0,0
0.137739,0,0,0,0,0,0
0.139075,0,0,0,0,0,0
0.140414,0,0,0,0,0,0
0.141748,0,0,0,0,0,0
0.143082,0,0,0,0,0,0
0.144488,0,0,0,0,0,0
0.145828,0,0,0,0,0,0
0.147176,0,0,0,0,0,0
0.148512,0,0,0,0,0,0
0.149851,0,0,0,0,0,0
0.151188,0,0,0,0,0,0
0.152522,0,0,0,0,0,0
0.153854,0,0,0,0,0,0
0.155172,0,0,0,0,0,0
0.156537,0,0,0,0,0,0
0.157927,0,0,0,0,0,0
0.159428,0,0,0,0,0,0
0.160895,0,0,0,0,0,0
0.162289,0,0,0,0,0,0
0.163685,0,0,0,0,0,0
0.165080,0,0,0,0,0,0
0.166475,0,0,0,0,0,0
0.167871,0,0,0,0,0,0
0.169393,0,0,0,0,0,0
0.170950,0,0,0,0,0,0
0.172402,0,0,0,0,0,0
0.173931,0,0,0,0,0,0
0.175491,0,0,0,0,0,0
0.177049,0,0,0,0,0,0
0.178608,0,0,0,0,0,0
0.180166,0,0,0,0,0,0
0.181724,0,0,0,0,0,0
0.183295,0,0,0,0,0,0
0.184851,0,0,0,0,0,0
0.186407,0,0,0,0,0,0
0.187909,0,0,0,0,0,0
0.189313,0,0,0,0,0,0
0.190837,0,0,0,0,0,0
0.192493,0,0,0,0,0,0
0.194063,0,0,0,0,0,0
0.195625,0,0,0,0,0,0
0.197185,0,0,0,0,0,0
0.198743,0,0,0,0,0,0
0.200302,0,0,0,0,0,0
0.201856,0,0,0,0,0,0
0.203341,0,0,0,0,0,0
0.204762,0,0,0,0,0,0
0.206284,0,0,0,0,0,0
0.207716,0,0,0,0,0,0
0.209247,0,0,0,0,0,0
0.210806,0,0,0,0,0,0
0.212420,0,0,0,0,0,0
0.213978,0,0,0,0,0,0
0.215554,0,0,0,0,0,0
0.217116,0,0,0,0,0,0
0.218676,0,0,0,0,0,0
0.220280,0,0,0,0,0,0
0.221842,0,0,0,0,0,0
0.223405,0,0,0,0,0,0
0.224966,0,0,0,0,0,0
0.226540,0,0,0,0,0,0
0.227978,0,0,0,0,0,0
0.229509,0,0,0,0,0,0
0.231069,0,0,0,0,0,0
0.232634,0,0,0,0,0,0
0.234195,0,0,0,0,0,0
0.235800,0,0,0,0,0,0
0.237252,0,0,0,0,0,0
0.238783,0,0,0,0,0,0
0.240400,0,0,0,0,0,0
0.241962,0,0,0,0,0,0
0.243525,0,0,0,0,0,0
0.245086,0,0,0,0,0,0
0.246646,0,0,0,0,0,0
0.248220,0,0,0,0,0,0
0.249852,0,0,0,0,0,0
0.251415,0,0,0,0,0,0
0.253022,0,0,0,0,0,0
0.254582,0,0,0,0,0,0
0.256143,0,0,0,0,0,0
0.257705,0,0,0,0,0,0
0.259282,0,0,0,0,0,0
0.260844,0,0,0,0,0,0
0.262404,0,0,0,0,0,0
0.263965,0,0,0,0,0,0
0.265519,0,0,0,0,0,0
0.267070,0,0,0,0,0,0
0.268538,0,0,0,0,0,0
0.269952,0,0,0,0,0,0
0.271481,0,0,0,0,0,0
0.273043,0,0,0,0,0,0
0.274603,0,0,0,0,0,0
0.276164,0,0,0,0,0,0
0.277726,0,0,0,0,0,0
0.279288,0,0,0,0,0,0
0.280863,0,0,0,0,0,0
0.282421,0,0,0,0,0,0
0.284027,0,0,0,0,0,0
0.285588,0,0,0,0,0,0
0.287215,0,0,0,0,0,0
0.288885,0,0,0,0,0,0
0.290445,0,0,0,0,0,0
0.292018,0,0,0,0,0,0
0.293580,0,0,0,0,0,0
