elapsed_s,TSE_BE_INPUT_NULL_PRIM,TSE_BE_TRIVAL_REJ_PRIM,TSE_BE_CLIPPED_PRIM,TSE_BE_ZERO_AREA_PRIM
0.001093,0,0,0,0
0.002539,0,0,0,0
0.003990,0,0,0,0
0.005408,0,0,0,0
0.006824,0,0,0,0
0.008393,0,0,0,0
0.009796,0,0,0,0
0.011188,0,0,0,0
0.012580,0,0,0,0
0.013971,0,0,0,0
0.015421,0,0,0,0
0.016785,0,0,0,0
0.018119,0,0,0,0
0.019500,0,0,0,0
0.020843,0,0,0,0
0.022175,0,0,0,0
0.023597,0,0,0,0
0.024889,0,0,0,0
0.026179,0,0,0,0
0.027518,0,0,0,0
0.028809,0,0,0,0
0.030099,0,0,0,0
0.031461,0,0,0,0
0.032716,0,0,0,0
0.033971,0,0,0,0
0.035250,0,0,0,0
0.036583,0,0,0,0
0.037920,0,0,0,0
0.039258,0,0,0,0
0.040901,0,0,0,0
0.042325,0,0,0,0
0.043712,0,0,0,0
0.045098,0,0,0,0
0.046488,0,0,0,0
0.047882,0,0,0,0
0.049408,0,0,0,0
0.050810,0,0,0,0
0.052244,0,0,0,0
0.053644,0,0,0,0
0.055066,0,0,0,0
0.057978,0,0,0,0
0.059367,0,0,0,0
0.060755,0,0,0,0
0.062014,0,0,0,0
0.063535,0,0,0,0
0.065051,0,0,0,0
0.066402,0,0,0,0
0.067750,0,0,0,0
0.069095,0,0,0,0
0.070437,0,0,0,0
0.072620,0,0,0,0
0.074291,0,0,0,0
0.075534,0,0,0,0
0.076775,0,0,0,0
0.078013,0,0,0,0
0.079481,0,0,0,0
0.080756,0,0,0,0
0.081995,0,0,0,0
0.084878,0,0,0,0
0.086190,0,0,0,0
0.087433,0,0,0,0
0.088676,0,0,0,0
0.089919,0,0,0,0
0.091160,0,0,0,0
0.092539,0,0,0,0
0.093947,0,0,0,0
0.095394,0,0,0,0
0.096733,0,0,0,0
0.098065,0,0,0,0
0.099443,0,0,0,0
0.100778,0,0,0,0
0.102124,0,0,0,0
0.103556,0,0,0,0
0.104865,0,0,0,0
0.106172,0,0,0,0
0.107527,0,0,0,0
0.108835,0,0,0,0
0.110142,0,0,0,0
0.111532,0,0,0,0
0.112881,0,0,0,0
0.114172,0,0,0,0
0.115525,0,0,0,0
0.116877,0,0,0,0
0.118226,0,0,0,0
0.119566,0,0,0,0
0.120891,0,0,0,0
0.122215,0,0,0,0
0.123707,0,0,0,0
0.125033,0,0,0,0
0.126357,0,0,0,0
0.127709,0,0,0,0
0.129026,0,0,0,0
0.130455,0,0,0,0
0.131883,0,0,0,0
0.133313,0,0,0,0
0.134751,0,0,0,0
0.136163,0,0,0,0
0.137549,0,0,0,0
0.138988,0,0,0,0
0.142179,0,0,0,0
0.143708,0,0,0,0
0.145118,0,0,0,0
0.146463,0,0,0,0
0.147807,0,0,0,0
0.149148,0,0,0,0
0.150486,0,0,0,0
0.151840,0,0,0,0
0.153222,0,0,0,0
0.154602,0,0,0,0
0.155995,0,0,0,0
0.157382,0,0,0,0
0.158769,0,0,0,0
0.160192,0,0,0,0
0.161578,0,0,0,0
0.162966,0,0,0,0
0.164351,0,0,0,0
0.165865,0,0,0,0
0.167309,0,0,0,0
0.168704,0,0,0,0
0.170093,0,0,0,0
0.171483,0,0,0,0
0.172870,0,0,0,0
0.174256,0,0,0,0
0.175680,0,0,0,0
0.177210,0,0,0,0
0.178772,0,0,0,0
0.180292,0,0,0,0
0.181686,0,0,0,0
0.183077,0,0,0,0
0.184507,0,0,0,0
0.185891,0,0,0,0
