elapsed_s,TSE_BE_FACENESS_CULLED_PRIM,TSE_BE_ZERO_PIXEL_PRIM,TSE_BE_OUTPUT_NULL_PRIM,TSE_BE_OUTPUT_VISIBLE_PRIM
0.001101,0,0,0,0
0.002676,0,0,0,0
0.004160,0,0,0,0
0.005642,0,0,0,0
0.007136,0,0,0,0
0.008621,0,0,0,0
0.010209,0,0,0,0
0.011666,0,0,0,0
0.013122,0,0,0,0
0.014580,0,0,0,0
0.016094,0,0,0,0
0.017550,0,0,0,0
0.019061,0,0,0,0
0.020486,0,0,0,0
0.021946,0,0,0,0
0.023415,0,0,0,0
0.024861,0,0,0,0
0.026348,0,0,0,0
0.027706,0,0,0,0
0.029061,0,0,0,0
0.030456,0,0,0,0
0.031824,0,0,0,0
0.033190,0,0,0,0
0.034570,0,0,0,0
0.035935,0,0,0,0
0.037300,0,0,0,0
0.038728,0,0,0,0
0.040072,0,0,0,0
0.041413,0,0,0,0
0.043009,0,0,0,0
0.044433,0,0,0,0
0.047603,0,0,0,0
0.049008,0,0,0,0
0.050561,0,0,0,0
0.051995,0,0,0,0
0.053388,0,0,0,0
0.054845,0,0,0,0
0.056188,0,0,0,0
0.057527,0,0,0,0
0.058884,0,0,0,0
0.060359,0,0,0,0
0.061790,0,0,0,0
0.063212,0,0,0,0
0.064615,0,0,0,0
0.065999,0,0,0,0
0.067426,0,0,0,0
0.068810,0,0,0,0
0.072608,0,0,0,0
0.076336,0,0,0,0
0.077578,0,0,0,0
0.078828,0,0,0,0
0.080067,0,0,0,0
0.081305,0,0,0,0
0.082546,0,0,0,0
0.083786,0,0,0,0
0.085025,0,0,0,0
0.086270,0,0,0,0
0.087656,0,0,0,0
0.089068,0,0,0,0
0.090716,0,0,0,0
0.092106,0,0,0,0
0.093493,0,0,0,0
0.094878,0,0,0,0
0.096272,0,0,0,0
0.097666,0,0,0,0
0.099084,0,0,0,0
0.100464,0,0,0,0
0.105753,0,0,0,0
0.107139,0,0,0,0
0.108520,0,0,0,0
0.109932,0,0,0,0
0.111314,0,0,0,0
0.112658,0,0,0,0
0.114000,0,0,0,0
0.115401,0,0,0,0
0.116781,0,0,0,0
0.118162,0,0,0,0
0.119542,0,0,0,0
0.120931,0,0,0,0
0.122346,0,0,0,0
0.123824,0,0,0,0
0.125204,0,0,0,0
0.126586,0,0,0,0
0.127974,0,0,0,0
0.129488,0,0,0,0
0.131043,0,0,0,0
0.132482,0,0,0,0
0.133879,0,0,0,0
0.135264,0,0,0,0
0.136645,0,0,0,0
0.138028,0,0,0,0
0.139415,0,0,0,0
0.140800,0,0,0,0
0.142314,0,0,0,0
0.143754,0,0,0,0
0.145146,0,0,0,0
0.146578,0,0,0,0
0.147966,0,0,0,0
0.149352,0,0,0,0
0.150809,0,0,0,0
0.152322,0,0,0,0
0.153887,0,0,0,0
0.155479,0,0,0,0
0.156919,0,0,0,0
0.159364,0,0,0,0
0.160980,0,0,0,0
0.162492,0,0,0,0
0.163902,0,0,0,0
0.165247,0,0,0,0
0.166591,0,0,0,0
0.167931,0,0,0,0
0.169270,0,0,0,0
0.170820,0,0,0,0
0.172427,0,0,0,0
0.173911,0,0,0,0
0.175310,0,0,0,0
0.176692,0,0,0,0
0.178111,0,0,0,0
0.180230,0,0,0,0
0.181626,0,0,0,0
0.183111,0,0,0,0
0.184562,0,0,0,0
0.186289,0,0,0,0
0.187680,0,0,0,0
0.189060,0,0,0,0
0.190441,0,0,0,0
0.191821,0,0,0,0
0.193210,0,0,0,0
0.194628,0,0,0,0
0.196152,0,0,0,0
0.197574,0,0,0,0
0.199096,0,0,0,0
0.200646,0,0,0,0
0.202242,0,0,0,0
0.203793,0,0,0,0
0.205342,0,0,0,0
0.206969,0,0,0,0
0.208518,0,0,0,0
0.210114,0,0,0,0
0.211666,0,0,0,0
0.213214,0,0,0,0
0.214766,0,0,0,0
0.216317,0,0,0,0
0.217760,0,0,0,0
0.219281,0,0,0,0
0.220831,0,0,0,0
0.222383,0,0,0,0
0.223933,0,0,0,0
0.225482,0,0,0,0
0.227061,0,0,0,0
0.228624,0,0,0,0
0.230175,0,0,0,0
0.231725,0,0,0,0
0.233275,0,0,0,0
0.234869,0,0,0,0
0.236420,0,0,0,0
0.237973,0,0,0,0
0.239539,0,0,0,0
0.241088,0,0,0,0
0.242681,0,0,0,0
0.244232,0,0,0,0
0.245783,0,0,0,0
0.247333,0,0,0,0
0.248882,0,0,0,0
0.250492,0,0,0,0
0.251921,0,0,0,0
0.253445,0,0,0,0
0.255001,0,0,0,0
0.256551,0,0,0,0
0.258147,0,0,0,0
0.259699,0,0,0,0
0.261264,0,0,0,0
0.262816,0,0,0,0
0.264370,0,0,0,0
0.265923,0,0,0,0
0.267520,0,0,0,0
0.269070,0,0,0,0
0.270620,0,0,0,0
0.272186,0,0,0,0
0.273739,0,0,0,0
0.275290,0,0,0,0
0.276840,0,0,0,0
0.278394,0,0,0,0
0.279946,0,0,0,0
0.281497,0,0,0,0
0.283027,0,0,0,0
0.284550,0,0,0,0
0.286104,0,0,0,0
0.287646,0,0,0,0
0.289187,0,0,0,0
0.290649,0,0,0,0
0.292170,0,0,0,0
0.293737,0,0,0,0
0.295289,0,0,0,0
0.296840,0,0,0,0
0.298437,0,0,0,0
0.299989,0,0,0,0
0.301540,0,0,0,0
0.303098,0,0,0,0
0.304663,0,0,0,0
0.306261,0,0,0,0
0.307812,0,0,0,0
0.309362,0,0,0,0
0.311004,0,0,0,0
0.312554,0,0,0,0
0.314151,0,0,0,0
0.315717,0,0,0,0
0.317266,0,0,0,0
0.318818,0,0,0,0
0.320369,0,0,0,0
0.321923,0,0,0,0
0.323522,0,0,0,0
0.325072,0,0,0,0
0.326638,0,0,0,0
0.328190,0,0,0,0
0.329743,0,0,0,0
0.331295,0,0,0,0
0.332846,0,0,0,0
0.334400,0,0,0,0
0.335951,0,0,0,0
0.337515,0,0,0,0
0.339074,0,0,0,0
0.340624,0,0,0,0
0.342177,0,0,0,0
0.343728,0,0,0,0
0.345279,0,0,0,0
0.346875,0,0,0,0
0.348441,0,0,0,0
0.349994,0,0,0,0
0.351546,0,0,0,0
0.353097,0,0,0,0
0.354691,0,0,0,0
0.356243,0,0,0,0
0.357796,0,0,0,0
0.359362,0,0,0,0
0.360912,0,0,0,0
0.362509,0,0,0,0
0.364061,0,0,0,0
0.365611,0,0,0,0
0.367027,0,0,0,0
0.368420,0,0,0,0
0.369995,0,0,0,0
0.371593,0,0,0,0
0.373143,0,0,0,0
0.374695,0,0,0,0
0.376246,0,0,0,0
0.377799,0,0,0,0
0.379396,0,0,0,0
0.380959,0,0,0,0
0.382513,0,0,0,0
0.384065,0,0,0,0
0.385496,0,0,0,0
0.387101,0,0,0,0
0.388651,0,0,0,0
0.390205,0,0,0,0
0.391762,0,0,0,0
0.394208,0,0,0,0
0.395704,0,0,0,0
0.397121,0,0,0,0
0.398509,0,0,0,0
0.399891,0,0,0,0
0.401272,0,0,0,0
0.402709,0,0,0,0
0.404093,0,0,0,0
0.405473,0,0,0,0
0.406980,0,0,0,0
0.408520,0,0,0,0
0.409937,0,0,0,0
0.411491,0,0,0,0
0.413044,0,0,0,0
0.414460,0,0,0,0
0.415973,0,0,0,0
0.417513,0,0,0,0
0.418993,0,0,0,0
0.420378,0,0,0,0
0.421898,0,0,0,0
0.423462,0,0,0,0
0.425007,0,0,0,0
0.426600,0,0,0,0
0.428149,0,0,0,0
0.429699,0,0,0,0
0.431248,0,0,0,0
0.432795,0,0,0,0
0.434404,0,0,0,0
0.435953,0,0,0,0
0.437501,0,0,0,0
0.439075,0,0,0,0
0.440622,0,0,0,0
0.442217,0,0,0,0
0.443767,0,0,0,0
0.445328,0,0,0,0
0.446824,0,0,0,0
0.448343,0,0,0,0
0.449893,0,0,0,0
0.451493,0,0,0,0
0.453016,0,0,0,0
0.454419,0,0,0,0
0.455950,0,0,0,0
0.457498,0,0,0,0
0.459070,0,0,0,0
0.460619,0,0,0,0
0.462170,0,0,0,0
0.463720,0,0,0,0
0.465269,0,0,0,0
0.466747,0,0,0,0
0.468269,0,0,0,0
0.469821,0,0,0,0
0.471371,0,0,0,0
0.472920,0,0,0,0
0.474515,0,0,0,0
0.476067,0,0,0,0
0.477630,0,0,0,0
0.479222,0,0,0,0
0.480770,0,0,0,0
0.482365,0,0,0,0
0.483917,0,0,0,0
0.485466,0,0,0,0
0.487020,0,0,0,0
0.488582,0,0,0,0
0.490177,0,0,0,0
0.491727,0,0,0,0
0.493275,0,0,0,0
0.494825,0,0,0,0
0.496375,0,0,0,0
0.497927,0,0,0,0
0.499536,0,0,0,0
0.501085,0,0,0,0
0.502635,0,0,0,0
0.504185,0,0,0,0
0.505737,0,0,0,0
0.507288,0,0,0,0
0.508835,0,0,0,0
0.510400,0,0,0,0
0.511950,0,0,0,0
0.513499,0,0,0,0
0.515119,0,0,0,0
0.516512,0,0,0,0
0.518031,0,0,0,0
0.519571,0,0,0,0
0.521123,0,0,0,0
0.522582,0,0,0,0
0.524138,0,0,0,0
0.525688,0,0,0,0
0.527237,0,0,0,0
0.528785,0,0,0,0
0.530380,0,0,0,0
0.531944,0,0,0,0
0.533492,0,0,0,0
0.535066,0,0,0,0
0.536614,0,0,0,0
0.538209,0,0,0,0
0.539759,0,0,0,0
0.541307,0,0,0,0
0.542807,0,0,0,0
0.544330,0,0,0,0
