elapsed_s,TSE_BE_CINVOCATION,TSE_BE_CPRIMITIVES,TSE_BE_2D_INPUT_PRIM,TSE_BE_2D_ALIVE_CYCLES
0.001097,0,0,0,0
0.002601,0,0,0,0
0.004023,0,0,0,0
0.005441,0,0,0,0
0.006856,0,0,0,0
0.008272,0,0,0,0
0.009686,0,0,0,0
0.011283,0,0,0,0
0.012675,0,0,0,0
0.014072,0,0,0,0
0.015592,0,0,0,0
0.017022,0,0,0,0
0.018459,0,0,0,0
0.019806,0,0,0,0
0.021169,0,0,0,0
0.022569,0,0,0,0
0.023913,0,0,0,0
0.025255,0,0,0,0
0.026694,0,0,0,0
0.027988,0,0,0,0
0.029276,0,0,0,0
0.030723,0,0,0,0
0.032033,0,0,0,0
0.033418,0,0,0,0
0.034840,0,0,0,0
0.036262,0,0,0,0
0.037517,0,0,0,0
0.038844,0,0,0,0
0.040178,0,0,0,0
0.041514,0,0,0,0
0.042882,0,0,0,0
0.044310,0,0,0,0
0.045705,0,0,0,0
0.047233,0,0,0,0
0.048660,0,0,0,0
0.050125,0,0,0,0
0.051748,0,0,0,0
0.053164,0,0,0,0
0.054990,0,0,0,0
0.056813,0,0,0,0
0.058203,0,0,0,0
0.059565,0,0,0,0
0.060954,0,0,0,0
0.062442,0,0,0,0
0.063938,0,0,0,0
0.065319,0,0,0,0
0.066742,0,0,0,0
0.068127,0,0,0,0
0.069511,0,0,0,0
0.070750,0,0,0,0
0.071987,0,0,0,0
0.073225,0,0,0,0
0.074510,0,0,0,0
0.075749,0,0,0,0
0.076987,0,0,0,0
0.078255,0,0,0,0
0.079516,0,0,0,0
0.080763,0,0,0,0
0.082009,0,0,0,0
0.083743,0,0,0,0
0.084987,0,0,0,0
0.086368,0,0,0,0
0.087812,0,0,0,0
0.089199,0,0,0,0
0.090634,0,0,0,0
0.092022,0,0,0,0
0.093408,0,0,0,0
0.094847,0,0,0,0
0.096237,0,0,0,0
0.097622,0,0,0,0
0.099016,0,0,0,0
0.100402,0,0,0,0
0.101818,0,0,0,0
0.106056,0,0,0,0
0.107440,0,0,0,0
0.108821,0,0,0,0
0.110349,0,0,0,0
0.111740,0,0,0,0
0.113083,0,0,0,0
0.114492,0,0,0,0
0.115872,0,0,0,0
0.117252,0,0,0,0
0.118633,0,0,0,0
0.120013,0,0,0,0
0.121401,0,0,0,0
0.122817,0,0,0,0
0.124197,0,0,0,0
0.125701,0,0,0,0
0.127277,0,0,0,0
0.128785,0,0,0,0
0.130171,0,0,0,0
0.131618,0,0,0,0
0.133004,0,0,0,0
0.134391,0,0,0,0
0.135904,0,0,0,0
0.137451,0,0,0,0
0.139044,0,0,0,0
0.140593,0,0,0,0
0.142159,0,0,0,0
0.143708,0,0,0,0
0.145257,0,0,0,0
0.146851,0,0,0,0
0.148400,0,0,0,0
0.149947,0,0,0,0
0.151543,0,0,0,0
0.153102,0,0,0,0
0.154696,0,0,0,0
0.156244,0,0,0,0
0.157793,0,0,0,0
0.159346,0,0,0,0
0.160892,0,0,0,0
0.162487,0,0,0,0
0.163926,0,0,0,0
0.165445,0,0,0,0
0.166993,0,0,0,0
0.168542,0,0,0,0
0.170092,0,0,0,0
0.171685,0,0,0,0
0.173233,0,0,0,0
0.174797,0,0,0,0
0.176346,0,0,0,0
0.177893,0,0,0,0
0.179448,0,0,0,0
0.180995,0,0,0,0
0.182546,0,0,0,0
0.184095,0,0,0,0
0.185657,0,0,0,0
0.187157,0,0,0,0
0.188674,0,0,0,0
0.190224,0,0,0,0
0.191774,0,0,0,0
0.193322,0,0,0,0
0.194916,0,0,0,0
0.196478,0,0,0,0
0.198027,0,0,0,0
0.199575,0,0,0,0
0.201173,0,0,0,0
0.202701,0,0,0,0
0.204096,0,0,0,0
0.205482,0,0,0,0
0.206884,0,0,0,0
0.208270,0,0,0,0
0.209655,0,0,0,0
0.211176,0,0,0,0
0.212726,0,0,0,0
0.214275,0,0,0,0
0.215824,0,0,0,0
0.218167,0,0,0,0
0.219772,0,0,0,0
0.221175,0,0,0,0
0.222568,0,0,0,0
0.223957,0,0,0,0
0.225344,0,0,0,0
0.226768,0,0,0,0
0.228166,0,0,0,0
0.229680,0,0,0,0
0.231179,0,0,0,0
0.232697,0,0,0,0
0.234247,0,0,0,0
0.235841,0,0,0,0
0.237389,0,0,0,0
0.238952,0,0,0,0
0.240502,0,0,0,0
0.242055,0,0,0,0
0.243605,0,0,0,0
0.245154,0,0,0,0
0.246702,0,0,0,0
0.248249,0,0,0,0
0.249808,0,0,0,0
0.251359,0,0,0,0
0.252906,0,0,0,0
0.254456,0,0,0,0
0.256005,0,0,0,0
0.257551,0,0,0,0
0.259143,0,0,0,0
0.260706,0,0,0,0
0.262256,0,0,0,0
0.263803,0,0,0,0
0.265351,0,0,0,0
0.266944,0,0,0,0
0.268492,0,0,0,0
0.270049,0,0,0,0
0.271611,0,0,0,0
0.273188,0,0,0,0
0.274784,0,0,0,0
0.276334,0,0,0,0
0.277882,0,0,0,0
0.279437,0,0,0,0
0.280996,0,0,0,0
0.282594,0,0,0,0
0.283990,0,0,0,0
0.285505,0,0,0,0
0.287053,0,0,0,0
0.288602,0,0,0,0
0.290153,0,0,0,0
0.291746,0,0,0,0
0.293307,0,0,0,0
0.294856,0,0,0,0
0.296406,0,0,0,0
0.297954,0,0,0,0
0.299365,0,0,0,0
0.300884,0,0,0,0
0.302435,0,0,0,0
0.303997,0,0,0,0
0.305545,0,0,0,0
0.307138,0,0,0,0
0.308688,0,0,0,0
0.310238,0,0,0,0
0.311787,0,0,0,0
0.313335,0,0,0,0
0.314940,0,0,0,0
0.316489,0,0,0,0
0.318039,0,0,0,0
0.319471,0,0,0,0
0.320988,0,0,0,0
0.322448,0,0,0,0
0.323960,0,0,0,0
0.325514,0,0,0,0
0.326935,0,0,0,0
0.328453,0,0,0,0
0.330068,0,0,0,0
0.331725,0,0,0,0
0.333273,0,0,0,0
0.334823,0,0,0,0
0.336385,0,0,0,0
0.337932,0,0,0,0
0.339483,0,0,0,0
0.341032,0,0,0,0
0.342583,0,0,0,0
0.344133,0,0,0,0
0.345681,0,0,0,0
0.347183,0,0,0,0
0.348576,0,0,0,0
0.349963,0,0,0,0
0.351350,0,0,0,0
0.352736,0,0,0,0
0.354123,0,0,0,0
0.355543,0,0,0,0
0.357054,0,0,0,0
0.358618,0,0,0,0
0.360167,0,0,0,0
0.361760,0,0,0,0
0.363314,0,0,0,0
0.364861,0,0,0,0
0.366412,0,0,0,0
0.367961,0,0,0,0
0.369523,0,0,0,0
0.371117,0,0,0,0
0.372668,0,0,0,0
0.374219,0,0,0,0
0.375769,0,0,0,0
0.377317,0,0,0,0
0.378910,0,0,0,0
0.380474,0,0,0,0
0.382026,0,0,0,0
0.383576,0,0,0,0
0.385124,0,0,0,0
0.386717,0,0,0,0
0.388263,0,0,0,0
0.389690,0,0,0,0
0.391293,0,0,0,0
0.392841,0,0,0,0
0.394434,0,0,0,0
0.395985,0,0,0,0
0.397534,0,0,0,0
0.399083,0,0,0,0
0.400631,0,0,0,0
0.402076,0,0,0,0
0.403602,0,0,0,0
0.405151,0,0,0,0
0.406704,0,0,0,0
0.408256,0,0,0,0
0.409806,0,0,0,0
0.411361,0,0,0,0
0.412924,0,0,0,0
0.414477,0,0,0,0
0.416027,0,0,0,0
0.417575,0,0,0,0
0.419169,0,0,0,0
0.420720,0,0,0,0
0.422271,0,0,0,0
0.423836,0,0,0,0
0.425384,0,0,0,0
0.426977,0,0,0,0
0.428527,0,0,0,0
0.430078,0,0,0,0
0.431627,0,0,0,0
0.433176,0,0,0,0
0.434784,0,0,0,0
0.436335,0,0,0,0
0.437884,0,0,0,0
0.439439,0,0,0,0
0.440987,0,0,0,0
0.442581,0,0,0,0
0.444132,0,0,0,0
0.445693,0,0,0,0
0.447329,0,0,0,0
0.448878,0,0,0,0
0.450475,0,0,0,0
0.452025,0,0,0,0
0.453573,0,0,0,0
0.455124,0,0,0,0
0.456688,0,0,0,0
0.458238,0,0,0,0
0.459832,0,0,0,0
0.461380,0,0,0,0
0.462930,0,0,0,0
0.464481,0,0,0,0
0.466032,0,0,0,0
0.467636,0,0,0,0
0.469184,0,0,0,0
0.470737,0,0,0,0
0.472286,0,0,0,0
0.473834,0,0,0,0
0.475390,0,0,0,0
0.476938,0,0,0,0
0.478503,0,0,0,0
0.480053,0,0,0,0
0.481603,0,0,0,0
0.483196,0,0,0,0
0.484747,0,0,0,0
0.486299,0,0,0,0
0.487849,0,0,0,0
0.489411,0,0,0,0
0.491003,0,0,0,0
0.492552,0,0,0,0
0.494108,0,0,0,0
0.495659,0,0,0,0
0.497207,0,0,0,0
0.498804,0,0,0,0
0.500368,0,0,0,0
0.501917,0,0,0,0
0.503473,0,0,0,0
0.505022,0,0,0,0
0.506617,0,0,0,0
0.508167,0,0,0,0
0.509717,0,0,0,0
0.511281,0,0,0,0
0.512822,0,0,0,0
0.514241,0,0,0,0
0.515865,0,0,0,0
0.517415,0,0,0,0
0.518966,0,0,0,0
0.520516,0,0,0,0
0.522082,0,0,0,0
0.523675,0,0,0,0
0.525224,0,0,0,0
0.526775,0,0,0,0
0.528325,0,0,0,0
0.529871,0,0,0,0
0.531427,0,0,0,0
0.532987,0,0,0,0
0.534538,0,0,0,0
0.536087,0,0,0,0
0.537633,0,0,0,0
0.539098,0,0,0,0
0.540617,0,0,0,0
0.542167,0,0,0,0
0.543729,0,0,0,0
0.545277,0,0,0,0
0.546872,0,0,0,0
0.548421,0,0,0,0
0.549970,0,0,0,0
0.551541,0,0,0,0
0.553089,0,0,0,0
0.554695,0,0,0,0
0.556245,0,0,0,0
0.557793,0,0,0,0
0.559345,0,0,0,0
0.560894,0,0,0,0
0.562488,0,0,0,0
0.564037,0,0,0,0
0.565597,0,0,0,0
0.567148,0,0,0,0
0.568697,0,0,0,0
0.570248,0,0,0,0
0.571842,0,0,0,0
0.573390,0,0,0,0
0.574939,0,0,0,0
0.576501,0,0,0,0
0.578051,0,0,0,0
0.579600,0,0,0,0
0.581148,0,0,0,0
0.582585,0,0,0,0
0.584007,0,0,0,0
