elapsed_s,TSE_BE_CLIP_PLANES,TSE_BE_EMPTY_BBOX_KILLED_PRIM,TSE_BE_ST1_VP_PARAMS_CACHE_MISS,TSE_BE_ST2_VPORT_VP_PARAMS_CACHE_MISS
0.001098,0,0,0,0
0.002549,0,0,0,0
0.004105,0,0,0,0
0.005523,0,0,0,0
0.006937,0,0,0,0
0.008352,0,0,0,0
0.009780,0,0,0,0
0.011258,0,0,0,0
0.012653,0,0,0,0
0.014046,0,0,0,0
0.015437,0,0,0,0
0.016871,0,0,0,0
0.018242,0,0,0,0
0.019695,0,0,0,0
0.021097,0,0,0,0
0.022464,0,0,0,0
0.023925,0,0,0,0
0.025298,0,0,0,0
0.026669,0,0,0,0
0.028020,0,0,0,0
0.029372,0,0,0,0
0.030903,0,0,0,0
0.032305,0,0,0,0
0.033657,0,0,0,0
0.035006,0,0,0,0
0.036368,0,0,0,0
0.037659,0,0,0,0
0.038995,0,0,0,0
0.040361,0,0,0,0
0.041621,0,0,0,0
0.043037,0,0,0,0
0.044308,0,0,0,0
0.045723,0,0,0,0
0.047051,0,0,0,0
0.048386,0,0,0,0
0.049720,0,0,0,0
0.051060,0,0,0,0
0.052485,0,0,0,0
0.054028,0,0,0,0
0.055570,0,0,0,0
0.057084,0,0,0,0
0.058558,0,0,0,0
0.059980,0,0,0,0
0.061794,0,0,0,0
0.063182,0,0,0,0
0.064578,0,0,0,0
0.066095,0,0,0,0
0.068093,0,0,0,0
0.069483,0,0,0,0
0.070868,0,0,0,0
0.072250,0,0,0,0
0.073632,0,0,0,0
0.075023,0,0,0,0
0.076447,0,0,0,0
0.077815,0,0,0,0
0.079083,0,0,0,0
0.080321,0,0,0,0
0.081559,0,0,0,0
0.084332,0,0,0,0
0.085573,0,0,0,0
0.087143,0,0,0,0
0.088411,0,0,0,0
0.089650,0,0,0,0
0.090891,0,0,0,0
0.092134,0,0,0,0
0.093378,0,0,0,0
0.094621,0,0,0,0
0.096039,0,0,0,0
0.097434,0,0,0,0
0.098827,0,0,0,0
0.100270,0,0,0,0
0.101655,0,0,0,0
0.103101,0,0,0,0
0.104570,0,0,0,0
0.105966,0,0,0,0
0.108720,0,0,0,0
0.110114,0,0,0,0
0.113841,0,0,0,0
0.115355,0,0,0,0
0.116770,0,0,0,0
0.118115,0,0,0,0
0.119502,0,0,0,0
0.120839,0,0,0,0
0.122175,0,0,0,0
0.123521,0,0,0,0
0.124956,0,0,0,0
0.126482,0,0,0,0
0.127919,0,0,0,0
0.129299,0,0,0,0
0.130773,0,0,0,0
0.132153,0,0,0,0
0.133534,0,0,0,0
0.134914,0,0,0,0
0.136421,0,0,0,0
0.137960,0,0,0,0
0.139390,0,0,0,0
0.140910,0,0,0,0
0.142456,0,0,0,0
0.144008,0,0,0,0
0.145554,0,0,0,0
0.147146,0,0,0,0
0.148694,0,0,0,0
0.150387,0,0,0,0
0.151974,0,0,0,0
0.153360,0,0,0,0
0.154932,0,0,0,0
0.156483,0,0,0,0
0.158032,0,0,0,0
0.159581,0,0,0,0
0.161019,0,0,0,0
0.162540,0,0,0,0
0.164095,0,0,0,0
0.165642,0,0,0,0
0.167193,0,0,0,0
0.168744,0,0,0,0
0.170292,0,0,0,0
0.171729,0,0,0,0
0.173249,0,0,0,0
0.174800,0,0,0,0
0.176349,0,0,0,0
0.177897,0,0,0,0
0.179491,0,0,0,0
0.181042,0,0,0,0
0.182604,0,0,0,0
0.184158,0,0,0,0
0.185707,0,0,0,0
0.187257,0,0,0,0
0.188807,0,0,0,0
0.190355,0,0,0,0
0.191849,0,0,0,0
0.193379,0,0,0,0
0.194930,0,0,0,0
0.196525,0,0,0,0
0.198071,0,0,0,0
0.199621,0,0,0,0
0.201170,0,0,0,0
0.202721,0,0,0,0
0.204285,0,0,0,0
0.205833,0,0,0,0
0.207383,0,0,0,0
0.208935,0,0,0,0
0.210482,0,0,0,0
0.212037,0,0,0,0
0.213585,0,0,0,0
0.215149,0,0,0,0
0.216700,0,0,0,0
0.218248,0,0,0,0
0.219798,0,0,0,0
0.221347,0,0,0,0
0.222898,0,0,0,0
0.224449,0,0,0,0
0.225885,0,0,0,0
0.227452,0,0,0,0
0.229001,0,0,0,0
0.230550,0,0,0,0
0.232098,0,0,0,0
0.233638,0,0,0,0
0.235083,0,0,0,0
0.236614,0,0,0,0
0.238162,0,0,0,0
0.239711,0,0,0,0
0.241261,0,0,0,0
0.242813,0,0,0,0
0.244408,0,0,0,0
0.245955,0,0,0,0
0.247517,0,0,0,0
0.249067,0,0,0,0
0.250616,0,0,0,0
0.252169,0,0,0,0
0.253717,0,0,0,0
0.255269,0,0,0,0
0.256819,0,0,0,0
0.258379,0,0,0,0
0.260031,0,0,0,0
0.261578,0,0,0,0
0.263129,0,0,0,0
0.264679,0,0,0,0
0.266227,0,0,0,0
0.267777,0,0,0,0
0.269340,0,0,0,0
0.270891,0,0,0,0
0.272440,0,0,0,0
0.273988,0,0,0,0
0.275582,0,0,0,0
0.277133,0,0,0,0
0.278762,0,0,0,0
0.280305,0,0,0,0
0.281699,0,0,0,0
0.283217,0,0,0,0
0.284767,0,0,0,0
0.286316,0,0,0,0
0.287865,0,0,0,0
0.289415,0,0,0,0
0.290980,0,0,0,0
0.292573,0,0,0,0
0.294123,0,0,0,0
0.295672,0,0,0,0
0.297221,0,0,0,0
0.298772,0,0,0,0
0.300322,0,0,0,0
0.301824,0,0,0,0
0.303252,0,0,0,0
0.304657,0,0,0,0
0.306046,0,0,0,0
0.307478,0,0,0,0
0.309183,0,0,0,0
0.310570,0,0,0,0
0.311975,0,0,0,0
0.313362,0,0,0,0
0.314879,0,0,0,0
0.316429,0,0,0,0
0.317850,0,0,0,0
0.319371,0,0,0,0
0.320920,0,0,0,0
0.322481,0,0,0,0
0.324036,0,0,0,0
0.325584,0,0,0,0
0.327135,0,0,0,0
0.328574,0,0,0,0
0.330118,0,0,0,0
0.331667,0,0,0,0
0.333231,0,0,0,0
0.334782,0,0,0,0
0.336322,0,0,0,0
0.337861,0,0,0,0
0.339282,0,0,0,0
0.340801,0,0,0,0
0.342348,0,0,0,0
0.343840,0,0,0,0
0.345360,0,0,0,0
0.346912,0,0,0,0
0.348461,0,0,0,0
0.350008,0,0,0,0
0.351434,0,0,0,0
0.352963,0,0,0,0
0.354524,0,0,0,0
0.356099,0,0,0,0
0.357646,0,0,0,0
0.359197,0,0,0,0
0.360747,0,0,0,0
0.362295,0,0,0,0
0.363936,0,0,0,0
0.365499,0,0,0,0
0.367051,0,0,0,0
0.368600,0,0,0,0
0.370148,0,0,0,0
0.371741,0,0,0,0
0.373291,0,0,0,0
0.374842,0,0,0,0
0.376407,0,0,0,0
0.377955,0,0,0,0
0.379506,0,0,0,0
0.381056,0,0,0,0
0.382605,0,0,0,0
0.384160,0,0,0,0
0.385708,0,0,0,0
0.387317,0,0,0,0
0.388868,0,0,0,0
0.390416,0,0,0,0
