elapsed_s,TSE_CLIP_CODE_WORKING_CYCLE_L1,TSE_CLIP_WORKING_CYCLE_L1,TSE_CLIP_CTRL_WORKING_CYCLE_L2,TSE_CLIP_VP_FMUL_WORKING_CYCLE_L2
0.001101,0,0,0,0
0.002614,0,0,0,0
0.004122,0,0,0,0
0.005612,0,0,0,0
0.007179,0,0,0,0
0.008638,0,0,0,0
0.010117,0,0,0,0
0.011583,0,0,0,0
0.013045,0,0,0,0
0.014549,0,0,0,0
0.016089,0,0,0,0
0.017475,0,0,0,0
0.018983,0,0,0,0
0.020356,0,0,0,0
0.021711,0,0,0,0
0.023122,0,0,0,0
0.024485,0,0,0,0
0.025846,0,0,0,0
0.027278,0,0,0,0
0.028614,0,0,0,0
0.029946,0,0,0,0
0.031335,0,0,0,0
0.032679,0,0,0,0
0.034026,0,0,0,0
0.035372,0,0,0,0
0.036717,0,0,0,0
0.038060,0,0,0,0
0.039400,0,0,0,0
0.040773,0,0,0,0
0.042126,0,0,0,0
0.043466,0,0,0,0
0.044809,0,0,0,0
0.046147,0,0,0,0
0.048657,0,0,0,0
0.050100,0,0,0,0
0.051408,0,0,0,0
0.052812,0,0,0,0
0.054199,0,0,0,0
0.055629,0,0,0,0
0.057009,0,0,0,0
0.058388,0,0,0,0
0.059844,0,0,0,0
0.061244,0,0,0,0
0.062484,0,0,0,0
0.063724,0,0,0,0
0.064964,0,0,0,0
0.066202,0,0,0,0
0.067441,0,0,0,0
0.068679,0,0,0,0
0.069918,0,0,0,0
0.071266,0,0,0,0
0.072518,0,0,0,0
0.073758,0,0,0,0
0.075086,0,0,0,0
0.076331,0,0,0,0
0.077575,0,0,0,0
0.078823,0,0,0,0
0.080247,0,0,0,0
0.081699,0,0,0,0
0.083084,0,0,0,0
0.084467,0,0,0,0
0.085849,0,0,0,0
0.087277,0,0,0,0
0.088660,0,0,0,0
0.090053,0,0,0,0
0.091435,0,0,0,0
0.092818,0,0,0,0
0.094201,0,0,0,0
0.095626,0,0,0,0
0.097012,0,0,0,0
0.098397,0,0,0,0
0.100512,0,0,0,0
0.101936,0,0,0,0
0.103366,0,0,0,0
0.104747,0,0,0,0
0.106126,0,0,0,0
0.107505,0,0,0,0
0.108882,0,0,0,0
0.110267,0,0,0,0
0.111646,0,0,0,0
0.113025,0,0,0,0
0.114404,0,0,0,0
0.115916,0,0,0,0
0.117296,0,0,0,0
0.118675,0,0,0,0
0.120025,0,0,0,0
0.121548,0,0,0,0
0.122928,0,0,0,0
0.124307,0,0,0,0
0.125685,0,0,0,0
0.127100,0,0,0,0
0.128480,0,0,0,0
0.129985,0,0,0,0
0.131400,0,0,0,0
0.132820,0,0,0,0
0.134354,0,0,0,0
0.136047,0,0,0,0
0.137595,0,0,0,0
0.139144,0,0,0,0
0.140693,0,0,0,0
0.142239,0,0,0,0
0.143715,0,0,0,0
0.145235,0,0,0,0
0.146784,0,0,0,0
0.148332,0,0,0,0
0.149879,0,0,0,0
0.151473,0,0,0,0
0.153021,0,0,0,0
0.154581,0,0,0,0
0.156132,0,0,0,0
0.157887,0,0,0,0
0.159384,0,0,0,0
0.160904,0,0,0,0
0.162451,0,0,0,0
0.164004,0,0,0,0
0.165438,0,0,0,0
0.166959,0,0,0,0
0.168554,0,0,0,0
0.170100,0,0,0,0
0.171650,0,0,0,0
0.173198,0,0,0,0
0.174748,0,0,0,0
0.176350,0,0,0,0
0.177898,0,0,0,0
0.179331,0,0,0,0
0.180870,0,0,0,0
0.182417,0,0,0,0
0.183970,0,0,0,0
0.185516,0,0,0,0
0.187080,0,0,0,0
0.188629,0,0,0,0
0.190176,0,0,0,0
0.191767,0,0,0,0
0.193317,0,0,0,0
0.194867,0,0,0,0
0.196416,0,0,0,0
0.197976,0,0,0,0
0.199568,0,0,0,0
0.201118,0,0,0,0
0.202665,0,0,0,0
0.204233,0,0,0,0
0.205624,0,0,0,0
0.207185,0,0,0,0
0.208748,0,0,0,0
0.210307,0,0,0,0
0.211752,0,0,0,0
0.213153,0,0,0,0
0.214667,0,0,0,0
0.216147,0,0,0,0
0.217665,0,0,0,0
0.219230,0,0,0,0
0.220780,0,0,0,0
0.222327,0,0,0,0
0.223791,0,0,0,0
0.225311,0,0,0,0
0.226864,0,0,0,0
0.228414,0,0,0,0
0.229975,0,0,0,0
0.231569,0,0,0,0
0.233119,0,0,0,0
0.234666,0,0,0,0
0.236242,0,0,0,0
0.237782,0,0,0,0
0.239243,0,0,0,0
0.240781,0,0,0,0
0.242376,0,0,0,0
0.243976,0,0,0,0
0.245524,0,0,0,0
0.247073,0,0,0,0
0.248620,0,0,0,0
0.250165,0,0,0,0
0.251726,0,0,0,0
0.253271,0,0,0,0
0.254819,0,0,0,0
0.256411,0,0,0,0
0.257956,0,0,0,0
0.259505,0,0,0,0
0.261050,0,0,0,0
0.263191,0,0,0,0
0.264711,0,0,0,0
0.266186,0,0,0,0
0.267564,0,0,0,0
0.268956,0,0,0,0
0.270343,0,0,0,0
0.271772,0,0,0,0
0.273169,0,0,0,0
0.274554,0,0,0,0
0.275940,0,0,0,0
0.277450,0,0,0,0
0.279001,0,0,0,0
0.280590,0,0,0,0
