elapsed_s,TSE_CLIP_VP_FMUL_0_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_1_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_2_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_3_WORKING_CYCLE_L3
0.001092,0,0,0,0
0.002647,0,0,0,0
0.004065,0,0,0,0
0.005543,0,0,0,0
0.007008,0,0,0,0
0.008446,0,0,0,0
0.009862,0,0,0,0
0.011277,0,0,0,0
0.012692,0,0,0,0
0.014173,0,0,0,0
0.015568,0,0,0,0
0.016977,0,0,0,0
0.018532,0,0,0,0
0.019987,0,0,0,0
0.021382,0,0,0,0
0.022732,0,0,0,0
0.024080,0,0,0,0
0.025427,0,0,0,0
0.026774,0,0,0,0
0.028120,0,0,0,0
0.029477,0,0,0,0
0.030862,0,0,0,0
0.032263,0,0,0,0
0.033600,0,0,0,0
0.034890,0,0,0,0
0.036291,0,0,0,0
0.037752,0,0,0,0
0.039006,0,0,0,0
0.040262,0,0,0,0
0.041537,0,0,0,0
0.042875,0,0,0,0
0.044216,0,0,0,0
0.045814,0,0,0,0
0.047329,0,0,0,0
0.049053,0,0,0,0
0.050533,0,0,0,0
0.051924,0,0,0,0
0.053327,0,0,0,0
0.054834,0,0,0,0
0.056193,0,0,0,0
0.057587,0,0,0,0
0.058976,0,0,0,0
0.060366,0,0,0,0
0.062511,0,0,0,0
0.064202,0,0,0,0
0.065589,0,0,0,0
0.066975,0,0,0,0
0.068357,0,0,0,0
0.071151,0,0,0,0
0.072664,0,0,0,0
0.075266,0,0,0,0
0.076507,0,0,0,0
0.077879,0,0,0,0
0.079279,0,0,0,0
0.080493,0,0,0,0
0.081753,0,0,0,0
0.082991,0,0,0,0
0.084230,0,0,0,0
0.085487,0,0,0,0
0.086730,0,0,0,0
0.087975,0,0,0,0
0.089219,0,0,0,0
0.090475,0,0,0,0
0.091745,0,0,0,0
0.093131,0,0,0,0
0.094553,0,0,0,0
0.095944,0,0,0,0
0.097373,0,0,0,0
0.098731,0,0,0,0
0.100126,0,0,0,0
0.101587,0,0,0,0
0.103021,0,0,0,0
0.104400,0,0,0,0
0.106305,0,0,0,0
0.109417,0,0,0,0
0.110849,0,0,0,0
0.112228,0,0,0,0
0.113570,0,0,0,0
0.114971,0,0,0,0
0.116350,0,0,0,0
0.117789,0,0,0,0
0.119168,0,0,0,0
0.120548,0,0,0,0
0.121927,0,0,0,0
0.123317,0,0,0,0
0.124696,0,0,0,0
0.126110,0,0,0,0
0.127489,0,0,0,0
0.128987,0,0,0,0
0.130408,0,0,0,0
0.131927,0,0,0,0
0.133491,0,0,0,0
0.135085,0,0,0,0
0.136632,0,0,0,0
0.138182,0,0,0,0
0.139730,0,0,0,0
0.141278,0,0,0,0
0.142833,0,0,0,0
0.144393,0,0,0,0
0.145945,0,0,0,0
0.147494,0,0,0,0
0.149041,0,0,0,0
0.150682,0,0,0,0
0.152229,0,0,0,0
0.153792,0,0,0,0
0.155250,0,0,0,0
0.156777,0,0,0,0
0.158372,0,0,0,0
0.159922,0,0,0,0
0.161474,0,0,0,0
0.163023,0,0,0,0
