elapsed_s,RB_2D_ALIVE_CYCLES,RB_2D_STARVE_CYCLES_SP,RB_2D_VALID_PIXELS,RB_3D_PIXELS,RB_BLENDER_WORKING_CYCLES,RB_ZPROC_WORKING_CYCLES,RB_CPROC_WORKING_CYCLES,RB_SAMPLER_WORKING_CYCLES
0.001095,0,0,0,0,0,0,0,0
0.002620,0,0,0,0,0,0,0,0
0.004077,0,0,0,0,0,0,0,0
0.005529,0,0,0,0,0,0,0,0
0.006980,0,0,0,0,0,0,0,0
0.008431,0,0,0,0,0,0,0,0
0.009910,0,0,0,0,0,0,0,0
0.011481,0,0,0,0,0,0,0,0
0.012907,0,0,0,0,0,0,0,0
0.014371,0,0,0,0,0,0,0,0
0.015800,0,0,0,0,0,0,0,0
0.017225,0,0,0,0,0,0,0,0
0.018652,0,0,0,0,0,0,0,0
0.020087,0,0,0,0,0,0,0,0
0.021513,0,0,0,0,0,0,0,0
0.022939,0,0,0,0,0,0,0,0
0.024366,0,0,0,0,0,0,0,0
0.025791,0,0,0,0,0,0,0,0
0.027263,0,0,0,0,0,0,0,0
0.028635,0,0,0,0,0,0,0,0
0.030003,0,0,0,0,0,0,0,0
0.031473,0,0,0,0,0,0,0,0
0.032796,0,0,0,0,0,0,0,0
0.034119,0,0,0,0,0,0,0,0
0.035550,0,0,0,0,0,0,0,0
0.036884,0,0,0,0,0,0,0,0
0.038202,0,0,0,0,0,0,0,0
0.039585,0,0,0,0,0,0,0,0
0.040964,0,0,0,0,0,0,0,0
0.042237,0,0,0,0,0,0,0,0
0.043507,0,0,0,0,0,0,0,0
0.044777,0,0,0,0,0,0,0,0
0.046048,0,0,0,0,0,0,0,0
0.047398,0,0,0,0,0,0,0,0
0.048760,0,0,0,0,0,0,0,0
0.050120,0,0,0,0,0,0,0,0
0.051530,0,0,0,0,0,0,0,0
0.052934,0,0,0,0,0,0,0,0
0.054206,0,0,0,0,0,0,0,0
0.055606,0,0,0,0,0,0,0,0
0.056929,0,0,0,0,0,0,0,0
0.058303,0,0,0,0,0,0,0,0
0.059663,0,0,0,0,0,0,0,0
0.060987,0,0,0,0,0,0,0,0
0.062312,0,0,0,0,0,0,0,0
0.063691,0,0,0,0,0,0,0,0
0.065015,0,0,0,0,0,0,0,0
0.066507,0,0,0,0,0,0,0,0
0.067836,0,0,0,0,0,0,0,0
0.069177,0,0,0,0,0,864,1596,396
0.070612,0,0,0,0,0,0,0,0
0.071934,0,0,0,0,0,0,0,0
0.073254,0,0,0,0,0,0,0,0
0.074658,0,0,0,0,0,0,0,0
0.075986,0,0,0,0,0,0,0,0
0.077310,0,0,0,0,0,0,0,0
0.078646,0,0,0,0,0,0,0,0
0.079979,0,0,0,0,0,0,0,0
0.081318,0,0,0,0,0,0,0,0
0.082660,0,0,0,0,0,0,0,0
0.084023,0,0,0,0,0,0,0,0
0.085411,0,0,0,0,0,4566,578745,2322
0.086627,0,0,0,0,0,8424,1445240,4428
0.087845,0,0,0,0,0,8424,1462913,4428
0.089115,0,0,0,0,0,8892,1525356,4674
0.090518,0,0,0,0,0,10176,1733794,5358
0.091796,0,0,0,0,0,8544,1480803,4482
0.093019,0,0,0,0,0,8424,1441124,4428
0.094237,0,0,0,0,0,8424,1444148,4428
0.095493,0,0,0,0,0,8772,1531207,4674
0.096710,0,0,0,0,0,8424,1454449,4428
0.097929,0,0,0,0,0,8544,1464124,4428
0.099200,0,0,0,0,0,8772,1534770,4674
0.100418,0,0,0,0,0,8424,1459180,4428
0.101635,0,0,0,0,0,7608,1283917,3936
0.102906,0,0,0,0,0,5184,809244,2712
0.104484,0,0,0,0,0,0,0,0
0.105870,0,0,0,0,0,0,0,0
0.107324,0,0,0,0,0,0,0,0
0.108757,0,0,0,0,0,0,0,0
0.110261,0,0,0,0,0,0,0,0
0.111696,0,0,0,0,0,0,0,0
0.113099,0,0,0,0,0,0,0,0
0.114514,0,0,0,0,0,0,0,0
0.115953,0,0,0,0,0,0,0,0
0.117329,0,0,0,0,0,0,0,0
0.118704,0,0,0,0,0,0,0,0
0.120081,0,0,0,0,0,0,0,0
0.121457,0,0,0,0,0,0,0,0
0.122868,0,0,0,0,0,0,0,0
0.124299,0,0,0,0,0,0,0,0
0.125731,0,0,0,0,0,0,0,0
0.127160,0,0,0,0,0,0,0,0
0.128586,0,0,0,0,0,0,0,0
0.130012,0,0,0,0,0,0,0,0
0.131380,0,0,0,0,0,0,0,0
0.132804,0,0,0,0,0,0,0,0
0.134228,0,0,0,0,0,0,0,0
0.135546,0,0,0,0,0,0,0,0
0.136927,0,0,0,0,0,0,0,0
0.138354,0,0,0,0,0,0,0,0
0.139686,0,0,0,0,0,0,0,0
0.141039,0,0,0,0,0,0,0,0
0.142395,0,0,0,0,0,0,0,0
0.143809,0,0,0,0,0,0,0,0
0.145181,0,0,0,0,0,0,0,0
0.146541,0,0,0,0,0,0,0,0
0.147976,0,0,0,0,0,0,0,0
0.149376,0,0,0,0,0,0,0,0
0.150778,0,0,0,0,0,0,0,0
0.152178,0,0,0,0,0,0,0,0
0.153579,0,0,0,0,0,0,0,0
0.155017,0,0,0,0,0,0,0,0
0.156419,0,0,0,0,0,0,0,0
0.157820,0,0,0,0,0,0,0,0
0.159232,0,0,0,0,0,0,0,0
0.160639,0,0,0,0,0,0,0,0
0.162045,0,0,0,0,0,0,0,0
0.163489,0,0,0,0,0,0,0,0
0.164895,0,0,0,0,0,0,0,0
0.166303,0,0,0,0,0,0,0,0
0.167708,0,0,0,0,0,0,0,0
0.169242,0,0,0,0,0,0,0,0
0.170872,0,0,0,0,0,0,0,0
0.172444,0,0,0,0,0,0,0,0
0.174012,0,0,0,0,0,0,0,0
0.175588,0,0,0,0,0,0,0,0
0.177157,0,0,0,0,0,0,0,0
0.178774,0,0,0,0,0,0,0,0
0.180346,0,0,0,0,0,0,0,0
0.181928,0,0,0,0,0,0,0,0
0.183502,0,0,0,0,0,0,0,0
0.185071,0,0,0,0,0,0,0,0
0.186687,0,0,0,0,0,0,0,0
0.188258,0,0,0,0,0,0,0,0
0.189827,0,0,0,0,0,0,0,0
0.191377,0,0,0,0,0,0,0,0
0.192810,0,0,0,0,0,0,0,0
0.194225,0,0,0,0,0,0,0,0
0.195637,0,0,0,0,0,0,0,0
0.197043,0,0,0,0,0,0,0,0
0.198452,0,0,0,0,0,0,0,0
0.199858,0,0,0,0,0,0,0,0
0.201392,0,0,0,0,0,0,0,0
0.203021,0,0,0,0,0,0,0,0
0.204466,0,0,0,0,0,0,0,0
0.206006,0,0,0,0,0,0,0,0
0.207605,0,0,0,0,0,0,0,0
0.209173,0,0,0,0,0,0,0,0
0.210791,0,0,0,0,0,0,0,0
0.212363,0,0,0,0,0,0,0,0
0.213946,0,0,0,0,0,0,0,0
0.215522,0,0,0,0,0,0,0,0
0.217091,0,0,0,0,0,0,0,0
0.218706,0,0,0,0,0,0,0,0
0.220276,0,0,0,0,0,0,0,0
0.221726,0,0,0,0,0,0,0,0
0.223317,0,0,0,0,0,0,0,0
0.224778,0,0,0,0,0,0,0,0
0.226320,0,0,0,0,0,0,0,0
0.227934,0,0,0,0,0,0,0,0
0.229503,0,0,0,0,0,0,0,0
0.231074,0,0,0,0,0,0,0,0
0.232644,0,0,0,0,0,0,0,0
0.234216,0,0,0,0,0,0,0,0
0.235841,0,0,0,0,0,0,0,0
0.237411,0,0,0,0,0,0,0,0
0.238983,0,0,0,0,0,0,0,0
0.240554,0,0,0,0,0,0,0,0
0.242125,0,0,0,0,0,0,0,0
0.243559,0,0,0,0,0,0,0,0
0.245229,0,0,0,0,0,0,0,0
0.246815,0,0,0,0,0,0,0,0
0.248386,0,0,0,0,0,0,0,0
0.249955,0,0,0,0,0,0,0,0
0.251531,0,0,0,0,0,0,0,0
0.253099,0,0,0,0,0,0,0,0
0.254671,0,0,0,0,0,0,0,0
0.256242,0,0,0,0,0,0,0,0
0.257825,0,0,0,0,0,0,0,0
0.259459,0,0,0,0,0,0,0,0
0.260907,0,0,0,0,0,0,0,0
0.262440,0,0,0,0,0,0,0,0
0.263975,0,0,0,0,0,0,0,0
0.265538,0,0,0,0,0,0,0,0
0.267029,0,0,0,0,0,0,0,0
0.268586,0,0,0,0,0,0,0,0
0.270211,0,0,0,0,0,0,0,0
0.271781,0,0,0,0,0,0,0,0
0.273351,0,0,0,0,0,0,0,0
0.274968,0,0,0,0,0,0,0,0
0.276540,0,0,0,0,0,0,0,0
0.278110,0,0,0,0,0,0,0,0
0.279697,0,0,0,0,0,0,0,0
0.281267,0,0,0,0,0,0,0,0
0.282883,0,0,0,0,0,0,0,0
0.284455,0,0,0,0,0,0,0,0
0.286026,0,0,0,0,0,0,0,0
0.287602,0,0,0,0,0,0,0,0
0.289173,0,0,0,0,0,0,0,0
0.290803,0,0,0,0,0,0,0,0
0.292375,0,0,0,0,0,0,0,0
0.293945,0,0,0,0,0,0,0,0
0.295521,0,0,0,0,0,0,0,0
0.297092,0,0,0,0,0,0,0,0
0.298710,0,0,0,0,0,0,0,0
0.300283,0,0,0,0,0,0,0,0
0.301866,0,0,0,0,0,0,0,0
0.303399,0,0,0,0,0,0,0,0
0.304940,0,0,0,0,0,0,0,0
0.306513,0,0,0,0,0,0,0,0
0.308086,0,0,0,0,0,0,0,0
0.309657,0,0,0,0,0,0,0,0
0.311229,0,0,0,0,0,0,0,0
0.312816,0,0,0,0,0,0,0,0
0.314388,0,0,0,0,0,0,0,0
0.315882,0,0,0,0,0,0,0,0
0.317425,0,0,0,0,0,0,0,0
0.318998,0,0,0,0,0,0,0,0
0.320570,0,0,0,0,0,0,0,0
0.322141,0,0,0,0,0,0,0,0
0.323818,0,0,0,0,0,0,0,0
0.325389,0,0,0,0,0,0,0,0
0.326964,0,0,0,0,0,0,0,0
0.328536,0,0,0,0,0,0,0,0
0.330108,0,0,0,0,0,0,0,0
0.331683,0,0,0,0,0,0,0,0
0.333255,0,0,0,0,0,0,0,0
0.334842,0,0,0,0,0,0,0,0
0.336415,0,0,0,0,0,0,0,0
0.337986,0,0,0,0,0,0,0,0
0.339441,0,0,0,0,0,0,0,0
0.340988,0,0,0,0,0,0,0,0
0.342563,0,0,0,0,0,0,0,0
0.344136,0,0,0,0,0,0,0,0
0.345721,0,0,0,0,0,0,0,0
0.347338,0,0,0,0,0,0,0,0
0.348913,0,0,0,0,0,0,0,0
0.350486,0,0,0,0,0,0,0,0
0.352060,0,0,0,0,0,0,0,0
0.353632,0,0,0,0,0,0,0,0
0.355247,0,0,0,0,0,0,0,0
0.356710,0,0,0,0,0,0,0,0
0.358256,0,0,0,0,0,0,0,0
0.359829,0,0,0,0,0,0,0,0
0.361400,0,0,0,0,0,0,0,0
0.363017,0,0,0,0,0,0,0,0
0.364591,0,0,0,0,0,0,0,0
0.366254,0,0,0,0,0,0,0,0
0.367803,0,0,0,0,0,0,0,0
0.369217,0,0,0,0,0,0,0,0
0.370803,0,0,0,0,0,0,0,0
0.372376,0,0,0,0,0,0,0,0
0.373947,0,0,0,0,0,0,0,0
0.375524,0,0,0,0,0,0,0,0
0.377096,0,0,0,0,0,0,0,0
0.378727,0,0,0,0,0,0,0,0
0.380300,0,0,0,0,0,0,0,0
0.381871,0,0,0,0,0,0,0,0
0.383534,0,0,0,0,0,0,0,0
0.385106,0,0,0,0,0,0,0,0
0.386723,0,0,0,0,0,0,0,0
0.388296,0,0,0,0,0,0,0,0
0.389881,0,0,0,0,0,0,0,0
0.391457,0,0,0,0,0,0,0,0
0.393029,0,0,0,0,0,0,0,0
0.394648,0,0,0,0,0,0,0,0
0.396221,0,0,0,0,0,0,0,0
0.397793,0,0,0,0,0,0,0,0
0.399426,0,0,0,0,0,0,0,0
0.401012,0,0,0,0,0,0,0,0
0.402631,0,0,0,0,0,0,0,0
0.404205,0,0,0,0,0,0,0,0
0.405777,0,0,0,0,0,0,0,0
0.407350,0,0,0,0,0,0,0,0
0.408925,0,0,0,0,0,0,0,0
0.410499,0,0,0,0,0,0,0,0
0.412133,0,0,0,0,0,0,0,0
0.413704,0,0,0,0,0,0,0,0
0.415276,0,0,0,0,0,0,0,0
0.416850,0,0,0,0,0,0,0,0
0.418426,0,0,0,0,0,0,0,0
0.420045,0,0,0,0,0,0,0,0
0.421615,0,0,0,0,0,0,0,0
0.423201,0,0,0,0,0,0,0,0
0.424774,0,0,0,0,0,0,0,0
0.426349,0,0,0,0,0,0,0,0
0.427967,0,0,0,0,0,0,0,0
0.429540,0,0,0,0,0,0,0,0
0.431112,0,0,0,0,0,0,0,0
0.432684,0,0,0,0,0,0,0,0
0.434273,0,0,0,0,0,0,0,0
0.435889,0,0,0,0,0,0,0,0
0.437460,0,0,0,0,0,0,0,0
0.439033,0,0,0,0,0,0,0,0
0.440606,0,0,0,0,0,0,0,0
0.442263,0,0,0,0,0,0,0,0
0.443794,0,0,0,0,0,0,0,0
0.445218,0,0,0,0,0,0,0,0
0.446759,0,0,0,0,0,0,0,0
0.448331,0,0,0,0,0,0,0,0
0.449903,0,0,0,0,0,0,0,0
0.451482,0,0,0,0,0,0,0,0
0.453053,0,0,0,0,0,0,0,0
0.454628,0,0,0,0,0,0,0,0
0.456215,0,0,0,0,0,0,0,0
0.457787,0,0,0,0,0,0,0,0
0.459275,0,0,0,0,0,0,0,0
0.460817,0,0,0,0,0,0,0,0
0.462392,0,0,0,0,0,0,0,0
0.463966,0,0,0,0,0,0,0,0
0.465537,0,0,0,0,0,0,0,0
0.467167,0,0,0,0,0,0,0,0
0.468741,0,0,0,0,0,0,0,0
0.470316,0,0,0,0,0,0,0,0
0.471890,0,0,0,0,0,0,0,0
0.473460,0,0,0,0,0,0,0,0
0.475077,0,0,0,0,0,0,0,0
0.476650,0,0,0,0,0,0,0,0
0.478239,0,0,0,0,0,0,0,0
0.479813,0,0,0,0,0,0,0,0
0.481419,0,0,0,0,0,0,0,0
0.483037,0,0,0,0,0,0,0,0
0.484609,0,0,0,0,0,0,0,0
0.486264,0,0,0,0,0,0,0,0
0.487684,0,0,0,0,0,0,0,0
0.489108,0,0,0,0,0,0,0,0
0.490694,0,0,0,0,0,0,0,0
0.492267,0,0,0,0,0,0,0,0
0.493838,0,0,0,0,0,0,0,0
0.495501,0,0,0,0,0,0,0,0
0.497072,0,0,0,0,0,0,0,0
0.498691,0,0,0,0,0,0,0,0
0.500277,0,0,0,0,0,0,0,0
0.501848,0,0,0,0,0,0,0,0
0.503510,0,0,0,0,0,0,0,0
0.505080,0,0,0,0,0,0,0,0
0.506700,0,0,0,0,0,0,0,0
0.508274,0,0,0,0,0,0,0,0
0.509846,0,0,0,0,0,0,0,0
0.511508,0,0,0,0,0,0,0,0
0.513080,0,0,0,0,0,0,0,0
0.514698,0,0,0,0,0,0,0,0
0.516272,0,0,0,0,0,0,0,0
0.517843,0,0,0,0,0,0,0,0
0.519501,0,0,0,0,0,0,0,0
0.521064,0,0,0,0,0,0,0,0
0.522520,0,0,0,0,0,0,0,0
0.524133,0,0,0,0,0,0,0,0
0.525703,0,0,0,0,0,0,0,0
0.527274,0,0,0,0,0,0,0,0
0.528846,0,0,0,0,0,0,0,0
0.530418,0,0,0,0,0,0,0,0
0.532036,0,0,0,0,0,0,0,0
0.533620,0,0,0,0,0,0,0,0
0.535192,0,0,0,0,0,0,0,0
0.536764,0,0,0,0,0,0,0,0
0.538338,0,0,0,0,0,0,0,0
0.539831,0,0,0,0,0,0,0,0
0.541377,0,0,0,0,0,0,0,0
0.542953,0,0,0,0,0,0,0,0
0.544539,0,0,0,0,0,0,0,0
0.546111,0,0,0,0,0,0,0,0
0.547686,0,0,0,0,0,0,0,0
0.549257,0,0,0,0,0,0,0,0
0.550833,0,0,0,0,0,0,0,0
0.552407,0,0,0,0,0,0,0,0
0.553978,0,0,0,0,0,0,0,0
0.555569,0,0,0,0,0,0,0,0
0.557141,0,0,0,0,0,0,0,0
0.558716,0,0,0,0,0,0,0,0
0.560289,0,0,0,0,0,0,0,0
0.561860,0,0,0,0,0,0,0,0
0.563524,0,0,0,0,0,0,0,0
0.565096,0,0,0,0,0,0,0,0
0.566684,0,0,0,0,0,0,0,0
0.568258,0,0,0,0,0,0,0,0
0.569828,0,0,0,0,0,0,0,0
0.571464,0,0,0,0,0,0,0,0
0.573035,0,0,0,0,0,0,0,0
0.574610,0,0,0,0,0,0,0,0
0.576183,0,0,0,0,0,0,0,0
0.577768,0,0,0,0,0,0,0,0
0.579384,0,0,0,0,0,0,0,0
0.580958,0,0,0,0,0,0,0,0
0.582533,0,0,0,0,0,0,0,0
0.584096,0,0,0,0,0,0,0,0
0.585655,0,0,0,0,0,0,0,0
0.587140,0,0,0,0,0,0,0,0
0.588701,0,0,0,0,0,0,0,0
0.590275,0,0,0,0,0,0,0,0
0.591848,0,0,0,0,0,0,0,0
0.593419,0,0,0,0,0,0,0,0
0.595037,0,0,0,0,0,0,0,0
0.596610,0,0,0,0,0,0,0,0
0.598248,0,0,0,0,0,0,0,0
0.599897,0,0,0,0,0,0,0,0
0.601467,0,0,0,0,0,0,0,0
0.603085,0,0,0,0,0,0,0,0
0.604657,0,0,0,0,0,0,0,0
0.606232,0,0,0,0,0,0,0,0
0.607804,0,0,0,0,0,0,0,0
0.609374,0,0,0,0,0,0,0,0
0.611006,0,0,0,0,0,0,0,0
0.612580,0,0,0,0,0,0,0,0
0.614150,0,0,0,0,0,0,0,0
0.615656,0,0,0,0,0,0,0,0
0.617068,0,0,0,0,0,0,0,0
0.618652,0,0,0,0,0,0,0,0
0.620225,0,0,0,0,0,0,0,0
0.621811,0,0,0,0,0,0,0,0
0.623445,0,0,0,0,0,0,0,0
0.625017,0,0,0,0,0,0,0,0
0.626636,0,0,0,0,0,0,0,0
0.628209,0,0,0,0,0,0,0,0
0.629780,0,0,0,0,0,0,0,0
0.631224,0,0,0,0,0,0,0,0
0.632778,0,0,0,0,0,0,0,0
0.634352,0,0,0,0,0,0,0,0
0.635969,0,0,0,0,0,0,0,0
0.637540,0,0,0,0,0,0,0,0
0.639112,0,0,0,0,0,0,0,0
0.640686,0,0,0,0,0,0,0,0
0.642260,0,0,0,0,0,0,0,0
0.643890,0,0,0,0,0,0,0,0
0.645462,0,0,0,0,0,0,0,0
0.647033,0,0,0,0,0,0,0,0
0.648596,0,0,0,0,0,0,0,0
0.650244,0,0,0,0,0,0,0,0
0.651932,0,0,0,0,0,0,0,0
0.653503,0,0,0,0,0,0,0,0
0.655089,0,0,0,0,0,0,0,0
0.656662,0,0,0,0,0,0,0,0
0.658237,0,0,0,0,0,0,0,0
0.659811,0,0,0,0,0,0,0,0
0.661382,0,0,0,0,0,0,0,0
0.662957,0,0,0,0,0,0,0,0
0.664530,0,0,0,0,0,0,0,0
0.666114,0,0,0,0,0,0,0,0
0.667612,0,0,0,0,0,0,0,0
0.669023,0,0,0,0,0,0,0,0
0.670562,0,0,0,0,0,0,0,0
0.672134,0,0,0,0,0,0,0,0
0.673705,0,0,0,0,0,0,0,0
0.675321,0,0,0,0,0,0,0,0
